eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
The day which dismissed the music-master was one of the happiest of Catherine s life.,(No direct equivalent in text),3,not aligned,-1,-1,2674,2759,,"The day which dismissed the music-master was one of the happiest
of Catherine s life. "
He had a considerable independence besides two good livings and he was not in the least addicted to locking up his daughters.,(No direct equivalent in text),16,not aligned,-1,-1,426,551,,"He had a considerable
independence besides two good livings and he was not in the least
addicted to locking up his daughters. "
"Indeed she had no taste for a garden; and if she gathered flowers at all, it was chiefly for the pleasure of mischief at least so it was conjectured from her always preferring those which she was forbidden to take.",(No direct equivalent in text),19,not aligned,-1,-1,1579,1793,,"Indeed she had no taste for a garden; and if she
gathered flowers at all, it was chiefly for the pleasure of mischief at
least so it was conjectured from her always preferring those which she
was forbidden to take. "
"There was not one family among their acquaintance who had reared and supported a boy accidentally found at their door not one young man whose origin was unknown. Her father had no ward, and the squire of the parish no children.",(partially covered by previous sentence),32,aligned,-1,-1,7103,7330,,"There was not one family among their acquaintance who had
reared and supported a boy accidentally found at their door not one
young man whose origin was unknown. Her father had no ward, and the
squire of the parish no children.
"
There was not one lord in the neighbourhood; no not even a baronet.,(partially covered by previous sentence),33,aligned,-1,-1,7035,7102,,"There was not one lord in the neighbourhood; no not even a
baronet. "
There she fell miserably short of the true heroic height.,(No direct equivalent in text),37,not aligned,-1,-1,6535,6592,,"There she
fell miserably short of the true heroic height. "
"At present she did not know her own poverty, for she had no lover to portray.",(No direct equivalent in text),46,not aligned,-1,-1,6593,6670,,"At present she did not
know her own poverty, for she had no lover to portray. "
"She was come to be happy, and she felt happy already.",(No direct equivalent in text),120,not aligned,-1,-1,11458,11511,,"She was come to be happy, and she felt happy
already.
"
"It was a splendid sight, and she began, for the first time that evening, to feel herself at a ball: she longed to dance, but she had not an acquaintance in the room.",(No direct equivalent in text),150,not aligned,-1,-1,14978,15143,,"It was a splendid sight, and
she began, for the first time that evening, to feel herself at a ball:
she longed to dance, but she had not an acquaintance in the room. "
"Here there was something less of crowd than below; and hence Miss Morland had a comprehensive view of all the company beneath her, and of all the dangers of her late passage through them.",(No direct equivalent in text),153,not aligned,-1,-1,14790,14977,,"Here there was
something less of crowd than below; and hence Miss Morland had a
comprehensive view of all the company beneath her, and of all the
dangers of her late passage through them. "
"Oh, dear! cried Catherine, colouring.","-- Oh ! ma chere, dit Catherine, en rougissant, comment pouvez-vous parler ainsi ?",164,aligned,53273,53355,-1,-1,"-- Oh ! ma chere, dit Catherine, en rougissant, comment pouvez-vous parler ainsi ? ",
"Now, if I were to hear anybody speak slightingly of you, I should fire up in a moment: but that is not at all likely, for you are just the kind of girl to be a great favourite with the men.","Mais cela n'arrivera pas, car vous etes precisement de ce genre de femmes qui plaisent a tous les hommes.",165,aligned,53167,53272,-1,-1,"Mais cela n'arrivera pas, car vous etes precisement de ce genre de femmes qui plaisent a tous les hommes. ",
"I know it must be a skeleton, I am sure it is Laurentina's skeleton.",Il me semble que ce doit etre un squelette : je suis sure que c'est celui de Laurencia.,179,aligned,51177,51264,-1,-1,Il me semble que ce doit etre un squelette : je suis sure que c'est celui de Laurencia. ,
"Dear creature! How much I am obliged to you; and when you have finished Udolpho, we will read the Italian together; and I have made out a list of ten or twelve more of the same kind for you.","-- Charmante Creature ! Comme elle est aimable ! Combien je vous suis obligee ! Quand vous aurez fini Udolpho, nous lirons ensemble l'Italien. -- Vous l'avez ! Oh que j'en suis contente ! ~~~ En avez-vous encore d'autres ?",181,aligned,-1,-1,46409,46599,,"Dear creature! How much I am obliged to you; and when you have
finished Udolpho, we will read the Italian together; and I have made
out a list of ten or twelve more of the same kind for you."""
"Yes, quite sure; for a particular friend of mine, a Miss Andrews, a sweet girl, one of the sweetest creatures in the world, has read every one of them.",(No direct equivalent in text),184,not aligned,-1,-1,46986,47137,,"Yes, quite sure; for a particular friend of mine, a Miss Andrews, a
sweet girl, one of the sweetest creatures in the world, has read every
one of them. "
"My dear Isabella, I am sure there must be Laurentina's skeleton behind it.","ma chere Isabelle, je l'ai toujours dans l'esprit, je gagerais que c'est le squelette de Laurencia qui est derriere.",209,aligned,54854,54970,-1,-1,"ma chere Isabelle, je l'ai toujours dans l'esprit, je gagerais que c'est le squelette de Laurencia qui est derriere. ",
"Her companion's discourse now sunk from its hitherto animated pitch to nothing more than a short decisive sentence of praise or condemnation on the face of every woman they met; and Catherine, after listening and agreeing as long as she could, with all the civility and deference of the youthful female mind, fearful of hazarding an opinion of its own in opposition to that of a self-assured man, especially where the beauty of her own sex is concerned, ventured at length to vary the subject by a question which had been long uppermost in her thoughts; it was, ""Have you ever read Udolpho, Mr. Thorpe?""","La conversation prit enfin une autre tournure. On se mit a examiner chacune des femmes que l'on rencontrait ; on prononca sur leur beaute ; on distribua, du ton le plus tranchant, la louange et le blame. Catherine ecoutait, applaudissait avec toute la politesse et la defiance d'une jeune personne timide qui craint de hasarder une opinion differente de celle qu'on enonce d'une maniere si decidee, surtout quand il s'agit de la beaute. ~~~ Elle resolut a la fin d'essayer de changer le sujet de la conversation par une question que depuis long-tems elle desirait faire. Avez-vous lu Udolphe, dit-elle, M. Thorpe ?",279,aligned,69003,69613,-1,-1,"La conversation prit enfin une autre tournure. On se mit a examiner chacune des femmes que l'on rencontrait ; on prononca sur leur beaute ; on distribua, du ton le plus tranchant, la louange et le blame. Catherine ecoutait, applaudissait avec toute la politesse et la defiance d'une jeune personne timide qui craint de hasarder une opinion differente de celle qu'on enonce d'une maniere si decidee, surtout quand il s'agit de la beaute. Elle resolut a la fin d'essayer de changer le sujet de la conversation par une question que depuis long-tems elle desirait faire. Avez-vous lu Udolphe, dit-elle, M. Thorpe ? ",
Catherine was delighted with the request.,Catherine fut enchantee de ce qu'on lui demandait.,342,aligned,85324,85374,-1,-1,Catherine fut enchantee de ce qu'on lui demandait. ,
"""Nobody drinks there.""",'Vous y trouverez a peine un homme capable de boire ses quatre mesures ; c\'est le plus.',426,aligned,-1,-1,91918,91938,,"Nobody
drinks there. "
"""Our foggy climate wants help.""",(No direct equivalent in text),428,not aligned,-1,-1,91751,91780,,"Our foggy climate wants help."""
"""Mine is famous good stuff, to be sure.""",(No direct equivalent in text),445,not aligned,-1,-1,-1,-1,,
"""You would not often meet with anything like it in Oxford and that may account for it.""",(No direct equivalent in text),446,not aligned,-1,-1,92257,92342,,"You would not
often meet with anything like it in Oxford and that may account for it.
"
The wheels have been fairly worn out these ten years at least and as for the body!,(No direct equivalent in text),466,not aligned,-1,-1,94137,94219,,"The wheels have
been fairly worn out these ten years at least and as for the body! "
