eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,translations,occurrences,occurrences_tuple,fr_text,fr_startByte,fr_endByte
exp,exp_name,catherine morland,Catherine Morland,71,88,0,4,1,M_0,No one who had ever seen Catherine Morland in her infancy would have supposed her born to be an heroine.,"De toutes les personnes qui ont connu Catherine Morland, dans son enfance, il n'en est pas qui aient du la croire nee pour figurer comme heroine de roman.",0,aligned,39,193,46,150,"De toutes les personnes qui ont connu Catherine Morland, dans son enfance, il n'en est pas qui aient du la croire nee pour figurer comme heroine de roman. ","No one who had ever seen Catherine Morland in her infancy would have
supposed her born to be an heroine. ",['Catherine Morland'],"[('Catherine Morland', 77, 94)]","(('Catherine Morland', 77, 94),)",Catherine Morland,77.0,94.0
exp,exp_name,catherine,Catherine,700,709,0,4,1,M_1,"She had three sons before Catherine was born; and instead of dying in bringing the latter into the world, as anybody might expect, she still lived on lived to have six children more to see them growing up around her, and to enjoy excellent health herself.","La sante parfaite de cette bonne mere, heureuse de voir tous ses enfans croitre autour d'elle, donnait un grand echec a la science des tireuses d'horoscopes.",14,aligned,927,1084,674,929,"La sante parfaite de cette bonne mere, heureuse de voir tous ses enfans croitre autour d'elle, donnait un grand echec a la science des tireuses d'horoscopes.
","She had three sons before Catherine was born; and
instead of dying in bringing the latter into the world, as anybody
might expect, she still lived on lived to have six children more to see
them growing up around her, and to enjoy excellent health herself. ",['Catherine'],"[(None, None, None)]","((None, None, None),)",,,
exp,exp_name,catherine,Catherine,1149,1158,0,4,1,M_2,"A family of ten children will be always called a fine family, where there are heads and arms and legs enough for the number; but the Morlands had little other right to the word, for they were in general very plain, and Catherine, for many years of her life, as plain as any.","C'est une belle famille que celle qui est composee de dix enfans, tous sains et bien conformes ! ~~~ Voila ce qu'on admirait dans celle de Mistriss Morland. On y remarquait aussi un trait commun a tous, celui d'une simplicite un peu trop grande peut-etre, dont Catherine n'etait pas plus exempte que les autres.",13,aligned,1086,1393,930,1204,"C'est une belle famille que celle qui est composee de dix enfans, tous sains et bien conformes ! Voila ce qu'on admirait dans celle de Mistriss Morland. On y remarquait aussi un trait commun a tous, celui d'une simplicite un peu trop grande peut-etre, dont Catherine n'etait pas plus exempte que les autres.
","A
family of ten children will be always called a fine family, where there
are heads and arms and legs enough for the number; but the Morlands had
little other right to the word, for they were in general very plain,
and Catherine, for many years of her life, as plain as any. ",['Catherine'],"[('Catherine', 1343, 1352)]","(('Catherine', 1343, 1352),)",Catherine,1343.0,1352.0
booknlp,COREF,80,Sally,2133,2138,17,4,1,M_3,"Her mother was three months in teaching her only to repeat the ""Beggar s Petition""; and after all, her next sister, Sally, could say it better than she did.","Sa mere avait ete trois mois a lui faire repeter son Pater, et malgre cela, sa jeune soeur Sally, le savait beaucoup mieux qu'elle.",7,aligned,2368,2499,2017,2173,"Sa mere avait ete trois mois a lui faire repeter son Pater, et malgre cela, sa jeune soeur Sally, le savait beaucoup mieux qu'elle.
","Her mother was three months in
teaching her only to repeat the ""Beggar s Petition""; and after all, her
next sister, Sally, could say it better than she did. ",['Sortie'],"[(None, None, None)]","((None, None, None),)",Sally,2459.0,2464.0
exp,exp_name,catherine,Catherine,2183,2192,0,4,1,M_4,"Not that Catherine was always stupid by no means; she learnt the fable of ""The Hare and Many Friends"" as quickly as any girl in England.","Toutefois Catherine n'etait ni stupide, ni sans moyens : elle apprit, aussi vite qu'aucune autre jeune personne, la fable du Lievre et de ses amis.",6,aligned,2501,2648,2174,2310,"Toutefois Catherine n'etait ni stupide, ni sans moyens : elle apprit, aussi vite qu'aucune autre jeune personne, la fable du Lievre et de ses amis. ","Not that
Catherine was always stupid by no means; she learnt the fable of ""The
Hare and Many Friends"" as quickly as any girl in England. ",['Catherine'],"[('Catherine', 2511, 2520)]","(('Catherine', 2511, 2520),)",Catherine,2511.0,2520.0
exp,exp_name,catherine,Catherine,2353,2362,0,4,1,M_5,"Her mother wished her to learn music; and Catherine was sure she should like it, for she was very fond of tinkling the keys of the old forlorn spinnet; so, at eight years old she began.","Comme elle s'etait habituee a faire resonner les cordes d'un ancien instrument qu'elle trouva dans un coin de la maison, elle consentit avec joie au desir que sa mere avait de lui faire apprendre la musique. Elle s'en occupa pour la premiere fois a huit ans ; mais elle s'en lassa bien vite.",5,aligned,2649,2940,2311,2496,"Comme elle s'etait habituee a faire resonner les cordes d'un ancien instrument qu'elle trouva dans un coin de la maison, elle consentit avec joie au desir que sa mere avait de lui faire apprendre la musique. Elle s'en occupa pour la premiere fois a huit ans ; mais elle s'en lassa bien vite. ","Her mother
wished her to learn music; and Catherine was sure she should like it,
for she was very fond of tinkling the keys of the old forlorn spinnet;
so, at eight years old she began. ",['Catherine'],"[(None, None, None)]","((None, None, None),)",elle,2655.0,2659.0
exp,exp_name,mrs. morland,Mrs. Morland,2543,2555,15,4,1,M_6,"She learnt a year, and could not bear it; and Mrs. Morland, who did not insist on her daughters being accomplished in spite of incapacity or distaste, allowed her to leave off.","Mistriss Morland, qui ne voulait pas faire de ses filles des virtuoses, en depit de leur gout et de leurs dispositions, donna son consentement au renvoi du maitre, et ce jour fut un des plus heureux de la vie de Catherine.",4,aligned,2941,3163,2497,2673,"Mistriss Morland, qui ne voulait pas faire de ses filles des virtuoses, en depit de leur gout et de leurs dispositions, donna son consentement au renvoi du maitre, et ce jour fut un des plus heureux de la vie de Catherine.
","She learnt a year, and could not bear
it; and Mrs. Morland, who did not insist on her daughters being
accomplished in spite of incapacity or distaste, allowed her to leave
off. ",['Mme Morland'],"[(None, None, None)]","((None, None, None),)",Mistriss Morland,2941.0,2957.0
booknlp,COREF,82,her,2579,2582,15,4,1,M_7,"She learnt a year, and could not bear it; and Mrs. Morland, who did not insist on her daughters being accomplished in spite of incapacity or distaste, allowed her to leave off.","Mistriss Morland, qui ne voulait pas faire de ses filles des virtuoses, en depit de leur gout et de leurs dispositions, donna son consentement au renvoi du maitre, et ce jour fut un des plus heureux de la vie de Catherine.",4,aligned,2941,3163,2497,2673,"Mistriss Morland, qui ne voulait pas faire de ses filles des virtuoses, en depit de leur gout et de leurs dispositions, donna son consentement au renvoi du maitre, et ce jour fut un des plus heureux de la vie de Catherine.
","She learnt a year, and could not bear
it; and Mrs. Morland, who did not insist on her daughters being
accomplished in spite of incapacity or distaste, allowed her to leave
off. ","['elle', 'la', 'lui', 'sa', 'son', 'ses']","[('la', 3143, 3145), ('son', 3067, 3070), ('ses', 2987, 2990)]","(('la', 3143, 3145), ('son', 3067, 3070), ('ses', 2987, 2990))",ses,2987.0,2990.0
exp,exp_name,catherine morland,Catherine Morland,3647,3664,0,5,1,M_9,Such was Catherine Morland at ten.,"Telle etait Catherine Morland, a l'age de dix ans.",21,aligned,4074,4124,3638,3672,"Telle etait Catherine Morland, a l'age de dix ans. ",Such was Catherine Morland at ten. ,['Catherine Morland'],"[('Catherine Morland', 4086, 4103)]","(('Catherine Morland', 4086, 4103),)",Catherine Morland,4086.0,4103.0
exp,exp_name,catherine,Catherine,4099,4108,0,5,1,M_10,"""Catherine grows quite a good-looking girl she is almost pretty today,"" were words which caught her ears now and then; and how welcome were the sounds!",et se dire : << Catherine est tout-a-fait gentille... aujourd'hui elle est presque jolie... >>,23,aligned,4690,4781,4099,4249,et se dire : << Catherine est tout-a-fait gentille... aujourd'hui elle est presque jolie... ,"Catherine grows quite a
good-looking girl she is almost pretty today,"" were words which caught
her ears now and then; and how welcome were the sounds! ",['Catherine'],"[('Catherine', 4706, 4715)]","(('Catherine', 4706, 4715),)",Catherine,4706.0,4715.0
