eng,fr,id,llm alignment result,group
No one who had ever seen Catherine Morland in her infancy would have supposed her born to be an heroine.,"De toutes les personnes qui ont connu Catherine Morland, dans son enfance, il n'en est pas qui aient du la croire nee pour figurer comme heroine de roman.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"Her situation in life, the character of her father and mother, her own person and disposition, were all equally against her.","Le caractere de son pere, celui de sa mere, le sien propre, sa personne, sa position dans la societe, tout enfin semblait la destiner a l'obscurite, qui est le partage de la multitude.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"Her father was a clergyman, without being neglected, or poor, and a very respectable man, though his name was Richard and he had never been handsome.","Son pere, Pasteur respectable, n'avait rien de distingue, ni dans la personne, ni dans les manieres ;","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
He had a considerable independence besides two good livings and he was not in the least addicted to locking up his daughters.,(No direct equivalent in text),"[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",not aligned,1
"Her mother was a woman of useful plain sense, with a good temper, and, what is more remarkable, with a good constitution.","Mistriss Morland joignait le bon sens a la bonhomie ; bien constituee, elle avait eu trois fils avant la naissance de Catherine, et, en depit de la prediction de plusieurs bonnes femmes de son voisinage, qui lui avaient prophetise qu'elle perdrait le jour en le donnant a cette derniere, elle eut encore depuis six autres enfans.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"She had three sons before Catherine was born; and instead of dying in bringing the latter into the world, as anybody might expect, she still lived on lived to have six children more to see them growing up around her, and to enjoy excellent health herself.","La sante parfaite de cette bonne mere, heureuse de voir tous ses enfans croitre autour d'elle, donnait un grand echec a la science des tireuses d'horoscopes.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"A family of ten children will be always called a fine family, where there are heads and arms and legs enough for the number; but the Morlands had little other right to the word, for they were in general very plain, and Catherine, for many years of her life, as plain as any.","C'est une belle famille que celle qui est composee de dix enfans, tous sains et bien conformes ! ~~~ Voila ce qu'on admirait dans celle de Mistriss Morland. On y remarquait aussi un trait commun a tous, celui d'une simplicite un peu trop grande peut-etre, dont Catherine n'etait pas plus exempte que les autres.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"She had a thin awkward figure, a sallow skin without colour, dark lank hair, and strong features so much for her person; and not less unpropitious for heroism seemed her mind.","Dans la plus tendre jeunesse, Catherine avait de la vivacite dans les yeux, mais son teint etait pale ; ses cheveux etaient noirs, sans boucles et peu epais, ses traits gros, ses membres forts ; enfin son corps ne semblait pas, plus que son esprit, destine par la nature a representer, comme je l'ai deja dit, le principal personnage d'un roman.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"She was fond of all boy s plays, and greatly preferred cricket not merely to dolls, but to the more heroic enjoyments of infancy, nursing a dormouse, feeding a canary-bird, or watering a rose-bush.","Elle n'aimait que les jeux des petits garcons ; elle s'amusait plus a tourmenter un hanneton, qu'a faire la toilette de sa poupee ; a elever un moineau, qu'a soigner ces roses, dont les auteurs representent la culture, comme l'amusement cheri des jeunes beautes, desquelles ils nous donnent l'histoire : voulait-elle des fleurs, elle les arrachait plutot qu'elle ne les cueillait, encore etait-ce pour les effeuiller et les eparpiller aussitot.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"Indeed she had no taste for a garden; and if she gathered flowers at all, it was chiefly for the pleasure of mischief at least so it was conjectured from her always preferring those which she was forbidden to take.",(No direct equivalent in text),"[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",not aligned,1
Such were her propensities her abilities were quite as extraordinary.,Elle ne montrait de dispositions pour aucune chose ;,"[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"She never could learn or understand anything before she was taught; and sometimes not even then, for she was often inattentive, and occasionally stupid.","elle ne faisait attention a rien de ce qu'elle entendait, ne s'appliquait a rien de ce qu'on lui apprenait, n'en retenait rien.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"Her mother was three months in teaching her only to repeat the ""Beggar s Petition""; and after all, her next sister, Sally, could say it better than she did.","Sa mere avait ete trois mois a lui faire repeter son Pater, et malgre cela, sa jeune soeur Sally, le savait beaucoup mieux qu'elle.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"Not that Catherine was always stupid by no means; she learnt the fable of ""The Hare and Many Friends"" as quickly as any girl in England.","Toutefois Catherine n'etait ni stupide, ni sans moyens : elle apprit, aussi vite qu'aucune autre jeune personne, la fable du Lievre et de ses amis.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"Her mother wished her to learn music; and Catherine was sure she should like it, for she was very fond of tinkling the keys of the old forlorn spinnet; so, at eight years old she began.","Comme elle s'etait habituee a faire resonner les cordes d'un ancien instrument qu'elle trouva dans un coin de la maison, elle consentit avec joie au desir que sa mere avait de lui faire apprendre la musique. Elle s'en occupa pour la premiere fois a huit ans ; mais elle s'en lassa bien vite.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
"She learnt a year, and could not bear it; and Mrs. Morland, who did not insist on her daughters being accomplished in spite of incapacity or distaste, allowed her to leave off.","Mistriss Morland, qui ne voulait pas faire de ses filles des virtuoses, en depit de leur gout et de leurs dispositions, donna son consentement au renvoi du maitre, et ce jour fut un des plus heureux de la vie de Catherine.","[0, 4, 5, 9, 10, 13, 15, 17, 18, 20]",aligned,1
