eng,fr,id,llm alignment result
No one who had ever seen Catherine Morland in her infancy would have supposed her born to be an heroine.,"De toutes les personnes qui ont connu Catherine Morland, dans son enfance, il n'en est pas qui aient du la croire nee pour figurer comme heroine de roman.",0,aligned
"Writing and accounts she was taught by her father; French by her mother: her proficiency in either was not remarkable, and she shirked her lessons in both whenever she could.",Son pere lui montrait a ecrire et a compter ; sa mere lui apprenait un peu de francais. ~~~ Ses progres etaient tres-faibles ; son principal soin etait d'echapper aux lecons.,1,aligned
"Her taste for drawing was not superior; though whenever she could obtain the outside of a letter from her mother or seize upon any other odd piece of paper, she did what she could in that way, by drawing houses and trees, hens and chickens, all very much like one another.","Son gout pour le dessin n'etait pas plus prononce. Elle ne manquait jamais, a la verite, de prendre les feuilles blanches des lettres que recevait rarement sa mere, et les morceaux de papier qu'elle trouvait, pour crayonner dessus des maisons, des arbres, des poules, etc. ; mais tous ces objets se distinguaient fort peu l'un de l'autre.",2,aligned
The day which dismissed the music-master was one of the happiest of Catherine s life.,(No direct equivalent in text),3,not aligned
"She learnt a year, and could not bear it; and Mrs. Morland, who did not insist on her daughters being accomplished in spite of incapacity or distaste, allowed her to leave off.","Mistriss Morland, qui ne voulait pas faire de ses filles des virtuoses, en depit de leur gout et de leurs dispositions, donna son consentement au renvoi du maitre, et ce jour fut un des plus heureux de la vie de Catherine.",4,aligned
"Her mother wished her to learn music; and Catherine was sure she should like it, for she was very fond of tinkling the keys of the old forlorn spinnet; so, at eight years old she began.","Comme elle s'etait habituee a faire resonner les cordes d'un ancien instrument qu'elle trouva dans un coin de la maison, elle consentit avec joie au desir que sa mere avait de lui faire apprendre la musique. Elle s'en occupa pour la premiere fois a huit ans ; mais elle s'en lassa bien vite.",5,aligned
"Not that Catherine was always stupid by no means; she learnt the fable of ""The Hare and Many Friends"" as quickly as any girl in England.","Toutefois Catherine n'etait ni stupide, ni sans moyens : elle apprit, aussi vite qu'aucune autre jeune personne, la fable du Lievre et de ses amis.",6,aligned
"Her mother was three months in teaching her only to repeat the ""Beggar s Petition""; and after all, her next sister, Sally, could say it better than she did.","Sa mere avait ete trois mois a lui faire repeter son Pater, et malgre cela, sa jeune soeur Sally, le savait beaucoup mieux qu'elle.",7,aligned
"She never could learn or understand anything before she was taught; and sometimes not even then, for she was often inattentive, and occasionally stupid.","elle ne faisait attention a rien de ce qu'elle entendait, ne s'appliquait a rien de ce qu'on lui apprenait, n'en retenait rien.",8,aligned
"What a strange, unaccountable character! for with all these symptoms of profligacy at ten years old, she had neither a bad heart nor a bad temper, was seldom stubborn, scarcely ever quarrelsome, and very kind to the little ones, with few interruptions of tyranny;","Son caractere, quoiqu'assez bizarre, n'etait cependant pas mauvais ; son coeur etait bon. Rarement elle etait entetee, presque jamais querelleuse ; quoique turbulente, et un peu grossiere, elle etait assez douce avec ses jeunes compagnes ;",9,aligned
