eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"On a January evening of the early seventies, Christine Nilsson was singing in Faust at the Academy of Music in New York.","I Un soir de janvier 187..., Christine Nilsson chantait la Marguerite de Faust a l'Academie de Musique de New-York.",0,aligned,1,117,56,176,"I

Un soir de janvier 187..., Christine Nilsson chantait la Marguerite de Faust a l'Academie de Musique de New-York.
","On a January evening of the early seventies, Christine Nilsson was
singing in Faust at the Academy of Music in New York.
"
"Though there was already talk of the erection, in remote metropolitan distances ""above the Forties,"" of a new Opera House which should compete in costliness and splendour with those of the great European capitals, the world of fashion was still content to reassemble every winter in the shabby red and gold boxes of the sociable old Academy.","Il etait deja question de construire, -- bien au loin dans la ville, plus haut meme que la Quarantieme rue, -- un nouvel Opera, rival en richesses et en splendeur de ceux des grandes capitales europeennes. ~~~ Cependant, le monde elegant se plaisait encore a se rassembler, chaque hiver, dans les loges rouges et or quelque peu defraichies de l'accueillante et vieille Academie.",1,aligned,119,493,178,519,"Il etait deja question de construire, -- bien au loin dans la ville, plus haut meme que la Quarantieme rue, -- un nouvel Opera, rival en richesses et en splendeur de ceux des grandes capitales europeennes. Cependant, le monde elegant se plaisait encore a se rassembler, chaque hiver, dans les loges rouges et or quelque peu defraichies de l'accueillante et vieille Academie. ","Though there was already talk of the erection, in remote metropolitan
distances ""above the Forties,"" of a new Opera House which should
compete in costliness and splendour with those of the great European
capitals, the world of fashion was still content to reassemble every
winter in the shabby red and gold boxes of the sociable old Academy.
"
"Conservatives cherished it for being small and inconvenient, and thus keeping out the ""new people"" whom New York was beginning to dread and yet be drawn to; and the sentimental clung to it for its historic associations, and the musical for its excellent acoustics, always so problematic a quality in halls built for the hearing of music.","Les sentimentaux y restaient attaches a cause des souvenirs du passe, les musiciens a cause de son excellente acoustique, -- une reussite toujours hasardeuse, -- et les traditionalistes y tenaient parce que, petite et incommode, elle eloignait, de ce fait meme, les nouveaux riches dont New-York commencait a sentir a la fois l'attraction et le danger.",2,aligned,494,846,520,857,"Les sentimentaux y restaient attaches a cause des souvenirs du passe, les musiciens a cause de son excellente acoustique, -- une reussite toujours hasardeuse, -- et les traditionalistes y tenaient parce que, petite et incommode, elle eloignait, de ce fait meme, les nouveaux riches dont New-York commencait a sentir a la fois l'attraction et le danger.
","Conservatives cherished it for being small and inconvenient, and thus
keeping out the ""new people"" whom New York was beginning to dread and
yet be drawn to; and the sentimental clung to it for its historic
associations, and the musical for its excellent acoustics, always so
problematic a quality in halls built for the hearing of music.
"
"It was Madame Nilsson's first appearance that winter, and what the daily press had already learned to describe as ""an exceptionally brilliant audience"" had gathered to hear her, transported through the slippery, snowy streets in private broughams, in the spacious family landau, or in the humbler but more convenient ""Brown coupe.""","La rentree de Mme Nilsson avait reuni ce que la presse quotidienne designait deja comme un brillant auditoire. ~~~ Par les rues glissantes de verglas, les uns gagnaient l'Opera dans leur coupe, les autres dans le spacieux landau familial, d'autres enfin dans des coupes << Brown, >> plus modestes, mais plus commodes.",3,aligned,848,1161,859,1189,"La rentree de Mme Nilsson avait reuni ce que la presse quotidienne designait deja comme un brillant auditoire. Par les rues glissantes de verglas, les uns gagnaient l'Opera dans leur coupe, les autres dans le spacieux landau familial, d'autres enfin dans des coupes << Brown, >> plus modestes, mais plus commodes. ","It was Madame Nilsson's first appearance that winter, and what the
daily press had already learned to describe as ""an exceptionally
brilliant audience"" had gathered to hear her, transported through the
slippery, snowy streets in private broughams, in the spacious family
landau, or in the humbler but more convenient ""Brown coupe."""
"To come to the Opera in a Brown coupe was almost as honourable a way of arriving as in one's own carriage; and departure by the same means had the immense advantage of enabling one (with a playful allusion to democratic principles) to scramble into the first Brown conveyance in the line, instead of waiting till the cold-and-gin congested nose of one's own coachman gleamed under the portico of the Academy.","Venir a l'Opera dans un coupe << Brown >> etait presque aussi honorable que d'y arriver dans sa voiture privee ; et au depart on y gagnait de pouvoir grimper dans le premier << Brown >> de la file, -- avec une plaisante allusion a ses principes democratiques, -- sans attendre de voir luire sous le portique le nez rougi de froid de son cocher.",4,aligned,1162,1506,1191,1599,"Venir a l'Opera dans un coupe << Brown >> etait presque aussi honorable que d'y arriver dans sa voiture privee ; et au depart on y gagnait de pouvoir grimper dans le premier << Brown >> de la file, -- avec une plaisante allusion a ses principes democratiques, -- sans attendre de voir luire sous le portique le nez rougi de froid de son cocher. ","To come to
the Opera in a Brown coupe was almost as honourable a way of arriving
as in one's own carriage; and departure by the same means had the
immense advantage of enabling one (with a playful allusion to
democratic principles) to scramble into the first Brown conveyance in
the line, instead of waiting till the cold-and-gin congested nose of
one's own coachman gleamed under the portico of the Academy. "
It was one of the great livery-stableman's most masterly intuitions to have discovered that Americans want to get away from amusement even more quickly than they want to get to it.,"C'avait ete le coup de genie de Brown, le fameux loueur de voitures, d'avoir compris que les Americains sont encore plus presses de quitter leurs divertissements que de s'y rendre.",5,aligned,1507,1687,1601,1781,"C'avait ete le coup de genie de Brown, le fameux loueur de voitures, d'avoir compris que les Americains sont encore plus presses de quitter leurs divertissements que de s'y rendre.
","It was
one of the great livery-stableman's most masterly intuitions to have
discovered that Americans want to get away from amusement even more
quickly than they want to get to it.
"
When Newland Archer opened the door at the back of the club box the curtain had just gone up on the garden scene.,"Quand Newland Archer ouvrit la porte de la loge reservee a son cercle, le rideau venait de se lever sur la scene du jardin.",6,aligned,1689,1812,1783,1896,"Quand Newland Archer ouvrit la porte de la loge reservee a son cercle, le rideau venait de se lever sur la scene du jardin. ","When Newland Archer opened the door at the back of the club box the
curtain had just gone up on the garden scene. "
"There was no reason why the young man should not have come earlier, for he had dined at seven, alone with his mother and sister, and had lingered afterward over a cigar in the Gothic library with glazed black-walnut bookcases and finial-topped chairs which was the only room in the house where Mrs. Archer allowed smoking.","Le jeune homme aurait pu arriver plus tot, car il avait dine a sept heures, seul avec sa mere et sa soeur, et avait lentement fume son cigare dans la bibliotheque aux meubles gothiques, la seule piece ou Mrs Archer permettait qu'on fumat.",7,aligned,1813,2051,1898,2220,"Le jeune homme aurait pu arriver plus tot, car il avait dine a sept heures, seul avec sa mere et sa soeur, et avait lentement fume son cigare dans la bibliotheque aux meubles gothiques, la seule piece ou Mrs Archer permettait qu'on fumat. ","There was no reason why
the young man should not have come earlier, for he had dined at seven,
alone with his mother and sister, and had lingered afterward over a
cigar in the Gothic library with glazed black-walnut bookcases and
finial-topped chairs which was the only room in the house where Mrs.
Archer allowed smoking. "
"But, in the first place, New York was a metropolis, and perfectly aware that in metropolises it was ""not the thing"" to arrive early at the opera; and what was or was not ""the thing"" played a part as important in Newland Archer's New York as the inscrutable totem terrors that had ruled the destinies of his forefathers thousands of years ago.","Il s'etait attarde, d'abord, parce que New-York n'etait pas une de ces villes de second rang ou l'on arrive a l'heure a l'Opera, -- et ce << qui se fait >> ou << ne se fait pas >> jouait un role aussi important dans la vie de Newland Archer que les terreurs superstitieuses dans les destinees de ses aieux, des milliers d'annees auparavant.",8,aligned,2052,2392,2222,2564,"Il s'etait attarde, d'abord, parce que New-York n'etait pas une de ces villes de second rang ou l'on arrive a l'heure a l'Opera, -- et ce << qui se fait >> ou << ne se fait pas >> jouait un role aussi important dans la vie de Newland Archer que les terreurs superstitieuses dans les destinees de ses aieux, des milliers d'annees auparavant.
","But, in the first place, New York was a
metropolis, and perfectly aware that in metropolises it was ""not the
thing"" to arrive early at the opera; and what was or was not ""the
thing"" played a part as important in Newland Archer's New York as the
inscrutable totem terrors that had ruled the destinies of his
forefathers thousands of years ago.
"
The second reason for his delay was a personal one.,Le second motif de son retard etait tout personnel.,9,aligned,2394,2445,2566,2617,Le second motif de son retard etait tout personnel. ,The second reason for his delay was a personal one. 
