eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"to feel that the knowledge of ""form"" must be congenital in any one who knew how to wear such good clothes so carelessly and carry such height with so much lounging grace.",(No direct equivalent in text),42,not aligned,-1,-1,9981,10151,,"to feel that the knowledge of ""form"" must be
congenital in any one who knew how to wear such good clothes so
carelessly and carry such height with so much lounging grace. "
II.,(No direct equivalent in text),65,not aligned,-1,-1,14125,14128,,"II.
"
(No direct equivalent in text),"Et cependant, elle n'etait que Catherine Spicer, sans fortune, ni position sociale suffisante pour faire oublier que son pere s'etait publiquement deshonore.",78,not aligned,16457,16614,-1,-1,"Et cependant, elle n'etait que Catherine Spicer, sans fortune, ni position sociale suffisante pour faire oublier que son pere s'etait publiquement deshonore.
",
"Therefore, for totally different reasons, her food was as poor as Mrs. Archer's, and her wines did nothing to redeem it.",(No direct equivalent in text),91,not aligned,-1,-1,18874,18994,,"Therefore, for totally different
reasons, her food was as poor as Mrs. Archer's, and her wines did
nothing to redeem it. "
"and that only May Welland betrayed, by a heightened colour (perhaps due to the knowledge that he was watching her) a sense of the gravity of the situation.","et que May Welland seule, --, peut-etre parce qu'elle se sentait regardee par son fiance, -- semblait se rendre compte de la gravite de l'incident.",93,aligned,-1,-1,19748,19903,,"and that only May Welland betrayed, by a heightened colour (perhaps due
to the knowledge that he was watching her) a sense of the gravity of
the situation. "
(No direct equivalent in text),"De plus, la salle de bal formait partie de la maison.",163,not aligned,31631,31684,-1,-1,"De plus, la salle de bal formait partie de la maison. ",
"""Beaufort, this is a rare favour!""","""Beaufort !  voila une rare faveur !""",277,aligned,-1,-1,45506,45538,,"Beaufort,
this is a rare favour!"""
"and the young man himself mentally added: ""And she ought to know that a man who's just engaged doesn't spend his time calling on married women.'",(No direct equivalent in text),291,not aligned,-1,-1,48063,48207,,"and the young man himself mentally added:  ""And she ought
to know that a man who's just engaged doesn't spend his time calling on
married women. "
Mrs. Archer ignored the allusion to the ancestral cuisine.,"Mrs Archer ne releva pas cette allusion a la cuisine ancestrale,",369,aligned,61980,62044,-1,-1,"Mrs Archer ne releva pas cette allusion a la cuisine ancestrale, ",
Untrained human nature was not frank and innocent; it was full of the twists and defences of an instinctive guile.,(No direct equivalent in text),449,not aligned,-1,-1,71005,71119,,"Untrained human nature was not frank and
innocent; it was full of the twists and defences of an instinctive
guile. "
"And he felt himself oppressed by this creation of factitious purity, so cunningly manufactured by a conspiracy of mothers and aunts and grandmothers and long-dead ancestresses, because it was supposed to be what he wanted, what he had a right to, in order that he might exercise his lordly pleasure in smashing it like an image made of snow.",(Partially covered by previous French sentence),453,aligned,-1,-1,71121,71462,,"And he felt himself oppressed by this creation of factitious
purity, so cunningly manufactured by a conspiracy of mothers and aunts
and grandmothers and long-dead ancestresses, because it was supposed to
be what he wanted, what he had a right to, in order that he might
exercise his lordly pleasure in smashing it like an image made of snow.
"
But when he had gone the brief round of this soul he returned discouraged by the thought that all this frankness and innocence were only an artificial product.,"Neanmoins, ayant fait pour la centieme fois le tour de cette ame succincte, il revint decourage a la pensee que cette purete factice, si adroitement fabriquee par la conspiration des meres, des tantes, des grand'meres, jusqu'aux lointaines aieules puritaines, n'existat que pour satisfaire ses gouts personnels, pour qu'il put exercer sur elle son droit de seigneur, et la briser comme une image de neige.",454,aligned,73088,73493,-1,-1,"Neanmoins, ayant fait pour la centieme fois le tour de cette ame succincte, il revint decourage a la pensee que cette purete factice, si adroitement fabriquee par la conspiration des meres, des tantes, des grand'meres, jusqu'aux lointaines aieules puritaines, n'existat que pour satisfaire ses gouts personnels, pour qu'il put exercer sur elle son droit de seigneur, et la briser comme une image de neige. ",
"(She had advanced far enough to join him in ridiculing the Idyls of the King, but not to feel the beauty of Ulysses and the Lotus Eaters.)",(No direct equivalent in text),456,not aligned,-1,-1,70482,70618,,"She had
advanced far enough to join him in ridiculing the Idyls of the King,
but not to feel the beauty of Ulysses and the Lotus Eaters.)"
"He's simply using Madame Olenska as a lightning-rod; I've seen him try the same thing often before.""",(No direct equivalent in text),534,not aligned,-1,-1,86834,86933,,"He's simply using Madame Olenska as a
lightning-rod; I've seen him try the same thing often before."""
"They were the arbiters of fashion, the Court of last Appeal, and they knew it, and bowed to their fate.",(No direct equivalent in text),547,not aligned,-1,-1,87441,87544,,"They were the arbiters of fashion, the Court of last Appeal, and they
knew it, and bowed to their fate. "
(No direct equivalent in text),"'Elle se leva, murmurant de hatifs remerciements.'",577,not aligned,92671,92719,-1,-1,"Elle se leva, murmurant de hatifs remerciements. ",
"It was one of the misguided Medora's many peculiarities to flout the unalterable rules that regulated American mourning, and when she stepped from the steamer her family were scandalised to see that the crape veil she wore for her own brother was seven inches shorter than those of her sisters-in-law.","C'etait une des aberrations de Medora que d'en prendre a son aise avec les rites du deuil americain, si strictes a cette epoque, et quand elle debarqua du paquebot apres la mort des parents d'Ellen, sa famille fut scandalisee de voir que le voile de crepe qu'elle portait pour le deuil de son frere etait de plusieurs centimetres plus court que celui de ses belles-soeurs.",588,aligned,95428,95800,-1,-1,"C'etait une des aberrations de Medora que d'en prendre a son aise avec les rites du deuil americain, si strictes a cette epoque, et quand elle debarqua du paquebot apres la mort des parents d'Ellen, sa famille fut scandalisee de voir que le voile de crepe qu'elle portait pour le deuil de son frere etait de plusieurs centimetres plus court que celui de ses belles-soeurs. ",
"It was, perhaps, Archer reflected, because her early vivacity had disappeared; because she was so quiet--quiet in her movements, her voice, and the tones of her low-pitched voice.",(No direct equivalent in text),604,not aligned,-1,-1,96610,96789,,"It was,
perhaps, Archer reflected, because her early vivacity had disappeared;
because she was so quiet--quiet in her movements, her voice, and the
tones of her low-pitched voice. "
"""As much as a man can be.""",(No direct equivalent in text),639,not aligned,-1,-1,101710,101734,,"As much as a man can be."""
"It gave him an odd sensation to reflect that, but for the Countess's arrival, he might have been, if not still a free man, at least a man less irrevocably pledged.",(No direct equivalent in text),679,not aligned,-1,-1,108444,108607,,"It gave him an odd sensation to reflect that, but
for the Countess's arrival, he might have been, if not still a free
man, at least a man less irrevocably pledged. "
"But May had willed it so, and he felt himself somehow relieved of further responsibility--and therefore at liberty, if he chose, to call on her cousin without telling her.",(No direct equivalent in text),680,not aligned,-1,-1,108609,108780,,"But May had willed it
so, and he felt himself somehow relieved of further responsibility--and
therefore at liberty, if he chose, to call on her cousin without
telling her.
"
"He had been before in drawing-rooms hung with red damask, with pictures ""of the Italian school""; what struck him was the way in which Medora Manson's shabby hired house, with its blighted background of pampas grass and Rogers statuettes, had, by a turn of the hand, and the skilful use of a few properties, been transformed into something intimate, ""foreign,"" subtly suggestive of old romantic scenes and sentiments.","(No direct equivalent in text, but partially covered by the previous sentence)",713,aligned,-1,-1,111813,112229,,"He had been
before in drawing-rooms hung with red damask, with pictures ""of the
Italian school""; what struck him was the way in which Medora Manson's
shabby hired house, with its blighted background of pampas grass and
Rogers statuettes, had, by a turn of the hand, and the skilful use of a
few properties, been transformed into something intimate, ""foreign,""
subtly suggestive of old romantic scenes and sentiments. "
What would she think if she found him sitting there with the air of intimacy implied by waiting alone in the dusk at a lady's fireside?,(No direct equivalent in text),717,not aligned,-1,-1,111324,111459,,"What would she think if she
found him sitting there with the air of intimacy implied by waiting
alone in the dusk at a lady's fireside?
"
"but he was being too deeply drawn into the atmosphere of the room, which was her atmosphere, and to give advice of that sort would have been like telling some one who was bargaining for attar-of-roses in Samarkande that one should always be provided with arctics for a New York winter.","mais il etait trop penetre par l'atmosphere de la chambre, qui etait son atmosphere a elle, pour risquer cet avis. ~~~ C'eut ete comme de dire a quelqu'un, au moment ou il achete des parfums a Samarkande, qu'il est necessaire de s'approvisionner de vetements chauds pour passer l'hiver a New-York.",792,aligned,122118,122411,-1,-1,"mais il etait trop penetre par l'atmosphere de la chambre, qui etait son atmosphere a elle, pour risquer cet avis. C'eut ete comme de dire a quelqu'un, au moment ou il achete des parfums a Samarkande, qu'il est necessaire de s'approvisionner de vetements chauds pour passer l'hiver a New-York. ",
On the chimney were long spills for lighting them.,(No direct equivalent in text),795,not aligned,-1,-1,120120,120170,,"On the chimney were
long spills for lighting them.
"
"She considered the idea impartially. ""They're all a little vexed with me for setting up for myself--poor Granny especially. She wanted to keep me with her; but I had to be free--""","Elles m'en veulent un peu de m'etre emancipee, ma pauvre grand'mere surtout. Elle aurait voulu me garder avec elle ; mais j'avais besoin d'etre libre.",803,aligned,-1,-1,121409,121589,,"She considered the idea
impartially.  ""They're all a little vexed with me for setting up for
myself--poor Granny especially.  She wanted to keep me with her; but I
had to be free--"""
So close to the powers of evil she must have lived that she still breathed more freely in their air.,(No direct equivalent in text),810,not aligned,-1,-1,122782,122882,,"So close to the
powers of evil she must have lived that she still breathed more freely
in their air. "
"But just at first don't let go of your old friends' hands: I mean the older women, your Granny Mingott, Mrs. Welland, Mrs. van der Luyden. They like and admire you--they want to help you.""","'-- mais tout d'abord, gardez l'appui de vos vieux amis, des femmes comme votre grand'mere Mingott, Mrs Welland, Mrs van der Luyden. Elles vous aiment, vous admirent, desirent vous aider.'",812,aligned,-1,-1,123074,123262,,"But just at first don't let go of
your old friends' hands: I mean the older women, your Granny Mingott,
Mrs. Welland, Mrs. van der Luyden.  They like and admire you--they want
to help you."""
"Archer winced at the joining of the names, and then, with a quick readjustment, understood, sympathised and pitied.",(No direct equivalent in text),815,not aligned,-1,-1,122665,122780,,"Archer winced at the joining of the names, and then, with a quick
readjustment, understood, sympathised and pitied. "
"""Ah--they would!""","Ainsi avait fait Lawrence Lefferts, lorsqu'il s'est fiance avec la pauvre Gertrude. (No direct equivalent in text, but this sentence sets up the following English sentence)",870,aligned,-1,-1,128894,128909,,"Ah--they would!"""
But how many generations of the women who had gone to her making had descended bandaged to the family vault?,(No direct equivalent in text),891,not aligned,-1,-1,130820,130928,,"But how many
generations of the women who had gone to her making had descended
bandaged to the family vault? "
"""Never, if we won't let them, I suppose,"" he mused, and recalled his mad outburst to Mr. Sillerton Jackson: ""Women ought to be as free as we are--""",(No direct equivalent in text),924,not aligned,-1,-1,130553,130698,,"Never, if we won't let them, I suppose,"" he mused, and recalled his
mad outburst to Mr. Sillerton Jackson: ""Women ought to be as free as we
are--"""
"He shivered a little, remembering some of the new ideas in his scientific books, and the much-cited instance of the Kentucky cave-fish, which had ceased to develop eyes because they had no use for them.",(No direct equivalent in text),926,not aligned,-1,-1,130930,131132,,"He shivered a little, remembering some
of the new ideas in his scientific books, and the much-cited instance
of the Kentucky cave-fish, which had ceased to develop eyes because
they had no use for them. "
"It would presently be his task to take the bandage from this young woman's eyes, and bid her look forth on the world.",(No direct equivalent in text),927,not aligned,-1,-1,130701,130818,,"It would presently be his task to take the bandage from this young
woman's eyes, and bid her look forth on the world. "
"What if, when he had bidden May Welland to open hers, they could only look out blankly at blankness?",(No direct equivalent in text),938,not aligned,-1,-1,131134,131234,,"What if, when he had bidden May Welland to
open hers, they could only look out blankly at blankness?
"
"""She raised a troubled brow from her needlework to ask: 'Has Janey told you?'""","'Elle leva sur lui un regard trouble, et demanda : -- Janey t'a dit ?'",966,aligned,140119,140188,-1,-1,"Elle leva sur lui un regard trouble, et demanda :

-- Janey t'a dit ?
",
"""He tried to keep his tone as measured as her own. 'But I can't take it very seriously.'""",'-- Il sourit. -- Mais je ne trouve pas que ce soit tres serieux.',971,aligned,140198,140262,-1,-1,"-- Il sourit. -- Mais je ne trouve pas que ce soit tres serieux.
",
"""'Consider--!'""",'~~~',977,aligned,-1,-1,138228,138239,,"Consider--!"""
her son groaned.,(No direct equivalent in text),979,not aligned,-1,-1,138849,138865,,"her son groaned.
"
"A dead silence greeted this unusual flow of words from Mr. van der Luyden. Mrs. Archer drew her embroidery out of the basket into which she had nervously tumbled it, and Newland, leaning against the chimney-place and twisting a humming-bird-feather screen in his hand, saw Janey's gaping countenance lit up by the coming of the second lamp.",(No direct equivalent in text),1000,not aligned,-1,-1,141951,142292,,"A dead silence greeted this unusual flow of words from Mr. van der
Luyden.  Mrs. Archer drew her embroidery out of the basket into which
she had nervously tumbled it, and Newland, leaning against the
chimney-place and twisting a humming-bird-feather screen in his hand,
saw Janey's gaping countenance lit up by the coming of the second lamp.
"
