eng,fr,id,llm alignment result
"On a January evening of the early seventies, Christine Nilsson was singing in Faust at the Academy of Music in New York.","I Un soir de janvier 187..., Christine Nilsson chantait la Marguerite de Faust a l'Academie de Musique de New-York.",0,aligned
"Though there was already talk of the erection, in remote metropolitan distances ""above the Forties,"" of a new Opera House which should compete in costliness and splendour with those of the great European capitals, the world of fashion was still content to reassemble every winter in the shabby red and gold boxes of the sociable old Academy.","Il etait deja question de construire, -- bien au loin dans la ville, plus haut meme que la Quarantieme rue, -- un nouvel Opera, rival en richesses et en splendeur de ceux des grandes capitales europeennes. ~~~ Cependant, le monde elegant se plaisait encore a se rassembler, chaque hiver, dans les loges rouges et or quelque peu defraichies de l'accueillante et vieille Academie.",1,aligned
"Conservatives cherished it for being small and inconvenient, and thus keeping out the ""new people"" whom New York was beginning to dread and yet be drawn to; and the sentimental clung to it for its historic associations, and the musical for its excellent acoustics, always so problematic a quality in halls built for the hearing of music.","Les sentimentaux y restaient attaches a cause des souvenirs du passe, les musiciens a cause de son excellente acoustique, -- une reussite toujours hasardeuse, -- et les traditionalistes y tenaient parce que, petite et incommode, elle eloignait, de ce fait meme, les nouveaux riches dont New-York commencait a sentir a la fois l'attraction et le danger.",2,aligned
"It was Madame Nilsson's first appearance that winter, and what the daily press had already learned to describe as ""an exceptionally brilliant audience"" had gathered to hear her, transported through the slippery, snowy streets in private broughams, in the spacious family landau, or in the humbler but more convenient ""Brown coupe.""","La rentree de Mme Nilsson avait reuni ce que la presse quotidienne designait deja comme un brillant auditoire. ~~~ Par les rues glissantes de verglas, les uns gagnaient l'Opera dans leur coupe, les autres dans le spacieux landau familial, d'autres enfin dans des coupes << Brown, >> plus modestes, mais plus commodes.",3,aligned
"To come to the Opera in a Brown coupe was almost as honourable a way of arriving as in one's own carriage; and departure by the same means had the immense advantage of enabling one (with a playful allusion to democratic principles) to scramble into the first Brown conveyance in the line, instead of waiting till the cold-and-gin congested nose of one's own coachman gleamed under the portico of the Academy.","Venir a l'Opera dans un coupe << Brown >> etait presque aussi honorable que d'y arriver dans sa voiture privee ; et au depart on y gagnait de pouvoir grimper dans le premier << Brown >> de la file, -- avec une plaisante allusion a ses principes democratiques, -- sans attendre de voir luire sous le portique le nez rougi de froid de son cocher.",4,aligned
It was one of the great livery-stableman's most masterly intuitions to have discovered that Americans want to get away from amusement even more quickly than they want to get to it.,"C'avait ete le coup de genie de Brown, le fameux loueur de voitures, d'avoir compris que les Americains sont encore plus presses de quitter leurs divertissements que de s'y rendre.",5,aligned
When Newland Archer opened the door at the back of the club box the curtain had just gone up on the garden scene.,"Quand Newland Archer ouvrit la porte de la loge reservee a son cercle, le rideau venait de se lever sur la scene du jardin.",6,aligned
"There was no reason why the young man should not have come earlier, for he had dined at seven, alone with his mother and sister, and had lingered afterward over a cigar in the Gothic library with glazed black-walnut bookcases and finial-topped chairs which was the only room in the house where Mrs. Archer allowed smoking.","Le jeune homme aurait pu arriver plus tot, car il avait dine a sept heures, seul avec sa mere et sa soeur, et avait lentement fume son cigare dans la bibliotheque aux meubles gothiques, la seule piece ou Mrs Archer permettait qu'on fumat.",7,aligned
"But, in the first place, New York was a metropolis, and perfectly aware that in metropolises it was ""not the thing"" to arrive early at the opera; and what was or was not ""the thing"" played a part as important in Newland Archer's New York as the inscrutable totem terrors that had ruled the destinies of his forefathers thousands of years ago.","Il s'etait attarde, d'abord, parce que New-York n'etait pas une de ces villes de second rang ou l'on arrive a l'heure a l'Opera, -- et ce << qui se fait >> ou << ne se fait pas >> jouait un role aussi important dans la vie de Newland Archer que les terreurs superstitieuses dans les destinees de ses aieux, des milliers d'annees auparavant.",8,aligned
The second reason for his delay was a personal one.,Le second motif de son retard etait tout personnel.,9,aligned
"He had dawdled over his cigar because he was at heart a dilettante, and thinking over a pleasure to come often gave him a subtler satisfaction than its realisation.","Il avait flane en fumant parce qu'etant au fond un dilettante, savourer d'avance un plaisir lui donnait souvent une satisfaction plus subtile que le plaisir meme.",10,aligned
"This was especially the case when the pleasure was a delicate one, as his pleasures mostly were; and on this occasion the moment he looked forward to was so rare and exquisite in quality that--well, if he had timed his arrival in accord with the prima donna's stage-manager he could not have entered the Academy at a more significant moment than just as she was singing: ""He loves me--he loves me not--HE LOVES ME!--"" and sprinkling the falling daisy petals with notes as clear as dew.","Cela etait vrai surtout quand il s'agissait d'un plaisir delicat, -- comme l'etaient du reste la plupart des siens, -- et, dans cette occasion, le moment qu'il escomptait etait d'une qualite si rare et si exquise que, s'il avait pu fixer avec le regisseur la minute precise de son arrivee, il n'aurait pu choisir un moment plus propice que celui ou la prima-donna chantait : << Il m'aime, -- il ne m'aime pas, -- il m'aime, >> en laissant tomber avec les petales d'une marguerite des notes limpides comme des gouttes de rosee.",11,aligned
"She sang, of course, ""M'ama!"" ~~~ and not ""he loves me,"" since an unalterable and unquestioned law of the musical world required that the German text of French operas sung by Swedish artists should be translated into Italian for the clearer understanding of English-speaking audiences.","Naturellement, elle chantait << M'ama, >> et non << il m'aime, >> puisque une loi immuable et incontestee du monde musical voulait que le texte allemand d'un opera francais, chante par des artistes suedois, fut traduit en italien, afin d'etre plus facilement compris d'un public de langue anglaise.",12,aligned
"This seemed as natural to Newland Archer as all the other conventions on which his life was moulded: such as the duty of using two silver-backed brushes with his monogram in blue enamel to part his hair, and of never appearing in society without a flower (preferably a gardenia) in his buttonhole.","Ceci semblait aussi naturel a Newland Archer que toutes les autres conventions sur lesquelles sa vie etait fondee : telles que le devoir de se servir de deux brosses a dos d'argent, chiffrees d'email bleu, pour faire sa raie, et de ne jamais paraitre dans le monde sans une fleur a la boutonniere, de preference un gardenia.",13,aligned
