eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,check
exp,exp_name,christine nilsson,Christine Nilsson,Christine Nilsson,101,118,31,48,0,6,1,M_0,correct
exp,exp_name,madame nilsson,Madame Nilsson,Mme Nilsson,866,880,862,873,0,8,1,M_1,correct
booknlp,COREF,213,her,,1032,1035,,,0,8,1,M_2,wrong
exp,exp_name,newland archer,Newland Archer,Newland Archer,1788,1802,1695,1709,35,9,1,M_3,wrong
exp,exp_name,mrs. archer,Mrs. Archer,Mrs Archer,2192,2203,2017,2027,25,9,1,M_4,wrong
exp,exp_name,newland archer,Newland Archer,Newland Archer,2434,2448,2278,2292,35,9,1,M_5,correct
exp,exp_name,newland archer,Newland Archer,Newland Archer,3582,3596,3466,3480,35,11,1,M_6,correct
exp,exp_name,newland archer,Newland Archer,Newland Archer,4219,4233,4157,4171,35,13,1,M_7,wrong
exp,exp_name,mrs. manson mingott,Mrs. Manson Mingott,celle,4404,4423,4251,4256,36,13,1,M_8,correct
exp,exp_name,mrs. lovell mingott,Mrs. Lovell Mingott,Mrs Lovell Mingott,4686,4705,4539,4557,30,13,1,M_9,wrong
exp,exp_name,mrs. welland,Mrs. Welland,Mrs Welland,4725,4737,4576,4587,26,13,1,M_10,correct
exp,exp_name,madame nilsson,Madame Nilsson,Mme Nilsson,4871,4885,4778,4789,0,13,1,M_11,correct
exp,exp_name,newland archer,Newland Archer,Newland Archer,5290,5304,5207,5221,35,13,1,M_12,correct
exp,exp_name,madame nilsson,Madame Nilsson,Elle,6241,6255,6162,6166,0,15,1,M_13,correct
booknlp,COREF,213,her,sa,6404,6407,6229,6231,0,15,1,M_14,wrong
exp,exp_name,newland archer,Newland Archer,Newland Archer,6715,6729,6635,6649,35,16,1,M_15,correct
exp,exp_name,may welland,May Welland,May Welland,7299,7310,7239,7250,15,16,1,M_16,correct
exp,exp_name,newland archer,Newland Archer,Newland Archer,7623,7637,7549,7563,35,17,1,M_17,wrong
exp,exp_name,newland archer,Newland Archer,,8878,8892,,,35,18,1,M_18,wrong
booknlp,COREF,224,my,,9429,9431,,,11,19,1,M_19,wrong
exp,exp_name,lawrence lefferts,Lawrence Lefferts,Lawrence Lefferts,9449,9466,9420,9437,11,19,1,M_20,correct
booknlp,COREF,224,his,sa,9476,9479,9450,9452,11,19,1,M_21,correct
exp,exp_name,lawrence lefferts,Lawrence Lefferts,Lawrence Lefferts,9523,9540,9476,9493,11,19,1,M_22,correct
booknlp,COREF,224,He,Il,9607,9609,9594,9596,11,19,1,M_23,correct
booknlp,COREF,224,his,sa,9754,9757,9847,9849,11,19,1,M_24,correct
booknlp,COREF,224,him,sa,9813,9816,10066,10068,11,19,1,M_25,wrong
booknlp,COREF,224,his,son,9836,9839,9963,9966,11,19,1,M_26,correct
booknlp,COREF,224,his,sa,9871,9874,9991,9993,11,19,1,M_27,correct
booknlp,COREF,224,his,sa,9952,9955,10066,10068,11,19,1,M_28,correct
booknlp,COREF,224,him,Larry Lefferts,10189,10192,10232,10246,11,19,1,M_29,wrong
exp,exp_name,lefferts,Lefferts,Lefferts,10304,10312,10238,10246,11,19,1,M_30,correct
booknlp,COREF,224,his,son,10377,10380,10322,10325,11,19,1,M_31,correct
booknlp,COREF,224,My,,10418,10420,,,11,20,1,M_32,wrong
booknlp,COREF,224,he,il,10427,10429,10384,10386,11,20,1,M_33,correct
booknlp,COREF,224,his,sa,10456,10459,10417,10419,11,20,1,M_34,correct
exp,exp_name,sillerton jackson,Sillerton Jackson,Sillerton Jackson,10473,10490,10439,10456,22,20,1,M_35,wrong
exp,exp_name,newland archer,Newland Archer,Newland Archer,10493,10507,10459,10473,35,21,1,M_36,correct
exp,exp_name,lefferts,Lefferts,Lefferts,10519,10527,10494,10502,11,21,1,M_37,correct
booknlp,COREF,224,his,son,10561,10564,10530,10533,11,21,1,M_38,correct
exp,exp_name,old mrs. mingott,old Mrs. Mingott,Mrs Mingott,10631,10647,10615,10626,36,21,1,M_39,wrong
