eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
CHAPTER I. Down the Rabbit-Hole,AU FOND DU TERRIER.,0,aligned,21,40,0,31,"AU FOND DU TERRIER.
","CHAPTER I. Down the Rabbit-Hole
"
"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ;",1,aligned,43,143,34,138,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; ","Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: "
"once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,","une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~",2,aligned,144,266,139,252,"une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! <","once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, "
"""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","<< La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !'",3,aligned,269,348,254,335,"La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries ! ","and what is the use of a book,"" thought Alice ""without pictures or conversations?"""
"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",">> Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.",4,aligned,354,653,338,627,"Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.
","So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.
"
"There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear!","Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah !",5,aligned,657,794,629,773,"Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah ! ","There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear! "
"Oh dear! ~~~ I shall be late!""",j'arriverai trop tard !,6,aligned,795,818,774,799,j'arriverai trop tard ! ,"Oh dear! I shall be late!"""
"(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually _took a watch out of its waistcoat-pocket_, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.",">> (En y songeant apres, il lui sembla bien qu'elle aurait du s'en etonner, mais sur le moment cela lui avait paru tout naturel.) ~~~ Cependant, quand le Lapin vint a tirer une montre de son gousset, la regarda, puis se prit a courir de plus belle, Alice sauta sur ses pieds, frappee de cette idee que jamais elle n'avait vu de lapin avec un gousset et une montre. ~~~ Entrainee par la curiosite elle s'elanca sur ses traces a travers le champ, et arriva tout juste a temps pour le voir disparaitre dans un large trou au pied d'une haie.",7,aligned,823,1348,802,1368,"En y songeant apres, il lui sembla bien qu'elle aurait du s'en etonner, mais sur le moment cela lui avait paru tout naturel.) Cependant, quand le Lapin vint a tirer une montre de son gousset, la regarda, puis se prit a courir de plus belle, Alice sauta sur ses pieds, frappee de cette idee que jamais elle n'avait vu de lapin avec un gousset et une montre. Entrainee par la curiosite elle s'elanca sur ses traces a travers le champ, et arriva tout juste a temps pour le voir disparaitre dans un large trou au pied d'une haie.
","when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually _took a watch out of its waistcoat-pocket_, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.
"
"In another moment down went Alice after it, never once considering how in the world she was to get out again.","Un instant apres, Alice etait a la poursuite du Lapin dans le terrier, sans songer comment elle en sortirait.",8,aligned,1352,1461,1370,1479,"Un instant apres, Alice etait a la poursuite du Lapin dans le terrier, sans songer comment elle en sortirait.
","In another moment down went Alice after it, never once considering how in the world she was to get out again.
"
"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.","Pendant un bout de chemin le trou allait tout droit comme un tunnel, puis tout a coup il plongeait perpendiculairement d'une facon si brusque qu'Alice se sentit tomber comme dans un puits d'une grande profondeur, avant meme d'avoir pense a se retenir.",9,aligned,1465,1716,1481,1700,"Pendant un bout de chemin le trou allait tout droit comme un tunnel, puis tout a coup il plongeait perpendiculairement d'une facon si brusque qu'Alice se sentit tomber comme dans un puits d'une grande profondeur, avant meme d'avoir pense a se retenir.
","The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.
"
"""Well!"" thought Alice to herself, ""after such a fall as this, I shall think nothing of tumbling down stairs!","<< Certes, >> dit Alice, << apres une chute pareille je ne me moquerai pas mal de degringoler l'escalier !'",10,aligned,2575,2678,2420,2527,"Certes, >> dit Alice, << apres une chute pareille je ne me moquerai pas mal de degringoler l'escalier ! ","Well!"" thought Alice to herself, ""after such a fall as this, I shall think nothing of tumbling down stairs! "
"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.","De deux choses l'une, ou le puits etait vraiment bien profond, ou elle tombait bien doucement ; car elle eut tout le loisir, dans sa chute, de regarder autour d'elle et de se demander avec etonnement ce qu'elle allait devenir.",11,aligned,1720,1946,1702,1864,"De deux choses l'une, ou le puits etait vraiment bien profond, ou elle tombait bien doucement ; car elle eut tout le loisir, dans sa chute, de regarder autour d'elle et de se demander avec etonnement ce qu'elle allait devenir. ","Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next. "
"then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves;","Ensuite elle porta les yeux sur les parois du puits, et s'apercut qu'elles etaient garnies d'armoires et d'etageres ;",12,aligned,2071,2188,1969,2077,"Ensuite elle porta les yeux sur les parois du puits, et s'apercut qu'elles etaient garnies d'armoires et d'etageres ; ","then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; "
"First, she tried to look down and make out what she was coming to, but it was too dark to see anything;",D'abord elle regarda dans le fond du trou pour savoir ou elle allait ; mais il y faisait bien trop sombre pour y rien voir.,13,aligned,1947,2070,1865,1968,D'abord elle regarda dans le fond du trou pour savoir ou elle allait ; mais il y faisait bien trop sombre pour y rien voir. ,"First, she tried to look down and make out what she was coming to, but it was too dark to see anything; "
"she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.",elle n'osait le laisser tomber dans la crainte de tuer quelqu'un ; aussi s'arrangea-t-elle de maniere a le deposer en passant dans une des armoires.,14,aligned,2420,2568,2276,2417,"elle n'osait le laisser tomber dans la crainte de tuer quelqu'un ; aussi s'arrangea-t-elle de maniere a le deposer en passant dans une des armoires.
","she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.
"
"She took down a jar from one of the shelves as she passed; it was labelled ""ORANGE MARMALADE"", but to her great disappointment it was empty:","En passant elle prit sur un rayon un pot de confiture portant cette etiquette, << MARMELADE D'ORANGES. >> Mais, a son grand regret, le pot etait vide :",15,aligned,2268,2419,2135,2275,"En passant elle prit sur un rayon un pot de confiture portant cette etiquette, << MARMELADE D'ORANGES. >> Mais, a son grand regret, le pot etait vide : ","She took down a jar from one of the shelves as she passed; it was labelled ""ORANGE MARMALADE"", but to her great disappointment it was empty: "
here and there she saw maps and pictures hung upon pegs.,"ca et la, elle vit pendues a des clous des cartes geographiques et des images.",16,aligned,2189,2267,2078,2134,"ca et la, elle vit pendues a des clous des cartes geographiques et des images. ",here and there she saw maps and pictures hung upon pegs. 
How brave they'll all think me at home!,Comme ils vont me trouver brave chez nous !,17,aligned,2679,2722,2528,2567,Comme ils vont me trouver brave chez nous ! ,How brave they'll all think me at home! 
"Why, I wouldn't say anything about it, even if I fell off the top of the house!""",Je tomberais du haut des toits que je ne ferais pas entendre une plainte.,18,aligned,2723,2796,2568,2647,Je tomberais du haut des toits que je ne ferais pas entendre une plainte. ,"Why, I wouldn't say anything about it, even if I fell off the top of the house!"""
(Which was very likely true.),>> (Ce qui etait bien probable.),19,aligned,2801,2828,2650,2677,Ce qui etait bien probable.),Which was very likely true.)
"Down, down, down.","Tombe, tombe, tombe !",20,aligned,2832,2853,2680,2697,"Tombe, tombe, tombe ! ","Down, down, down. "
she said aloud.,dit-elle tout haut.,21,aligned,2957,2976,2789,2804,dit-elle tout haut. ,she said aloud. 
