eng_text,fr_text,eng_context,fr_context,eng_mID
the Rabbit,,"the Rabbit-Hole


Alice was be",,M_0
she,,she had peeped into the book h,,M_3
her,,her own mind (as well as she c,,M_7
her,,her feel very sleepy and stupi,,M_9
her,,"her.

There was nothing so _ve",,M_10
she,,she thought it over afterwards,,M_15
her,,her that she ought to have won,,M_16
she,,she ought to have wondered at ,,M_17
time,,time it all seemed quite natur,,M_18
her,,"her feet, for it flashed acros",,M_21
her,,her mind that she had never be,,M_22
she,,she had never before seen a ra,,M_23
she,,she ran across the field after,,M_24
time,,time to see it pop down a larg,,M_25
it,,it pop down a large rabbit-hol,,M_26
The rabbit,,The rabbit-hole went straight ,,M_29
she,,she found herself falling down,,M_32
herself,,"herself, ""after such a fall as",,M_49
me,,"me at home! Why, I wouldn't sa",,M_51
time,,"time?"" she said aloud. ""I must",,M_56
she,,"she said aloud. ""I must be get",,M_57
me,,me see: that would be four tho,,M_59
I,,"I think--"" (for, you see, Alic",,M_60
her,,"her lessons in the schoolroom,",,M_62
her,,"her knowledge, as there was no",,M_63
her,,"her, still it was good practic",,M_64
I,,I wonder what Latitude or Long,,M_65
I,,"I've got to?"" (Alice had no id",,M_66
I,,I wonder if I shall fall right,,M_69
I,,I shall fall right _through_ t,,M_70
the cat,,"the cat.) ""I hope they'll reme",,M_84
I,,I hope they'll remember her sa,,M_85
her,,her saucer of milk at tea-time,,M_86
time,,time. Dinah my dear! I wish yo,,M_87
Dinah my dear,,Dinah my dear! I wish you were,,M_88
I,,I wish you were down here with,,M_89
I,,"I wonder?"" And here Alice bega",,M_95
herself,,"herself, in a dreamy sort of w",,M_97
she,,she couldn't answer either que,,M_98
she,,she put it. She felt that she ,,M_99
She,,She felt that she was dozing o,,M_100
her,,"her very earnestly, ""Now, Dina",,M_104
she,,she jumped up on to her feet i,,M_110
her,,her feet in a moment: she look,,M_111
she,,"she looked up, but it was all ",,M_112
her,,"her was another long passage, ",,M_113
my,,"my ears and whiskers, how late",,M_117
She,,She was close behind it when s,,M_118
she,,she walked sadly down the midd,,M_124
she,,she was ever to get out again.,,M_125
time,,"time round, she came upon a lo",,M_128
she,,she came upon a low curtain sh,,M_129
she,,"she had not noticed before, an",,M_130
she,,she tried the little golden ke,,M_131
her,,"her great delight it fitted!

",,M_132
she,,she knelt down and looked alon,,M_134
she,,she longed to get out of that ,,M_135
she,,she could not even get her hea,,M_136
her,,her head through the doorway; ,,M_137
my,,"my head would go through,"" tho",,M_138
Alice,,"Alice, ""it would be of very li",,M_139
my,,"my shoulders. Oh, how I wish I",,M_140
I,,I wish I could shut up like a ,,M_141
I,,I could shut up like a telesco,,M_142
I,,"I think I could, if I only kne",,M_143
I,,"I could, if I only knew how to",,M_144
I,,"I only knew how to begin."" For",,M_145
she,,"she went back to the table, ha",,M_147
she,,she might find another key on ,,M_148
she,,she found a little bottle on i,,M_150
Alice,,"Alice,) and round the neck of ",,M_151
I,,"I'll look first,"" she said, ""a",,M_154
Alice,,"Alice ventured to taste it, an",,M_158
she,,she very soon finished it off.,,M_159
I,,I must be shutting up like a t,,M_161
she,,she was now only ten inches hi,,M_162
her,,her face brightened up at the ,,M_163
she,,she was now the right size for,,M_164
she,,she waited for a few minutes t,,M_165
she,,she was going to shrink any fu,,M_166
she,,she felt a little nervous abou,,M_167
you,,"you know,"" said Alice to herse",,M_168
herself,,"herself, ""in my going out alto",,M_170
my,,"my going out altogether, like ",,M_171
she,,she tried to fancy what the fl,,M_174
she,,she could not remember ever ha,,M_175
she,,she decided on going into the ,,M_176
she,,"she got to the door, she found",,M_178
she,,she found she had forgotten th,,M_179
she,,she had forgotten the little g,,M_180
she,,she went back to the table for,,M_181
she,,she found she could not possib,,M_182
she,,she could not possibly reach i,,M_183
she,,she could see it quite plainly,,M_184
she,,she tried her best to climb up,,M_185
her,,her best to climb up one of th,,M_186
she,,she had tired herself out with,,M_187
herself,,"herself out with trying, the p",,M_188
herself,,"herself, rather sharply; ""I ad",,M_190
She,,She generally gave herself ver,,M_193
herself,,"herself very good advice, (tho",,M_194
she,,"she very seldom followed it), ",,M_195
she,,she scolded herself so severel,,M_196
herself,,herself so severely as to brin,,M_197
her,,her eyes; and once she remembe,,M_198
she,,she remembered trying to box h,,M_199
her,,her own ears for having cheate,,M_200
herself,,herself in a game of croquet s,,M_201
she,,she was playing against hersel,,M_202
herself,,"herself, for this curious chil",,M_203
me,,me left to make _one_ respecta,,M_207
her,,her eye fell on a little glass,,M_208
I,,"I'll eat it,"" said Alice, ""and",,M_211
me,,"me grow larger, I can reach th",,M_213
I,,I can reach the key; and if it,,M_214
me,,"me grow smaller, I can creep u",,M_215
I,,I can creep under the door; so,,M_216
I,,"I'll get into the garden, and ",,M_217
I,,"I don't care which happens!""

",,M_218
her,,her hand on the top of her hea,,M_221
her,,her head to feel which way it ,,M_222
she,,"she was so much surprised, tha",,M_228
she,,she quite forgot how to speak ,,M_229
my,,"my poor little feet, I wonder ",,M_233
I,,I wonder who will put on your ,,M_234
your,,your shoes and stockings for y,,M_235
I,,I'm sure _I_ shan't be able! I,,M_237
I,,I_ shan't be able! I shall be ,,M_238
myself,,myself about you: you must man,,M_240
her,,her head struck against the ro,,M_255
You,,You ought to be ashamed of you,,M_261
yourself,,"yourself,"" said Alice, ""a grea",,M_262
Alice,,"Alice, ""a great girl like you,",,M_263
she,,"she might well say this), ""to ",,M_265
she,,"she went on all the same, shed",,M_268
her,,"her, about four inches deep an",,M_269
she,,she heard a little pattering o,,M_271
she,,she hastily dried her eyes to ,,M_272
her,,her eyes to see what was comin,,M_273
she,,she be savage if I've kept her,,M_277
her,,"her waiting!"" Alice felt so de",,M_278
she,,she was ready to ask help of a,,M_280
the Rabbit,,"the Rabbit came near her, she ",,M_281
her,,"her, she began, in a low, timi",,M_282
she,,"she began, in a low, timid voi",,M_283
The Rabbit,,"The Rabbit started violently, ",,M_286
he,,"he could go.

Alice took up th",,M_287
she,,she kept fanning herself all t,,M_289
herself,,herself all the time she went ,,M_290
