eng_text,fr_text,eng_context,fr_context,eng_mID
Ada,Ada,"y of them.

""I'm sure I'm not Ada,"" she said, ""for her hair ","

<< Bien sur, je ne suis pas Ada, >> dit-elle. << Elle a de",M_308
Alice,Alice,"TER I. Down the Rabbit-Hole


Alice was beginning to get ver","IER.



AU FOND DU TERRIER.


Alice, assise aupres de sa soe",M_1
Alice,Alice,"emnly dancing round and round Alice, every now and then trea","anser gravement tout autour d'Alice, lui marchant de temps a",M_2674
Alice,Alice,led down again into its nest. Alice crouched down among the ,en se remettant dans son nid. Alice se glissa parmi les arbr,M_1274
Alice,Alice,"resting dance to watch,"" said Alice, feeling very glad that ","essante a voir danser, >> dit Alice, enchantee que ce fut en",M_2704
Alice,Alice,"rs a good deal to _me_,"" said Alice hastily; ""but I'm not lo","mporte beaucoup a moi, >> dit Alice vivement ; << mais je ne",M_1267
Alice,Alice,"

This was such a new idea to Alice, that she was quite sile",e idee etait si nouvelle pour Alice qu'elle resta muette pen,M_1260
Alice,Alice,"hem, of course?""

""Yes,"" said Alice, ""I've often seen them a","ans doute ? >>
<< Oui, >> dit Alice, << je les ai souvent vu",M_2708
Alice,Alice,"ey're like.""

""I believe so,"" Alice replied thoughtfully. ""T",">
<< Je le crois, >> repliqua Alice, en se recueillant. << I",M_2716
Alice,Alice,"tasted eggs, certainly,"" said Alice, who was a very truthful"," j'ai mange des oeufs, >> dit Alice, qui ne savait pas menti",M_1257
Alice,Alice,"ning from this morning,"" said Alice a little timidly: ""but i"," a partir de ce matin, >> dit Alice un peu timidement ; << m",M_2767
Alice,Alice,"ke such a dreadful time.""

So Alice began telling them her a","ns prennent tant de temps. >>
Alice commenca donc a leur con",M_2772
Alice,Alice,"
""I--I'm a little girl,"" said Alice, rather doubtfully, as s","une petite fille, >> repondit Alice avec quelque hesitation,",M_1248
Alice,Alice,"f mine--a Cheshire Cat,"" said Alice: ""allow me to introduce ","mes amis, un Grimacon, >> dit Alice : << permettez-moi de vo",M_2200
Alice,Alice,"t you're talking about,"" said Alice.

""I've tried the roots ","vous voulez dire, >> repondit Alice.

<< J'ai essaye des rac",M_1227
Alice,Alice,"d some kind of authority over Alice.

""Stand up and repeat '","lui croyait de l'autorite sur Alice.

<< Debout, et recitez ",M_2795
Alice,Alice," one repeat lessons!"" thought Alice; ""I might as well be at ",repeter des lecons ! >> pensa Alice ; << autant vaudrait etr,M_2797
Alice,Alice,"

""I'm _not_ a serpent!"" said Alice indignantly. ""Let me alo","<< Non, certainement ! >> dit Alice indignee.

<< Ah ! Alors",M_1222
Alice,Alice,"t sounds uncommon nonsense.""

Alice said nothing; she had sa","et d'un fameux galimatias. >>
Alice ne dit rien ; elle s'eta",M_2808
Alice,Alice,"ll that green stuff be?"" said Alice. ""And where _have_ my sh", toute cette verdure ? >> dit Alice. << Et ou donc sont mes ,M_1201
Alice,Alice," moment it was out of sight.

Alice remained looking thought","s la Chenille avait disparu.

Alice contempla le champignon ",M_1175
Alice,Alice,"ther side of _what?_"" thought Alice to herself.

""Of the mus","autre cote de quoi ? >> pensa Alice.

<< Du champignon, >> d",M_1171
Alice,Alice,", if you wouldn't mind,"" said Alice: ""three inches is such a"," cela vous etait egal, >> dit Alice. << Trois pouces de haut",M_1155
Alice,Alice,"Whoever lives there,"" thought Alice, ""it'll never do to come","ns qui demeurent la, >> pensa Alice, << il ne serait pas rai",M_1296
Alice,Alice,"urls got entangled together.

Alice laughed so much at this,","ent.

Cela fit tellement rire Alice qu'elle eut a rentrer bi",M_1313
