eng,fr,id,llm alignment result
CHAPTER I.,AU FOND DU TERRIER.,0,not aligned
"Down the Rabbit-Hole Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~ << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !",1,aligned
"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",">> Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.",2,aligned
"There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear!","Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah !",3,aligned
"Oh dear! ~~~ I shall be late!""",j'arriverai trop tard !,4,aligned
"(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually _took a watch out of its waistcoat-pocket_, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.",">> (En y songeant apres, il lui sembla bien qu'elle aurait du s'en etonner, mais sur le moment cela lui avait paru tout naturel.) ~~~ Cependant, quand le Lapin vint a tirer une montre de son gousset, la regarda, puis se prit a courir de plus belle, Alice sauta sur ses pieds, frappee de cette idee que jamais elle n'avait vu de lapin avec un gousset et une montre. ~~~ Entrainee par la curiosite elle s'elanca sur ses traces a travers le champ, et arriva tout juste a temps pour le voir disparaitre dans un large trou au pied d'une haie.",5,aligned
"In another moment down went Alice after it, never once considering how in the world she was to get out again.","Un instant apres, Alice etait a la poursuite du Lapin dans le terrier, sans songer comment elle en sortirait.",6,aligned
"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.","Pendant un bout de chemin le trou allait tout droit comme un tunnel, puis tout a coup il plongeait perpendiculairement d'une facon si brusque qu'Alice se sentit tomber comme dans un puits d'une grande profondeur, avant meme d'avoir pense a se retenir.",7,aligned
,"De deux choses l'une, ou le puits etait vraiment bien profond, ou elle tombait bien doucement ; car elle eut tout le loisir, dans sa chute, de regarder autour d'elle et de se demander avec etonnement ce qu'elle allait devenir.",8,not aligned
"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.",D'abord elle regarda dans le fond du trou pour savoir ou elle allait ; mais il y faisait bien trop sombre pour y rien voir.,9,not aligned
"First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.","Ensuite elle porta les yeux sur les parois du puits, et s'apercut qu'elles etaient garnies d'armoires et d'etageres ; ca et la, elle vit pendues a des clous des cartes geographiques et des images. ~~~ En passant elle prit sur un rayon un pot de confiture portant cette etiquette, << MARMELADE D'ORANGES.",10,not aligned
"She took down a jar from one of the shelves as she passed; it was labelled ""ORANGE MARMALADE"", but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.",">> Mais, a son grand regret, le pot etait vide : elle n'osait le laisser tomber dans la crainte de tuer quelqu'un ; aussi s'arrangea-t-elle de maniere a le deposer en passant dans une des armoires.",11,not aligned
"""Well!"" ~~~ thought Alice to herself, ""after such a fall as this, I shall think nothing of tumbling down stairs!","<< Certes, >> dit Alice, << apres une chute pareille je ne me moquerai pas mal de degringoler l'escalier !",12,aligned
How brave they'll all think me at home!,Comme ils vont me trouver brave chez nous !,13,aligned
"Why, I wouldn't say anything about it, even if I fell off the top of the house!""",Je tomberais du haut des toits que je ne ferais pas entendre une plainte.,14,aligned
(Which was very likely true.),>> (Ce qui etait bien probable.),15,aligned
"Down, down, down.","Tombe, tombe, tombe !",16,aligned
Would the fall _never_ come to an end?,<< Cette chute n'en finira donc pas !,17,not aligned
"""I wonder how many miles I've fallen by this time?"" ~~~ she said aloud.","Je suis curieuse de savoir combien de milles j'ai deja faits, >> dit-elle tout haut.",18,aligned
"""I must be getting somewhere near the centre of the earth.",<< Je dois etre bien pres du centre de la terre.,19,aligned
"Let me see: that would be four thousand miles down, I think--"" (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a _very_ good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) ""--yes, that's about the right distance--but then I wonder what Latitude or Longitude I've got to?""","Voyons donc, cela serait a quatre mille milles de profondeur, il me semble. ~~~ >> (Comme vous voyez, Alice avait appris pas mal de choses dans ses lecons ; et bien que ce ne fut pas la une tres-bonne occasion de faire parade de son savoir, vu qu'il n'y avait point d'auditeur, cependant c'etait un bon exercice que de repeter sa lecon.) ~~~ << Oui, c'est bien a peu pres cela ; mais alors a quel degre de latitude ou de longitude est-ce que je me trouve ?",20,aligned
"(Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)",">> (Alice n'avait pas la moindre idee de ce que voulait dire latitude ou longitude, mais ces grands mots lui paraissaient beaux et sonores.)",21,aligned
"Presently she began again. ~~~ ""I wonder if I shall fall right _through_ the earth!",Bientot elle reprit : << Si j'allais traverser completement la terre ?,22,aligned
How funny it'll seem to come out among the people that walk with their heads downward!,Comme ca serait drole de se trouver au milieu de gens qui marchent la tete en bas.,23,aligned
"The Antipathies, I think--"" (she was rather glad there _was_ no one listening, this time, as it didn't sound at all the right word) ""--but I shall have to ask them what the name of the country is, you know.","Aux Antipathies, je crois. ~~~ >> (Elle n'etait pas fachee cette fois qu'il n'y eut personne la pour l'entendre, car ce mot ne lui faisait pas l'effet d'etre bien juste.)",24,not aligned
"Please, Ma'am, is this New Zealand or Australia?""","<< Eh mais, j'aurai a leur demander le nom du pays.",25,not aligned
(and she tried to curtsey as she spoke--fancy _curtseying_ as you're falling through the air!,"-- Pardon, Madame, est-ce ici la Nouvelle-Zemble ou l'Australie ?",26,not aligned
Do you think you could manage it?),>> -- En meme temps elle essaya de faire la reverence.,27,not aligned
"""And what an ignorant little girl she'll think me for asking!",(Quelle idee ! ~~~ Faire la reverence en l'air !,28,not aligned
"No, it'll never do to ask: perhaps I shall see it written up somewhere.""","Dites-moi un peu, comment vous y prendriez-vous ?)",29,not aligned
"Down, down, down.",<< Quelle petite ignorante !,30,not aligned
"There was nothing else to do, so Alice soon began talking again.",pensera la dame quand je lui ferai cette question.,31,not aligned
"""Dinah'll miss me very much to-night, I should think!""","Non, il ne faut pas demander cela ; peut-etre le verrai-je ecrit quelque part.",32,not aligned
,">> Tombe, tombe, tombe ! ~~~ -- Donc Alice, faute d'avoir rien de mieux a faire, se remit a se parler : << Dinah remarquera mon absence ce soir, bien sur.",33,not aligned
(Dinah was the cat.),>> (Dinah c'etait son chat.),34,aligned
"""I hope they'll remember her saucer of milk at tea-time. ~~~ Dinah my dear!",<< Pourvu qu'on n'oublie pas de lui donner sa jatte de lait a l'heure du the.,35,aligned
I wish you were down here with me!,"Dinah, ma minette, que n'es-tu ici avec moi ?",36,aligned
"There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know.","Il n'y a pas de souris dans les airs, j'en ai bien peur ; mais tu pourrais attraper une chauve-souris, et cela ressemble beaucoup a une souris, tu sais.",37,aligned
"But do cats eat bats, I wonder?""",Mais les chats mangent-ils les chauves-souris ?,38,aligned
"And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, ""Do cats eat bats?",">> Ici le sommeil commenca a gagner Alice. ~~~ Elle repetait, a moitie endormie : << Les chats mangent-ils les chauves-souris ?",39,aligned
"Do cats eat bats?""",Les chats mangent-ils les chauves-souris ?,40,aligned
"and sometimes, ""Do bats eat cats?""",>> Et quelquefois : << Les chauves-souris mangent-elles les chats ?,41,aligned
"for, you see, as she couldn't answer either question, it didn't much matter which way she put it.",">> Car vous comprenez bien que, puisqu'elle ne pouvait repondre ni a l'une ni a l'autre de ces questions, peu importait la maniere de les poser.",42,aligned
"She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, ""Now, Dinah, tell me the truth: did you ever eat a bat?""","Elle s'assoupissait et commencait a rever qu'elle se promenait tenant Dinah par la main, lui disant tres-serieusement : << Voyons, Dinah, dis-moi la verite, as-tu jamais mange des chauves-souris ?",43,aligned
"when suddenly, thump!",">> Quand tout a coup, pouf !",44,aligned
"thump! ~~~ down she came upon a heap of sticks and dry leaves, and the fall was over.","la voila etendue sur un tas de fagots et de feuilles seches, -- et elle a fini de tomber.",45,aligned
"Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it.",Alice ne s'etait pas fait le moindre mal. ~~~ Vite elle se remet sur ses pieds et regarde en l'air ; mais tout est noir la-haut. ~~~ Elle voit devant elle un long passage et le Lapin Blanc qui court a toutes jambes.,46,aligned
"There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, ""Oh my ears and whiskers, how late it's getting!""","Il n'y a pas un instant a perdre ; Alice part comme le vent et arrive tout juste a temps pour entendre le Lapin dire, tandis qu'il tourne le coin : << Par ma moustache et mes oreilles, comme il se fait tard !",47,aligned
"She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.",">> Elle n'en etait plus qu'a deux pas : mais le coin tourne, le Lapin avait disparu. ~~~ Elle se trouva alors dans une salle longue et basse, eclairee par une rangee de lampes pendues au plafond.",48,aligned
"There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.","Il y avait des portes tout autour de la salle : ces portes etaient toutes fermees, et, apres avoir vainement tente d'ouvrir celles du cote droit, puis celles du cote gauche, Alice se promena tristement au beau milieu de cette salle, se demandant comment elle en sortirait.",49,aligned
"Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of the hall; but, alas!","Tout a coup elle rencontra sur son passage une petite table a trois pieds, en verre massif, et rien dessus qu'une toute petite clef d'or. ~~~ Alice pensa aussitot que ce pouvait etre celle d'une des portes ; mais helas !",50,aligned
"either the locks were too large, or the key was too small, but at any rate it would not open any of them.","soit que les serrures fussent trop grandes, soit que la clef fut trop petite, elle ne put toujours en ouvrir aucune.",51,aligned
"However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!","Cependant, ayant fait un second tour, elle apercut un rideau place tres-bas et qu'elle n'avait pas vu d'abord ; par derriere se trouvait encore une petite porte a peu pres quinze pouces de haut ; elle essaya la petite clef d'or a la serrure, et, a sa grande joie, il se trouva qu'elle y allait a merveille.",52,aligned
