eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"'She ate a little bit, and said anxiously to herself, ""Which way? Which way? "", holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size:'","'Elle mangea donc un petit morceau du gateau, et, portant sa main sur sa tete, elle se dit tout inquiete : << Lequel est-ce ? Lequel est-ce ? >> Elle voulait savoir si elle grandissait ou rapetissait, et fut tout etonnee de rester la meme ;'",87,aligned,11869,12108,-1,-1,"Elle mangea donc un petit morceau du gateau, et, portant sa main sur sa tete, elle se dit tout inquiete : << Lequel est-ce ? Lequel est-ce ? >> Elle voulait savoir si elle grandissait ou rapetissait, et fut tout etonnee de rester la meme ; ",
"London is the capital of Paris, and Paris is the capital of Rome, and Rome--no, _that's_ all wrong, I'm certain!","Londres est la capitale de Paris, Paris la capitale de Rome, et Rome -- Mais non, ce n'est pas cela, j'en suis bien sure !",129,aligned,-1,-1,15231,15343,,"London is the capital of Paris, and Paris is the capital of Rome, and Rome--no, _that's_ all wrong, I'm certain! "
"""""Perhaps it doesn't understand English,"" thought Alice; ""I daresay it's a French mouse, come over with William the Conqueror.""""",(No direct equivalent in text),167,aligned,-1,-1,19520,19644,,"Perhaps it doesn't understand English,"" thought Alice; ""I daresay it's a French mouse, come over with William the Conqueror."""
"""(For, with all her knowledge of history, Alice had no very clear notion how long ago anything had happened.)""",(No direct equivalent in text),170,aligned,-1,-1,19647,19753,,"For, with all her knowledge of history, Alice had no very clear notion how long ago anything had happened.)"
"'Alice kept her eyes anxiously fixed on it, for she felt sure she would catch a bad cold if she did not get dry very soon.'",(No direct equivalent in text),205,aligned,-1,-1,23544,23665,,"Alice kept her eyes anxiously fixed on it, for she felt sure she would catch a bad cold if she did not get dry very soon.
"
"""""I don't know the meaning of half those long words, and, what's more, I don't believe you do either!""",(No direct equivalent in text),235,aligned,-1,-1,25272,25371,,"I don't know the meaning of half those long words, and, what's more, I don't believe you do either!"""
"Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen.","Alice devina tout de suite qu'il cherchait l'eventail et la paire de gants paille, et, comme elle avait bon coeur, elle se mit a les chercher aussi ; mais pas moyen de les trouver.",349,aligned,34776,34956,-1,-1,"Alice devina tout de suite qu'il cherchait l'eventail et la paire de gants paille, et, comme elle avait bon coeur, elle se mit a les chercher aussi ; mais pas moyen de les trouver.
",
"""And she began fancying the sort of thing that would happen:""",(No direct equivalent in text),360,aligned,-1,-1,33541,33600,,And she began fancying the sort of thing that would happen: 
'Oh ! je voudrais bien n'avoir pas tant bu !',(No direct equivalent in text),368,aligned,-1,-1,-1,-1,,
"She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.","Oh ! mes pauvres mains ! Comment se fait-il que je ne puis vous voir ? Tout en parlant elle agitait les mains, mais il n'en resulta qu'un petit mouvement au loin parmi les feuilles vertes.",481,aligned,-1,-1,53319,53446,,"She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.
"
I-- (No direct equivalent in text),(No direct equivalent in text),601,aligned,-1,-1,-1,-1,,
"No, there were no tears. ""If you're going to turn into a pig, my dear,"" said Alice, seriously, ""I'll have nothing more to do with you. Mind now!""",(No direct equivalent in text),609,aligned,-1,-1,66616,66760,,"No, there were no tears. ""If you're going to turn into a pig, my dear,"" said Alice, seriously, ""I'll have nothing more to do with you. Mind now!"""
<< Grimacon !,(No direct equivalent in text),623,aligned,-1,-1,-1,-1,,
"""Treacle,"" said the Dormouse, without considering at all this time.",(No direct equivalent in text),787,aligned,-1,-1,81321,81387,,"Treacle,"" said the Dormouse, without considering at all this time.
"
"""Really, now you ask me,"" said Alice, very much confused, ""I don't think--""",(No direct equivalent in text),807,aligned,-1,-1,82995,83068,,"Really, now you ask me,"" said Alice, very much confused, ""I don't think--"""
"The Dormouse had closed its eyes by this time, and was going off into a doze; but, on being pinched by the Hatter, it woke up again with a little shriek, and went on: ""--that begins with an M, such as mouse-traps, and the moon, and memory, and muchness--you know you say things are ""much of a muchness""--did you ever see such a thing as a drawing of a muchness?""",(No direct equivalent in text),808,aligned,-1,-1,82630,82991,,"The Dormouse had closed its eyes by this time, and was going off into a doze; but, on being pinched by the Hatter, it woke up again with a little shriek, and went on: ""--that begins with an M, such as mouse-traps, and the moon, and memory, and muchness--you know you say things are ""much of a muchness""--did you ever see such a thing as a drawing of a muchness?"""
"""Why not?"" said the March Hare.",(No direct equivalent in text),810,aligned,-1,-1,82579,82609,,"Why not?"" said the March Hare.
"
Alice was silent.,(No direct equivalent in text),811,aligned,-1,-1,82611,82628,,"Alice was silent.
"
