eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,fr_text,fr_startByte,fr_endByte
exp,exp_name,the rabbit,the Rabbit,16,26,21,1,1,M_0,CHAPTER I. Down the Rabbit-Hole,AU FOND DU TERRIER.,0,aligned,21,40,0,31,"AU FOND DU TERRIER.
","CHAPTER I. Down the Rabbit-Hole
",,,
exp,exp_name,alice,Alice,34,39,0,2,1,M_1,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ;",1,aligned,43,143,34,138,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; ","Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: ",Alice,43.0,48.0
exp,exp_name,her sister,her sister,86,96,4,2,1,M_2,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ;",1,aligned,43,143,34,138,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; ","Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: ",sa soeur,67.0,75.0
booknlp,COREF,40,she,153,156,0,2,1,M_3,"once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,","une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~",2,aligned,144,266,139,252,"une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! <","once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ",elle,161.0,165.0
exp,exp_name,her sister,her sister,182,192,4,2,1,M_4,"once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,","une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~",2,aligned,144,266,139,252,"une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! <","once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ",sa soeur,210.0,218.0
exp,exp_name,alice,Alice,294,299,0,2,1,M_5,"""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","<< La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !'",3,aligned,269,348,254,335,"La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries ! ","and what is the use of a book,"" thought Alice ""without pictures or conversations?""",Alice,297.0,302.0
booknlp,COREF,40,she,341,344,0,3,1,M_6,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",">> Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.",4,aligned,354,653,338,627,"Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.
","So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.
",elle,648.0,652.0
booknlp,COREF,40,her,364,367,0,3,1,M_7,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",">> Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.",4,aligned,354,653,338,627,"Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.
","So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.
",l',428.0,430.0
booknlp,COREF,40,she,389,392,0,3,1,M_8,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",">> Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.",4,aligned,354,653,338,627,"Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.
","So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.
",elle,648.0,652.0
booknlp,COREF,40,her,421,424,0,3,1,M_9,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",">> Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.",4,aligned,354,653,338,627,"Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.
","So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.
",la,443.0,445.0
booknlp,COREF,40,her,623,626,0,3,1,M_10,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.",">> Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.",4,aligned,354,653,338,627,"Elle s'etait mise a reflechir, (tant bien que mal, car la chaleur du jour l'endormait et la rendait lourde,) se demandant si le plaisir de faire une couronne de marguerites valait bien la peine de se lever et de cueillir les fleurs, quand tout a coup un lapin blanc aux yeux roses passa pres d'elle.
","So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.
",elle,648.0,652.0
exp,exp_name,alice,Alice,685,690,0,4,1,M_11,"There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear!","Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah !",5,aligned,657,794,629,773,"Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah ! ","There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear! ",Alice,699.0,704.0
exp,exp_name,the rabbit,the Rabbit,738,748,21,4,1,M_12,"There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear!","Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah !",5,aligned,657,794,629,773,"Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah ! ","There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear! ",le Lapin,762.0,770.0
booknlp,COREF,20,itself,756,762,21,4,1,M_13,"There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear!","Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah !",5,aligned,657,794,629,773,"Il n'y avait rien la de bien etonnant, et Alice ne trouva meme pas tres-extraordinaire d'entendre parler le Lapin qui se disait : << Ah ! ","There was nothing so _very_ remarkable in that; nor did Alice think it so _very_ much out of the way to hear the Rabbit say to itself, ""Oh dear! ",se,775.0,777.0
booknlp,COREF,20,I,783,784,21,4,1,M_14,"Oh dear! ~~~ I shall be late!""",j'arriverai trop tard !,6,aligned,795,818,774,799,j'arriverai trop tard ! ,"Oh dear! I shall be late!""",j',795.0,797.0
booknlp,COREF,40,she,807,810,0,4,1,M_15,"(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually _took a watch out of its waistcoat-pocket_, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.",">> (En y songeant apres, il lui sembla bien qu'elle aurait du s'en etonner, mais sur le moment cela lui avait paru tout naturel.) ~~~ Cependant, quand le Lapin vint a tirer une montre de son gousset, la regarda, puis se prit a courir de plus belle, Alice sauta sur ses pieds, frappee de cette idee que jamais elle n'avait vu de lapin avec un gousset et une montre. ~~~ Entrainee par la curiosite elle s'elanca sur ses traces a travers le champ, et arriva tout juste a temps pour le voir disparaitre dans un large trou au pied d'une haie.",7,aligned,823,1348,802,1368,"En y songeant apres, il lui sembla bien qu'elle aurait du s'en etonner, mais sur le moment cela lui avait paru tout naturel.) Cependant, quand le Lapin vint a tirer une montre de son gousset, la regarda, puis se prit a courir de plus belle, Alice sauta sur ses pieds, frappee de cette idee que jamais elle n'avait vu de lapin avec un gousset et une montre. Entrainee par la curiosite elle s'elanca sur ses traces a travers le champ, et arriva tout juste a temps pour le voir disparaitre dans un large trou au pied d'une haie.
","when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually _took a watch out of its waistcoat-pocket_, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.
",elle,866.0,870.0
