eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,translations,occurrences,fr_text,fr_startByte,fr_endByte
exp,exp_name,the rabbit,the Rabbit,16,26,21,1,1,M_0,CHAPTER I. Down the Rabbit-Hole,AU FOND DU TERRIER.,0,aligned,21,40,0,31,AU FOND DU TERRIER.,CHAPTER I. Down the Rabbit-Hole,['le lapin'],"[('TERRIER', 32, 39)]",TERRIER,,
exp,exp_name,the rabbit,the Rabbit,16,26,21,1,1,M_0,"Down the Rabbit-Hole Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~ << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !",3,aligned,43,348,11,336,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !","Down the Rabbit-Hole


Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""",['le lapin'],"[None, None, None]",,,
exp,exp_name,alice,Alice,34,39,0,2,1,M_1,"Down the Rabbit-Hole Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~ << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !",3,aligned,43,348,11,336,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !","Down the Rabbit-Hole


Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""",['Alice'],"[('Alice', 110, 114), ('Alice', 210, 214)]",Alice,43,48
exp,exp_name,alice,Alice,34,39,0,2,1,M_1,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ;",4,aligned,43,143,34,138,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ;","Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:",['Alice'],"[('Alice', 43, 48)]",Alice,43,48
exp,exp_name,her sister,her sister,86,96,4,2,1,M_2,"Down the Rabbit-Hole Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~ << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !",3,aligned,43,348,11,336,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !","Down the Rabbit-Hole


Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""",['sa soeur'],"[('sa soeur', 95, 103), ('sa soeur', 139, 147)]",sa soeur,67,75
exp,exp_name,her sister,her sister,86,96,4,2,1,M_2,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ;",4,aligned,43,143,34,138,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ;","Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:",['sa soeur'],"[('sa soeur', 69, 76)]",sa soeur,67,75
booknlp,COREF,40,she,153,156,0,2,1,M_3,"Down the Rabbit-Hole Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~ << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !",3,aligned,43,348,11,336,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !","Down the Rabbit-Hole


Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""",['elle'],"[('elle', 156, 159), ('elle', 230, 233)]",elle,,
booknlp,COREF,40,she,153,156,0,2,1,M_3,"once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,","une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~",5,aligned,144,266,139,252,"une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! ","once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,",['elle'],"[('elle', 174, 177)]",elle,,
exp,exp_name,her sister,her sister,182,192,4,2,1,M_4,"Down the Rabbit-Hole Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~ << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !",3,aligned,43,348,11,336,"Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !","Down the Rabbit-Hole


Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""",['sa soeur'],"[('sa soeur', 84, 91), ('sa soeur', 131, 138)]",sa soeur,210,218
exp,exp_name,her sister,her sister,182,192,4,2,1,M_4,"once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,","une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~",5,aligned,144,266,139,252,"une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! pas d'images, pas de dialogues ! ","once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,",['sa soeur'],"[('sa soeur', 217, 224)]",sa soeur,210,218
