eng,fr,id,llm alignment result,group
CHAPTER I. Down the Rabbit-Hole,AU FOND DU TERRIER.,[1],aligned,1
"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ;",[1],aligned,1
"once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,","une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~",[1],aligned,1
"""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","<< La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !'",[1],aligned,1
"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.","Pendant un bout de chemin le trou allait tout droit comme un tunnel, puis tout a coup il plongeait perpendiculairement d'une facon si brusque qu'Alice se sentit tomber comme dans un puits d'une grande profondeur, avant meme d'avoir pense a se retenir.","[7, 12]",aligned,2
"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.","De deux choses l'une, ou le puits etait vraiment bien profond, ou elle tombait bien doucement ; car elle eut tout le loisir, dans sa chute, de regarder autour d'elle et de se demander avec etonnement ce qu'elle allait devenir.","[7, 12]",aligned,2
"First, she tried to look down and make out what she was coming to, but it was too dark to see anything;",D'abord elle regarda dans le fond du trou pour savoir ou elle allait ; mais il y faisait bien trop sombre pour y rien voir.,"[7, 12]",aligned,2
"then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves;","Ensuite elle porta les yeux sur les parois du puits, et s'apercut qu'elles etaient garnies d'armoires et d'etageres ;","[7, 12]",aligned,2
here and there she saw maps and pictures hung upon pegs.,"ca et la, elle vit pendues a des clous des cartes geographiques et des images.","[7, 12]",aligned,2
"She took down a jar from one of the shelves as she passed; it was labelled ""ORANGE MARMALADE"", but to her great disappointment it was empty:","En passant elle prit sur un rayon un pot de confiture portant cette etiquette, << MARMELADE D'ORANGES. >> Mais, a son grand regret, le pot etait vide :","[7, 12]",aligned,2
"she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.",elle n'osait le laisser tomber dans la crainte de tuer quelqu'un ; aussi s'arrangea-t-elle de maniere a le deposer en passant dans une des armoires.,"[7, 12]",aligned,2
"""Well!"" thought Alice to herself, ""after such a fall as this, I shall think nothing of tumbling down stairs!","<< Certes, >> dit Alice, << apres une chute pareille je ne me moquerai pas mal de degringoler l'escalier !'","[7, 12]",aligned,2
"Down, down, down.","Tombe, tombe, tombe !","[16, 18]",aligned,3
Would the fall _never_ come to an end?,Cette chute n'en finira donc pas !,"[16, 18]",aligned,3
"""I wonder how many miles I've fallen by this time?""","Je suis curieuse de savoir combien de milles j'ai deja faits,","[16, 18]",aligned,3
she said aloud.,dit-elle tout haut.,"[16, 18]",aligned,3
How funny it'll seem to come out among the people that walk with their heads downward!,Comme ca serait drole de se trouver au milieu de gens qui marchent la tete en bas.,"[23, 34]",aligned,4
"The Antipathies, I think--","Aux Antipathies, je crois.","[23, 34]",aligned,4
"(she was rather glad there _was_ no one listening, this time, as it didn't sound at all the right word)","(Elle n'etait pas fachee cette fois qu'il n'y eut personne la pour l'entendre, car ce mot ne lui faisait pas l'effet d'etre bien juste.)","[23, 34]",aligned,4
"--but I shall have to ask them what the name of the country is, you know.","Eh mais, j'aurai a leur demander le nom du pays.","[23, 34]",aligned,4
"Please, Ma'am, is this New Zealand or Australia?","Pardon, Madame, est-ce ici la Nouvelle-Zemble ou l'Australie ?","[23, 34]",aligned,4
(and she tried to curtsey as she spoke--,-- En meme temps elle essaya de faire la reverence.,"[23, 34]",aligned,4
fancy _curtseying_ as you're falling through the air!,(Quelle idee ! Faire la reverence en l'air !,"[23, 34]",aligned,4
Do you think you could manage it?),"Dites-moi un peu, comment vous y prendriez-vous ?)","[23, 34]",aligned,4
"""And what an ignorant little girl she'll think me for asking!",Quelle petite ignorante ! pensera la dame quand je lui ferai cette question.,"[23, 34]",aligned,4
"No, it'll never do to ask: perhaps I shall see it written up somewhere.""","Non, il ne faut pas demander cela ; peut-etre le verrai-je ecrit quelque part.","[23, 34]",aligned,4
"Down, down, down.","Tombe, tombe, tombe !","[23, 34]",aligned,4
"There was nothing else to do, so Alice soon began talking again.","Donc Alice, faute d'avoir rien de mieux a faire, se remit a se parler :","[23, 34]",aligned,4
"""Dinah'll miss me very much to-night, I should think!""","<< Dinah remarquera mon absence ce soir, bien sur.","[23, 34]",aligned,4
(Dinah was the cat.),(Dinah c'etait son chat.),"[23, 34]",aligned,4
"How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains,","Oh ! Qu'il lui tardait de sortir de cette salle tenebreuse et d'errer au milieu de ces carres de fleurs brillantes, de ces fraiches fontaines !","[54, 57]",aligned,5
but she could not even get her head through the doorway;,Mais sa tete ne pouvait meme pas passer par la porte.,"[54, 57]",aligned,5
"""and even if my head would go through,"" thought poor Alice,","<< Et quand meme ma tete y passerait, >> pensait Alice,","[54, 57]",aligned,5
"""it would be of very little use without my shoulders.",<< a quoi cela servirait-il sans mes epaules ?,"[54, 57]",aligned,5
"Oh, how I wish I could shut up like a telescope!",Oh ! que je voudrais donc avoir la faculte de me fermer comme un telescope !,"[54, 57]",aligned,5
