eng,fr,id,llm alignment result
CHAPTER I.,AU FOND DU TERRIER.,0,not aligned
"Down the Rabbit-Hole Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice ""without pictures or conversations?""","Alice, assise aupres de sa soeur sur le gazon, commencait a s'ennuyer de rester la a ne rien faire ; une ou deux fois elle avait jete les yeux sur le livre que lisait sa soeur ; mais quoi ! ~~~ pas d'images, pas de dialogues ! ~~~ << La belle avance, >> pensait Alice, << qu'un livre sans images, sans causeries !",1,aligned
"The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.","Pendant un bout de chemin le trou allait tout droit comme un tunnel, puis tout a coup il plongeait perpendiculairement d'une facon si brusque qu'Alice se sentit tomber comme dans un puits d'une grande profondeur, avant meme d'avoir pense a se retenir.",7,aligned
,"De deux choses l'une, ou le puits etait vraiment bien profond, ou elle tombait bien doucement ; car elle eut tout le loisir, dans sa chute, de regarder autour d'elle et de se demander avec etonnement ce qu'elle allait devenir.",8,not aligned
"Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.",D'abord elle regarda dans le fond du trou pour savoir ou elle allait ; mais il y faisait bien trop sombre pour y rien voir.,9,not aligned
"First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.","Ensuite elle porta les yeux sur les parois du puits, et s'apercut qu'elles etaient garnies d'armoires et d'etageres ; ca et la, elle vit pendues a des clous des cartes geographiques et des images. ~~~ En passant elle prit sur un rayon un pot de confiture portant cette etiquette, << MARMELADE D'ORANGES.",10,not aligned
"She took down a jar from one of the shelves as she passed; it was labelled ""ORANGE MARMALADE"", but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.",">> Mais, a son grand regret, le pot etait vide : elle n'osait le laisser tomber dans la crainte de tuer quelqu'un ; aussi s'arrangea-t-elle de maniere a le deposer en passant dans une des armoires.",11,not aligned
"""Well!"" ~~~ thought Alice to herself, ""after such a fall as this, I shall think nothing of tumbling down stairs!","<< Certes, >> dit Alice, << apres une chute pareille je ne me moquerai pas mal de degringoler l'escalier !",12,aligned
"Down, down, down.","Tombe, tombe, tombe !",16,aligned
Would the fall _never_ come to an end?,<< Cette chute n'en finira donc pas !,17,not aligned
"""I wonder how many miles I've fallen by this time?"" ~~~ she said aloud.","Je suis curieuse de savoir combien de milles j'ai deja faits, >> dit-elle tout haut.",18,aligned
How funny it'll seem to come out among the people that walk with their heads downward!,Comme ca serait drole de se trouver au milieu de gens qui marchent la tete en bas.,23,aligned
"The Antipathies, I think--"" (she was rather glad there _was_ no one listening, this time, as it didn't sound at all the right word) ""--but I shall have to ask them what the name of the country is, you know.","Aux Antipathies, je crois. ~~~ >> (Elle n'etait pas fachee cette fois qu'il n'y eut personne la pour l'entendre, car ce mot ne lui faisait pas l'effet d'etre bien juste.)",24,not aligned
"Please, Ma'am, is this New Zealand or Australia?""","<< Eh mais, j'aurai a leur demander le nom du pays.",25,not aligned
(and she tried to curtsey as she spoke--fancy _curtseying_ as you're falling through the air!,"-- Pardon, Madame, est-ce ici la Nouvelle-Zemble ou l'Australie ?",26,not aligned
Do you think you could manage it?),>> -- En meme temps elle essaya de faire la reverence.,27,not aligned
"""And what an ignorant little girl she'll think me for asking!",(Quelle idee ! ~~~ Faire la reverence en l'air !,28,not aligned
"No, it'll never do to ask: perhaps I shall see it written up somewhere.""","Dites-moi un peu, comment vous y prendriez-vous ?)",29,not aligned
"Down, down, down.",<< Quelle petite ignorante !,30,not aligned
"There was nothing else to do, so Alice soon began talking again.",pensera la dame quand je lui ferai cette question.,31,not aligned
"""Dinah'll miss me very much to-night, I should think!""","Non, il ne faut pas demander cela ; peut-etre le verrai-je ecrit quelque part.",32,not aligned
,">> Tombe, tombe, tombe ! ~~~ -- Donc Alice, faute d'avoir rien de mieux a faire, se remit a se parler : << Dinah remarquera mon absence ce soir, bien sur.",33,not aligned
(Dinah was the cat.),>> (Dinah c'etait son chat.),34,aligned
"How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; ""and even if my head would go through,"" thought poor Alice, ""it would be of very little use without my shoulders.","Oh ! ~~~ Qu'il lui tardait de sortir de cette salle tenebreuse et d'errer au milieu de ces carres de fleurs brillantes, de ces fraiches fontaines ! ~~~ Mais sa tete ne pouvait meme pas passer par la porte.",54,aligned
"Oh, how I wish I could shut up like a telescope!","<< Et quand meme ma tete y passerait, >> pensait Alice, << a quoi cela servirait-il sans mes epaules ? ~~~ Oh !",55,not aligned
,que je voudrais donc avoir la faculte de me fermer comme un telescope !,56,not aligned
"I think I could, if I only knew how to begin.""","Ca se pourrait peut-etre, si je savais comment m'y prendre.",57,aligned
"However, this bottle was _not_ marked ""poison,"" so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.","Cependant, comme cette bouteille n'etait pas marquee << Poison, >> Alice se hasarda a en gouter le contenu, et le trouvant fort bon, (au fait c'etait comme un melange de tarte aux cerises, de creme, d'ananas, de dinde truffee, de nougat, et de roties au beurre,) elle eut bientot tout avale.",62,aligned
"* * * * * * * * * * * * * * * * * * * * ""What a curious feeling!""","<< Je me sens toute drole, >> dit Alice, << on dirait que je rentre en moi-meme et que je me ferme comme un telescope.",63,not aligned
"said Alice; ""I must be shutting up like a telescope.""",>> C'est bien ce qui arrivait en effet.,64,not aligned
"And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.","Elle n'avait plus que dix pouces de haut, et un eclair de joie passa sur son visage a la pensee qu'elle etait maintenant de la grandeur voulue pour penetrer par la petite porte dans ce beau jardin.",65,aligned
"First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; ""for it might end, you know,"" said Alice to herself, ""in my going out altogether, like a candle.","Elle attendit pourtant quelques minutes, pour voir si elle allait rapetisser encore.",66,aligned
"I wonder what I should be like then?""",Cela lui faisait bien un peu peur.,67,not aligned
"And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.","<< Songez donc, >> se disait Alice, << je pourrais bien finir par m'eteindre comme une chandelle. ~~~ Que deviendrais-je alors ?",68,aligned
"After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice!",">> Et elle cherchait a s'imaginer l'air que pouvait avoir la flamme d'une chandelle eteinte, car elle ne se rappelait pas avoir jamais rien vu de la sorte.",69,not aligned
"when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.","Un moment apres, voyant qu'il ne se passait plus rien, elle se decida a aller de suite au jardin ; mais helas, pauvre Alice ! ~~~ en arrivant a la porte, elle s'apercut qu'elle avait oublie la petite clef d'or.",70,aligned
"""Come, there's no use in crying like that!""",Elle revint sur ses pas pour la prendre sur la table.,71,not aligned
"said Alice to herself, rather sharply; ""I advise you to leave off this minute!""",Bah ! ~~~ impossible d'atteindre a la clef qu'elle voyait bien clairement a travers le verre.,72,not aligned
"She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.","Elle fit alors tout son possible pour grimper le long d'un des pieds de la table, mais il etait trop glissant ; et enfin, epuisee de fatigue, la pauvre enfant s'assit et pleura. ~~~ << Allons, a quoi bon pleurer ainsi, >> se dit Alice vivement.",73,not aligned
"""But it's no use now,"" thought poor Alice, ""to pretend to be two people!","<< Je vous conseille, Mademoiselle, de cesser tout de suite !",74,not aligned
,">> Elle avait pour habitude de se donner de tres-bons conseils (bien qu'elle les suivit rarement), et quelquefois elle se grondait si fort que les larmes lui en venaient aux yeux ; une fois meme elle s'etait donne des tapes pour avoir triche dans une partie de croquet qu'elle jouait toute seule ; car cette etrange enfant aimait beaucoup a faire deux personnages.",75,not aligned
"Why, there's hardly enough of me left to make _one_ respectable person!""","<< Mais, >> pensa la pauvre Alice, << il n'y a plus moyen de faire deux personnages, a present qu'il me reste a peine de quoi en faire un.",76,aligned
"""Well, I'll eat it,"" said Alice, ""and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!""","<< Tiens, je vais le manger, >> dit Alice : << si cela me fait grandir, je pourrai atteindre a la clef ; si cela me fait rapetisser, je pourrai ramper sous la porte ; d'une facon ou de l'autre, je penetrerai dans le jardin, et alors, arrive que pourra !",78,aligned
"She ate a little bit, and said anxiously to herself, ""Which way?",">> Elle mangea donc un petit morceau du gateau, et, portant sa main sur sa tete, elle se dit tout inquiete : << Lequel est-ce ?",79,not aligned
Which way?,Lequel est-ce ?,80,not aligned
""", holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.",">> Elle voulait savoir si elle grandissait ou rapetissait, et fut tout etonnee de rester la meme ; franchement, c'est ce qui arrive le plus souvent lorsqu'on mange du gateau ; mais Alice avait tellement pris l'habitude de s'attendre a des choses extraordinaires, que cela lui paraissait ennuyeux et stupide de vivre comme tout le monde.",81,aligned
"So she set to work, and very soon finished off the cake.","Aussi elle se remit a l'oeuvre, et eut bien vite fait disparaitre le gateau.",82,aligned
* * * * * * * * * * * * * * * * * * * * CHAPTER II.,CHAPITRE II. ~~~ LA MARE AUX LARMES.,83,not aligned
"The Pool of Tears ""Curiouser and curiouser!""",<< De plus tres-curieux en plus tres-curieux !,84,aligned
"Good-bye, feet!""",Adieu mes pieds !,86,aligned
"(for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).",">> (Elle venait de baisser les yeux, et ses pieds lui semblaient s'eloigner a perte de vue.) ~~~ << Oh !",87,not aligned
"""Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?","mes pauvres petits pieds ! ~~~ Qui vous mettra vos bas et vos souliers maintenant, mes mignons ?",88,aligned
"I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;--but I must be kind to them,"" thought Alice, ""or perhaps they won't walk the way I want to go!","Je serai bien trop loin pour m'occuper de vous : arrangez-vous du mieux que vous pourrez. ~~~ -- Il faut cependant que je sois bonne pour eux, >> pensa Alice, << sans cela ils refuseront peut-etre d'aller du cote que je voudrai. ~~~ Ah !",90,aligned
"Let me see: I'll give them a new pair of boots every Christmas.""",je sais ce que je ferai : je leur donnerai une belle paire de bottines a Noel.,91,not aligned
And she went on planning to herself how she would manage it.,>> Puis elle chercha dans son esprit comment elle s'y prendrait.,92,aligned
"""They must go by the carrier,"" she thought; ""and how funny it'll seem, sending presents to one's own feet!","<< Il faudra les envoyer par le messager, >> pensa-t-elle ; << quelle etrange chose d'envoyer des presents a ses pieds !",93,aligned
And how odd the directions will look!,Et l'adresse donc ! ~~~ C'est cela qui sera drole.,94,not aligned
"_Alice's Right Foot, Esq., Hearthrug, near the Fender,_ (_with Alice's love_).","A Monsieur Lepiedroit d'Alice, Tapis du foyer, Pres le garde-feu. ~~~ (De la part de Mlle Alice.)",95,aligned
