eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,check
exp,exp_name,the rabbit,the Rabbit,,16,26,,,21,1,1,M_0,wrong
exp,exp_name,alice,Alice,Alice,34,39,43,48,0,2,1,M_1,correct
exp,exp_name,her sister,her sister,sa soeur,86,96,67,75,4,2,1,M_2,correct
booknlp,COREF,40,she,elle,153,156,161,165,0,2,1,M_3,correct
exp,exp_name,her sister,her sister,sa soeur,182,192,210,218,4,2,1,M_4,correct
exp,exp_name,alice,Alice,Alice,294,299,297,302,0,2,1,M_5,correct
booknlp,COREF,40,she,elle,341,344,354,358,0,3,1,M_6,correct
booknlp,COREF,40,her,l',364,367,428,429,0,3,1,M_7,wrong
booknlp,COREF,40,she,elle,389,392,648,652,0,3,1,M_8,correct
booknlp,COREF,40,her,la,421,424,443,444,0,3,1,M_9,correct
booknlp,COREF,40,her,elle,623,626,648,651,0,3,1,M_10,correct
exp,exp_name,alice,Alice,Alice,685,690,699,704,0,4,1,M_11,correct
exp,exp_name,the rabbit,the Rabbit,le lapin,738,748,762,770,21,4,1,M_12,correct
booknlp,COREF,20,itself,se,756,762,775,777,21,4,1,M_13,wrong
booknlp,COREF,20,I,j',783,784,795,797,21,4,1,M_14,correct
booknlp,COREF,40,she,elle,807,810,866,869,0,4,1,M_15,correct
booknlp,COREF,40,her,elle,854,857,866,869,0,4,1,M_16,correct
booknlp,COREF,40,she,elle,863,866,866,869,0,4,1,M_17,correct
exp,exp_name,time,time,le,910,914,904,905,22,4,1,M_18,wrong
exp,exp_name,the rabbit,the Rabbit,le lapin,954,964,966,974,21,4,1,M_19,correct
exp,exp_name,alice,Alice,Alice,1057,1062,1064,1069,0,4,1,M_20,correct
booknlp,COREF,40,her,ses,1074,1077,1080,1082,0,4,1,M_21,correct
booknlp,COREF,40,her,elle,1106,1109,866,869,0,4,1,M_22,wrong
booknlp,COREF,40,she,elle,1120,1123,1124,1127,0,4,1,M_23,correct
booknlp,COREF,40,she,elle,1245,1248,1207,1210,0,4,1,M_24,correct
exp,exp_name,time,time,temps,1308,1312,1279,1283,22,4,1,M_25,correct
booknlp,COREF,20,it,le,1320,1322,1290,1291,21,4,1,M_26,correct
exp,exp_name,alice,Alice,Alice,1398,1403,1370,1375,0,5,1,M_27,correct
booknlp,COREF,40,she,elle,1454,1457,1443,1447,0,5,1,M_28,correct
exp,exp_name,the rabbit,The rabbit,,1481,1491,,,21,6,1,M_29,wrong
exp,exp_name,alice,Alice,Alice,1590,1595,1610,1615,0,6,1,M_30,correct
booknlp,COREF,40,herself,se,1637,1644,1616,1618,0,6,1,M_31,correct
booknlp,COREF,40,she,,1652,1655,,,0,6,1,M_32,wrong
booknlp,COREF,40,herself,se,1662,1669,1705,1707,0,6,1,M_33,wrong
booknlp,COREF,40,she,elle,1736,1739,1786,1789,0,7,1,M_34,correct
booknlp,COREF,40,she,elle,1762,1765,1786,1789,0,7,1,M_35,correct
exp,exp_name,time,time,,1780,1784,,,22,7,1,M_36,wrong
booknlp,COREF,40,she,elle,1788,1791,1786,1789,0,7,1,M_37,correct
