eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
The Picture of Dorian Gray by Oscar Wilde THE PREFACE The artist is the creator of beautiful things.,PREFACE * * * Un artiste est un createur de belles choses.,0,aligned,1,69,0,104,"PREFACE





* * *





Un artiste est un createur de belles choses.
","The Picture of Dorian Gray

by Oscar Wilde

THE PREFACE


The artist is the creator of beautiful things. "
To reveal art and conceal the artist is art s aim.,"Reveler l'Art en cachant l'artiste, tel est le but de l'Art.",1,aligned,71,131,105,155,"Reveler l'Art en cachant l'artiste, tel est le but de l'Art.
","To reveal art and
conceal the artist is art s aim. "
The critic is he who can translate into another manner or a new material his impression of beautiful things.,Le critique est celui qui peut traduire dans une autre maniere ou avec de nouveaux procedes l'impression que lui laisserent de belles choses.,2,aligned,133,274,156,264,"Le critique est celui qui peut traduire dans une autre maniere ou avec de nouveaux procedes l'impression que lui laisserent de belles choses.
","The critic is he who can translate
into another manner or a new material his impression of beautiful
things.
"
The highest as the lowest form of criticism is a mode of autobiography.,L'autobiographie est a la fois la plus haute et la plus basse des formes de la critique.,3,aligned,276,364,266,337,"L'autobiographie est a la fois la plus haute et la plus basse des formes de la critique.
","The highest as the lowest form of criticism is a mode of autobiography.
"
Those who find ugly meanings in beautiful things are corrupt without being charming.,Ceux qui trouvent de laides intentions en de belles choses sont corrompus sans etre seduisants.,4,aligned,366,461,338,422,Ceux qui trouvent de laides intentions en de belles choses sont corrompus sans etre seduisants. ,"Those who find ugly meanings in beautiful things are corrupt without
being charming. "
This is a fault.,Et c'est une faute.,5,aligned,462,481,423,439,"Et c'est une faute.
","This is a fault.
"
Those who find beautiful meanings in beautiful things are the cultivated.,Ceux qui trouvent de belles intentions dans les belles choses sont les cultives.,6,aligned,483,563,441,514,Ceux qui trouvent de belles intentions dans les belles choses sont les cultives. ,"Those who find beautiful meanings in beautiful things are the
cultivated. "
For these there is hope.,Il reste a ceux-ci l'esperance.,7,aligned,564,595,515,539,"Il reste a ceux-ci l'esperance.
",For these there is hope. 
They are the elect to whom beautiful things mean only beauty.,Ce sont les elus pour qui les belles choses signifient simplement la Beaute.,8,aligned,597,673,540,601,"Ce sont les elus pour qui les belles choses signifient simplement la Beaute.
","They are the elect to whom
beautiful things mean only beauty.
"
There is no such thing as a moral or an immoral book.,Un livre n'est point moral ou immoral.,9,aligned,675,713,603,656,Un livre n'est point moral ou immoral. ,There is no such thing as a moral or an immoral book. 
"Books are well written, or badly written.",Il est bien ou mal ecrit.,10,aligned,714,739,657,698,Il est bien ou mal ecrit. ,"Books are well
written, or badly written. "
That is all.,C'est tout.,11,aligned,740,751,699,711,"C'est tout.
","That is all.
"
The nineteenth century dislike of realism is the rage of Caliban seeing his own face in a glass.,Le dedain du XIXe siecle pour le realisme est tout pareil a la rage de Caliban apercevant sa face dans un miroir.,12,aligned,753,866,713,809,"Le dedain du XIXe siecle pour le realisme est tout pareil a la rage de Caliban apercevant sa face dans un miroir.
","The nineteenth century dislike of realism is the rage of Caliban seeing
his own face in a glass.
"
The nineteenth century dislike of romanticism is the rage of Caliban not seeing his own face in a glass.,Le dedain du XIXe siecle pour le Romantisme est semblable a la rage de Caliban n'apercevant pas sa face dans un miroir.,13,aligned,868,987,811,915,"Le dedain du XIXe siecle pour le Romantisme est semblable a la rage de Caliban n'apercevant pas sa face dans un miroir.
","The nineteenth century dislike of romanticism is the rage of Caliban
not seeing his own face in a glass. "
"The moral life of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium.","La vie morale de l'homme forme une part du sujet de l'artiste, mais la moralite de l'art consiste dans l'usage parfait d'un moyen imparfait.",14,aligned,989,1129,916,1061,"La vie morale de l'homme forme une part du sujet de l'artiste, mais la moralite de l'art consiste dans l'usage parfait d'un moyen imparfait.
","The moral life of man forms part of
the subject-matter of the artist, but the morality of art consists in
the perfect use of an imperfect medium. "
