eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
An ethical sympathy in an artist is an unpardonnable mannerism of style.,Une sympathie morale dans un artiste amene un manierisme impardonnable du style.,18,aligned,1268,1348,-1,-1,"Une sympathie morale dans un artiste amene un manierisme impardonnable du style.
",
No artist is ever morbid.,(No direct equivalent in text),19,not aligned,-1,-1,1246,1271,,No artist is ever morbid. 
"From the point of view of feeling, the actor's craft is the type.","Au point de vue de la sensation, c'est le metier de comedien.",24,aligned,1607,1668,-1,-1,"Au point de vue de la sensation, c'est le metier de comedien.
",
"""Oh, I can't explain.",-- Oh ! je ne puis vous l'expliquer.,83,aligned,8626,8662,-1,-1,-- Oh ! je ne puis vous l'expliquer. ,
"Your rank and wealth, Harry; my brains, such as they are my art, whatever it may be worth; Dorian Gray's good looks we shall all suffer for what the gods have given us, suffer terribly.","Mais vous, avec votre rang et votre fortune, Harry, moi, avec mon cerveau tel qu'il est, mon art aussi imparfait qu'il puisse etre, Dorian Gray avec sa beaute, nous souffrirons tous pour ce que les dieux nous ont donne, nous souffrirons terriblement...",86,aligned,8201,8453,-1,-1,"Mais vous, avec votre rang et votre fortune, Harry, moi, avec mon cerveau tel qu'il est, mon art aussi imparfait qu'il puisse etre, Dorian Gray avec sa beaute, nous souffrirons tous pour ce que les dieux nous ont donne, nous souffrirons terriblement...
",
"I didn't intend to tell it to you.""",Je n'avais pas l'intention de vous le dire.,89,aligned,8563,8606,-1,-1,"Je n'avais pas l'intention de vous le dire.
",
"When I like people immensely, I never tell their names to anyone.","Quand j'aime quelqu'un intensement, je ne dis son nom a personne.",91,aligned,8663,8728,-1,-1,"Quand j'aime quelqu'un intensement, je ne dis son nom a personne. ",
"It is a silly habit, I dare say, but somehow it seems to bring a great deal of romance into one's life.","C'est une mauvaise habitude, je l'avoue, mais en quelque sorte, elle apporte dans la vie une part de romanesque...",98,aligned,9075,9189,-1,-1,"C'est une mauvaise habitude, je l'avoue, mais en quelque sorte, elle apporte dans la vie une part de romanesque... ",
"'When we meet -- we do meet occasionally, when we dine out together, or go down to the Duke's -- we tell each other the most absurd stories with the most serious faces.'","'Quand nous nous rencontrons -- et nous nous rencontrons de temps a autre, quand nous dinons ensemble dehors, ou que nous allons chez le duc -- nous nous contons les plus absurdes histoires de l'air le plus serieux du monde.'",103,aligned,9555,9778,-1,-1,"Quand nous nous rencontrons -- et nous nous rencontrons de temps a autre, quand nous dinons ensemble dehors, ou que nous allons chez le duc -- nous nous contons les plus absurdes histoires de l'air le plus serieux du monde. ",
"""Now, that is childish.""",(No direct equivalent in text),125,not aligned,-1,-1,10659,10681,,"Now, that is childish."""
"Lord Henry felt as if he could hear Basil Hallward's heart beating, and wondered what was coming.","Lord Henry restait silencieux comme s'il avait voulu percevoir les battements du coeur de Basil Hallward, se demandant ce qui allait se passer.",139,aligned,12734,12877,-1,-1,"Lord Henry restait silencieux comme s'il avait voulu percevoir les battements du coeur de Basil Hallward, se demandant ce qui allait se passer.
",
"""Two months ago I went to a crush at Lady Brandon's.","Il y a deux mois, j'allais en soiree chez Lady Brandon.",141,aligned,12931,12986,-1,-1,"Il y a deux mois, j'allais en soiree chez Lady Brandon. ",
"""I don't believe that, Harry, and I don't believe you do either.","Je ne crois pas cela, Harry, et je pense que vous ne le croyez pas non plus.",161,aligned,14628,14704,-1,-1,"Je ne crois pas cela, Harry, et je pense que vous ne le croyez pas non plus. ",
she screamed out.,(No direct equivalent in text),165,not aligned,-1,-1,14066,14083,,she screamed out. 
"""Quite forget what he does afraid he doesn't do anything oh, yes, plays the piano or is it the violin, dear Mr. Gray?""","'Tout a fait oublie ce qu'il fait, ou plutot, je crains... qu'il ne fasse rien ! ~~~ Ah ! si, il joue du piano... Ne serait-ce pas plutot du violon, mon cher M. Gray ?'",193,aligned,17420,17582,-1,-1,"Tout a fait oublie ce qu'il fait, ou plutot, je crains... qu'il ne fasse rien ! Ah ! si, il joue du piano... Ne serait-ce pas plutot du violon, mon cher M. Gray ? ",
"""You don't understand what friendship is, Harry,""","'Vous ne pouvez comprendre, Harry,'",198,aligned,17859,17892,-1,-1,"Vous ne pouvez comprendre, Harry, ",
"""Oh, brothers! I don't care for brothers.""","""Un frere !.. Je me moque pas mal des freres !...""",212,aligned,19081,19129,-1,-1,Un frere !.. Je me moque pas mal des freres !... ,
"""My elder brother won't die, and my younger brothers seem never to do anything else.""","""Mon frere aine ne veut pas mourir, et mes plus jeunes semblent vouloir l'imiter.""",213,aligned,19130,19210,-1,-1,"Mon frere aine ne veut pas mourir, et mes plus jeunes semblent vouloir l'imiter.
",
"""But I can't help detesting my relations.""","""Mais je ne puis m'empecher de detester mes parents ; je suppose que cela vient de ce que chacun de nous ne peut supporter de voir d'autres personnes ayant les memes defauts que soi-meme.""",216,aligned,19310,19496,-1,-1,Mais je ne puis m'empecher de detester mes parents ; je suppose que cela vient de ce que chacun de nous ne peut supporter de voir d'autres personnes ayant les memes defauts que soi-meme. ,
"""I sometimes think, Harry, that there are only two eras of any importance in the world's history. The first is the appearance of a new medium for art, and the second is the appearance of a new personality for art also.""","'je pense quelquefois, Harry, qu'il n'y a que deux eres de quelque importance dans l'histoire du monde. La premiere est l'apparition d'un nouveau moyen d'art, et la seconde l'avenement d'une nouvelle personnalite artistique.'",234,aligned,21550,21773,-1,-1,"je pense quelquefois, Harry, qu'il n'y a que deux eres de quelque importance dans l'histoire du monde. La premiere est l'apparition d'un nouveau moyen d'art, et la seconde l'avenement d'une nouvelle personnalite artistique. ",
"I won't tell you that I am dissatisfied with what I have done of him, or that his beauty is such that art cannot express it.",Cela ne veut point dire que je sois peu satisfait de ce que j'ai fait d'apres lui ou que sa beaute soit telle que l'Art ne la puisse rendre.,242,aligned,22081,22221,-1,-1,Cela ne veut point dire que je sois peu satisfait de ce que j'ai fait d'apres lui ou que sa beaute soit telle que l'Art ne la puisse rendre. ,
"""Tell me, is Dorian Gray very fond of you?""","""Dites-moi, Dorian Gray vous aime-t-il...?""",284,aligned,-1,-1,23536,23577,,"Tell me, is Dorian Gray very
fond of you?"""
"""I think you are wrong, Basil, but I won't argue with you.""","""-- Je pense que vous avez tort, Basil, mais je ne veux pas discuter avec vous.""",289,aligned,25669,25747,-1,-1,"-- Je pense que vous avez tort, Basil, mais je ne veux pas discuter avec vous. ",
You can't feel what I feel.,Vous ne pouvez sentir de la meme facon que moi.,301,aligned,27959,28006,-1,-1,Vous ne pouvez sentir de la meme facon que moi. ,
"Some day you will look at your friend, and he will seem to you to be a little out of drawing, or you won't like his tone of colour, or something.","Quelque jour, vous regarderez votre ami et il vous semblera que << ca n'est plus ca >> ; vous n'aimerez plus son teint, ou toute autre chose...",307,aligned,27312,27455,-1,-1,"Quelque jour, vous regarderez votre ami et il vous semblera que << ca n'est plus ca >> ; vous n'aimerez plus son teint, ou toute autre chose... ",
"Harry, don't talk like that.","-- Harry, ne parlez pas comme cela.",308,aligned,27844,27879,-1,-1,"-- Harry, ne parlez pas comme cela. ",
Those who are faithful know only the trivial side of love: it is the faithless who know love's tragedies.,Ceux qui sont fideles connaissent seulement le cote trivial de l'amour ; c'est la trahison qui en connait les tragedies.,314,aligned,28102,28222,-1,-1,"Ceux qui sont fideles connaissent seulement le cote trivial de l'amour ; c'est la trahison qui en connait les tragedies.
",
"""Don't look so angry, Basil.""","'-- Ne me regardez pas d'un air si furieux, Basil...'",329,aligned,29780,29831,-1,-1,"-- Ne me regardez pas d'un air si furieux, Basil... ",
"""It was at my aunt, Lady Agatha's.""","'C'etait chez ma tante, Lady Agathe.'",330,aligned,29832,29867,-1,-1,"C'etait chez ma tante, Lady Agathe. ",
"""I don't want you to meet him.""","""-- Je ne desire pas que vous le connaissiez.""",335,aligned,30556,30600,-1,-1,"-- Je ne desire pas que vous le connaissiez.
",
"""You don't want me to meet him?""","""-- Vous ne desirez pas que je le connaisse...?""",338,aligned,-1,-1,-1,-1,,
"""Then he looked at Lord Henry.""",(No direct equivalent in text),344,not aligned,-1,-1,28188,28217,,Then he looked at Lord Henry. 
"""Don't spoil him.""","""Ne me le gatez pas ;""",348,aligned,31243,31263,-1,-1,Ne me le gatez pas ; ,
