eng,fr,id,llm alignment result
There is no such thing as a moral or an immoral book.,Un livre n'est point moral ou immoral.,9,aligned
"Books are well written, or badly written.",Il est bien ou mal ecrit.,10,not aligned
That is all.,C'est tout.,11,aligned
No artist desires to prove anything.,L'artiste ne desire prouver quoi que ce soit.,15,aligned
Even things that are true can be proved.,Meme les choses vraies peuvent etre prouvees.,16,not aligned
No artist has ethical sympathies.,L'artiste n'a point de sympathies ethiques.,17,aligned
An ethical sympathy in an artist is an unpardonable mannerism of style.,Une sympathie morale dans un artiste amene un manierisme impardonnable du style.,18,aligned
No artist is ever morbid.,L'artiste n'est jamais pris au depourvu.,19,not aligned
The artist can express everything.,Il peut exprimer toute chose.,20,aligned
Vice and virtue are to the artist materials for an art.,Le vice et la vertu en sont les materiaux.,22,aligned
"From the point of view of form, the type of all the arts is the art of the musician.","Au point de vue de la forme, le type de tous les arts est la musique.",23,not aligned
"From the point of view of feeling, the actor s craft is the type.","Au point de vue de la sensation, c'est le metier de comedien.",24,not aligned
All art is at once surface and symbol.,Tout art est a la fois surface et symbole.,25,aligned
Those who go beneath the surface do so at their peril.,Ceux qui cherchent sous la surface le font a leurs risques et perils.,26,aligned
Those who read the symbol do so at their peril.,Ceux-la aussi qui tentent de penetrer le symbole.,27,not aligned
"It is the spectator, and not life, that art really mirrors.","C'est le spectateur, et non la vie, que l'Art reflete reellement.",28,aligned
All art is quite useless.,L'Art est tout a fait inutile.,33,aligned
OSCAR WILDE CHAPTER I.,OSCAR WILDE.,34,not aligned
"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.","LE PORTRAIT DE DORIAN GRAY * * * I L'atelier etait plein de l'odeur puissante des roses, et quand une legere brise d'ete souffla parmi les arbres du jardin, il vint par la porte ouverte, la senteur lourde des lilas et le parfum plus subtil des eglantiers.",35,aligned
"""Not send it anywhere? ~~~ My dear fellow, why?",-- Vous n'enverrez cela nulle part ?,49,aligned
Have you any reason?,Et pourquoi mon cher ami ?,50,not aligned
What odd chaps you painters are!,Quelle raison donnez-vous ?,51,not aligned
