eng,fr,id,llm alignment result
The Picture of Dorian Gray by Oscar Wilde THE PREFACE The artist is the creator of beautiful things.,PREFACE * * * Un artiste est un createur de belles choses.,0,aligned
To reveal art and conceal the artist is art s aim.,"Reveler l'Art en cachant l'artiste, tel est le but de l'Art.",1,aligned
The critic is he who can translate into another manner or a new material his impression of beautiful things.,Le critique est celui qui peut traduire dans une autre maniere ou avec de nouveaux procedes l'impression que lui laisserent de belles choses.,2,aligned
The highest as the lowest form of criticism is a mode of autobiography.,L'autobiographie est a la fois la plus haute et la plus basse des formes de la critique.,3,aligned
Those who find ugly meanings in beautiful things are corrupt without being charming.,Ceux qui trouvent de laides intentions en de belles choses sont corrompus sans etre seduisants.,4,aligned
This is a fault.,Et c'est une faute.,5,aligned
Those who find beautiful meanings in beautiful things are the cultivated.,Ceux qui trouvent de belles intentions dans les belles choses sont les cultives.,6,aligned
For these there is hope.,Il reste a ceux-ci l'esperance.,7,aligned
They are the elect to whom beautiful things mean only beauty.,Ce sont les elus pour qui les belles choses signifient simplement la Beaute.,8,aligned
There is no such thing as a moral or an immoral book.,Un livre n'est point moral ou immoral.,9,aligned
"Books are well written, or badly written.",Il est bien ou mal ecrit.,10,aligned
That is all.,C'est tout.,11,aligned
The nineteenth century dislike of realism is the rage of Caliban seeing his own face in a glass.,Le dedain du XIXe siecle pour le realisme est tout pareil a la rage de Caliban apercevant sa face dans un miroir.,12,aligned
The nineteenth century dislike of romanticism is the rage of Caliban not seeing his own face in a glass.,Le dedain du XIXe siecle pour le Romantisme est semblable a la rage de Caliban n'apercevant pas sa face dans un miroir.,13,aligned
"The moral life of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium.","La vie morale de l'homme forme une part du sujet de l'artiste, mais la moralite de l'art consiste dans l'usage parfait d'un moyen imparfait.",14,aligned
No artist desires to prove anything.,L'artiste ne desire prouver quoi que ce soit.,15,aligned
Even things that are true can be proved.,Meme les choses vraies peuvent etre prouvees.,16,aligned
No artist has ethical sympathies.,L'artiste n'a point de sympathies ethiques.,17,aligned
An ethical sympathy in an artist is an unpardonnable mannerism of style.,Une sympathie morale dans un artiste amene un manierisme impardonnable du style.,18,aligned
No artist is ever morbid.,(No direct equivalent in text),19,not aligned
The artist can express everything.,Il peut exprimer toute chose.,20,aligned
Thought and language are to the artist instruments of an art.,"Pour l'artiste, la pensee et le langage sont les instruments d'un art.",21,aligned
Vice and virtue are to the artist materials for an art.,Le vice et la vertu en sont les materiaux.,22,aligned
"From the point of view of form, the type of all the arts is the art of the musician.","Au point de vue de la forme, le type de tous les arts est la musique.",23,aligned
"From the point of view of feeling, the actor's craft is the type.","Au point de vue de la sensation, c'est le metier de comedien.",24,aligned
Those who go beneath the surface do so at their peril.,Ceux qui cherchent sous la surface le font a leurs risques et perils.,25,aligned
Those who read the symbol do so at their peril.,Ceux-la aussi qui tentent de penetrer le symbole.,26,aligned
"It is the spectator, and not life, that art really mirrors.","C'est le spectateur, et non la vie, que l'Art reflete reellement.",27,aligned
All art is at once surface and symbol.,Tout art est a la fois surface et symbole.,28,aligned
"Diversity of opinion about a work of art shows that the work is new, complex, and vital.","Les diversites d'opinion sur une oeuvre d'art montrent que cette oeuvre est nouvelle, complexe et viable.",29,aligned
"When critics disagree, the artist is in accord with himself.","Alors que les critiques different, l'artiste est en accord avec lui-meme.",30,aligned
We can forgive a man for making a useful thing as long as he does not admire it.,Nous pouvons pardonner a un homme d'avoir fait une chose utile aussi longtemps qu'il ne l'admire pas.,31,aligned
The only excuse for making a useless thing is that one admires it intensely.,La seule excuse d'avoir fait une chose inutile est de l'admirer intensement.,32,aligned
All art is quite useless. OSCAR WILDE,L'Art est tout a fait inutile. OSCAR WILDE.,33,aligned
"CHAPTER I. The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn.","L'atelier etait plein de l'odeur puissante des roses, et quand une legere brise d'ete souffla parmi les arbres du jardin, il vint par la porte ouverte, la senteur lourde des lilas et le parfum plus subtil des eglantiers.",34,aligned
"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom, innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussore-silk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion.","D'un coin du divan fait de sacs persans sur lequel il etait etendu, fumant, selon sa coutume, d'innombrables cigarettes, lord Henry Wotton pouvait tout juste apercevoir le rayonnement des douces fleurs couleur de miel d'un aubour dont les tremblantes branches semblaient a peine pouvoir supporter le poids d'une aussi flamboyante splendeur ; et de temps a autre, les ombres fantastiques des oiseaux fuyants passaient sur les longs rideaux de tussor tendus devant la large fenetre, produisant une sorte d'effet japonais momentane, le faisant penser a ces peintres de Tokio a la figure de jade pallide, qui, par le moyen d'un art necessairement immobile, tentent d'exprimer le sens de la vitesse et du mouvement.",35,aligned
"The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive.","Le murmure monotone des abeilles cherchant leur chemin dans les longues herbes non fauchees ou voltigeant autour des poudreuses baies dorees d'un chevrefeuille isole, faisait plus oppressant encore ce grand calme.",36,aligned
The dim roar of London was like the bourdon note of a distant organ.,Le sourd grondement de Londres semblait comme la note bourdonnante d'un orgue eloigne.,37,aligned
"In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave rise to so many strange conjectures.","Au milieu de la chambre sur un chevalet droit, s'erigeait le portrait grandeur naturelle d'un jeune homme d'une extraordinaire beaute, et en face, etait assis, un peu plus loin, le peintre lui-meme, Basil Hallward, dont la disparition soudaine quelques annees auparavant, avait cause un grand emoi public et donne naissance a tant de conjectures.",38,aligned
"As the painter looked at the gracious and comely form he had so skilfully mirrored in his art, a smile of pleasure passed across his face, and seemed about to linger there.","Comme le peintre regardait la gracieuse et charmante figure que son art avait si subtilement reproduite, un sourire de plaisir passa sur sa face et parut s'y attarder.",39,aligned
"But he suddenly started up, and closing his eyes, placed his fingers upon the lids, as though he sought to imprison within his brain some curious dream from which he feared he might awake.","Mais il tressaillit soudain, et fermant les yeux, mit les doigts sur ses paupieres comme s'il eut voulu emprisonner dans son cerveau quelque etrange reve dont il eut craint de se reveiller.",40,aligned
"""It is your best work, Basil, the best thing you have ever done,"" said Lord Henry languidly.","-- Ceci est votre meilleure oeuvre, Basil, la meilleure chose que vous ayez jamais faite, dit lord Henry languissamment.",41,aligned
"""You must certainly send it next year to the Grosvenor.",Il faut l'envoyer l'annee prochaine a l'exposition Grosvenor.,42,aligned
The Academy is too large and too vulgar.,L'Academie est trop grande et trop vulgaire.,43,aligned
"Whenever I have gone there, there have been either so many people that I have not been able to see the pictures, which was dreadful, or so many pictures that I have not been able to see the people, which was worse.","Chaque fois que j'y suis alle, il y avait la tant de monde qu'il m'a ete impossible de voir les tableaux, ce qui etait epouvantable, ou tant de tableaux que je n'ai pu y voir le monde, ce qui etait encore plus horrible.",44,aligned
"The Grosvenor is really the only place."" ~~~ ""I don t think I shall send it anywhere,"" he answered, tossing his head back in that odd way that used to make his friends laugh at him at Oxford.","Grosvenor est encore le seul endroit convenable... -- Je ne crois pas que j'enverrai ceci quelque part, repondit le peintre en rejetant la tete de cette singuliere facon qui faisait se moquer de lui ses amis d'Oxford.",45,aligned
"""No, I won t send it anywhere.""","Non, je n'enverrai ceci nulle part.",46,aligned
"Lord Henry elevated his eyebrows and looked at him in amazement through the thin blue wreaths of smoke that curled up in such fanciful whorls from his heavy, opium-tainted cigarette.","Lord Henry leva les yeux, le regardant avec etonnement a travers les minces spirales de fumee bleue qui s'entrelacaient fantaisistement au bout de sa cigarette opiacee.",47,aligned
"""You do anything in the world to gain a reputation.""",'Vous remuez le monde pour acquerir de la reputation ;',48,aligned
"""Have you any reason?""",'Quelle raison donnez-vous ?',49,aligned
"""My dear fellow, why?""",'Et pourquoi mon cher ami ?',50,aligned
"""Not send it anywhere?""",'-- Vous n'enverrez cela nulle part ?',51,aligned
"""As soon as you have one, you seem to want to throw it away.""","'aussitot que vous l'avez, vous semblez vouloir vous en debarrasser.'",52,aligned
"""What odd chaps you painters are!""","'Quels singuliers bonshommes vous etes, vous autres peintres ?'",53,aligned
"It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about.","C'est ridicule de votre part, car s'il n'y a qu'une chose au monde pire que la renommee, c'est de n'en pas avoir.",54,aligned
"A portrait like this would set you far above all the young men in England, and make the old men quite jealous, if old men are ever capable of any emotion.""","Un portrait comme celui-ci vous mettrait au-dessus de tous les jeunes gens de l'Angleterre, et rendrait les vieux jaloux, si les vieux pouvaient encore ressentir quelque emotion.",55,aligned
"""I know you will laugh at me,"" he replied, ""but I really can t exhibit it.","-- Je sais que vous rirez de moi, repliqua-t-il, mais je ne puis reellement l'exposer.",56,aligned
"I have put too much of myself into it.""",J'ai mis trop de moi-meme la-dedans.,57,aligned
"Lord Henry stretched himself out on the divan and laughed. ~~~ ""Yes, I knew you would; but it is quite true, all the same.""","Lord Henry s'etendit sur le divan en riant... -- Je savais que vous ririez, mais c'est tout a fait la meme chose.",58,aligned
"""Too much of yourself in it!",-- Trop de vous-meme !...,59,aligned
