eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"EMMA By Jane Austen VOLUME I CHAPTER I Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her.","Emma Jane Austen Journal des debats, Paris, 11 juin au 23 aout 1910 Exporte de Wikisource le 9 janvier 2025 Volume 1 Chapitre I Chapitre II Chapitre III Chapitre IV Chapitre V Chapitre VI Chapitre VII Chapitre VIII Chapitre IX Chapitre X Chapitre XI Chapitre XII Chapitre XIII Chapitre XIV Chapitre XV Chapitre XVI Chapitre XVII Chapitre XVIII Volume 2 Chapitre XIX Chapitre XX Chapitre XXI Chapitre XXII Chapitre XXIII Chapitre XXIV Chapitre XXV Chapitre XXVI Chapitre XXVII Chapitre XXVIII Chapitre XXIX Chapitre XXX Chapitre XXXI Chapitre XXXII Chapitre XXXIII Chapitre XXXIV Chapitre XXXV Chapitre XXXVI Volume 3 Chapitre XXXVII Chapitre XXXVIII Chapitre XXXIX Chapitre XL I Emma Woodhouse, belle, intelligente, douee d'un heureux naturel, disposant de larges revenus, semblait reunir sur sa tete les meilleurs dons de l'existence ; elle allait atteindre sa vingt et unieme annee sans qu'une souffrance meme legere l'eut effleuree.",0,aligned,0,1008,0,288,"Emma



Jane Austen





Journal des debats, Paris, 11 juin au 23 aout 1910





Exporte de Wikisource le 9 janvier 2025





Volume 1

Chapitre I

Chapitre II

Chapitre III

Chapitre IV

Chapitre V

Chapitre VI

Chapitre VII

Chapitre VIII

Chapitre IX

Chapitre X

Chapitre XI

Chapitre XII

Chapitre XIII

Chapitre XIV

Chapitre XV

Chapitre XVI

Chapitre XVII

Chapitre XVIII





Volume 2

Chapitre XIX

Chapitre XX

Chapitre XXI

Chapitre XXII

Chapitre XXIII

Chapitre XXIV

Chapitre XXV

Chapitre XXVI

Chapitre XXVII

Chapitre XXVIII

Chapitre XXIX

Chapitre XXX

Chapitre XXXI

Chapitre XXXII

Chapitre XXXIII

Chapitre XXXIV

Chapitre XXXV

Chapitre XXXVI





Volume 3

Chapitre XXXVII

Chapitre XXXVIII

Chapitre XXXIX

Chapitre XL
I





Emma Woodhouse, belle, intelligente, douee d'un heureux naturel, disposant de larges revenus, semblait reunir sur sa tete les meilleurs dons de l'existence ; elle allait atteindre sa vingt et unieme annee sans qu'une souffrance meme legere l'eut effleuree.
","EMMA

By Jane Austen




VOLUME I



CHAPTER I


Emma Woodhouse, handsome, clever, and rich, with a comfortable home
and happy disposition, seemed to unite some of the best blessings of
existence; and had lived nearly twenty-one years in the world with very
little to distress or vex her.
"
"She was the youngest of the two daughters of a most affectionate, indulgent father; and had, in consequence of her sister's marriage, been mistress of his house from a very early period.","Fille cadette d'un pere tres affectueux et indulgent, elle s'etait trouvee de bonne heure, a la suite du mariage de sa soeur ainee, investie du role de maitresse de maison.",1,aligned,1010,1182,290,476,"Fille cadette d'un pere tres affectueux et indulgent, elle s'etait trouvee de bonne heure, a la suite du mariage de sa soeur ainee, investie du role de maitresse de maison. ","She was the youngest of the two daughters of a most affectionate,
indulgent father; and had, in consequence of her sister's marriage, been
mistress of his house from a very early period. "
"Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses; and her place had been supplied by an excellent woman as governess, who had fallen little short of a mother in affection.",Encore en bas age elle avait perdu sa mere et ne conservait d'elle qu'un souvenir indistinct de lointaines caresses ; la place de Mme Woodhouse fut occupee par une gouvernante qui avait entoure l'enfant d'une affection quasi maternelle.,2,aligned,1183,1419,477,700,"Encore en bas age elle avait perdu sa mere et ne conservait d'elle qu'un souvenir indistinct de lointaines caresses ; la place de Mme Woodhouse fut occupee par une gouvernante qui avait entoure l'enfant d'une affection quasi maternelle.
","Her mother had died
too long ago for her to have more than an indistinct remembrance of
her caresses; and her place had been supplied by an excellent woman as
governess, who had fallen little short of a mother in affection.
"
"Sixteen years had Miss Taylor been in Mr. Woodhouse's family, less as a governess than a friend, very fond of both daughters, but particularly of Emma. ~~~ Between _them_ it was more the intimacy of sisters.","Mlle Taylor etait restee seize ans dans la maison de M. Woodhouse, moins en qualite d'institutrice que d'amie ; tres attachee aux deux jeunes filles, elle cherissait particulierement Emma.",3,aligned,1421,1609,702,905,"Mlle Taylor etait restee seize ans dans la maison de M. Woodhouse, moins en qualite d'institutrice que d'amie ; tres attachee aux deux jeunes filles, elle cherissait particulierement Emma. ","Sixteen years had Miss Taylor been in Mr. Woodhouse's family, less as a
governess than a friend, very fond of both daughters, but particularly
of Emma. Between _them_ it was more the intimacy of sisters. "
"It was a melancholy change; and Emma could not but sigh over it, and wish for impossible things, till her father awoke, and made it necessary to be cheerful.",En consequence elle appreciait a sa valeur la perte qu'elle venait de faire ; ses pensees etaient tristes mais elle prit l'air gai des que son pere se reveilla ;,4,aligned,4573,4734,5204,5361,En consequence elle appreciait a sa valeur la perte qu'elle venait de faire ; ses pensees etaient tristes mais elle prit l'air gai des que son pere se reveilla ; ,"It was a melancholy change; and Emma could not but sigh over
it, and wish for impossible things, till her father awoke, and made it
necessary to be cheerful. "
"His spirits required support. He was a nervous man, easily depressed; fond of every body that he was used to, and hating to part with them; hating change of every kind.","c'etait un homme nerveux, facilement deprime, tres attache a tous ceux qui l'entouraient, il detestait toute espece de changement et nourrissait une aversion particuliere pour le mariage -- origine et principe de bouleversement dans la famille -- ;",5,aligned,4735,4983,5362,5530,"c'etait un homme nerveux, facilement deprime, tres attache a tous ceux qui l'entouraient, il detestait toute espece de changement et nourrissait une aversion particuliere pour le mariage -- origine et principe de bouleversement dans la famille -- ; ","His spirits required support. He was a nervous
man, easily depressed; fond of every body that he was used to, and
hating to part with them; hating change of every kind. "
"Matrimony, as the origin of change, was always disagreeable; and he was by no means yet reconciled to his own daughter's marrying, nor could ever speak of her but with compassion, though it had been entirely a match of affection, when he was now obliged to part with Miss Taylor too; and from his habits of gentle selfishness, and of being never able to suppose that other people could feel differently from himself, he was very much disposed to think Miss Taylor had done as sad a thing for herself as for them, and would have been a great deal happier if she had spent all the rest of her life at Hartfield.","il n'avait pas encore pris son parti de celui de sa fille ainee et continuait a parler d'elle avec un ton d'extreme compassion. Dans le cas present, son aimable egoisme et son incapacite d'imaginer chez les autres des sentiments differents des siens le predisposaient a juger que Mlle Taylor avait agi contre ses propres interets aussi bien que contre ceux de ses amis ; il ne doutait pas qu'elle n'eut ete plus heureuse en restant a Hartfield.",6,aligned,4984,5429,5531,6140,"il n'avait pas encore pris son parti de celui de sa fille ainee et continuait a parler d'elle avec un ton d'extreme compassion.

Dans le cas present, son aimable egoisme et son incapacite d'imaginer chez les autres des sentiments differents des siens le predisposaient a juger que Mlle Taylor avait agi contre ses propres interets aussi bien que contre ceux de ses amis ; il ne doutait pas qu'elle n'eut ete plus heureuse en restant a Hartfield.
","Matrimony, as the
origin of change, was always disagreeable; and he was by no means yet
reconciled to his own daughter's marrying, nor could ever speak of her
but with compassion, though it had been entirely a match of affection,
when he was now obliged to part with Miss Taylor too; and from his
habits of gentle selfishness, and of being never able to suppose that
other people could feel differently from himself, he was very much
disposed to think Miss Taylor had done as sad a thing for herself as for
them, and would have been a great deal happier if she had spent all the
rest of her life at Hartfield. "
"Emma smiled and chatted as cheerfully as she could, to keep him from such thoughts; but when tea came, it was impossible for him not to say exactly as he had said at dinner, ""Poor Miss Taylor!--I wish she were here again. What a pity it is that Mr. Weston ever thought of her!""","Emma lui sourit et se mit a causer avec animation pour eviter qu'il ne pensat a ces penibles conjonctures ; neanmoins, quand on servit le the, il repeta exactement ce qu'il avait dit au diner : << Pauvre Mlle Taylor ! Que n'est-elle encore avec nous ! Quel malheur que M. Weston ait pense a elle !",7,aligned,5431,5728,6141,6418,"Emma lui sourit et se mit a causer avec animation pour eviter qu'il ne pensat a ces penibles conjonctures ; neanmoins, quand on servit le the, il repeta exactement ce qu'il avait dit au diner : << Pauvre Mlle Taylor ! Que n'est-elle encore avec nous ! Quel malheur que M. Weston ait pense a elle !
","Emma smiled and chatted as cheerfully
as she could, to keep him from such thoughts; but when tea came, it was
impossible for him not to say exactly as he had said at dinner,

""Poor Miss Taylor!--I wish she were here again. What a pity it is that
Mr. Weston ever thought of her!"""
"""I cannot agree with you, papa; you know I cannot. Mr. Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife;--and you would not have had Miss Taylor live with us for ever, and bear all my odd humours, when she might have a house of her own?""","-- Il m'est impossible, papa, de partager votre avis, M. Weston est un si aimable, si excellent homme qu'il meritait bien de trouver une femme accomplie ; et vous ne pouviez pas souhaiter que Mlle Taylor demeurat avec nous toute sa vie a supporter mes caprices alors qu'il lui etait loisible de posseder une maison a elle ?",8,aligned,5730,6053,6422,6705,"-- Il m'est impossible, papa, de partager votre avis, M. Weston est un si aimable, si excellent homme qu'il meritait bien de trouver une femme accomplie ; et vous ne pouviez pas souhaiter que Mlle Taylor demeurat avec nous toute sa vie a supporter mes caprices alors qu'il lui etait loisible de posseder une maison a elle ?
","I cannot agree with you, papa; you know I cannot. Mr. Weston is such
a good-humoured, pleasant, excellent man, that he thoroughly deserves
a good wife;--and you would not have had Miss Taylor live with us for
ever, and bear all my odd humours, when she might have a house of her
own?"""
"""A house of her own!--But where is the advantage of a house of her own? This is three times as large.--And you have never any odd humours, my dear.""","-- Une maison a elle ! ~~~ Quel avantage y voyez-vous ? Celle-ci n'est-elle pas trois fois plus grande, et vous n'avez jamais de caprices, ma chere.",9,aligned,6055,6199,6709,6855,"-- Une maison a elle ! Quel avantage y voyez-vous ? Celle-ci n'est-elle pas trois fois plus grande, et vous n'avez jamais de caprices, ma chere.
","A house of her own!--But where is the advantage of a house of her own?
This is three times as large.--And you have never any odd humours, my
dear."""
"""How often we shall be going to see them, and they coming to see us!--We shall be always meeting! _We_ must begin; we must go and pay wedding visit very soon.""","-- Nous irons les voir tres souvent et de leur cote, ils viendront continuellement a Hartfield ; nous ne tarderons pas a leur faire la premiere visite.",10,aligned,6201,6352,6859,7016,"-- Nous irons les voir tres souvent et de leur cote, ils viendront continuellement a Hartfield ; nous ne tarderons pas a leur faire la premiere visite.
","How often we shall be going to see them, and they coming to see us!--We
shall be always meeting! _We_ must begin; we must go and pay wedding
visit very soon."""
"""No, papa, nobody thought of your walking. We must go in the carriage, to be sure.""","-- Aussi papa, n'est-il pas question que vous alliez a pied. Nous irons en voiture, naturellement.",11,aligned,6482,6580,7115,7196,"-- Aussi papa, n'est-il pas question que vous alliez a pied. Nous irons en voiture, naturellement.
","No, papa, nobody thought of your walking. We must go in the carriage,
to be sure."""
"She had many acquaintance in the place, for her father was universally civil, but not one among them who could be accepted in lieu of Miss Taylor for even half a day.",mais il n'y avait personne qui fut en situation de devenir pour elle une amie.,12,aligned,4494,4572,5037,5203,mais il n'y avait personne qui fut en situation de devenir pour elle une amie. ,"She had many
acquaintance in the place, for her father was universally civil, but
not one among them who could be accepted in lieu of Miss Taylor for even
half a day. "
"""The carriage! But James will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?""","-- En voiture ! Mais James n'aimera pas atteler pour si peu ; et les pauvres chevaux, que deviendront-ils pendant que nous ferons notre visite ?",13,aligned,6582,6726,7200,7349,"-- En voiture ! Mais James n'aimera pas atteler pour si peu ; et les pauvres chevaux, que deviendront-ils pendant que nous ferons notre visite ?
","The carriage! But James will not like to put the horses to for such a
little way;--and where are the poor horses to be while we are paying our
visit?"""
"""They are to be put into Mr. Weston's stable, papa. You know we have settled all that already. We talked it all over with Mr. Weston last night. And as for James, you may be very sure he will always like going to Randalls, because of his daughter's being housemaid there. I only doubt whether he will ever take us anywhere else. That was your doing, papa. You got Hannah that good place. Nobody thought of Hannah till you mentioned her--James is so obliged to you!""","-- On les mettra dans l'ecurie de M. Weston : c'est une affaire entendue. Quant a James vous pouvez etre sur qu'il sera toujours enchante d'aller a Randalls ou sa fille est femme de chambre. J'apprehende meme qu'il ne consente plus desormais a nous conduire ailleurs ! C'est vous, papa, qui avez eu la pensee de proposer Anna pour cette bonne place. -- James vous en est si reconnaissant !",14,aligned,6728,7118,7353,7816,"-- On les mettra dans l'ecurie de M. Weston : c'est une affaire entendue. Quant a James vous pouvez etre sur qu'il sera toujours enchante d'aller a Randalls ou sa fille est femme de chambre. J'apprehende meme qu'il ne consente plus desormais a nous conduire ailleurs ! C'est vous, papa, qui avez eu la pensee de proposer Anna pour cette bonne place.

-- James vous en est si reconnaissant ! ","They are to be put into Mr. Weston's stable, papa. You know we have
settled all that already. We talked it all over with Mr. Weston last
night. And as for James, you may be very sure he will always like going
to Randalls, because of his daughter's being housemaid there. I only
doubt whether he will ever take us anywhere else. That was your doing,
papa. You got Hannah that good place. Nobody thought of Hannah till you
mentioned her--James is so obliged to you!"""
"""I am very glad I did think of her. It was very lucky, for I would not have had poor James think himself slighted upon any account; and I am sure she will make a very good servant: she is a civil, pretty-spoken girl; I have a great opinion of her. Whenever I see her, she always curtseys and asks me how I do, in a very pretty manner; and when you have had her here to do needlework, I observe she always turns the lock of the door the right way and never bangs it. I am sure she will be an excellent servant; and it will be a great comfort to poor Miss Taylor to have somebody about her that she is used to see. Whenever James goes over to see his daughter, you know, she will be hearing of us. He will be able to tell her how we all are.""","Je suis sur qu'elle deviendra une excellente domestique : c'est une fille polie, de bonnes manieres ; chaque fois que je la rencontre elle me tire la reverence et me demande tres gracieusement de mes nouvelles. Quand vous l'avez fait venir ici pour travailler, j'ai remarque qu'elle ouvrait toujours la porte avec precaution et qu'elle prenait soin de la soutenir en la fermant. Ce sera une consolation pour cette pauvre Mlle Taylor d'avoir aupres d'elle un visage familier. Chaque fois que James ira voir sa fille, il donnera de nos nouvelles.",15,aligned,7119,7663,7820,8558,"Je suis sur qu'elle deviendra une excellente domestique : c'est une fille polie, de bonnes manieres ; chaque fois que je la rencontre elle me tire la reverence et me demande tres gracieusement de mes nouvelles. Quand vous l'avez fait venir ici pour travailler, j'ai remarque qu'elle ouvrait toujours la porte avec precaution et qu'elle prenait soin de la soutenir en la fermant. Ce sera une consolation pour cette pauvre Mlle Taylor d'avoir aupres d'elle un visage familier. Chaque fois que James ira voir sa fille, il donnera de nos nouvelles.
","I am very glad I did think of her. It was very lucky, for I would not
have had poor James think himself slighted upon any account; and I am
sure she will make a very good servant: she is a civil, pretty-spoken
girl; I have a great opinion of her. Whenever I see her, she always
curtseys and asks me how I do, in a very pretty manner; and when you
have had her here to do needlework, I observe she always turns the lock
of the door the right way and never bangs it. I am sure she will be an
excellent servant; and it will be a great comfort to poor Miss Taylor
to have somebody about her that she is used to see. Whenever James goes
over to see his daughter, you know, she will be hearing of us. He will
be able to tell her how we all are."""
"Emma spared no exertions to maintain this happier flow of ideas, and hoped, by the help of backgammon, to get her father tolerably through the evening, and be attacked by no regrets but her own.",Emma s'efforca d'entretenir ce courant d'idees plus gaies et espera qu'avec l'aide du jacquet elle parviendrait a faire franchir heureusement a son pere le cap de la soiree.,16,aligned,7665,7838,8561,8755,Emma s'efforca d'entretenir ce courant d'idees plus gaies et espera qu'avec l'aide du jacquet elle parviendrait a faire franchir heureusement a son pere le cap de la soiree. ,"Emma spared no exertions to maintain this happier flow of ideas, and
hoped, by the help of backgammon, to get her father tolerably
through the evening, and be attacked by no regrets but her own. "
The backgammon-table was placed; but a visitor immediately afterwards walked in and made it unnecessary.,"On apporta la table, mais a ce moment un visiteur fut introduit et la rendit inutile.",17,aligned,7839,7924,8756,8860,"On apporta la table, mais a ce moment un visiteur fut introduit et la rendit inutile.
","The
backgammon-table was placed; but a visitor immediately afterwards walked
in and made it unnecessary.
"
"""My dear, how am I to get so far? Randalls is such a distance. I could not walk half so far.""","-- Ma chere, comment voulez-vous que j'arrive jusque-la ? Randalls est a une telle distance ! Je ne puis marcher si longtemps.",18,aligned,6354,6480,7020,7111,"-- Ma chere, comment voulez-vous que j'arrive jusque-la ? Randalls est a une telle distance ! Je ne puis marcher si longtemps.
","My dear, how am I to get so far? Randalls is such a distance. I could
not walk half so far."""
The Woodhouses were first in consequence there. All looked up to them.,Les Woodhouse etaient les gens importants de l'endroit ; Emma avait de nombreuses connaissances car son pere etait poli avec tout le monde,19,aligned,4355,4493,4966,5036,Les Woodhouse etaient les gens importants de l'endroit ; Emma avait de nombreuses connaissances car son pere etait poli avec tout le monde ,"The Woodhouses
were first in consequence there. All looked up to them. "
"Even before Miss Taylor had ceased to hold the nominal office of governess, the mildness of her temper had hardly allowed her to impose any restraint; and the shadow of authority being now long passed away, they had been living together as friend and friend very mutually attached, and Emma doing just what she liked; highly esteeming Miss Taylor's judgment, but directed chiefly by her own.","Avant meme que Mlle Taylor eut cesse de tenir officiellement le role de gouvernante, la douceur de son caractere lui permettait difficilement d'inspirer quelque contrainte ; cette ombre d'autorite s'etait vite evanouie et les deux femmes vivaient depuis longtemps sur un pied d'egalite. Tout en ayant une grande consideration pour le jugement de Mlle Taylor, Emma se reposait exclusivement sur le sien !",20,aligned,1610,2013,906,1297,"Avant meme que Mlle Taylor eut cesse de tenir officiellement le role de gouvernante, la douceur de son caractere lui permettait difficilement d'inspirer quelque contrainte ; cette ombre d'autorite s'etait vite evanouie et les deux femmes vivaient depuis longtemps sur un pied d'egalite. Tout en ayant une grande consideration pour le jugement de Mlle Taylor, Emma se reposait exclusivement sur le sien ! ","Even before
Miss Taylor had ceased to hold the nominal office of governess, the
mildness of her temper had hardly allowed her to impose any restraint;
and the shadow of authority being now long passed away, they had been
living together as friend and friend very mutually attached, and Emma
doing just what she liked; highly esteeming Miss Taylor's judgment, but
directed chiefly by her own.
"
"Her sister, though comparatively but little removed by matrimony, being settled in London, only sixteen miles off, was much beyond her daily reach; and many a long October and November evening must be struggled through at Hartfield, before Christmas brought the next visit from Isabella and her husband, and their little children, to fill the house, and give her pleasant society again.","La soeur d'Emma habitait Londres depuis son mariage, c'est-a-dire, en realite, a peu de distance ; elle se trouvait neanmoins hors de sa portee journaliere, et bien des longues soirees d'automne devraient etre passees solitairement a Hartfield avant que Noel n'amenat la visite d'Isabelle et de son mari.",21,aligned,3886,4190,4387,4773,"La soeur d'Emma habitait Londres depuis son mariage, c'est-a-dire, en realite, a peu de distance ; elle se trouvait neanmoins hors de sa portee journaliere, et bien des longues soirees d'automne devraient etre passees solitairement a Hartfield avant que Noel n'amenat la visite d'Isabelle et de son mari.
","Her sister, though comparatively but little removed by matrimony, being
settled in London, only sixteen miles off, was much beyond her daily
reach; and many a long October and November evening must be struggled
through at Hartfield, before Christmas brought the next visit from
Isabella and her husband, and their little children, to fill the house,
and give her pleasant society again.
"
Sorrow came--a gentle sorrow--but not at all in the shape of any disagreeable consciousness.--Miss Taylor married.,Le chagrin arriva sous une forme plutot benigne : Mlle Taylor se maria.,22,aligned,2326,2397,1644,1758,Le chagrin arriva sous une forme plutot benigne : Mlle Taylor se maria. ,"Sorrow came--a gentle sorrow--but not at all in the shape of any
disagreeable consciousness.--Miss Taylor married. "
"Highbury, the large and populous village, almost amounting to a town, to which Hartfield, in spite of its separate lawn, and shrubberies, and name, did really belong, afforded her no equals.","La petite ville d'Highbury dont Hartfield, malgre ses communaux, ses bois et son nom, dependait en realite, ne pouvait fournir a Emma aucune relation de son bord.",23,aligned,4192,4354,4775,4965,"La petite ville d'Highbury dont Hartfield, malgre ses communaux, ses bois et son nom, dependait en realite, ne pouvait fournir a Emma aucune relation de son bord. ","Highbury, the large and populous village, almost amounting to a town,
to which Hartfield, in spite of its separate lawn, and shrubberies, and
name, did really belong, afforded her no equals. "
"The danger, however, was at present so unperceived, that they did not by any means rank as misfortunes with her.","Neanmoins, pour l'instant, elle n'avait aucunement conscience des desavantages qui menacaient de ternir un jour son bonheur.",24,aligned,2200,2324,1530,1642,"Neanmoins, pour l'instant, elle n'avait aucunement conscience des desavantages qui menacaient de ternir un jour son bonheur.
","The danger, however, was at present so unperceived,
that they did not by any means rank as misfortunes with her.
"
It was Miss Taylor's loss which first brought grief.,(No direct equivalent in text),25,not aligned,-1,-1,1759,1811,,"It was Miss Taylor's
loss which first brought grief. "
It was on the wedding-day of this beloved friend that Emma first sat in mournful thought of any continuance.,"Pour la premiere fois, le jour du mariage de son amie bien-aimee, Emma fut assaillie de pensees tristes de quelque duree.",26,aligned,2398,2519,1812,1920,"Pour la premiere fois, le jour du mariage de son amie bien-aimee, Emma fut assaillie de pensees tristes de quelque duree. ","It was on the wedding-day of this
beloved friend that Emma first sat in mournful thought of any
continuance. "
"The wedding over, and the bride-people gone, her father and herself were left to dine together, with no prospect of a third to cheer a long evening.","La ceremonie terminee et les invites partis, son pere et elle demeurerent seuls, sans la perspective d'un tiers pour egayer la longue soiree.",27,aligned,2520,2661,1921,2069,"La ceremonie terminee et les invites partis, son pere et elle demeurerent seuls, sans la perspective d'un tiers pour egayer la longue soiree. ","The wedding over, and the bride-people gone, her father and
herself were left to dine together, with no prospect of a third to cheer
a long evening. "
"Her father composed himself to sleep after dinner, as usual, and she had then only to sit and think of what she had lost.","M. Woodhouse s'assoupit apres le diner, comme d'habitude, et Emma put mesurer l'etendue de son isolement.",28,aligned,2662,2767,2070,2191,"M. Woodhouse s'assoupit apres le diner, comme d'habitude, et Emma put mesurer l'etendue de son isolement. ","Her father composed himself to sleep after dinner, as
usual, and she had then only to sit and think of what she had lost.
"
The event had every promise of happiness for her friend.,(No direct equivalent in text),29,not aligned,-1,-1,2193,2249,,The event had every promise of happiness for her friend. 
"The real evils, indeed, of Emma's situation were the power of having rather too much her own way, and a disposition to think a little too well of herself; these were the disadvantages which threatened alloy to her many enjoyments.","Les seuls ecueils de la situation de la jeune fille etaient precisement l'absence de toute influence et de tout frein, et une predisposition a avoir une confiance excessive en soi-meme.",30,aligned,2014,2199,1299,1529,"Les seuls ecueils de la situation de la jeune fille etaient precisement l'absence de toute influence et de tout frein, et une predisposition a avoir une confiance excessive en soi-meme. ","The real evils, indeed, of Emma's situation were the power of having
rather too much her own way, and a disposition to think a little too
well of herself; these were the disadvantages which threatened alloy to
her many enjoyments. "
The want of Miss Taylor would be felt every hour of every day.,(No direct equivalent in text),31,not aligned,-1,-1,2531,2593,,"The want
of Miss Taylor would be felt every hour of every day. "
