eng,fr,id,llm alignment result
"EMMA By Jane Austen VOLUME I CHAPTER I Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her.","Emma Jane Austen Journal des debats, Paris, 11 juin au 23 aout 1910 Exporte de Wikisource le 9 janvier 2025 Volume 1 Chapitre I Chapitre II Chapitre III Chapitre IV Chapitre V Chapitre VI Chapitre VII Chapitre VIII Chapitre IX Chapitre X Chapitre XI Chapitre XII Chapitre XIII Chapitre XIV Chapitre XV Chapitre XVI Chapitre XVII Chapitre XVIII Volume 2 Chapitre XIX Chapitre XX Chapitre XXI Chapitre XXII Chapitre XXIII Chapitre XXIV Chapitre XXV Chapitre XXVI Chapitre XXVII Chapitre XXVIII Chapitre XXIX Chapitre XXX Chapitre XXXI Chapitre XXXII Chapitre XXXIII Chapitre XXXIV Chapitre XXXV Chapitre XXXVI Volume 3 Chapitre XXXVII Chapitre XXXVIII Chapitre XXXIX Chapitre XL I Emma Woodhouse, belle, intelligente, douee d'un heureux naturel, disposant de larges revenus, semblait reunir sur sa tete les meilleurs dons de l'existence ; elle allait atteindre sa vingt et unieme annee sans qu'une souffrance meme legere l'eut effleuree.",0,aligned
"She was the youngest of the two daughters of a most affectionate, indulgent father; and had, in consequence of her sister's marriage, been mistress of his house from a very early period.","Fille cadette d'un pere tres affectueux et indulgent, elle s'etait trouvee de bonne heure, a la suite du mariage de sa soeur ainee, investie du role de maitresse de maison.",1,aligned
"Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses; and her place had been supplied by an excellent woman as governess, who had fallen little short of a mother in affection.",Encore en bas age elle avait perdu sa mere et ne conservait d'elle qu'un souvenir indistinct de lointaines caresses ; la place de Mme Woodhouse fut occupee par une gouvernante qui avait entoure l'enfant d'une affection quasi maternelle.,2,aligned
"Sixteen years had Miss Taylor been in Mr. Woodhouse's family, less as a governess than a friend, very fond of both daughters, but particularly of Emma. ~~~ Between _them_ it was more the intimacy of sisters.","Mlle Taylor etait restee seize ans dans la maison de M. Woodhouse, moins en qualite d'institutrice que d'amie ; tres attachee aux deux jeunes filles, elle cherissait particulierement Emma.",3,aligned
"Even before Miss Taylor had ceased to hold the nominal office of governess, the mildness of her temper had hardly allowed her to impose any restraint; and the shadow of authority being now long passed away, they had been living together as friend and friend very mutually attached, and Emma doing just what she liked; highly esteeming Miss Taylor's judgment, but directed chiefly by her own.","Avant meme que Mlle Taylor eut cesse de tenir officiellement le role de gouvernante, la douceur de son caractere lui permettait difficilement d'inspirer quelque contrainte ; cette ombre d'autorite s'etait vite evanouie et les deux femmes vivaient depuis longtemps sur un pied d'egalite.",4,aligned
"The real evils, indeed, of Emma's situation were the power of having rather too much her own way, and a disposition to think a little too well of herself; these were the disadvantages which threatened alloy to her many enjoyments.","Tout en ayant une grande consideration pour le jugement de Mlle Taylor, Emma se reposait exclusivement sur le sien !",5,not aligned
"The danger, however, was at present so unperceived, that they did not by any means rank as misfortunes with her.","Les seuls ecueils de la situation de la jeune fille etaient precisement l'absence de toute influence et de tout frein, et une predisposition a avoir une confiance excessive en soi-meme.",6,not aligned
Sorrow came--a gentle sorrow--but not at all in the shape of any disagreeable consciousness.--Miss Taylor married.,"Neanmoins, pour l'instant, elle n'avait aucunement conscience des desavantages qui menacaient de ternir un jour son bonheur.",7,not aligned
It was Miss Taylor's loss which first brought grief.,Le chagrin arriva sous une forme plutot benigne : Mlle Taylor se maria.,8,not aligned
It was on the wedding-day of this beloved friend that Emma first sat in mournful thought of any continuance.,"Pour la premiere fois, le jour du mariage de son amie bien-aimee, Emma fut assaillie de pensees tristes de quelque duree.",9,aligned
"The wedding over, and the bride-people gone, her father and herself were left to dine together, with no prospect of a third to cheer a long evening.","La ceremonie terminee et les invites partis, son pere et elle demeurerent seuls, sans la perspective d'un tiers pour egayer la longue soiree.",10,aligned
"Her father composed himself to sleep after dinner, as usual, and she had then only to sit and think of what she had lost.","M. Woodhouse s'assoupit apres le diner, comme d'habitude, et Emma put mesurer l'etendue de son isolement.",11,not aligned
