eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
It was Miss Taylor's loss which first brought grief.,(No direct equivalent in text),25,not aligned,-1,-1,1759,1811,,"It was Miss Taylor's
loss which first brought grief. "
The event had every promise of happiness for her friend.,(No direct equivalent in text),29,not aligned,-1,-1,2193,2249,,The event had every promise of happiness for her friend. 
The want of Miss Taylor would be felt every hour of every day.,(No direct equivalent in text),31,not aligned,-1,-1,2531,2593,,"The want
of Miss Taylor would be felt every hour of every day. "
"She had been a friend and companion such as few possessed: intelligent, well-informed, useful, gentle, knowing all the ways of the family, interested in all its concerns, and peculiarly interested in herself, in every pleasure, every scheme of hers--one to whom she could speak every thought as it arose, and who had such an affection for her as could never find fault.",(No direct equivalent in text),34,not aligned,-1,-1,3125,3494,,"She had been a friend and companion such
as few possessed: intelligent, well-informed, useful, gentle, knowing
all the ways of the family, interested in all its concerns, and
peculiarly interested in herself, in every pleasure, every scheme of
hers--one to whom she could speak every thought as it arose, and who had
such an affection for her as could never find fault.
"
"The evil of the actual disparity in their ages (and Mr. Woodhouse had not married early) was much increased by his constitution and habits; for having been a valetudinarian all his life, without activity of mind or body, he was a much older man in ways than in years; and though everywhere beloved for the friendliness of his heart and his amiable temper, his talents could not have recommended him at any time.",(Sentence above already covers this information),36,aligned,-1,-1,3974,4385,,"The evil of the actual disparity in their ages (and Mr. Woodhouse had
not married early) was much increased by his constitution and habits;
for having been a valetudinarian all his life, without activity of
mind or body, he was a much older man in ways than in years; and though
everywhere beloved for the friendliness of his heart and his amiable
temper, his talents could not have recommended him at any time.
"
"Mr. Weston was a man of unexceptionable character, easy fortune, suitable age, and pleasant manners; and there was some satisfaction in considering with what self-denying, generous friendship she had always wished and promoted the match; but it was a black morning's work for her.",(No direct equivalent in text),39,not aligned,-1,-1,2250,2530,,"Mr. Weston
was a man of unexceptionable character, easy fortune, suitable age, and
pleasant manners; and there was some satisfaction in considering
with what self-denying, generous friendship she had always wished and
promoted the match; but it was a black morning's work for her. "
"He had returned to a late dinner, after some days' absence, and now walked up to Hartfield to say that all were well in Brunswick Square.",(No direct equivalent in text),49,not aligned,-1,-1,9246,9383,,"He had returned to a late dinner, after
some days' absence, and now walked up to Hartfield to say that all were
well in Brunswick Square. "
"""Especially when _one_ of those two is such a fanciful, troublesome creature!"" said Emma playfully.",'Sur tout lorsqu'une de ces personnes est un etre aussi capricieux et exigeant ! dit Emma d'un ton ironique.',56,aligned,-1,-1,10798,10896,,"Especially when _one_ of those two is such a fanciful, troublesome
creature!"" said Emma playfully. "
"""I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--""",(No direct equivalent in text),59,not aligned,-1,-1,10621,10727,,"I have a great regard for you and Emma; but when it
comes to the question of dependence or independence!--A"
"""Miss Taylor has been used to have two persons to please; she will now have but one. The chances are that she must be a gainer.""",(No direct equivalent in text),67,not aligned,-1,-1,11871,11997,,"Miss Taylor has been used to have two persons
to please; she will now have but one. The chances are that she must be a
gainer."""
