eng,fr,id,llm alignment result,group
"Even before Miss Taylor had ceased to hold the nominal office of governess, the mildness of her temper had hardly allowed her to impose any restraint; and the shadow of authority being now long passed away, they had been living together as friend and friend very mutually attached, and Emma doing just what she liked; highly esteeming Miss Taylor's judgment, but directed chiefly by her own.","Avant meme que Mlle Taylor eut cesse de tenir officiellement le role de gouvernante, la douceur de son caractere lui permettait difficilement d'inspirer quelque contrainte ; cette ombre d'autorite s'etait vite evanouie et les deux femmes vivaient depuis longtemps sur un pied d'egalite. Tout en ayant une grande consideration pour le jugement de Mlle Taylor, Emma se reposait exclusivement sur le sien !","[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",aligned,1
"The real evils, indeed, of Emma's situation were the power of having rather too much her own way, and a disposition to think a little too well of herself; these were the disadvantages which threatened alloy to her many enjoyments.","Les seuls ecueils de la situation de la jeune fille etaient precisement l'absence de toute influence et de tout frein, et une predisposition a avoir une confiance excessive en soi-meme.","[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",aligned,1
"The danger, however, was at present so unperceived, that they did not by any means rank as misfortunes with her.","Neanmoins, pour l'instant, elle n'avait aucunement conscience des desavantages qui menacaient de ternir un jour son bonheur.","[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",aligned,1
Sorrow came--a gentle sorrow--but not at all in the shape of any disagreeable consciousness.--Miss Taylor married.,Le chagrin arriva sous une forme plutot benigne : Mlle Taylor se maria.,"[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",aligned,1
It was Miss Taylor's loss which first brought grief.,(No direct equivalent in text),"[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",not aligned,1
It was on the wedding-day of this beloved friend that Emma first sat in mournful thought of any continuance.,"Pour la premiere fois, le jour du mariage de son amie bien-aimee, Emma fut assaillie de pensees tristes de quelque duree.","[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",aligned,1
"The wedding over, and the bride-people gone, her father and herself were left to dine together, with no prospect of a third to cheer a long evening.","La ceremonie terminee et les invites partis, son pere et elle demeurerent seuls, sans la perspective d'un tiers pour egayer la longue soiree.","[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",aligned,1
"Her father composed himself to sleep after dinner, as usual, and she had then only to sit and think of what she had lost.","M. Woodhouse s'assoupit apres le diner, comme d'habitude, et Emma put mesurer l'etendue de son isolement.","[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",aligned,1
The event had every promise of happiness for her friend.,(No direct equivalent in text),"[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",not aligned,1
"Mr. Weston was a man of unexceptionable character, easy fortune, suitable age, and pleasant manners; and there was some satisfaction in considering with what self-denying, generous friendship she had always wished and promoted the match; but it was a black morning's work for her.",(No direct equivalent in text),"[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",not aligned,1
The want of Miss Taylor would be felt every hour of every day.,(No direct equivalent in text),"[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",not aligned,1
"She recalled her past kindness--the kindness, the affection of sixteen years--how she had taught and how she had played with her from five years old--how she had devoted all her powers to attach and amuse her in health--and how nursed her through the various illnesses of childhood.","Elle evoquait ces seize annees d'infatigable affection : elle pensait avec tendresse a celle qui avait dirige ses jeux et ses etudes, apportant autant d'ardeur a l'amuser qu'a l'instruire, et qui l'avait soignee avec un devouement absolu pendant les diverses maladies de l'enfance.","[4, 9, 10, 25, 26, 28, 29, 32, 36, 37, 39, 40, 45, 47, 50]",aligned,1
