eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
I At length I returned from two weeks leave of absence to find that my patrons had arrived three days ago in Roulettenberg.,Je suis enfin revenu de mon absence de deux semaines. Les notres etaient depuis trois jours a Roulettenbourg.,0,aligned,7,116,65,190,Je suis enfin revenu de mon absence de deux semaines. Les notres etaient depuis trois jours a Roulettenbourg. ,"I


At length I returned from two weeks leave of absence to find that my
patrons had arrived three days ago in Roulettenberg. "
I received from them a welcome quite different to that which I had expected.,"Je pensais qu'ils m'attendaient avec Dieu sait quelle impatience, mais je me trompais.",1,aligned,117,203,191,267,"Je pensais qu'ils m'attendaient avec Dieu sait quelle impatience, mais je me trompais. ","I received from
them a welcome quite different to that which I had expected. "
"The General eyed me coldly, greeted me in rather haughty fashion, and dismissed me to pay my respects to his sister.","Le general me regarda d'un air tres independant, me parla avec hauteur et me renvoya a sa soeur.",2,aligned,204,300,268,384,"Le general me regarda d'un air tres independant, me parla avec hauteur et me renvoya a sa soeur. ","The
General eyed me coldly, greeted me in rather haughty fashion, and
dismissed me to pay my respects to his sister. "
It was clear that from _somewhere_ money had been acquired.,Il etait clair qu'ils avaient gagne quelque part de l'argent.,3,aligned,301,362,385,444,Il etait clair qu'ils avaient gagne quelque part de l'argent. ,"It was clear that from
_somewhere_ money had been acquired. "
"When returning home with the children before luncheon, I met a cavalcade of our party riding to view some ruins.",Les passants s'arretaient et regardaient : l'effet etait obtenu.,4,aligned,3124,3188,3232,3344,Les passants s'arretaient et regardaient : l'effet etait obtenu. ,"When returning home with the children before luncheon, I met a
cavalcade of our party riding to view some ruins. "
"Two splendid carriages, magnificently horsed, with Mlle. Blanche, Maria Philipovna, and Polina Alexandrovna in one of them, and the Frenchman, the Englishman, and the General in attendance on horseback!",(No direct equivalent in text),5,not aligned,-1,-1,3345,3547,,"Two splendid
carriages, magnificently horsed, with Mlle. Blanche, Maria Philipovna,
and Polina Alexandrovna in one of them, and the Frenchman, the
Englishman, and the General in attendance on horseback! "
"The passers-by stopped to stare at them, for the effect was splendid the General could not have improved upon it.","Seulement, le general n'a qu'a se bien tenir.",6,aligned,3189,3234,3548,3661,"Seulement, le general n'a qu'a se bien tenir. ","The passers-by
stopped to stare at them, for the effect was splendid the General could
not have improved upon it. "
"I calculated that, with the 4000 francs which I had brought with me, added to what my patrons seemed already to have acquired, the party must be in possession of at least 7000 or 8000 francs though that would be none too much for Mlle. Blanche, who, with her mother and the Frenchman, was also lodging in our hotel.","J'ai calcule que, des cinquante-quatre mille francs que j'ai apportes, -- en y ajoutant meme ce qu'il a pu se procurer ici, -- il ne doit plus avoir que sept ou huit mille francs ; c'est tres peu pour Mlle Blanche. Elle habite aussi dans notre hotel, avec sa mere.",7,aligned,3235,3500,3662,3977,"J'ai calcule que, des cinquante-quatre mille francs que j'ai apportes, -- en y ajoutant meme ce qu'il a pu se procurer ici, -- il ne doit plus avoir que sept ou huit mille francs ; c'est tres peu pour Mlle Blanche.

Elle habite aussi dans notre hotel, avec sa mere. ","I calculated that, with the 4000 francs
which I had brought with me, added to what my patrons seemed already to
have acquired, the party must be in possession of at least 7000 or 8000
francs though that would be none too much for Mlle. Blanche, who, with
her mother and the Frenchman, was also lodging in our hotel. "
"The latter gentleman was called by the lacqueys ""Monsieur le Comte,"" and Mlle. Blanche's mother was dubbed ""Madame la Comtesse.""","Quelque part encore, dans la meme maison, loge le petit Francais, que les domestiques appellent << Monsieur le comte >>. La mere de Mlle Blanche est une << Madame la comtesse >>.",8,aligned,3501,3679,-1,-1,"Quelque part encore, dans la meme maison, loge le petit Francais, que les domestiques appellent << Monsieur le comte >>. La mere de Mlle Blanche est une << Madame la comtesse >>. ",
"Perhaps in very truth they were ""Comte et Comtesse.""",Et pourquoi ne seraient-ils pas comte et comtesse ?,9,aligned,3680,3731,-1,-1,"Et pourquoi ne seraient-ils pas comte et comtesse ?
",
