eng,fr,id,llm alignment result
The Gambler by Fyodor Dostoyevsky Translated by C. J. Hogarth I At length I returned from two weeks leave of absence to find that my patrons had arrived three days ago in Roulettenberg.,I Je suis enfin revenu de mon absence de deux semaines.,0,not aligned
I received from them a welcome quite different to that which I had expected.,Les notres etaient depuis trois jours a Roulettenbourg.,1,not aligned
,"Je pensais qu'ils m'attendaient avec Dieu sait quelle impatience, mais je me trompais.",2,not aligned
"The General eyed me coldly, greeted me in rather haughty fashion, and dismissed me to pay my respects to his sister.","Le general me regarda d'un air tres independant, me parla avec hauteur et me renvoya a sa soeur.",3,aligned
It was clear that from _somewhere_ money had been acquired.,Il etait clair qu'ils avaient gagne quelque part de l'argent.,4,aligned
I thought I could even detect a certain shamefacedness in the General s glance.,Il me semblait meme que le general avait un peu honte de me regarder.,5,aligned
"Maria Philipovna, too, seemed distraught, and conversed with me with an air of detachment.",Maria Felipovna etait tres affairee et me parla a la hate.,6,not aligned
"Nevertheless, she took the money which I handed to her, counted it, and listened to what I had to tell.","Elle prit pourtant l'argent, le compta et ecouta tout mon rapport. ~~~ On attendait pour le diner Mezentsov, le petit Francais et un Anglais.",7,aligned
"To luncheon there were expected that day a Monsieur Mezentsov, a French lady, and an Englishman; for, whenever money was in hand, a banquet in Muscovite style was always given.","Comme ils ne manquaient pas de le faire quand ils avaient de l'argent, en vrais Moscovites qu'ils sont, mes maitres avaient organise un diner d'apparat.",8,not aligned
"Polina Alexandrovna, on seeing me, inquired why I had been so long away.","En me voyant, Paulina Alexandrovna me demanda pourquoi j'etais reste si longtemps, et disparut sans attendre ma reponse.",9,not aligned
"Then, without waiting for an answer, she departed.",Evidemment elle agissait ainsi a dessein.,10,not aligned
"Evidently this was not mere accident, and I felt that I must throw some light upon matters.",Il faut pourtant nous expliquer ; j'ai beaucoup de choses a lui dire.,11,not aligned
It was high time that I did so.,On m'assigna une petite chambre au quatrieme etage de l'hotel.,12,not aligned
I was assigned a small room on the fourth floor of the hotel (for you must know that I belonged to the General s suite).,-- On sait ici que j'appartiens a la suite du general.,13,not aligned
"So far as I could see, the party had already gained some notoriety in the place, which had come to look upon the General as a Russian nobleman of great wealth.","-- Le general passe pour un tres riche seigneur. ~~~ Avant le diner, il me donna entre autres commissions celle de changer des billets de mille francs.",14,not aligned
