eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"Two splendid carriages, magnificently horsed, with Mlle. Blanche, Maria Philipovna, and Polina Alexandrovna in one of them, and the Frenchman, the Englishman, and the General in attendance on horseback!",(No direct equivalent in text),5,not aligned,-1,-1,3345,3547,,"Two splendid
carriages, magnificently horsed, with Mlle. Blanche, Maria Philipovna,
and Polina Alexandrovna in one of them, and the Frenchman, the
Englishman, and the General in attendance on horseback! "
"The latter gentleman was called by the lacqueys ""Monsieur le Comte,"" and Mlle. Blanche's mother was dubbed ""Madame la Comtesse.""","Quelque part encore, dans la meme maison, loge le petit Francais, que les domestiques appellent << Monsieur le comte >>. La mere de Mlle Blanche est une << Madame la comtesse >>.",8,aligned,3501,3679,-1,-1,"Quelque part encore, dans la meme maison, loge le petit Francais, que les domestiques appellent << Monsieur le comte >>. La mere de Mlle Blanche est une << Madame la comtesse >>. ",
"Perhaps in very truth they were ""Comte et Comtesse.""",Et pourquoi ne seraient-ils pas comte et comtesse ?,9,aligned,3680,3731,-1,-1,"Et pourquoi ne seraient-ils pas comte et comtesse ?
",
"Of course, strictly speaking, he knew me; but I was an uninvited guest at the luncheon the General had forgotten to arrange otherwise, or I should have been dispatched to dine at the table d'hote.","-- Je crois d'ailleurs qu'on ne s'attendait meme pas a me voir au diner. Le general a sans doute oublie de donner des ordres a cet effet, mais son intention etait certainement de m'envoyer diner a la table d'hote. Je compris cela au regard mecontent dont il m'honora.",11,aligned,4011,4278,-1,-1,"-- Je crois d'ailleurs qu'on ne s'attendait meme pas a me voir au diner. Le general a sans doute oublie de donner des ordres a cet effet, mais son intention etait certainement de m'envoyer diner a la table d'hote. Je compris cela au regard mecontent dont il m'honora. ",
"This strange Englishman I had met first in Prussia, where we had happened to sit vis-a-vis in a railway train in which I was travelling to overtake our party; while, later, I had run across him in France, and again in Switzerland twice within the space of two weeks!","J'avais fait la connaissance de cet Anglais en Prusse, dans un wagon ou nous etions assis l'un pres de l'autre. Je l'avais revu depuis en France et en Suisse.",12,aligned,4486,4644,-1,-1,"J'avais fait la connaissance de cet Anglais en Prusse, dans un wagon ou nous etions assis l'un pres de l'autre. Je l'avais revu depuis en France et en Suisse. ",
"To think, therefore, that I should suddenly encounter him again here, in Roulettenberg!",(No direct equivalent in text),14,not aligned,-1,-1,5258,5345,,"To think, therefore, that I should suddenly encounter him again here,
in Roulettenberg! "
"How he had come to make the General's acquaintance I do not know, but, apparently, he was much struck with Polina.",Je ne sais comment il a fait la connaissance du general. Il me semble eperdument amoureux de Paulina.,17,aligned,4911,5012,-1,-1,Je ne sais comment il a fait la connaissance du general. Il me semble eperdument amoureux de Paulina. ,
"Then, without waiting for an answer, she departed.",(No direct equivalent in text),28,not aligned,-1,-1,970,1020,,"Then, without waiting for an answer, she departed. "
I was assigned a small room on the fourth floor of the hotel (for you must know that I belonged to the General's suite).,On m'assigna une petite chambre au quatrieme etage de l'hotel. -- On sait ici que j'appartiens a la suite du general.,31,aligned,1018,1135,-1,-1,On m'assigna une petite chambre au quatrieme etage de l'hotel. -- On sait ici que j'appartiens a la suite du general. ,
"He wanted to do so, but each time was met by me with such a fixed, disrespectful stare that he desisted in confusion.",(No direct equivalent in text),37,not aligned,-1,-1,-1,-1,,
