eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,translations,occurrences,occurrences_tuple,fr_text,fr_startByte,fr_endByte
exp,exp_name,the general,The General,268,279,16,5,1,M_0,"The General eyed me coldly, greeted me in rather haughty fashion, and dismissed me to pay my respects to his sister.","Le general me regarda d'un air tres independant, me parla avec hauteur et me renvoya a sa soeur.",2,aligned,204,300,268,384,"Le general me regarda d'un air tres independant, me parla avec hauteur et me renvoya a sa soeur. ","The
General eyed me coldly, greeted me in rather haughty fashion, and
dismissed me to pay my respects to his sister. ",['Le general'],"[('Le general', 204, 214)]","(('Le general', 204, 214),)",Le general,204,214
exp,exp_name,the general,The General,268,279,16,5,1,M_0,"""The General ""","-- Alors, si aucune priere n'a d'effet sur vous, reprit-il severement et avec hauteur, permettez-moi de vous dire qu'on prendra d'autres mesures.",804,aligned,76063,76208,268,279,"-- Alors, si aucune priere n'a d'effet sur vous, reprit-il severement et avec hauteur, permettez-moi de vous dire qu'on prendra d'autres mesures. ","The
General ",['Le general'],"[(None, None, None)]","((None, None, None),)",,,
booknlp,COREF,150,his,373,376,16,5,1,M_1,"The General eyed me coldly, greeted me in rather haughty fashion, and dismissed me to pay my respects to his sister.","Le general me regarda d'un air tres independant, me parla avec hauteur et me renvoya a sa soeur.",2,aligned,204,300,268,384,"Le general me regarda d'un air tres independant, me parla avec hauteur et me renvoya a sa soeur. ","The
General eyed me coldly, greeted me in rather haughty fashion, and
dismissed me to pay my respects to his sister. ","['son', 'sa', 'ses', 'le sien']","[('sa', 291, 293)]","(('sa', 291, 293),)",sa,291,293
exp,exp_name,polina alexandrovna,Polina Alexandrovna,897,916,12,5,1,M_3,"Polina Alexandrovna, on seeing me, inquired why I had been so long away.","En me voyant, Paulina Alexandrovna me demanda pourquoi j'etais reste si longtemps, et disparut sans attendre ma reponse.",27,aligned,784,904,897,969,"En me voyant, Paulina Alexandrovna me demanda pourquoi j'etais reste si longtemps, et disparut sans attendre ma reponse. ","Polina Alexandrovna, on seeing me, inquired why I had been so
long away. ",['Polina Alexandrovna'],"[(None, None, None)]","((None, None, None),)",,,
exp,exp_name,the general,the General,1376,1387,16,6,1,M_6,"So far as I could see, the party had already gained some notoriety in the place, which had come to look upon the General as a Russian nobleman of great wealth.",-- Le general passe pour un tres riche seigneur.,32,aligned,1136,1184,1267,1426,-- Le general passe pour un tres riche seigneur. ,"So far as I could
see, the party had already gained some notoriety in the place, which
had come to look upon the General as a Russian nobleman of great
wealth. ",['le general'],"[('le general', 1139, 1149)]","(('le general', 1139, 1149),)",le general,1139,1149
booknlp,COREF,150,he,1456,1458,16,6,1,M_7,"Indeed, even before luncheon he charged me, among other things, to get two thousand-franc notes changed for him at the hotel counter, which put us in a position to be thought millionaires at all events for a week!","Avant le diner, il me donna entre autres commissions celle de changer des billets de mille francs. J'ai fait de la monnaie dans le bureau de l'hotel ; nous voila, aux yeux des gens, millionnaires au moins durant toute une semaine.",34,aligned,1185,1415,1427,1640,"Avant le diner, il me donna entre autres commissions celle de changer des billets de mille francs. J'ai fait de la monnaie dans le bureau de l'hotel ; nous voila, aux yeux des gens, millionnaires au moins durant toute une semaine.
","Indeed, even before luncheon he charged me, among other things,
to get two thousand-franc notes changed for him at the hotel counter,
which put us in a position to be thought millionaires at all events for
a week! ",['il'],"[('il', 1201, 1203)]","(('il', 1201, 1203),)",il,1201,1203
booknlp,COREF,150,him,1535,1538,16,6,1,M_8,"Indeed, even before luncheon he charged me, among other things, to get two thousand-franc notes changed for him at the hotel counter, which put us in a position to be thought millionaires at all events for a week!","Avant le diner, il me donna entre autres commissions celle de changer des billets de mille francs. J'ai fait de la monnaie dans le bureau de l'hotel ; nous voila, aux yeux des gens, millionnaires au moins durant toute une semaine.",34,aligned,1185,1415,1427,1640,"Avant le diner, il me donna entre autres commissions celle de changer des billets de mille francs. J'ai fait de la monnaie dans le bureau de l'hotel ; nous voila, aux yeux des gens, millionnaires au moins durant toute une semaine.
","Indeed, even before luncheon he charged me, among other things,
to get two thousand-franc notes changed for him at the hotel counter,
which put us in a position to be thought millionaires at all events for
a week! ",['lui'],"[(None, None, None)]","((None, None, None),)",,,
exp,exp_name,the general,the General,1760,1771,16,6,1,M_9,"Later, I was about to take Mischa and Nadia for a walk when a summons reached me from the staircase that I must attend the General.",Je voulus d'abord prendre Nicha et Nadia pour me promener avec eux. Mais de l'escalier on m'appela chez le general : il desirait savoir ou je les menais.,35,aligned,1417,1570,1641,1772,Je voulus d'abord prendre Nicha et Nadia pour me promener avec eux. Mais de l'escalier on m'appela chez le general : il desirait savoir ou je les menais. ,"Later, I was about to take Mischa and Nadia for a walk when a
summons reached me from the staircase that I must attend the General.
",['le general'],"[('le general', 1521, 1531)]","(('le general', 1521, 1531),)",le general,1521,1531
booknlp,COREF,150,He,1773,1775,16,6,1,M_10,"He began by deigning to inquire of me where I was going to take the children; and as he did so, I could see that he failed to look me in the eyes.","Decidement, cet homme ne peut me regarder en face. Il s'y efforce ; mais chaque fois je lui reponds par un regard si fixe, si calme qu'il perd aussitot contenance.",36,aligned,1571,1734,1773,1919,"Decidement, cet homme ne peut me regarder en face. Il s'y efforce ; mais chaque fois je lui reponds par un regard si fixe, si calme qu'il perd aussitot contenance. ","He began by deigning to inquire of me where I was going to take the
children; and as he did so, I could see that he failed to look me in
the eyes. ",['Il'],"[('Il', 1622, 1624), ('Il', 1706, 1708)]","(('Il', 1622, 1624), ('Il', 1706, 1708))",,,
booknlp,COREF,150,he,1858,1860,16,6,1,M_11,"He began by deigning to inquire of me where I was going to take the children; and as he did so, I could see that he failed to look me in the eyes.","Decidement, cet homme ne peut me regarder en face. Il s'y efforce ; mais chaque fois je lui reponds par un regard si fixe, si calme qu'il perd aussitot contenance.",36,aligned,1571,1734,1773,1919,"Decidement, cet homme ne peut me regarder en face. Il s'y efforce ; mais chaque fois je lui reponds par un regard si fixe, si calme qu'il perd aussitot contenance. ","He began by deigning to inquire of me where I was going to take the
children; and as he did so, I could see that he failed to look me in
the eyes. ",['il'],"[('il', 1622, 1624), ('il', 1706, 1708)]","(('il', 1622, 1624), ('il', 1706, 1708))",il,1622,1624
booknlp,COREF,150,he,1886,1888,16,6,1,M_12,"He began by deigning to inquire of me where I was going to take the children; and as he did so, I could see that he failed to look me in the eyes.","Decidement, cet homme ne peut me regarder en face. Il s'y efforce ; mais chaque fois je lui reponds par un regard si fixe, si calme qu'il perd aussitot contenance.",36,aligned,1571,1734,1773,1919,"Decidement, cet homme ne peut me regarder en face. Il s'y efforce ; mais chaque fois je lui reponds par un regard si fixe, si calme qu'il perd aussitot contenance. ","He began by deigning to inquire of me where I was going to take the
children; and as he did so, I could see that he failed to look me in
the eyes. ",['il'],"[('il', 1622, 1624), ('il', 1706, 1708)]","(('il', 1622, 1624), ('il', 1706, 1708))",il,1706,1708
booknlp,COREF,150,he,2144,2146,16,6,1,M_15,"In pompous language, however, which jumbled one sentence into another, and at length grew disconnected, he gave me to understand that I was to lead the children altogether away from the Casino, and out into the park.","En un discours tres pompeux, par phrases etagees solennellement, il m'expliqua que je devais me promener avec les enfants dans le parc.",38,aligned,1735,1870,2040,2256,"En un discours tres pompeux, par phrases etagees solennellement, il m'expliqua que je devais me promener avec les enfants dans le parc. ","In pompous
language, however, which jumbled one sentence into another, and at
length grew disconnected, he gave me to understand that I was to lead
the children altogether away from the Casino, and out into the park.
",['il'],"[('il', 1800, 1802)]","(('il', 1800, 1802),)",il,1800,1802
