eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"THE STRANGE MAN S ARRIVAL The stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand.","L'Homme invisible Herbert George Wells La Revue de Paris, Paris, La Revue de Paris, 1900-1901 Exporte de Wikisource le 9 janvier 2025 I UN ETRANGE VOYAGEUR L'etranger arriva au commencement de fevrier, un jour brumeux, dans un tourbillon de vent et de neige.",0,aligned,0,283,59,338,"L'Homme invisible



Herbert George Wells





La Revue de Paris, Paris, La Revue de Paris, 1900-1901





Exporte de Wikisource le 9 janvier 2025




I



UN ETRANGE VOYAGEUR





L'etranger arriva au commencement de fevrier, un jour brumeux, dans un tourbillon de vent et de neige. ","THE STRANGE MAN S ARRIVAL


The stranger came early in February, one wintry day, through a biting
wind and a driving snow, the last snowfall of the year, over the down,
walking from Bramblehurst railway station, and carrying a little black
portmanteau in his thickly gloved hand. "
"He staggered into the ""Coach and Horses"" more dead than alive, and flung his portmanteau down. ""A fire,"" he cried, ""in the name of human charity! A room and a fire!""","Il entra, chancelant, plus mort que vif, dans l'auberge et posant a terre son bagage : -- Du feu, s'ecria-t-il, du feu, par charite ! Une chambre et du feu !",1,aligned,704,862,577,741,"Il entra, chancelant, plus mort que vif, dans l'auberge et posant a terre son bagage :

-- Du feu, s'ecria-t-il, du feu, par charite ! Une chambre et du feu !
","He staggered into the ""Coach and Horses"" more dead than alive, and
flung his portmanteau down. ""A fire,"" he cried, ""in the name of human
charity! A room and a fire!"""
"He came on foot, across the downs, from Bramblehurst station, carrying in his thickly gloved hand a small black portmanteau.","Il venait pedestrement, par la dune, de la station de Bramblehurst, portant, de sa main couverte d'un gant epais, une petite valise noire.",2,aligned,284,422,-1,-1,"Il venait pedestrement, par la dune, de la station de Bramblehurst, portant, de sa main couverte d'un gant epais, une petite valise noire. ",
"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.",3,aligned,423,702,339,576,"Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.
","He was wrapped up from head to
foot, and the brim of his soft felt hat hid every inch of his face but
the shiny tip of his nose; the snow had piled itself against his
shoulders and chest, and added a white crest to the burden he carried.
"
"He stamped and shook the snow from off himself in the bar, and followed Mrs. Hall into her guest parlour to strike his bargain.","Il frappa de la semelle, secoua dans le bar la neige qui le couvrait, puis suivit madame Hall dans le petit salon pour faire ses conditions.",4,aligned,864,1004,743,870,"Il frappa de la semelle, secoua dans le bar la neige qui le couvrait, puis suivit madame Hall dans le petit salon pour faire ses conditions. ","He stamped and shook the snow from off
himself in the bar, and followed Mrs. Hall into her guest parlour to
strike his bargain. "
Et encore un hote qui ne marchandait pas !,(No direct equivalent in text),5,not aligned,-1,-1,-1,-1,,
"He made no answer, and had turned his face away from her again, and Mrs. Hall, feeling that her conversational advances were ill-timed, laid the rest of the table things in a quick staccato and whisked out of the room.","Il ne repliqua pas et se detourna de nouveau. Madame Hall, sentant ses avances inopportunes, acheva lestement de dresser la table et s'empressa, en trottinant, de sortir.",6,aligned,2665,2835,2450,2668,"Il ne repliqua pas et se detourna de nouveau. Madame Hall, sentant ses avances inopportunes, acheva lestement de dresser la table et s'empressa, en trottinant, de sortir. ","He made no answer, and had turned his face away from her again, and
Mrs. Hall, feeling that her conversational advances were ill-timed,
laid the rest of the table things in a quick staccato and whisked out
of the room. "
"""Very well, sir,"" she said. ""_As_ you like. In a bit the room will be warmer.""","-- Tres bien, monsieur, comme il vous plaira... Dans un moment la piece sera plus chaude.",7,aligned,2574,2663,2371,2447,"-- Tres bien, monsieur, comme il vous plaira... Dans un moment la piece sera plus chaude.
","Very well, sir,"" she said. ""_As_ you like. In a bit the room will be
warmer."""
"""I prefer to keep them on,"" he said with emphasis, and she noticed that he wore big blue spectacles with sidelights, and had a bush side-whisker over his coat-collar that completely hid his cheeks and face.","-- Je prefere les garder, ajouta-t-il nettement. Madame Hall observa qu'il portait de grosses lunettes bleues, avec des verres a angle droit, et que d'epais favoris, repandus sur le col de son vetement, empechaient de rien voir de ses joues ni de son visage.",8,aligned,2313,2572,2163,2368,"-- Je prefere les garder, ajouta-t-il nettement.

Madame Hall observa qu'il portait de grosses lunettes bleues, avec des verres a angle droit, et que d'epais favoris, repandus sur le col de son vetement, empechaient de rien voir de ses joues ni de son visage.
","I prefer to
keep them on,"" he said with emphasis, and she noticed that he wore big
blue spectacles with sidelights, and had a bush side-whisker over his
coat-collar that completely hid his cheeks and face.
"
He turned his head and looked at her over his shoulder.,(No direct equivalent in text),9,not aligned,-1,-1,2106,2161,,He turned his head and looked at her over his shoulder. 
