eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"He came on foot, across the downs, from Bramblehurst station, carrying in his thickly gloved hand a small black portmanteau.","Il venait pedestrement, par la dune, de la station de Bramblehurst, portant, de sa main couverte d'un gant epais, une petite valise noire.",2,aligned,284,422,-1,-1,"Il venait pedestrement, par la dune, de la station de Bramblehurst, portant, de sa main couverte d'un gant epais, une petite valise noire. ",
Et encore un hote qui ne marchandait pas !,(No direct equivalent in text),5,not aligned,-1,-1,-1,-1,,
He turned his head and looked at her over his shoulder.,(No direct equivalent in text),9,not aligned,-1,-1,2106,2161,,He turned his head and looked at her over his shoulder. 
"""There!"" She went quite softly to the kitchen, and was too preoccupied to ask Millie what she was messing about with now, when she got there.","Elle retourna tout doucement a la cuisine, trop preoccupee pour demander a Millie ce que celle-ci fricotait juste a ce moment.",46,aligned,7227,7353,-1,-1,"Elle retourna tout doucement a la cuisine, trop preoccupee pour demander a Millie ce que celle-ci fricotait juste a ce moment.
",
"""I never,"" she whispered.","-- Non, jamais je n'ai..., dit-elle tout bas.",47,aligned,7180,7225,-1,-1,"-- Non, jamais je n'ai..., dit-elle tout bas.
",
"""I'll have them nicely dried, sir, at once,"" she said, and carried his clothes out of the room.","-- Je vais les faire bien secher tout de suite >>, dit-elle en sortant de la piece avec les vetements.",54,aligned,6790,6892,-1,-1,"-- Je vais les faire bien secher tout de suite >>, dit-elle en sortant de la piece avec les vetements.
",
"It was bright, pink, and shiny just as it had been at first.",(No direct equivalent in text),58,not aligned,-1,-1,5016,5076,,"It was bright, pink, and shiny just as it
had been at first. "
"""I didn't know, sir,"" she began, ""that..."" and she stopped embarrassed.","-- Je ne savais pas, monsieur, que... que... Et elle s'arreta, tout embarrassee.",60,aligned,6610,6691,-1,-1,"-- Je ne savais pas, monsieur, que... que...

Et elle s'arreta, tout embarrassee.
",
"""It was altogether too discouraging.""",(No direct equivalent in text),109,not aligned,-1,-1,10341,10376,,"It was altogether
too discouraging. "
"""She went for the matches.""",(No direct equivalent in text),113,not aligned,-1,-1,10194,10219,,"She went for the matches.
"
"""Very glad.""",(No direct equivalent in text),137,not aligned,-1,-1,13931,13941,,"Very glad."""
"""I thought, sir,"" said Mrs. Hall, ""you d prefer the clock...""","-- Je pensais, monsieur, que vous prefereriez que l'horloge...",144,aligned,15242,15304,-1,-1,"-- Je pensais, monsieur, que vous prefereriez que l'horloge...
",
"""But I m really glad to have the clock seen to,"" he said, seeing a certain hesitation in Mr. Henfrey s manner.",(No direct equivalent in text),146,not aligned,-1,-1,13820,13929,,"But I m really glad to have the clock seen to,"" he said, seeing a
certain hesitation in Mr. Henfrey s manner. "
"Mr. Henfrey had intended to apologise and withdraw, but this anticipation reassured him.",(No direct equivalent in text),147,not aligned,-1,-1,13943,14031,,"Mr. Henfrey
had intended to apologise and withdraw, but this anticipation reassured
him. "
Lock myself up.,(No direct equivalent in text),163,not aligned,-1,-1,15473,15488,,Lock myself up. 
"At such times the slightest disturbance, the entry of a stranger into the room, is a source of excruciating annoyance to me.","A ces moments-la, le moindre derangement, par exemple l'entree de quelqu'un dans ma chambre, est pour moi une cause de veritable torture...",167,aligned,17056,17195,-1,-1,"A ces moments-la, le moindre derangement, par exemple l'entree de quelqu'un dans ma chambre, est pour moi une cause de veritable torture... ",
