eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,translations,occurrences,occurrences_tuple,fr_text,fr_startByte,fr_endByte
exp,exp_name,the stranger,The stranger,87,99,24,4,1,M_1,"THE STRANGE MAN S ARRIVAL The stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand.","L'Homme invisible Herbert George Wells La Revue de Paris, Paris, La Revue de Paris, 1900-1901 Exporte de Wikisource le 9 janvier 2025 I UN ETRANGE VOYAGEUR L'etranger arriva au commencement de fevrier, un jour brumeux, dans un tourbillon de vent et de neige.",0,aligned,0,283,59,338,"L'Homme invisible



Herbert George Wells





La Revue de Paris, Paris, La Revue de Paris, 1900-1901





Exporte de Wikisource le 9 janvier 2025




I



UN ETRANGE VOYAGEUR





L'etranger arriva au commencement de fevrier, un jour brumeux, dans un tourbillon de vent et de neige. ","THE STRANGE MAN S ARRIVAL


The stranger came early in February, one wintry day, through a biting
wind and a driving snow, the last snowfall of the year, over the down,
walking from Bramblehurst railway station, and carrying a little black
portmanteau in his thickly gloved hand. ","[""L'etranger""]","[(""L'etranger"", 181, 191)]","((""L'etranger"", 181, 191),)",L'etranger,181,191
booknlp,COREF,152,his,314,317,24,4,1,M_2,"THE STRANGE MAN S ARRIVAL The stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand.","L'Homme invisible Herbert George Wells La Revue de Paris, Paris, La Revue de Paris, 1900-1901 Exporte de Wikisource le 9 janvier 2025 I UN ETRANGE VOYAGEUR L'etranger arriva au commencement de fevrier, un jour brumeux, dans un tourbillon de vent et de neige.",0,aligned,0,283,59,338,"L'Homme invisible



Herbert George Wells





La Revue de Paris, Paris, La Revue de Paris, 1900-1901





Exporte de Wikisource le 9 janvier 2025




I



UN ETRANGE VOYAGEUR





L'etranger arriva au commencement de fevrier, un jour brumeux, dans un tourbillon de vent et de neige. ","THE STRANGE MAN S ARRIVAL


The stranger came early in February, one wintry day, through a biting
wind and a driving snow, the last snowfall of the year, over the down,
walking from Bramblehurst railway station, and carrying a little black
portmanteau in his thickly gloved hand. ","['son', 'sa', 'ses', 'le sien']","[(None, None, None)]","((None, None, None),)",,,
booknlp,COREF,152,He,339,341,24,4,1,M_3,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.",3,aligned,423,702,339,576,"Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.
","He was wrapped up from head to
foot, and the brim of his soft felt hat hid every inch of his face but
the shiny tip of his nose; the snow had piled itself against his
shoulders and chest, and added a white crest to the burden he carried.
",['Il'],"[('Il', 423, 425), ('Il', 686, 688)]","(('Il', 423, 425), ('Il', 686, 688))",,,
booknlp,COREF,152,his,392,395,24,4,1,M_4,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.",3,aligned,423,702,339,576,"Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.
","He was wrapped up from head to
foot, and the brim of his soft felt hat hid every inch of his face but
the shiny tip of his nose; the snow had piled itself against his
shoulders and chest, and added a white crest to the burden he carried.
","['son', 'sa', 'ses', 'le sien']","[('son', 565, 568), ('sa', 532, 534), ('sa', 622, 624), ('ses', 605, 608)]","(('son', 565, 568), ('sa', 532, 534), ('sa', 622, 624), ('ses', 605, 608))",son,565,568
booknlp,COREF,152,his,428,431,24,4,1,M_5,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.",3,aligned,423,702,339,576,"Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.
","He was wrapped up from head to
foot, and the brim of his soft felt hat hid every inch of his face but
the shiny tip of his nose; the snow had piled itself against his
shoulders and chest, and added a white crest to the burden he carried.
","['son', 'sa', 'ses', 'le sien']","[('son', 565, 568), ('sa', 532, 534), ('sa', 622, 624), ('ses', 605, 608)]","(('son', 565, 568), ('sa', 532, 534), ('sa', 622, 624), ('ses', 605, 608))",sa,532,534
booknlp,COREF,152,his,458,461,24,4,1,M_6,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.",3,aligned,423,702,339,576,"Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.
","He was wrapped up from head to
foot, and the brim of his soft felt hat hid every inch of his face but
the shiny tip of his nose; the snow had piled itself against his
shoulders and chest, and added a white crest to the burden he carried.
","['son', 'sa', 'ses', 'le sien']","[('son', 565, 568), ('sa', 532, 534), ('sa', 622, 624), ('ses', 605, 608)]","(('son', 565, 568), ('sa', 532, 534), ('sa', 622, 624), ('ses', 605, 608))",sa,622,624
booknlp,COREF,152,his,502,505,24,4,1,M_7,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.",3,aligned,423,702,339,576,"Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.
","He was wrapped up from head to
foot, and the brim of his soft felt hat hid every inch of his face but
the shiny tip of his nose; the snow had piled itself against his
shoulders and chest, and added a white crest to the burden he carried.
","['son', 'sa', 'ses', 'le sien']","[('son', 565, 568), ('sa', 532, 534), ('sa', 622, 624), ('ses', 605, 608)]","(('son', 565, 568), ('sa', 532, 534), ('sa', 622, 624), ('ses', 605, 608))",ses,605,608
booknlp,COREF,152,he,565,567,24,4,1,M_8,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.",3,aligned,423,702,339,576,"Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.
","He was wrapped up from head to
foot, and the brim of his soft felt hat hid every inch of his face but
the shiny tip of his nose; the snow had piled itself against his
shoulders and chest, and added a white crest to the burden he carried.
",['il'],"[('il', 423, 425), ('il', 686, 688)]","(('il', 423, 425), ('il', 686, 688))",,,
booknlp,COREF,152,He,577,579,24,4,1,M_9,"He staggered into the ""Coach and Horses"" more dead than alive, and flung his portmanteau down. ""A fire,"" he cried, ""in the name of human charity! A room and a fire!""","Il entra, chancelant, plus mort que vif, dans l'auberge et posant a terre son bagage : -- Du feu, s'ecria-t-il, du feu, par charite ! Une chambre et du feu !",1,aligned,704,862,577,741,"Il entra, chancelant, plus mort que vif, dans l'auberge et posant a terre son bagage :

-- Du feu, s'ecria-t-il, du feu, par charite ! Une chambre et du feu !
","He staggered into the ""Coach and Horses"" more dead than alive, and
flung his portmanteau down. ""A fire,"" he cried, ""in the name of human
charity! A room and a fire!""",['Il'],"[('Il', 704, 706), ('Il', 813, 815)]","(('Il', 704, 706), ('Il', 813, 815))",,,
booknlp,COREF,152,his,650,653,24,4,1,M_10,"He staggered into the ""Coach and Horses"" more dead than alive, and flung his portmanteau down. ""A fire,"" he cried, ""in the name of human charity! A room and a fire!""","Il entra, chancelant, plus mort que vif, dans l'auberge et posant a terre son bagage : -- Du feu, s'ecria-t-il, du feu, par charite ! Une chambre et du feu !",1,aligned,704,862,577,741,"Il entra, chancelant, plus mort que vif, dans l'auberge et posant a terre son bagage :

-- Du feu, s'ecria-t-il, du feu, par charite ! Une chambre et du feu !
","He staggered into the ""Coach and Horses"" more dead than alive, and
flung his portmanteau down. ""A fire,"" he cried, ""in the name of human
charity! A room and a fire!""","['son', 'sa', 'ses', 'le sien']","[('son', 778, 781)]","(('son', 778, 781),)",son,778,781
