eng,fr,id,llm alignment result,group
"He came on foot, across the downs, from Bramblehurst station, carrying in his thickly gloved hand a small black portmanteau.","Il venait pedestrement, par la dune, de la station de Bramblehurst, portant, de sa main couverte d'un gant epais, une petite valise noire.","[1, 4]",aligned,1
"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez. La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.","[1, 4]",aligned,1
"He staggered into the ""Coach and Horses"" more dead than alive, and flung his portmanteau down. ""A fire,"" he cried, ""in the name of human charity! A room and a fire!""","Il entra, chancelant, plus mort que vif, dans l'auberge et posant a terre son bagage : -- Du feu, s'ecria-t-il, du feu, par charite ! Une chambre et du feu !","[1, 4]",aligned,1
"And with that much introduction, that and a couple of sovereigns flung upon the table, he took up his quarters in the inn.","Sans autre preambule, et jetant deux souverains sur la table, il s'installa dans l'auberge.","[6, 8, 9, 18, 22]",aligned,2
Mrs. Hall lit the fire and left him there while she went to prepare him a meal with her own hands.,Madame Hall disposa le feu et alla preparer le repas de ses propres mains.,"[6, 8, 9, 18, 22]",aligned,2
"A guest to stop at Iping in the wintertime was an unheard-of piece of luck, let alone a guest who was no ""haggler,""","Un hote s'arretant a Iping en hiver, c'etait une aubaine dont on n'avait jamais entendu parler.","[6, 8, 9, 18, 22]",aligned,2
and she was resolved to show herself worthy of her good fortune.,Elle etait resolue a se montrer digne de sa bonne fortune.,"[6, 8, 9, 18, 22]",aligned,2
"As soon as the bacon was well under way, and Millie, her lymphatic maid, had been brisked up a bit by a few deftly chosen expressions of contempt,","Des que le jambon fut bien a point, des que Millie, la lymphatique servante, eut ete un peu reveillee par quelques injures adroitement choisies,","[6, 8, 9, 18, 22]",aligned,2
"she carried the cloth, plates, and glasses into the parlour and began to lay them with the utmost _ clat_.","l'hotesse apporta nappe, assiettes et verres dans la salle et commenca de mettre le couvert avec le plus d'elegance possible.","[6, 8, 9, 18, 22]",aligned,2
"Although the fire was burning up briskly, she was surprised to see that her visitor still wore his hat and coat, standing with his back to her and staring out of the window at the falling snow in the yard.","Quoique le feu brulat vivement, elle constata, non sans surprise, que le voyageur conservait toujours son chapeau et son manteau, et se tenait de maniere a dissimuler son visage.","[6, 8, 9, 18, 22]",aligned,2
"His gloved hands were clasped behind him, and he seemed to be lost in thought.",Ses mains toujours gantees etaient croisees derriere son dos. Il paraissait perdu dans ses reflexions.,"[6, 8, 9, 18, 22]",aligned,2
She noticed that the melting snow that still sprinkled his shoulders dripped upon her carpet.,"Elle remarqua que la neige fondue qui saupoudrait encore ses epaules, tombait goutte a goutte sur le tapis.","[6, 8, 9, 18, 22]",aligned,2
"""Can I take your hat and coat, sir?"" she said, ""and give them a good dry in the kitchen?""","-- Voulez-vous me permettre, monsieur, dit-elle, de prendre vos effets, pour les mettre a secher dans la cuisine ?","[6, 8, 9, 18, 22]",aligned,2
"""No,"" he said without turning.","- Non, repondit l'autre sans se retourner.","[6, 8, 9, 18, 22]",aligned,2
"She was not sure she had heard him, and was about to repeat her question.","N'etant pas sure d'avoir bien entendu, elle allait repeter sa question, quand il retourna la tete et, la regardant :","[6, 8, 9, 18, 22]",aligned,2
He turned his head and looked at her over his shoulder.,(No direct equivalent in text),"[6, 8, 9, 18, 22]",not aligned,2
"""I prefer to keep them on,"" he said with emphasis, and she noticed that he wore big blue spectacles with sidelights, and had a bush side-whisker over his coat-collar that completely hid his cheeks and face.","-- Je prefere les garder, ajouta-t-il nettement. Madame Hall observa qu'il portait de grosses lunettes bleues, avec des verres a angle droit, et que d'epais favoris, repandus sur le col de son vetement, empechaient de rien voir de ses joues ni de son visage.","[6, 8, 9, 18, 22]",aligned,2
"""Very well, sir,"" she said. ""_As_ you like. In a bit the room will be warmer.""","-- Tres bien, monsieur, comme il vous plaira... Dans un moment la piece sera plus chaude.","[6, 8, 9, 18, 22]",aligned,2
"He made no answer, and had turned his face away from her again, and Mrs. Hall, feeling that her conversational advances were ill-timed, laid the rest of the table things in a quick staccato and whisked out of the room.","Il ne repliqua pas et se detourna de nouveau. Madame Hall, sentant ses avances inopportunes, acheva lestement de dresser la table et s'empressa, en trottinant, de sortir.","[6, 8, 9, 18, 22]",aligned,2
Et encore un hote qui ne marchandait pas !,(No direct equivalent in text),"[6, 8, 9, 18, 22]",not aligned,2
"She put down the eggs and bacon with considerable emphasis, and called rather than said to him, ""Your lunch is served, sir.""","Elle servit d'un geste important les oeufs au jambon et cria, plutot qu'elle ne dit : -- Votre dejeuner est pret, monsieur !","[24, 26]",aligned,3
"""Thank you,"" he said at the same time, and did not stir until she was closing the door.","-- Merci, fit-il aussitot. ~~~ Mais il ne bougea pas jusqu'a ce qu'elle eut referme la porte sur elle.","[24, 26]",aligned,3
Then he swung round and approached the table with a certain eager quickness.,Alors seulement il fit volte-face et s'approcha de la table avec une certaine impatience.,"[24, 26]",aligned,3
