eng,fr,id,llm alignment result
"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.","Il venait pedestrement, par la dune, de la station de Bramblehurst, portant, de sa main couverte d'un gant epais, une petite valise noire. ~~~ Il etait bien enveloppe des pieds a la tete, et le bord d'un chapeau de feutre mou ne laissait apercevoir de sa figure que le bout luisant de son nez.",1,aligned
"He staggered into the ""Coach and Horses"" more dead than alive, and flung his portmanteau down.","La neige s'etait amoncelee sur ses epaules, sur sa poitrine ; elle ajoutait aussi une crete blanche au sac dont il etait charge.",2,not aligned
"""A fire,"" he cried, ""in the name of human charity!","Il entra, chancelant, plus mort que vif, dans l'auberge et posant a terre son bagage : -- Du feu, s'ecria-t-il, du feu, par charite !",3,not aligned
"A room and a fire!""",Une chambre et du feu !,4,aligned
"And with that much introduction, that and a couple of sovereigns flung upon the table, he took up his quarters in the inn.","Sans autre preambule, et jetant deux souverains sur la table, il s'installa dans l'auberge.",6,aligned
Mrs. Hall lit the fire and left him there while she went to prepare him a meal with her own hands.,Madame Hall disposa le feu et alla preparer le repas de ses propres mains.,7,not aligned
"A guest to stop at Iping in the wintertime was an unheard-of piece of luck, let alone a guest who was no ""haggler,"" and she was resolved to show herself worthy of her good fortune.","Un hote s'arretant a Iping en hiver, c'etait une aubaine dont on n'avait jamais entendu parler. ~~~ Et encore un hote qui ne marchandait pas ! ~~~ Elle etait resolue a se montrer digne de sa bonne fortune.",8,aligned
"As soon as the bacon was well under way, and Millie, her lymphatic maid, had been brisked up a bit by a few deftly chosen expressions of contempt, she carried the cloth, plates, and glasses into the parlour and began to lay them with the utmost _ clat_.","Des que le jambon fut bien a point, des que Millie, la lymphatique servante, eut ete un peu reveillee par quelques injures adroitement choisies, l'hotesse apporta nappe, assiettes et verres dans la salle et commenca de mettre le couvert avec le plus d'elegance possible.",9,aligned
"Although the fire was burning up briskly, she was surprised to see that her visitor still wore his hat and coat, standing with his back to her and staring out of the window at the falling snow in the yard.","Quoique le feu brulat vivement, elle constata, non sans surprise, que le voyageur conservait toujours son chapeau et son manteau, et se tenait de maniere a dissimuler son visage.",10,not aligned
"His gloved hands were clasped behind him, and he seemed to be lost in thought.",Ses mains toujours gantees etaient croisees derriere son dos.,11,not aligned
She noticed that the melting snow that still sprinkled his shoulders dripped upon her carpet.,,12,not aligned
"""Can I take your hat and coat, sir?""",Il paraissait perdu dans ses reflexions.,13,not aligned
"she said, ""and give them a good dry in the kitchen?""","Elle remarqua que la neige fondue qui saupoudrait encore ses epaules, tombait goutte a goutte sur le tapis.",14,not aligned
"""No,"" he said without turning. ~~~ She was not sure she had heard him, and was about to repeat her question.","-- Voulez-vous me permettre, monsieur, dit-elle, de prendre vos effets, pour les mettre a secher dans la cuisine ?",15,not aligned
He turned his head and looked at her over his shoulder.,"- Non, repondit l'autre sans se retourner.",16,not aligned
