eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"Sir Walter Elliot, of Kellynch Hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage;","Sir Walter Elliot, de Kellynch-Hall, dans le comte de Somerset, n'avait jamais touche un livre pour son propre amusement, si ce n'est le livre heraldique.",0,aligned,23,177,53,188,"Sir Walter Elliot, de Kellynch-Hall, dans le comte de Somerset, n'avait jamais touche un livre pour son propre amusement, si ce n'est le livre heraldique.
","Sir Walter Elliot, of Kellynch Hall, in Somersetshire, was a man who,
for his own amusement, never took up any book but the Baronetage; "
"Lady Elliot had been an excellent woman, sensible and amiable; whose judgement and conduct, if they might be pardoned the youthful infatuation which made her Lady Elliot, had never required indulgence afterwards.--She had humoured, or softened, or concealed his failings, and promoted his real respectability for seventeen years;","Lady Elliot avait ete une excellente femme, sensee et aimable, dont le jugement et la raison ne la tromperent jamais, si ce n'est en s'eprenant de Sir Walter. Elle supporta, cacha ou deguisa ses defauts, et pendant dix-sept ans le fit respecter.",1,aligned,2626,2872,2928,3257,"Lady Elliot avait ete une excellente femme, sensee et aimable, dont le jugement et la raison ne la tromperent jamais, si ce n'est en s'eprenant de Sir Walter.

Elle supporta, cacha ou deguisa ses defauts, et pendant dix-sept ans le fit respecter. ","Lady Elliot had been an excellent woman,
sensible and amiable; whose judgement and conduct, if they might be
pardoned the youthful infatuation which made her Lady Elliot, had never
required indulgence afterwards.--She had humoured, or softened, or
concealed his failings, and promoted his real respectability for
seventeen years; "
His good looks and his rank had one fair claim on his attachment; since to them he must have owed a wife of very superior character to any thing deserved by his own.,Il dut a sa belle figure et a sa noblesse d'epouser une femme tres superieure a lui.,2,aligned,2541,2625,2761,2926,Il dut a sa belle figure et a sa noblesse d'epouser une femme tres superieure a lui. ,"His good looks and his rank had one fair claim on his attachment; since
to them he must have owed a wife of very superior character to any
thing deserved by his own. "
"He considered the blessing of beauty as inferior only to the blessing of a baronetcy; and the Sir Walter Elliot, who united these gifts, was the constant object of his warmest respect and devotion.","A ses yeux, la beaute n'etait inferieure qu'a la noblesse, et le Sir Walter Elliot, qui reunissait tous ces dons, etait l'objet constant de son propre respect et de sa veneration.",3,aligned,2360,2539,2562,2759,"A ses yeux, la beaute n'etait inferieure qu'a la noblesse, et le Sir Walter Elliot, qui reunissait tous ces dons, etait l'objet constant de son propre respect et de sa veneration.
","He considered the blessing of beauty as inferior only to
the blessing of a baronetcy; and the Sir Walter Elliot, who united
these gifts, was the constant object of his warmest respect and
devotion.
"
"Few women could think more of their personal appearance than he did, nor could the valet of any new made lord be more delighted with the place he held in society.",et il etait plus satisfait de sa place dans la societe que le valet d'un lord de fraiche date.,4,aligned,2265,2359,2398,2560,et il etait plus satisfait de sa place dans la societe que le valet d'un lord de fraiche date. ,"Few women
could think more of their personal appearance than he did, nor could
the valet of any new made lord be more delighted with the place he held
in society. "
"He had been remarkably handsome in his youth; and, at fifty-four, was still a very fine man.","Il avait ete remarquablement beau dans sa jeunesse, et a cinquante-quatre ans, etant tres bien conserve, il avait plus de pretentions a la beaute que bien des femmes,",5,aligned,2098,2264,2304,2396,"Il avait ete remarquablement beau dans sa jeunesse, et a cinquante-quatre ans, etant tres bien conserve, il avait plus de pretentions a la beaute que bien des femmes, ","He had been remarkably handsome in
his youth; and, at fifty-four, was still a very fine man. "
Vanity was the beginning and the end of Sir Walter Elliot's character; vanity of person and of situation.,"La vanite etait le commencement et la fin du caractere de Sir Elliot : vanite personnelle, et vanite de rang.",6,aligned,1987,2096,2197,2302,"La vanite etait le commencement et la fin du caractere de Sir Elliot : vanite personnelle, et vanite de rang.
","Vanity was the beginning and the end of Sir Walter Elliot's character;
vanity of person and of situation. "
"and Sir Walter's handwriting again in this finale:-- ""Heir presumptive, William Walter Elliot, Esq., great grandson of the second Sir Walter.""","Puis, de la main de Sir Walter : << Heritier presomptif : William Walter Elliot, esquire, arriere-petit-fils du second Sir Walter. >>",7,aligned,1851,1982,2052,2194,"Puis, de la main de Sir Walter :

<< Heritier presomptif : William Walter Elliot, esquire, arriere-petit-fils du second Sir Walter. ","and
Sir Walter's handwriting again in this finale:--

""Heir presumptive, William Walter Elliot, Esq., great grandson of the
second Sir Walter."""
"forming altogether two handsome duodecimo pages, and concluding with the arms and motto:--""Principal seat, Kellynch Hall, in the county of Somerset,""","Le livre mentionnait aussi les femmes ; le tout formant deux pages in-folio, accompagne des armoiries et termine par l'indication suivante : << Residence principale : Kellynch-Hall, comte de Somerset. >>",8,aligned,1646,1846,1902,2050,"Le livre mentionnait aussi les femmes ; le tout formant deux pages in-folio, accompagne des armoiries et termine par l'indication suivante : << Residence principale : Kellynch-Hall, comte de Somerset. ","forming altogether two
handsome duodecimo pages, and concluding with the arms and
motto:--""Principal seat, Kellynch Hall, in the county of Somerset,"""
"and though not the very happiest being in the world herself, had found enough in her duties, her friends, and her children, to attach her to life, and make it no matter of indifference to her when she was called on to quit them.--","Elle ne fut pas tres heureuse, mais ses devoirs, ses amis, ses enfants l'attacherent assez a la vie, pour qu'elle la quittat avec regret.",9,aligned,2873,3010,3258,3488,"Elle ne fut pas tres heureuse, mais ses devoirs, ses amis, ses enfants l'attacherent assez a la vie, pour qu'elle la quittat avec regret.
","and though not the very happiest being in the world
herself, had found enough in her duties, her friends, and her children,
to attach her to life, and make it no matter of indifference to her
when she was called on to quit them.--T"
