eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
Lady Russell loved them all; but it was only in Anne that she could fancy the mother to revive again.,(No direct equivalent in text),30,not aligned,-1,-1,5713,5814,,"Lady Russell loved them all; but
it was only in Anne that she could fancy the mother to revive again.
"
"CHAPTER II M. Shepherd was a clever, prudent man.",CHAPITRE II M. Shepherd etait un homme habile et prudent.,49,aligned,11553,11615,-1,-1,"CHAPITRE II





M. Shepherd etait un homme habile et prudent. ",
There was not a baronet from A to Z whom her feelings could have so willingly acknowledged as an equal.,(No direct equivalent in text),72,not aligned,-1,-1,11266,11369,,"There was not a baronet from A to Z whom her
feelings could have so willingly acknowledged as an equal. "
"Her knowledge of her father and Elizabeth inclined her to think that the sacrifice of one pair of horses would be hardly less painful than of both, and so on, through the whole list of Lady Russell's too gentle reductions.",(No direct equivalent in text),84,not aligned,-1,-1,19420,19642,,"Her
knowledge of her father and Elizabeth inclined her to think that the
sacrifice of one pair of horses would be hardly less painful than of
both, and so on, through the whole list of Lady Russell's too gentle
reductions.
"
"She wanted it to be prescribed, and felt as a duty.",(No direct equivalent in text),85,not aligned,-1,-1,19132,19183,,"She wanted it to be
prescribed, and felt as a duty. "
"She consulted, and in a degree was influenced by her in marking out the scheme of retrenchment which was at last submitted to Sir Walter.",(No direct equivalent in text),89,not aligned,-1,-1,17397,17534,,"She consulted, and in a degree was influenced by her in
marking out the scheme of retrenchment which was at last submitted to
Sir Walter. "
I have great hope of prevailing.,(No direct equivalent in text),99,not aligned,-1,-1,18513,18545,,I have great hope of prevailing. 
A larger society would improve them. She wanted her to be more known.,(No direct equivalent in text),126,not aligned,-1,-1,23372,23442,,"A larger society would improve them.  She wanted her to
be more known.
"
and never had she pursued it in more decided opposition to Lady Russel than in this selection of Mrs Clay;,"et jamais elle n'avait fait une opposition plus decidee a lady Russel, qu'en choisissant Mme Clay",139,aligned,19160,19257,-1,-1,"et jamais elle n'avait fait une opposition plus decidee a lady Russel, qu'en choisissant Mme Clay ",
Many a noble fortune has been made during the war.,(No direct equivalent in text),153,not aligned,-1,-1,26915,26965,,"Many a noble fortune has been made during
the war. "
"I am very little disposed to grant a tenant of Kellynch Hall any extraordinary favour, I assure you, be he sailor or soldier.""",(No direct equivalent in text),167,not aligned,-1,-1,30264,30389,,"I am very
little disposed to grant a tenant of Kellynch Hall any extraordinary
favour, I assure you, be he sailor or soldier."""
"Penelope, my dear, can you help me to the name of the gentleman who lived at Monkford: Mrs Croft's brother?""",(No direct equivalent in text),212,not aligned,-1,-1,38467,38574,,"Penelope, my
dear, can you help me to the name of the gentleman who lived at
Monkford: Mrs Croft's brother?"""
"He was in the Trafalgar action, and has been in the East Indies since; he was stationed there, I believe, several years.""",(No direct equivalent in text),221,not aligned,-1,-1,36279,36399,,"He was in the Trafalgar action,
and has been in the East Indies since; he was stationed there, I
believe, several years."""
"Mr Shepherd was eloquent on the subject; pointing out all the circumstances of the Admiral's family, which made him peculiarly desirable as a tenant.",(No direct equivalent in text),222,not aligned,-1,-1,37211,37360,,"Mr Shepherd was eloquent on the subject; pointing out all the
circumstances of the Admiral's family, which made him peculiarly
desirable as a tenant. "
"A house was never taken good care of, Mr Shepherd observed, without a lady: he did not know, whether furniture might not be in danger of suffering as much where there was no lady, as where there were many children.",(No direct equivalent in text),224,not aligned,-1,-1,37440,37654,,"A house was never taken good care of, Mr
Shepherd observed, without a lady: he did not know, whether furniture
might not be in danger of suffering as much where there was no lady, as
where there were many children. "
"A lady, without a family, was the very best preserver of furniture in the world.",(No direct equivalent in text),225,not aligned,-1,-1,37656,37736,,"A lady, without a family, was the very
best preserver of furniture in the world. "
(No direct equivalent in text),"Cela eut semble un gout extraordinaire vraiment, s'ils avaient pu connaitre les devoirs d'un locataire de Sir Walter.",233,not aligned,29817,29934,-1,-1,"Cela eut semble un gout extraordinaire vraiment, s'ils avaient pu connaitre les devoirs d'un locataire de Sir Walter.
",
