eng,fr,id,llm alignment result
"Sir Walter Elliot, of Kellynch Hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage;","Sir Walter Elliot, de Kellynch-Hall, dans le comte de Somerset, n'avait jamais touche un livre pour son propre amusement, si ce n'est le livre heraldique.",0,aligned
"Lady Elliot had been an excellent woman, sensible and amiable; whose judgement and conduct, if they might be pardoned the youthful infatuation which made her Lady Elliot, had never required indulgence afterwards.--She had humoured, or softened, or concealed his failings, and promoted his real respectability for seventeen years;","Lady Elliot avait ete une excellente femme, sensee et aimable, dont le jugement et la raison ne la tromperent jamais, si ce n'est en s'eprenant de Sir Walter. Elle supporta, cacha ou deguisa ses defauts, et pendant dix-sept ans le fit respecter.",1,aligned
His good looks and his rank had one fair claim on his attachment; since to them he must have owed a wife of very superior character to any thing deserved by his own.,Il dut a sa belle figure et a sa noblesse d'epouser une femme tres superieure a lui.,2,aligned
"He considered the blessing of beauty as inferior only to the blessing of a baronetcy; and the Sir Walter Elliot, who united these gifts, was the constant object of his warmest respect and devotion.","A ses yeux, la beaute n'etait inferieure qu'a la noblesse, et le Sir Walter Elliot, qui reunissait tous ces dons, etait l'objet constant de son propre respect et de sa veneration.",3,aligned
"Few women could think more of their personal appearance than he did, nor could the valet of any new made lord be more delighted with the place he held in society.",et il etait plus satisfait de sa place dans la societe que le valet d'un lord de fraiche date.,4,aligned
"He had been remarkably handsome in his youth; and, at fifty-four, was still a very fine man.","Il avait ete remarquablement beau dans sa jeunesse, et a cinquante-quatre ans, etant tres bien conserve, il avait plus de pretentions a la beaute que bien des femmes,",5,aligned
Vanity was the beginning and the end of Sir Walter Elliot's character; vanity of person and of situation.,"La vanite etait le commencement et la fin du caractere de Sir Elliot : vanite personnelle, et vanite de rang.",6,aligned
"and Sir Walter's handwriting again in this finale:-- ""Heir presumptive, William Walter Elliot, Esq., great grandson of the second Sir Walter.""","Puis, de la main de Sir Walter : << Heritier presomptif : William Walter Elliot, esquire, arriere-petit-fils du second Sir Walter. >>",7,aligned
"forming altogether two handsome duodecimo pages, and concluding with the arms and motto:--""Principal seat, Kellynch Hall, in the county of Somerset,""","Le livre mentionnait aussi les femmes ; le tout formant deux pages in-folio, accompagne des armoiries et termine par l'indication suivante : << Residence principale : Kellynch-Hall, comte de Somerset. >>",8,aligned
"and though not the very happiest being in the world herself, had found enough in her duties, her friends, and her children, to attach her to life, and make it no matter of indifference to her when she was called on to quit them.--","Elle ne fut pas tres heureuse, mais ses devoirs, ses amis, ses enfants l'attacherent assez a la vie, pour qu'elle la quittat avec regret.",9,aligned
"how mentioned in Dugdale, serving the office of high sheriff, representing a borough in three successive parliaments, exertions of loyalty, and dignity of baronet, in the first year of Charles II, with all the Marys and Elizabeths they had married;","exercant la fonction de haut sherif ; representant un bourg dans trois parlements successifs, et cree baronnet dans la premiere annee du regne de Charles II.",10,aligned
"but Sir Walter had improved it by adding, for the information of himself and his family, these words, after the date of Mary's birth-- ""Married, December 16, 1810, Charles, son and heir of Charles Musgrove, Esq. of Uppercross, in the county of Somerset,"" and by inserting most accurately the day of the month on which he had lost his wife.","mais Sir Walter y avait ajoute pour sa propre instruction, et pour celle de sa famille, a la suite de la date de naissance de Marie : << Mariee le 16 decembre 1810 a Charles Musgrove, esquire d'Uppercross, comte de Somerset. ~~~ >>",11,aligned
Precisely such had the paragraph originally stood from the printer's hands;,Tel etait le paragraphe sorti des mains de l'imprimeur ;,12,aligned
"""Walter Elliot, born March 1, 1760, married, July 15, 1784, Elizabeth, daughter of James Stevenson, Esq. of South Park, in the county of Gloucester, by which lady (who died 1800) he has issue Elizabeth, born June 1, 1785; Anne, born August 9, 1787; a still-born son, November 5, 1789; Mary, born November 20, 1791.""","epousa, le 15 juillet 1784, Elisabeth, fille de Jacques Stevenson, esquire de South-Park, comte de Glocester, laquelle mourut en 1800. Il en eut : Elisabeth, nee le 1er juin 1785, Anna, nee le 9 aoust 1787, Un fils mort-ne le 5 novembre 1789, et Marie, nee le 20 novembre 1791.",13,aligned
"This was the page at which the favourite volume always opened: ""ELLIOT OF KELLYNCH HALL.""",": Famille Elliot, de Kellynch-Hall : Walter Elliot, ne le 1er mars 1760 ;",14,aligned
"and there, if every other leaf were powerless, he could read his own history with an interest which never failed.","Quand il feuilletait les innombrables titres crees dans le siecle dernier, si chaque feuille lui etait indifferente, une seule avait constamment pour lui le meme interet, c'etait la page ou le volume favori s'ouvrait toujours : Famille Elliot, de Kellynch-Hall : Walter Elliot, ne le 1er mars 1760 ;",15,aligned
"there any unwelcome sensations, arising from domestic affairs changed naturally into pity and contempt as he turned over the almost endless creations of the last century;","La, toutes les sensations desagreables provenant des affaires domestiques se changeaient en pitie et en mepris.",16,aligned
"there his faculties were roused into admiration and respect, by contemplating the limited remnant of the earliest patents;","Devant ces vieux parchemins, il eprouvait un sentiment de respect et d'admiration.",17,aligned
"there he found occupation for an idle hour, and consolation in a distressed one;","La il trouvait de l'occupation dans les heures de desoeuvrement, et de la consolation dans les heures de chagrin.",18,aligned
"Then followed the history and rise of the ancient and respectable family, in the usual terms; how it had been first settled in Cheshire;","Puis venait l'histoire de l'ancienne et respectable famille : le premier de ses membres s'etablissant dans Cheshire,",19,aligned
"Three girls, the two eldest sixteen and fourteen, was an awful legacy for a mother to bequeath, an awful charge rather, to confide to the authority and guidance of a conceited, silly father.","Trois filles, dont les ainees avaient, l'une seize ans, l'autre quatorze, furent un terrible heritage et une lourde charge pour un pere faible et vain.",20,aligned
"She had, however, one very intimate friend, a sensible, deserving woman, who had been brought, by strong attachment to herself, to settle close by her, in the village of Kellynch; and on her kindness and advice, Lady Elliot mainly relied for the best help and maintenance of the good principles and instruction which she had been anxiously giving her daughters.","Mais elle avait une amie, femme sensee et respectable, qui s'etait decidee, par attachement pour elle, a habiter tout pres, au village de Kellynch. ~~~ Lady Elliot se reposa sur elle pour maintenir les bons principes qu'elle avait tache de donner a ses filles.",21,aligned
"Thirteen years had passed away since Lady Elliot's death, and they were still near neighbours and intimate friends, and one remained a widower, the other a widow.","Treize annees s'etaient ecoulees depuis la mort de lady Elliot, et ils restaient proches voisins et amis intimes, mais rien de plus.",22,aligned
"That Lady Russell, of steady age and character, and extremely well provided for, should have no thought of a second marriage, needs no apology to the public, which is rather apt to be unreasonably discontented when a woman does marry again, than when she does not; but Sir Walter's continuing in singleness requires explanation.","Il n'est pas etonnant que lady Russel n'eut pas songe a un second mariage ; car elle possedait une belle fortune, etait d'un age mur, et d'un caractere serieux, mais le celibat de Sir Walter s'explique moins facilement.",23,aligned
"Be it known then, that Sir Walter, like a good father, (having met with one or two private disappointments in very unreasonable applications), prided himself on remaining single for his dear daughters' sake.","Des lors, il se posa comme un bon pere qui se devoue pour ses filles.",24,aligned
"For one daughter, his eldest, he would really have given up any thing, which he had not been very much tempted to do.","En realite, pour l'ainee seule, il etait dispose a faire quelque chose, mais a condition de ne pas se gener.",25,aligned
"Elizabeth had succeeded, at sixteen, to all that was possible, of her mother's rights and consequence; and being very handsome, and very like himself, her influence had always been great, and they had gone on together most happily.","Elisabeth, a seize ans, avait succede a tous les droits et a la consideration de sa mere. Elle etait fort belle et ressemblait a son pere, sur qui elle avait une grande influence ; aussi avaient-ils toujours ete d'accord.",26,aligned
His two other children were of very inferior value.,"Les deux autres filles de Sir Walter etaient, a son avis, d'une valeur inferieure.",27,aligned
