eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
CHAPTER I.,CHAPITRE PREMIER.,0,aligned,0,17,0,10,"CHAPITRE PREMIER.
","CHAPTER I.
"
"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.","S'il est une idee generalement recue, c'est qu'un homme fort riche doit penser a se marier.",1,aligned,20,111,13,130,"S'il est une idee generalement recue, c'est qu'un homme fort riche doit penser a se marier.
","It is a truth universally acknowledged, that a single man in possession
of a good fortune, must be in want of a wife.
"
"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.","Quelque peu connues que soient ses habitudes et ses intentions, cette idee est si fortement gravee dans l'esprit de toutes les familles du pays dans lequel il se fixe, qu'il est a l'instant considere comme la propriete legitime des jeunes personnes qui l'habitent. ~~~ Il ne s'agit plus que de savoir laquelle fixera son attention.",2,aligned,113,440,132,392,"Quelque peu connues que soient ses habitudes et ses intentions, cette idee est si fortement gravee dans l'esprit de toutes les familles du pays dans lequel il se fixe, qu'il est a l'instant considere comme la propriete legitime des jeunes personnes qui l'habitent. Il ne s'agit plus que de savoir laquelle fixera son attention.
","However little known the feelings or views of such a man may be on his
first entering a neighbourhood, this truth is so well fixed in the minds
of the surrounding families, that he is considered as the rightful
property of some one or other of their daughters.
"
"""_You_ want to tell me, and I have no objection to hearing it.""",Vous desirez me le dire ; et je n'ai aucune raison de vous refuser de l'entendre.,3,aligned,819,900,735,796,Vous desirez me le dire ; et je n'ai aucune raison de vous refuser de l'entendre. ,"_You_ want to tell me, and I have no objection to hearing it."""
"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""","'Mon cher Monsieur Bennet, dit un jour Mistriss Bennet a son mari, avez-vous oui dire que Netherfield-Parck fut enfin loue ?'",4,aligned,442,565,395,499,"Mon cher Monsieur Bennet, dit un jour Mistriss Bennet a son mari, avez-vous oui dire que Netherfield-Parck fut enfin loue ?
","My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that
Netherfield Park is let at last?"""
Mr. Bennet made no answer.,M. Bennet ne repondit pas.,5,aligned,707,733,633,659,"M. Bennet ne repondit pas.
","Mr. Bennet made no answer.
"
"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""","Cela est ainsi cependant, car je le tiens de Mistriss Long, qui sort d'ici.",6,aligned,630,705,540,630,"Cela est ainsi cependant, car je le tiens de Mistriss Long, qui sort d'ici.
","But it is,"" returned she; ""for Mrs. Long has just been here, and she
told me all about it."""
"""Do not you want to know who has taken it?""","Mais ne desirez-vous donc point savoir a qui, s'ecria sa femme avec impatience ?",7,aligned,735,815,662,703,"Mais ne desirez-vous donc point savoir a qui, s'ecria sa femme avec impatience ? ","Do not you want to know who has taken it?"""
Mr. Bennet replied that he had not.,Monsieur Bennet repondit qu'il n'en avoit pas entendu parler.,8,aligned,567,628,502,537,"Monsieur Bennet repondit qu'il n'en avoit pas entendu parler.
","Mr. Bennet replied that he had not.
"
This was invitation enough.,-- C'etoit un encouragement suffisant pour Mistriss Bennet.,9,aligned,901,960,799,826,-- C'etoit un encouragement suffisant pour Mistriss Bennet. ,"This was invitation enough.
"
"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""","Vous saurez donc, mon cher, que Netherfield-Parck vient d'etre loue par un jeune seigneur fort riche ; il arriva lundi, en voiture a quatre chevaux, dans l'intention de voir la maison ; il en fut si enchante que, de suite il convint du prix et des conditions avec M. Morris, qu'il doit en prendre possession avant un mois, et qu'il enverra plusieurs de ses domestiques pour faire les preparatifs necessaires a la fin de la semaine prochaine.",10,aligned,961,1402,829,1224,"Vous saurez donc, mon cher, que Netherfield-Parck vient d'etre loue par un jeune seigneur fort riche ; il arriva lundi, en voiture a quatre chevaux, dans l'intention de voir la maison ; il en fut si enchante que, de suite il convint du prix et des conditions avec M. Morris, qu'il doit en prendre possession avant un mois, et qu'il enverra plusieurs de ses domestiques pour faire les preparatifs necessaires a la fin de la semaine prochaine.
","Why, my dear, you must know, Mrs. Long says that Netherfield is taken
by a young man of large fortune from the north of England; that he came
down on Monday in a chaise and four to see the place, and was so much
delighted with it that he agreed with Mr. Morris immediately; that he is
to take possession before Michaelmas, and some of his servants are to be
in the house by the end of next week."""
"""What is his name?""",-- Quel est son nom ?,11,aligned,1404,1425,1228,1245,"-- Quel est son nom ?
","What is his name?"""
"""How so? ~~~ how can it affect them?""","'-- Comment, quel rapport a-t-il donc avec elles ? --",12,aligned,1618,1670,1419,1450,"-- Comment, quel rapport a-t-il donc avec elles ? -- ","How so? how can it affect them?"""
"""Is he married or single?""",'-- Est-il marie ? --,13,aligned,1440,1461,1261,1285,"-- Est-il marie ?

-- ","Is he married or single?"""
"""But consider your daughters.'",'-- Songez donc a vos filles !',14,aligned,2819,2848,2438,2466,-- Songez donc a vos filles ! ,But consider your daughters. 
"""It is more than I engage for, I assure you.""",'-- C'est plus que je ne puis promettre. --,15,aligned,2778,2821,2391,2434,"-- C'est plus que je ne puis promettre.

-- ","It is more than I engage for, I assure you."""
"""Oh! ~~~ single, my dear, to be sure! A single man of large fortune; four or five thousand a year. ~~~ What a fine thing for our girls!""","'-- Non, certainement, mon cher ! Un homme qui a une grande fortune, quatre ou cinq mille livres sterlings, peut-etre ; quelle bonne affaire pour mes filles ! --",16,aligned,1459,1620,1289,1415,"-- Non, certainement, mon cher ! Un homme qui a une grande fortune, quatre ou cinq mille livres sterlings, peut-etre ; quelle bonne affaire pour mes filles !

-- ","Oh! single, my dear, to be sure! A single man of large fortune; four
or five thousand a year. What a fine thing for our girls!"""
"""In such cases, a woman has not often much beauty to think of.""","'-- Il est bien rare alors qu'elle puisse s'en occuper, a moins que ce ne soit pour en deplorer la perte. --",17,aligned,-1,-1,2232,2293,,"In such cases, a woman has not often much beauty to think of."""
"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""","'-- Mais, mon cher, vous devez vraiment aller voir M. Bingley des qu'il sera dans notre voisinage. --",18,aligned,-1,-1,2297,2387,,"But, my dear, you must indeed go and see Mr. Bingley when he comes into
the neighbourhood."""
"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them.""","'-- Mon cher Monsieur Bennet, que vous etes desagreable ; ne voyez-vous pas que je pense a lui en faire epouser une ? --",19,aligned,1668,1788,1454,1583,"-- Mon cher Monsieur Bennet, que vous etes desagreable ; ne voyez-vous pas que je pense a lui en faire epouser une ?

-- ","My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You
must know that I am thinking of his marrying one of them."""
"""Is that his design in settling here?""",'-- Est-ce son intention en venant s'etablir ici ? --,20,aligned,1786,1839,1587,1623,"-- Est-ce son intention en venant s'etablir ici ?

-- ","Is that his design in settling here?"""
"""Design! ~~~ nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""","'-- Son intention, quelle absurdite ! Comment pouvez-vous parler ainsi ? Il ne les connoit pas ; mais il est tres-probable qu'il deviendra fort amoureux de l'une d'elles. Ainsi, vous devez lui faire une visite aussitot qu'il sera arrive. --",21,aligned,1837,2076,1627,1786,"-- Son intention, quelle absurdite ! Comment pouvez-vous parler ainsi ? Il ne les connoit pas ; mais il est tres-probable qu'il deviendra fort amoureux de l'une d'elles. Ainsi, vous devez lui faire une visite aussitot qu'il sera arrive. -- ","Design! nonsense, how can you talk so! But it is very likely that he
_may_ fall in love with one of them, and therefore you must visit him as
soon as he comes."""
"""I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""","'-- Je ne vois pas que ce soit necessaire ; vous et vos filles, a la bonne heure, et peut-etre meme seroit-il encore mieux de les y envoyer seules ; votre beaute pourroit leur faire tort. Il seroit facheux que M. Bingley vous donnat la preference. --",22,aligned,2074,2324,1790,2008,"-- Je ne vois pas que ce soit necessaire ; vous et vos filles, a la bonne heure, et peut-etre meme seroit-il encore mieux de les y envoyer seules ; votre beaute pourroit leur faire tort. Il seroit facheux que M. Bingley vous donnat la preference.

-- ","I see no occasion for that. You and the girls may go, or you may send
them by themselves, which perhaps will be still better, for as you are
as handsome as any of them, Mr. Bingley might like you the best of the
party."""
"""Bingley.""",'-- Bingley. --,23,aligned,1427,1442,1249,1257,"-- Bingley.

-- ","Bingley."""
"""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""","'-- Vous me flattez, mon cher Monsieur Bennet, je n'ai certainement pas a me plaindre ; j'ai ete tres-belle dans mon temps, mais, a present, je ne crois pas etre fort remarquable. Lorsqu'une femme a cinq grandes filles, elle ne doit plus penser a sa beaute. --",24,aligned,-1,-1,2012,2228,,"My dear, you flatter me. I certainly _have_ had my share of beauty, but
I do not pretend to be any thing extraordinary now. When a woman has
five grown up daughters, she ought to give over thinking of her own
beauty."""
Only think what an establishment it would be for one of them.,Pensez au bel etablissement que ce seroit pour l'une d'elles !,25,aligned,2849,2911,2467,2528,Pensez au bel etablissement que ce seroit pour l'une d'elles ! ,"Only think what an establishment it would
be for one of them. "
"Sir William and Lady Lucas are determined to go, merely on that account, for in general you know they visit no new comers. ~~~ Indeed you must go, for it will be impossible for _us_ to visit him, if you do not."" ~~~ ""You are over scrupulous surely.","Sir Williams et Lady Laws sont decides a lui faire visite sur ce qu'ils en ont oui dire seulement ; vous savez qu'en general, ils ne recherchent point les nouveaux venus, et vous devez faire de meme, car il nous seroit impossible d'etre en relation avec lui, si vous ne commencez pas.",26,aligned,2912,3196,2529,2770,"Sir Williams et Lady Laws sont decides a lui faire visite sur ce qu'ils en ont oui dire seulement ; vous savez qu'en general, ils ne recherchent point les nouveaux venus, et vous devez faire de meme, car il nous seroit impossible d'etre en relation avec lui, si vous ne commencez pas.
","Sir William and Lady Lucas are determined to go,
merely on that account, for in general you know they visit no new
comers. Indeed you must go, for it will be impossible for _us_ to visit
him, if you do not.""

""You are over scrupulous surely. "
"""Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me.'","'-- Je ne sais quelle jouissance vous avez a rabaisser ainsi vos enfans, Monsieur Bennet ? Il semble que vous preniez plaisir a me faire de la peine.'",27,aligned,3887,4035,3395,3488,"-- Je ne sais quelle jouissance vous avez a rabaisser ainsi vos enfans, Monsieur Bennet ? Il semble que vous preniez plaisir a me faire de la peine. ","Mr. Bennet, how can you abuse your own children in such a way? You take
delight in vexing me. "
"""They have none of them much to recommend them,"" replied he; ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""","'-- On ne peut tirer vanite ni des unes ni des autres, repliqua-t-il, elles sont sottes et ignorantes comme toutes les jeunes filles, mais Lizzy a quelque chose de plus anime que ses soeurs. --'",28,aligned,3696,3889,3221,3391,"-- On ne peut tirer vanite ni des unes ni des autres, repliqua-t-il, elles sont sottes et ignorantes comme toutes les jeunes filles, mais Lizzy a quelque chose de plus anime que ses soeurs.

-- ","They have none of them much to recommend them,"" replied he; ""they are
all silly and ignorant like other girls; but Lizzy has something more of
quickness than her sisters."""
'But you are always giving _her_ the preference.','-- mais vous lui donnez toujours la preference.',29,aligned,-1,-1,3170,3217,,"But you are always giving _her_ the
preference."""
"'I desire you will do no such thing. Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good humoured as Lydia.'","'-- Je vous prie de ne point le faire. Lizzy n'est pas superieure aux autres ; elle n'est a beaucoup pres ni si belle que Jane, ni si gaie que Lydie ;'",30,aligned,3500,3649,3004,3169,"-- Je vous prie de ne point le faire. Lizzy n'est pas superieure aux autres ; elle n'est a beaucoup pres ni si belle que Jane, ni si gaie que Lydie ; ","I desire you will do no such thing. Lizzy is not a bit better than the
others; and I am sure she is not half so handsome as Jane, nor half so
good humoured as Lydia. "
'I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls; though I must throw in a good word for my little Lizzy.',"'-- Vous etes trop scrupuleuse, je crois que M. Bingley seroit charme de vous voir, et je pourrais meme vous charger de quelques lignes pour l'assurer de mon consentement a son mariage avec celle de mes filles qu'il choisira ; quoique cependant je dusse dire un mot en faveur de ma chere petite Lizzy. --'",31,aligned,3198,3502,2771,3000,"-- Vous etes trop scrupuleuse, je crois que M. Bingley seroit charme de vous voir, et je pourrais meme vous charger de quelques lignes pour l'assurer de mon consentement a son mariage avec celle de mes filles qu'il choisira ; quoique cependant je dusse dire un mot en faveur de ma chere petite Lizzy.

-- ","I dare say Mr. Bingley will be very
glad to see you; and I will send a few lines by you to assure him of my
hearty consent to his marrying which ever he chuses of the girls; though
I must throw in a good word for my little Lizzy."""
"You have no compassion on my poor nerves.""",Vous n'avez aucun egard pour mes pauvres nerfs.,32,aligned,4036,4083,3489,3530,"Vous n'avez aucun egard pour mes pauvres nerfs.
","You have no compassion on my poor nerves."""
"""You mistake me, my dear. ~~~ I have a high respect for your nerves.","-- Pardonnez-moi, ma chere, j'ai beaucoup de respect pour vos nerfs.",33,aligned,4085,4153,3534,3597,"-- Pardonnez-moi, ma chere, j'ai beaucoup de respect pour vos nerfs. ","You mistake me, my dear. I have a high respect for your nerves. "
