eng,fr,id,llm alignment result
CHAPTER I.,CHAPITRE PREMIER.,0,aligned
"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.","S'il est une idee generalement recue, c'est qu'un homme fort riche doit penser a se marier.",1,aligned
"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.","Quelque peu connues que soient ses habitudes et ses intentions, cette idee est si fortement gravee dans l'esprit de toutes les familles du pays dans lequel il se fixe, qu'il est a l'instant considere comme la propriete legitime des jeunes personnes qui l'habitent. ~~~ Il ne s'agit plus que de savoir laquelle fixera son attention.",2,aligned
"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""","Mon cher Monsieur Bennet, dit un jour Mistriss Bennet a son mari, avez-vous oui dire que Netherfield-Parck fut enfin loue ?",3,aligned
Mr. Bennet replied that he had not.,Monsieur Bennet repondit qu'il n'en avoit pas entendu parler.,4,not aligned
"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""","Cela est ainsi cependant, car je le tiens de Mistriss Long, qui sort d'ici.",5,aligned
Mr. Bennet made no answer.,M. Bennet ne repondit pas.,6,aligned
"""Do not you want to know who has taken it?"" ~~~ cried his wife impatiently.","Mais ne desirez-vous donc point savoir a qui, s'ecria sa femme avec impatience ?",7,not aligned
"""_You_ want to tell me, and I have no objection to hearing it.""",-- Vous desirez me le dire ; et je n'ai aucune raison de vous refuser de l'entendre.,8,aligned
This was invitation enough.,-- C'etoit un encouragement suffisant pour Mistriss Bennet.,9,aligned
"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""","Vous saurez donc, mon cher, que Netherfield-Parck vient d'etre loue par un jeune seigneur fort riche ; il arriva lundi, en voiture a quatre chevaux, dans l'intention de voir la maison ; il en fut si enchante que, de suite il convint du prix et des conditions avec M. Morris, qu'il doit en prendre possession avant un mois, et qu'il enverra plusieurs de ses domestiques pour faire les preparatifs necessaires a la fin de la semaine prochaine.",10,aligned
"""What is his name?""",-- Quel est son nom ?,11,aligned
"""Bingley.""",-- Bingley.,12,aligned
"""Is he married or single?""",-- Est-il marie ?,13,not aligned
"""Oh! ~~~ single, my dear, to be sure!","-- Non, certainement, mon cher !",14,not aligned
"A single man of large fortune; four or five thousand a year. ~~~ What a fine thing for our girls!""","Un homme qui a une grande fortune, quatre ou cinq mille livres sterlings, peut-etre ; quelle bonne affaire pour mes filles !",15,aligned
"""How so? ~~~ how can it affect them?""","-- Comment, quel rapport a-t-il donc avec elles ?",16,not aligned
"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome!","-- Mon cher Monsieur Bennet, que vous etes desagreable ; ne voyez-vous pas que je pense a lui en faire epouser une ?",17,not aligned
"You must know that I am thinking of his marrying one of them.""",-- Est-ce son intention en venant s'etablir ici ?,18,not aligned
"""Is that his design in settling here?""","-- Son intention, quelle absurdite !",19,not aligned
"""Design! ~~~ nonsense, how can you talk so!",Comment pouvez-vous parler ainsi ?,20,not aligned
"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""",Il ne les connoit pas ; mais il est tres-probable qu'il deviendra fort amoureux de l'une d'elles.,21,not aligned
"""I see no occasion for that.","Ainsi, vous devez lui faire une visite aussitot qu'il sera arrive.",22,not aligned
"You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""","-- Je ne vois pas que ce soit necessaire ; vous et vos filles, a la bonne heure, et peut-etre meme seroit-il encore mieux de les y envoyer seules ; votre beaute pourroit leur faire tort.",23,aligned
"""My dear, you flatter me.",Il seroit facheux que M. Bingley vous donnat la preference.,24,not aligned
"I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now.","-- Vous me flattez, mon cher Monsieur Bennet, je n'ai certainement pas a me plaindre ; j'ai ete tres-belle dans mon temps, mais, a present, je ne crois pas etre fort remarquable.",25,aligned
"When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""","Lorsqu'une femme a cinq grandes filles, elle ne doit plus penser a sa beaute.",26,aligned
"""In such cases, a woman has not often much beauty to think of.""","Il est bien rare alors qu'elle puisse s'en occuper, a moins que ce ne soit pour en deplorer la perte.",27,not aligned
"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""","Mais, mon cher, vous devez vraiment aller voir M. Bingley des qu'il sera dans notre voisinage.",28,aligned
"""It is more than I engage for, I assure you.""",-- C'est plus que je ne puis promettre.,29,not aligned
"""But consider your daughters.",-- Songez donc a vos filles !,30,aligned
