eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"""In such cases, a woman has not often much beauty to think of.""","'-- Il est bien rare alors qu'elle puisse s'en occuper, a moins que ce ne soit pour en deplorer la perte. --",17,aligned,-1,-1,2232,2293,,"In such cases, a woman has not often much beauty to think of."""
"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""","'-- Mais, mon cher, vous devez vraiment aller voir M. Bingley des qu'il sera dans notre voisinage. --",18,aligned,-1,-1,2297,2387,,"But, my dear, you must indeed go and see Mr. Bingley when he comes into
the neighbourhood."""
"""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""","'-- Vous me flattez, mon cher Monsieur Bennet, je n'ai certainement pas a me plaindre ; j'ai ete tres-belle dans mon temps, mais, a present, je ne crois pas etre fort remarquable. Lorsqu'une femme a cinq grandes filles, elle ne doit plus penser a sa beaute. --",24,aligned,-1,-1,2012,2228,,"My dear, you flatter me. I certainly _have_ had my share of beauty, but
I do not pretend to be any thing extraordinary now. When a woman has
five grown up daughters, she ought to give over thinking of her own
beauty."""
'But you are always giving _her_ the preference.','-- mais vous lui donnez toujours la preference.',29,aligned,-1,-1,3170,3217,,"But you are always giving _her_ the
preference."""
Her mind was less difficult to develope.,Elle etoit moins difficile a definir.,41,aligned,4960,4997,-1,-1,Elle etoit moins difficile a definir. ,
"You had much better dance.""",(No direct equivalent in text),135,not aligned,-1,-1,13722,13748,,"You had much better
dance."""
"""Oh!'",(No direct equivalent in text),158,not aligned,-1,-1,1289,1292,,Oh! 
"""Dear Lizzy!""",(No direct equivalent in text),176,not aligned,-1,-1,19438,19449,,"Dear Lizzy!"""
"""Oh!""",(No direct equivalent in text),177,not aligned,-1,-1,1289,1292,,Oh! 
They were of a respectable family in the north of England; a circumstance more deeply impressed on their memories than that their brother's fortune and their own had been acquired by trade.,(No direct equivalent in text),194,not aligned,-1,-1,21268,21457,,"They were of a respectable family in
the north of England; a circumstance more deeply impressed on their
memories than that their brother's fortune and their own had been
acquired by trade.
"
"On the strength of Darcy's regard Bingley had the firmest reliance, and of his judgment the highest opinion.",(No direct equivalent in text),198,not aligned,-1,-1,22897,23005,,"On the strength of Darcy's regard Bingley had the
firmest reliance, and of his judgment the highest opinion. "
"By nature inoffensive, friendly and obliging, his presentation at St. James's had made him courteous.",(No direct equivalent in text),216,not aligned,-1,-1,25170,25271,,"By nature inoffensive,
friendly and obliging, his presentation at St. James's had made him
courteous.
"
"""I believe, Ma'am, I may safely promise you _never_ to dance with him.""",(No direct equivalent in text),235,not aligned,-1,-1,28059,28128,,"I believe, Ma'am, I may safely promise you _never_ to dance with him."""
By Jane this attention was received with the greatest pleasure;,(No direct equivalent in text),257,not aligned,-1,-1,30003,30066,,"By Jane this attention was received with the greatest
pleasure; "
"""And gravely glancing at Mr. Darcy, ""There is a fine old saying, which every body here is of course familiar with--'Keep your breath to cool your porridge,'--and I shall keep mine to swell my song.""",(No direct equivalent in text),307,not aligned,-1,-1,37042,37238,,"And gravely glancing
at Mr. Darcy, ""There is a fine old saying, which every body here is of
course familiar with--'Keep your breath to cool your porridge,'--and I
shall keep mine to swell my song."""
"Her resistance had not injured her with the gentleman, and he was thinking of her with some complacency, when thus accosted by Miss Bingley.","Sa resistance ne lui avoit point fait de tort dans l'esprit de M. Darcy, il pensoit a elle avec complaisance, lorsqu'il fut aborde par Miss Bingley.",338,aligned,43277,43425,-1,-1,"Sa resistance ne lui avoit point fait de tort dans l'esprit de M. Darcy, il pensoit a elle avec complaisance, lorsqu'il fut aborde par Miss Bingley.
",
(No direct equivalent in text),"Un matin apres avoir ete temoin de leurs transports sur ce sujet-la, Mr.",359,not aligned,47152,47224,-1,-1,"Un matin apres avoir ete temoin de leurs transports sur ce sujet-la, Mr. ",
Every day added something to their knowledge of the officers' names and connections.,(No direct equivalent in text),360,not aligned,-1,-1,44164,44248,,"Every day added something to their knowledge of the
officers' names and connections. "
"Mr. Philips visited them all, and this opened to his nieces a source of felicity unknown before.",(Partially covered in previous sentence),365,aligned,-1,-1,44346,44442,,"Mr. Philips
visited them all, and this opened to his nieces a source of felicity
unknown before. "
Come as soon as you can on the receipt of this.,(No direct equivalent in text),383,not aligned,-1,-1,47142,47194,,"Come as soon as you can on the receipt of
     this. "
what does he say?,(No direct equivalent in text),387,not aligned,-1,-1,46737,46754,,what does he say? 
~~~,~~~,424,aligned,-1,-1,-1,-1,,
Jane was by no means better.,"Jane etoit vraiment mieux. (This is a contradiction, but the closest match)",466,aligned,-1,-1,54224,54252,,Jane was by no means better. 
"As all conversation was thereby at an end, Elizabeth soon afterwards left the room.",(No direct equivalent in text),542,not aligned,-1,-1,63424,63507,,"As all
conversation was thereby at an end, Elizabeth soon afterwards left the
room.
"
I do not trust my own partiality.,(No direct equivalent in text),640,not aligned,-1,-1,71445,71478,,"I do not trust my own
partiality. "
"""We may as well wait, perhaps, till the circumstance occurs, before we discuss the discretion of his behaviour thereupon.""",(No direct equivalent in text),667,not aligned,-1,-1,80877,80997,,"We may as well wait, perhaps, till the
circumstance occurs, before we discuss the discretion of his behaviour
thereupon. "
"""But in general and ordinary cases between friend and friend, where one of them is desired by the other to change a resolution of no very great moment, should you think ill of that person for complying with the desire, without waiting to be argued into it?""",(No direct equivalent in text),668,not aligned,-1,-1,80998,81253,,"But in general and ordinary cases between friend and friend,
where one of them is desired by the other to change a resolution of no
very great moment, should you think ill of that person for complying
with the desire, without waiting to be argued into it?"""
"""You expect me to account for opinions which you chuse to call mine, but which I have never acknowledged.""",(No direct equivalent in text),669,not aligned,-1,-1,80011,80115,,"You expect me to account for opinions which you chuse to call mine, but
which I have never acknowledged. "
"""A regard for the requester would often make one readily yield to a request, without waiting for arguments to reason one into it.""",(No direct equivalent in text),670,not aligned,-1,-1,80662,80790,,"A regard for the requester would often make
one readily yield to a request, without waiting for arguments to reason
one into it. "
"""You appear to me, Mr. Darcy, to allow nothing for the influence of friendship and affection.""",(No direct equivalent in text),671,not aligned,-1,-1,80569,80661,,"You appear to me, Mr. Darcy, to allow nothing for the influence of
friendship and affection. "
"""To yield without conviction is no compliment to the understanding of either.""",(No direct equivalent in text),672,not aligned,-1,-1,80489,80565,,"To yield without conviction is no compliment to the understanding of
either."""
"""To yield readily--easily--to the _persuasion_ of a friend is no merit with you.""",(No direct equivalent in text),673,not aligned,-1,-1,80406,80485,,"To yield readily--easily--to the _persuasion_ of a friend is no merit
with you."""
"""Allowing the case, however, to stand according to your representation, you must remember, Miss Bennet, that the friend who is supposed to desire his return to the house, and the delay of his plan, has merely desired it, asked it without offering one argument in favour of its propriety.""",(No direct equivalent in text),674,not aligned,-1,-1,80116,80402,,"Allowing the case, however, to stand
according to your representation, you must remember, Miss Bennet, that
the friend who is supposed to desire his return to the house, and the
delay of his plan, has merely desired it, asked it without offering one
argument in favour of its propriety."""
"""Will it not be advisable, before we proceed on this subject, to arrange with rather more precision the degree of importance which is to appertain to this request, as well as the degree of intimacy subsisting between the parties?""",(No direct equivalent in text),675,not aligned,-1,-1,81257,81485,,"Will it not be advisable, before we proceed on this subject, to arrange
with rather more precision the degree of importance which is to
appertain to this request, as well as the degree of intimacy subsisting
between the parties?"""
"""Upon my word I cannot exactly explain the matter, Darcy must speak for himself.""",(No direct equivalent in text),676,not aligned,-1,-1,79928,80007,,"Upon my word I cannot exactly explain the matter, Darcy must speak for
himself."""
"""I am not particularly speaking of such a case as you have supposed about Mr. Bingley.""",(No direct equivalent in text),677,not aligned,-1,-1,80791,80876,,"I am not particularly speaking of such a case as you have
supposed about Mr. Bingley. "
"""By all means,"" cried Bingley; ""let us hear all the particulars, not forgetting their comparative height and size; for that will have more weight in the argument, Miss Bennet, than you may be aware of.""",(No direct equivalent in text),678,not aligned,-1,-1,81489,81689,,"By all means,"" cried Bingley; ""let us hear all the particulars, not
forgetting their comparative height and size; for that will have more
weight in the argument, Miss Bennet, than you may be aware of. "
"""Miss Bingley moved with alacrity to the piano-forte, and after a polite request that Elizabeth would lead the way, which the other as politely and more earnestly negatived, she seated herself.""",(No direct equivalent in text),679,not aligned,-1,-1,82827,83019,,"Miss Bingley moved with alacrity to
the piano-forte, and after a polite request that Elizabeth would lead
the way, which the other as politely and more earnestly negatived, she
seated herself.
"
"""I declare I do not know a more aweful object than Darcy, on particular occasions, and in particular places; at his own house especially, and of a Sunday evening when he has nothing to do.""",(No direct equivalent in text),680,not aligned,-1,-1,81824,82011,,"I declare I do not
know a more aweful object than Darcy, on particular occasions, and in
particular places; at his own house especially, and of a Sunday evening
when he has nothing to do."""
