eng,fr,id,llm alignment result,group
"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""","'Mon cher Monsieur Bennet, dit un jour Mistriss Bennet a son mari, avez-vous oui dire que Netherfield-Parck fut enfin loue ?'","[3, 5, 6, 8]",aligned,1
Mr. Bennet replied that he had not.,Monsieur Bennet repondit qu'il n'en avoit pas entendu parler.,"[3, 5, 6, 8]",aligned,1
"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""","Cela est ainsi cependant, car je le tiens de Mistriss Long, qui sort d'ici.","[3, 5, 6, 8]",aligned,1
Mr. Bennet made no answer.,M. Bennet ne repondit pas.,"[3, 5, 6, 8]",aligned,1
"""Do not you want to know who has taken it?""","Mais ne desirez-vous donc point savoir a qui, s'ecria sa femme avec impatience ?","[3, 5, 6, 8]",aligned,1
"""_You_ want to tell me, and I have no objection to hearing it.""",Vous desirez me le dire ; et je n'ai aucune raison de vous refuser de l'entendre.,"[3, 5, 6, 8]",aligned,1
"""Bingley.""",'-- Bingley. --,"[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""Is he married or single?""",'-- Est-il marie ? --,"[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""Oh! ~~~ single, my dear, to be sure! A single man of large fortune; four or five thousand a year. ~~~ What a fine thing for our girls!""","'-- Non, certainement, mon cher ! Un homme qui a une grande fortune, quatre ou cinq mille livres sterlings, peut-etre ; quelle bonne affaire pour mes filles ! --","[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""How so? ~~~ how can it affect them?""","'-- Comment, quel rapport a-t-il donc avec elles ? --","[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them.""","'-- Mon cher Monsieur Bennet, que vous etes desagreable ; ne voyez-vous pas que je pense a lui en faire epouser une ? --","[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""Is that his design in settling here?""",'-- Est-ce son intention en venant s'etablir ici ? --,"[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""Design! ~~~ nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""","'-- Son intention, quelle absurdite ! Comment pouvez-vous parler ainsi ? Il ne les connoit pas ; mais il est tres-probable qu'il deviendra fort amoureux de l'une d'elles. Ainsi, vous devez lui faire une visite aussitot qu'il sera arrive. --","[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""","'-- Je ne vois pas que ce soit necessaire ; vous et vos filles, a la bonne heure, et peut-etre meme seroit-il encore mieux de les y envoyer seules ; votre beaute pourroit leur faire tort. Il seroit facheux que M. Bingley vous donnat la preference. --","[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""","'-- Vous me flattez, mon cher Monsieur Bennet, je n'ai certainement pas a me plaindre ; j'ai ete tres-belle dans mon temps, mais, a present, je ne crois pas etre fort remarquable. Lorsqu'une femme a cinq grandes filles, elle ne doit plus penser a sa beaute. --","[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""In such cases, a woman has not often much beauty to think of.""","'-- Il est bien rare alors qu'elle puisse s'en occuper, a moins que ce ne soit pour en deplorer la perte. --","[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""","'-- Mais, mon cher, vous devez vraiment aller voir M. Bingley des qu'il sera dans notre voisinage. --","[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""It is more than I engage for, I assure you.""",'-- C'est plus que je ne puis promettre. --,"[12, 15, 23, 25, 26, 28, 30]",aligned,2
"""But consider your daughters.'",'-- Songez donc a vos filles !',"[12, 15, 23, 25, 26, 28, 30]",aligned,2
'I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls; though I must throw in a good word for my little Lizzy.',"'-- Vous etes trop scrupuleuse, je crois que M. Bingley seroit charme de vous voir, et je pourrais meme vous charger de quelques lignes pour l'assurer de mon consentement a son mariage avec celle de mes filles qu'il choisira ; quoique cependant je dusse dire un mot en faveur de ma chere petite Lizzy. --'","[33, 35, 36, 38]",aligned,3
"'I desire you will do no such thing. Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good humoured as Lydia.'","'-- Je vous prie de ne point le faire. Lizzy n'est pas superieure aux autres ; elle n'est a beaucoup pres ni si belle que Jane, ni si gaie que Lydie ;'","[33, 35, 36, 38]",aligned,3
'But you are always giving _her_ the preference.','-- mais vous lui donnez toujours la preference.',"[33, 35, 36, 38]",aligned,3
"""They have none of them much to recommend them,"" replied he; ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""","'-- On ne peut tirer vanite ni des unes ni des autres, repliqua-t-il, elles sont sottes et ignorantes comme toutes les jeunes filles, mais Lizzy a quelque chose de plus anime que ses soeurs. --'","[33, 35, 36, 38]",aligned,3
"""Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me.'","'-- Je ne sais quelle jouissance vous avez a rabaisser ainsi vos enfans, Monsieur Bennet ? Il semble que vous preniez plaisir a me faire de la peine.'","[33, 35, 36, 38]",aligned,3
"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three and twenty years had been insufficient to make his wife understand his character.","M. Bennet offroit un melange si extraordinaire de reparties promptes, d'humeur railleuse, de reserve et de caprices, que vingt-trois ans de mariage n'avoient pas suffi a sa femme pour bien connoitre son caractere.","[47, 49]",aligned,4
Her mind was less difficult to develope.,Elle etoit moins difficile a definir.,"[47, 49]",aligned,4
"She was a woman of mean understanding, little information, and uncertain temper.","C'etoit une femme ignorante, d'une intelligence mediocre, et d'un caractere foible.","[47, 49]",aligned,4
CHAPTER II. Mr. Bennet was among the earliest of those who waited on Mr. Bingley.,CHAPITRE II. Monsieur Bennet fut un de ceux qui se montrerent les plus empresses a rechercher M. Bingley.,"[52, 54, 67, 68, 71, 72, 76]",aligned,5
"He had always intended to visit him, though to the last always assuring his wife that he should not go;","Son intention avoit toujours ete d'aller chez lui, quoiqu'il eut assure sa femme du contraire,","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"and till the evening after the visit was paid, she had no knowledge of it.","mais elle n'eut connoissance de cette visite qu'apres qu'elle fut faite, et voici comment :","[52, 54, 67, 68, 71, 72, 76]",aligned,5
It was then disclosed in the following manner.,"M. Bennet voyant sa seconde fille occupee a garnir un chapeau, lui dit :","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"Observing his second daughter employed in trimming a hat, he suddenly addressed her with, ""I hope Mr. Bingley will like it Lizzy.""",J'espere Lizzy que ce chapeau plaira a M. Bingley.,"[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother resentfully, ""since we are not to visit.""","-- Nous ne saurons point ce qui plait ou deplait a M. Bingley, repondit Mistriss Bennet avec aigreur, puisque nous ne le verrons point.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""But you forget, mama,"" said Elizabeth, ""that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.""","-- Vous oubliez, maman, dit Elisabeth, que nous le rencontrerons dans les assemblees, et que Mistriss Long a promis de nous le presenter.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""I do not believe Mrs. Long will do any such thing.",-- Je ne crois pas que Mistriss Long fasse jamais rien pour nous ;,"[52, 54, 67, 68, 71, 72, 76]",aligned,5
She has two nieces of her own.,"c'est une femme fausse, interessee, d'ailleurs elle a deux nieces,","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"She is a selfish, hypocritical woman, and I have no opinion of her.""",et je ne compte point sur elle.,"[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do not depend on her serving you.""","-- Ni moi, dit M. Bennet, je suis bien aise de voir que vous ne fondez pas vos esperances sur ses services.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
Mrs. Bennet deigned not to make any reply;,"Mistriss Bennet ne daigna pas repondre,","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"but unable to contain herself, began scolding one of her daughters.","mais incapable de se contenir, elle commenca a gronder une de ses filles.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""Don't keep coughing so, Kitty, for heaven's sake! Have a little compassion on my nerves. You tear them to pieces.""","-- Ne toussez donc pas ainsi Kitty, pour l'amour du Ciel, ayez pitie de moi, vous m'abimez, les nerfs.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""Kitty has no discretion in her coughs,"" said her father; ""she times them ill.""","-- Kitty n'a aucune discretion, dit son pere, elle ne tousse jamais a propos.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""I do not cough for my own amusement,"" replied Kitty fretfully.","-- Je ne tousse pas pour me divertir, repondit Kitty avec humeur.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""When is your next ball to be, Lizzy?""","-- Quand aura lieu votre premier, bal, Lizzy ?","[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""To-morrow fortnight.""",-- De demain en quinze.,"[52, 54, 67, 68, 71, 72, 76]",aligned,5
"""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she will not know him herself.""","-- Est-il bien vrai, s'ecria Mistriss Bennet ! Et Mistriss Long ne reviendra que la veille, il lui sera impossible de nous le presenter puisqu'elle ne l'aura point encore vu.","[52, 54, 67, 68, 71, 72, 76]",aligned,5
