eng,fr,id,llm alignment result
"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""","Mon cher Monsieur Bennet, dit un jour Mistriss Bennet a son mari, avez-vous oui dire que Netherfield-Parck fut enfin loue ?",3,aligned
Mr. Bennet replied that he had not.,Monsieur Bennet repondit qu'il n'en avoit pas entendu parler.,4,not aligned
"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""","Cela est ainsi cependant, car je le tiens de Mistriss Long, qui sort d'ici.",5,aligned
Mr. Bennet made no answer.,M. Bennet ne repondit pas.,6,aligned
"""Do not you want to know who has taken it?"" ~~~ cried his wife impatiently.","Mais ne desirez-vous donc point savoir a qui, s'ecria sa femme avec impatience ?",7,not aligned
"""_You_ want to tell me, and I have no objection to hearing it.""",-- Vous desirez me le dire ; et je n'ai aucune raison de vous refuser de l'entendre.,8,aligned
"""Bingley.""",-- Bingley.,12,aligned
"""Is he married or single?""",-- Est-il marie ?,13,not aligned
"""Oh! ~~~ single, my dear, to be sure!","-- Non, certainement, mon cher !",14,not aligned
"A single man of large fortune; four or five thousand a year. ~~~ What a fine thing for our girls!""","Un homme qui a une grande fortune, quatre ou cinq mille livres sterlings, peut-etre ; quelle bonne affaire pour mes filles !",15,aligned
"""How so? ~~~ how can it affect them?""","-- Comment, quel rapport a-t-il donc avec elles ?",16,not aligned
"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome!","-- Mon cher Monsieur Bennet, que vous etes desagreable ; ne voyez-vous pas que je pense a lui en faire epouser une ?",17,not aligned
"You must know that I am thinking of his marrying one of them.""",-- Est-ce son intention en venant s'etablir ici ?,18,not aligned
"""Is that his design in settling here?""","-- Son intention, quelle absurdite !",19,not aligned
"""Design! ~~~ nonsense, how can you talk so!",Comment pouvez-vous parler ainsi ?,20,not aligned
"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""",Il ne les connoit pas ; mais il est tres-probable qu'il deviendra fort amoureux de l'une d'elles.,21,not aligned
"""I see no occasion for that.","Ainsi, vous devez lui faire une visite aussitot qu'il sera arrive.",22,not aligned
"You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""","-- Je ne vois pas que ce soit necessaire ; vous et vos filles, a la bonne heure, et peut-etre meme seroit-il encore mieux de les y envoyer seules ; votre beaute pourroit leur faire tort.",23,aligned
"""My dear, you flatter me.",Il seroit facheux que M. Bingley vous donnat la preference.,24,not aligned
"I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now.","-- Vous me flattez, mon cher Monsieur Bennet, je n'ai certainement pas a me plaindre ; j'ai ete tres-belle dans mon temps, mais, a present, je ne crois pas etre fort remarquable.",25,aligned
"When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""","Lorsqu'une femme a cinq grandes filles, elle ne doit plus penser a sa beaute.",26,aligned
"""In such cases, a woman has not often much beauty to think of.""","Il est bien rare alors qu'elle puisse s'en occuper, a moins que ce ne soit pour en deplorer la perte.",27,not aligned
"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""","Mais, mon cher, vous devez vraiment aller voir M. Bingley des qu'il sera dans notre voisinage.",28,aligned
"""It is more than I engage for, I assure you.""",-- C'est plus que je ne puis promettre.,29,not aligned
"""But consider your daughters.",-- Songez donc a vos filles !,30,aligned
"I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls; though I must throw in a good word for my little Lizzy.""","-- Vous etes trop scrupuleuse, je crois que M. Bingley seroit charme de vous voir, et je pourrais meme vous charger de quelques lignes pour l'assurer de mon consentement a son mariage avec celle de mes filles qu'il choisira ; quoique cependant je dusse dire un mot en faveur de ma chere petite Lizzy.",33,aligned
"""I desire you will do no such thing.",-- Je vous prie de ne point le faire.,34,not aligned
"Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good humoured as Lydia. ~~~ But you are always giving _her_ the preference.""","Lizzy n'est pas superieure aux autres ; elle n'est a beaucoup pres ni si belle que Jane, ni si gaie que Lydie ; mais vous lui donnez toujours la preference.",35,aligned
"""They have none of them much to recommend them,"" replied he; ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""","-- On ne peut tirer vanite ni des unes ni des autres, repliqua-t-il, elles sont sottes et ignorantes comme toutes les jeunes filles, mais Lizzy a quelque chose de plus anime que ses soeurs.",36,aligned
"""Mr. Bennet, how can you abuse your own children in such a way?","-- Je ne sais quelle jouissance vous avez a rabaisser ainsi vos enfans, Monsieur Bennet ?",37,not aligned
You take delight in vexing me.,Il semble que vous preniez plaisir a me faire de la peine.,38,aligned
"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three and twenty years had been insufficient to make his wife understand his character.","M. Bennet offroit un melange si extraordinaire de reparties promptes, d'humeur railleuse, de reserve et de caprices, que vingt-trois ans de mariage n'avoient pas suffi a sa femme pour bien connoitre son caractere.",47,aligned
_Her_ mind was less difficult to develope.,Elle etoit moins difficile a definir.,48,not aligned
"She was a woman of mean understanding, little information, and uncertain temper.","C'etoit une femme ignorante, d'une intelligence mediocre, et d'un caractere foible.",49,aligned
CHAPTER II.,CHAPITRE II.,52,aligned
