eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
Sense and Sensibility by Jane Austen (1811) CHAPTER I.,CHAPITRE PREMIER.,0,aligned,1,18,0,57,"CHAPITRE PREMIER.
","Sense and Sensibility

by Jane Austen

(1811)

CHAPTER I.
"
The family of Dashwood had long been settled in Sussex.,La famille des Dashwood etait depuis long-temps etablie dans le comte de Sussex.,1,aligned,21,101,60,115,La famille des Dashwood etait depuis long-temps etablie dans le comte de Sussex. ,The family of Dashwood had long been settled in Sussex. 
"Their estate was large, and their residence was at Norland Park, in the centre of their property, where, for many generations, they had lived in so respectable a manner as to engage the general good opinion of their surrounding acquaintance.","Leurs domaines etaient etendus, et leur residence habituelle etait a Norland-Park, au centre de leurs proprietes, ou plusieurs generations avaient vecu avec honneur, aimees et respectees de leurs vassaux et de leurs voisins.",2,aligned,102,326,116,357,"Leurs domaines etaient etendus, et leur residence habituelle etait a Norland-Park, au centre de leurs proprietes, ou plusieurs generations avaient vecu avec honneur, aimees et respectees de leurs vassaux et de leurs voisins.
","Their estate
was large, and their residence was at Norland Park, in the centre of
their property, where, for many generations, they had lived in so
respectable a manner as to engage the general good opinion of their
surrounding acquaintance. "
"The late owner of this estate was a single man, who lived to a very advanced age, and who for many years of his life, had a constant companion and housekeeper in his sister.","Le dernier possesseur de ces biens, etait un vieux celibataire, qui pendant long-temps avait vecu avec une soeur chargee de diriger l'economie de sa maison, en meme temps qu'elle etait sa fidele compagne.",3,aligned,328,532,358,531,"Le dernier possesseur de ces biens, etait un vieux celibataire, qui pendant long-temps avait vecu avec une soeur chargee de diriger l'economie de sa maison, en meme temps qu'elle etait sa fidele compagne. ","The late owner of this estate was a single
man, who lived to a very advanced age, and who for many years of his
life, had a constant companion and housekeeper in his sister. "
"But her death, which happened ten years before his own, produced a great alteration in his home; for to supply her loss, he invited and received into his house the family of his nephew Mr. Henry Dashwood, the legal inheritor of the Norland estate, and the person to whom he intended to bequeath it.","Elle mourut dix ans avant lui, et pour reparer cette perte, il invita un neveu, qui devait heriter de ses terres, a venir vivre aupres de lui avec toute sa famille. ~~~ Ce neveu, M. Henri Dashwood etait marie, et il avait des enfans.",4,aligned,533,762,532,830,"Elle mourut dix ans avant lui, et pour reparer cette perte, il invita un neveu, qui devait heriter de ses terres, a venir vivre aupres de lui avec toute sa famille. Ce neveu, M. Henri Dashwood etait marie, et il avait des enfans. ","But her
death, which happened ten years before his own, produced a great
alteration in his home; for to supply her loss, he invited and received
into his house the family of his nephew Mr. Henry Dashwood, the legal
inheritor of the Norland estate, and the person to whom he intended to
bequeath it. "
"In the society of his nephew and niece, and their children, the old Gentleman s days were comfortably spent. ~~~ His attachment to them all increased.","Le bon vieillard trouva dans leur societe un bonheur qui lui etait inconnu, et son attachement pour eux tous s'augmenta chaque jour.",5,aligned,763,895,831,977,"Le bon vieillard trouva dans leur societe un bonheur qui lui etait inconnu, et son attachement pour eux tous s'augmenta chaque jour. ","In the society of his nephew and niece, and their
children, the old Gentleman s days were comfortably spent. His
attachment to them all increased. "
"The constant attention of Mr. and Mrs. Henry Dashwood to his wishes, which proceeded not merely from interest, but from goodness of heart, gave him every degree of solid comfort which his age could receive; and the cheerfulness of the children added a relish to his existence.","Monsieur et madame Henri Dashwood soignerent sa vieillesse bien moins par interet que par bonte de coeur, et la gaite des enfans, et leurs douces caresses animerent le soir de sa vie et la prolongerent.",6,aligned,896,1098,978,1254,"Monsieur et madame Henri Dashwood soignerent sa vieillesse bien moins par interet que par bonte de coeur, et la gaite des enfans, et leurs douces caresses animerent le soir de sa vie et la prolongerent.
","The constant attention of Mr. and
Mrs. Henry Dashwood to his wishes, which proceeded not merely from
interest, but from goodness of heart, gave him every degree of solid
comfort which his age could receive; and the cheerfulness of the
children added a relish to his existence.
"
"By a former marriage, Mr",M,7,aligned,13,14,1256,1280,MI,"By a former marriage, Mr."
"By his own marriage, likewise, which happened soon afterwards, he added to his wealth.","Econome par caractere, il ne fit aucune folle depense, et se maria de bonne heure a miss Fanny Ferrars, jeune personne riche aussi, qui ajouta encore a sa fortune.",8,aligned,1292,1455,1520,1606,"Econome par caractere, il ne fit aucune folle depense, et se maria de bonne heure a miss Fanny Ferrars, jeune personne riche aussi, qui ajouta encore a sa fortune. ","By his own
marriage, likewise, which happened soon afterwards, he added to his
wealth. "
"The son, a steady respectable young man, was amply provided for by the fortune of his mother, which had been large, and half of which devolved on him on his coming of age","Son fils John etait en possession d'une belle fortune provenant de sa mere, qui avait ete tres-riche",9,aligned,1190,1290,1348,1518,"Son fils John etait en possession d'une belle fortune provenant de sa mere, qui avait ete tres-riche.","The son, a steady respectable young man, was
amply provided for by the fortune of his mother, which had been large,
and half of which devolved on him on his coming of age."
