eng,fr,id,llm alignment result
"By a former marriage, Mr. Henry Dashwood had one son: by his present lady, three daughters.",M. Henri Dashwood avait un fils d'un premier mariage et trois filles de sa seconde femme.,7,aligned
"The son, a steady respectable young man, was amply provided for by the fortune of his mother, which had been large, and half of which devolved on him on his coming of age.","Son fils John etait en possession d'une belle fortune provenant de sa mere, qui avait ete tres-riche.",8,not aligned
"By his own marriage, likewise, which happened soon afterwards, he added to his wealth.","Econome par caractere, il ne fit aucune folle depense, et se maria de bonne heure a miss Fanny Ferrars, jeune personne riche aussi, qui ajouta encore a sa fortune.",9,aligned
"The old gentleman died: his will was read, and like almost every other will, gave as much disappointment as pleasure.","Le vieux oncle mourut ; son testament fut ouvert, et comme il arrive presque toujours, il fit beaucoup de mecontens.",12,aligned
"He was neither so unjust, nor so ungrateful, as to leave his estate from his nephew; but he left it to him on such terms as destroyed half the value of the bequest.","M. Henri Dashwood devait naturellement s'attendre a etre le seul heritier, et l'etait en effet, mais de maniere a detruire pour lui la valeur de cet heritage, auquel il n'attachait de prix que pour faire un sort a sa femme et a ses trois filles, son fils etant deja si avantageusement pourvu du cote de la fortune.",13,not aligned
"Mr. Dashwood had wished for it more for the sake of his wife and daughters than for himself or his son; but to his son, and his son s son, a child of four years old, it was secured, in such a way, as to leave to himself no power of providing for those who were most dear to him, and who most needed a provision by any charge on the estate, or by any sale of its valuable woods.","Mais a sa grande surprise son oncle, qui paraissait aussi les aimer tendrement, avait cependant substitue tous ses biens a ce fils et a son enfant age de trois ou quatre ans ; tellement que M. Henri Dashwood n'avait plus le pouvoir d'en aliener la moindre partie pour faire un sort a sa femme et a ses filles.",14,aligned
"The whole was tied up for the benefit of this child, who, in occasional visits with his father and mother at Norland, had so far gained on the affections of his uncle, by such attractions as are by no means unusual in children of two or three years old; an imperfect articulation, an earnest desire of having his own way, many cunning tricks, and a great deal of noise, as to outweigh all the value of all the attention which, for years, he had received from his niece and her daughters.","Pendant les dernieres annees de la vie du vieillard, M. John Dashwood et sa femme avaient eu soin de lui faire beaucoup de visites, et d'amener avec eux leur petit garcon, qui caressait le vieux oncle, l'appelait bon grand papa, jouait autour de lui, l'amusait de son petit babil, et meme de ses sottises enfantines, et qui finit par lui faire oublier toutes les attentions que ses nieces lui avaient prodiguees pendant des annees.",15,aligned
"He meant not to be unkind, however, and, as a mark of his affection for the three girls, he left them a thousand pounds a-piece.","Il leur laissait cependant a chacune mille pieces, comme une marque d'amitie ; mais c'etait tout ce qu'elles avaient a pretendre de son heritage.",16,not aligned
"Mr. Dashwood s disappointment was, at first, severe; but his temper was cheerful and sanguine; and he might reasonably hope to live many years, and by living economically, lay by a considerable sum from the produce of an estate already large, and capable of almost immediate improvement.","M. Henri Dashwood fut d'abord consterne de ces dispositions ; il se consola cependant, en pensant que quoiqu'il fut deja grand-pere, il pouvait raisonnablement esperer de vivre encore bien des annees, et de faire d'assez fortes economies sur ses grands revenus pour laisser apres lui une somme considerable.",17,aligned
"But the fortune, which had been so tardy in coming, was his only one twelvemonth.",Mais sur quoi peut compter l'homme mortel !,18,not aligned
"He survived his uncle no longer; and ten thousand pounds, including the late legacies, was all that remained for his widow and daughters.","M. Dashwood ne survecut que quelques mois a son oncle, et de cette fortune si long-temps attendue, il ne resta a sa femme et a ses trois filles que dix mille pieces, y compris le legs des trois mille.",19,aligned
"Mr. John Dashwood had not the strong feelings of the rest of the family; but he was affected by a recommendation of such a nature at such a time, and he promised to do every thing in his power to make them comfortable.","M. John Dashwood n'avait pas la sensibilite de son pere et de toute sa famille ; cependant emu par la solennite du moment et par les tendres supplications du meilleur des peres, il lui promit de faire tout ce qui dependrait de lui pour le bonheur des etres si chers a son coeur.",21,aligned
"His father was rendered easy by such an assurance, and Mr. John Dashwood had then leisure to consider how much there might prudently be in his power to do for them.","Les derniers instans du mourant furent adoucis par cette assurance ; il expira doucement dans les bras de sa femme et de ses filles, au desespoir de sa perte, et son fils, assis a quelques pas plus loin, reflechissait a sa promesse, et a ce qu'il pouvait et devait faire pour la remplir.",22,not aligned
,"Dans le fond il etait alors tres-bien dispose pour cela. ~~~ Quoiqu'il fut naturellement froid et tres-egoiste, il jouissait cependant d'une bonne reputation ; il etait respecte comme un jeune homme qui avait des moeurs, qui s'etait toujours conduit avec sagesse et prudence, et qui remplissait exactement les devoirs de fils, de pere, de mari et ceux de societe.",23,not aligned
"He was not an ill-disposed young man, unless to be rather cold hearted and rather selfish is to be ill-disposed: but he was, in general, well respected; for he conducted himself with propriety in the discharge of his ordinary duties.","S'il avait eu une compagne plus aimable, il aurait joui de plus d'estime encore, et l'aurait mieux merite. ~~~ Il s'etait marie fort jeune ; et passionnement amoureux de sa femme, elle avait pris sur lui beaucoup d'empire.",24,not aligned
"Had he married a more amiable woman, he might have been made still more respectable than he was: he might even have been made amiable himself; for he was very young when he married, and very fond of his wife.","Un esprit tres-etroit, des nerfs tres-irritables, un coeur qui n'aimait qu'elle-meme et son enfant, parce qu'il etait a elle et qu'il lui ressemblait : voila en deux mots le portrait de madame John Dashwood.",25,not aligned
But Mrs. John Dashwood was a strong caricature of himself; more narrow-minded and selfish.,"Allons, dit M. John Dashwood en lui-meme a la suite de ses reflexions, il faut tenir ce que j'ai promis a mon pere mourant, il faut faire a mes soeurs un present qui les dedommage de leur perte et qui augmente leur bien-etre.",26,not aligned
"When he gave his promise to his father, he meditated within himself to increase the fortunes of his sisters by the present of a thousand pounds a-piece.","Si je leur donnais mille pieces a chacune ; il me semble que ce serait fort honnete, et je ne puis pas faire moins ; ma fortune s'augmente a present par la mort de mon pere de quatre mille livres sterling par annee des biens de mon vieux oncle, sans parler de la moitie du bien de ma mere dont mon pere jouissait.",27,not aligned
"He then really thought himself equal to it. ~~~ The prospect of four thousand a-year, in addition to his present income, besides the remaining half of his own mother s fortune, warmed his heart, and made him feel capable of generosity.","Tout cela ajoute a mes revenus actuels, me met en etat d'etre genereux avec mes soeurs... Oui, oui, je leur donnerai trois mille guinees, et je crois que c'est assez beau et qu'on parlera dans le monde de ma liberalite.",28,aligned
"""Yes, he would give them three thousand pounds: it would be liberal and handsome!","Trois mille pieces ajoutees aux trois mille qu'elles ont eues de leur bon oncle et aux sept mille dont leur mere jouit, les mettront completement a leur aise.",29,not aligned
It would be enough to make them completely easy. ~~~ Three thousand pounds!,"Quatre femmes ne peuvent pas depenser beaucoup, et trois mille pieces c'est une belle somme ; elles pourront faire des epargnes considerables.",30,not aligned
"he could spare so considerable a sum with little inconvenience.""","Allons, j'en suis bien aise ; je l'ai promis a mon pere mourant, et j'y suis resolu.",31,not aligned
"He thought of it all day long, and for many days successively, and he did not repent.","Il pensa de meme tout le jour, et meme plusieurs jours consecutivement sans qu'il s'en repentit ; il ne leur en parla pas encore dans le premier moment de leur douleur, mais il en prit l'engagement avec lui-meme.",32,aligned
"No sooner was his father s funeral over, than Mrs. John Dashwood, without sending any notice of her intention to her mother-in-law, arrived with her child and their attendants.","Les funerailles ne furent pas plutot achevees, que madame John Dashwood, sans en avertir sa belle-mere, arriva a Norland-Park, avec son fils et tous leurs domestiques.",33,aligned
"No one could dispute her right to come; the house was her husband s from the moment of his father s decease; but the indelicacy of her conduct was so much the greater, and to a woman in Mrs. Dashwood s situation, with only common feelings, must have been highly unpleasing; but in _her_ mind there was a sense of honor so keen, a generosity so romantic, that any offence of the kind, by whomsoever given or received, was to her a source of immovable disgust.","Personne ne pouvait lui disputer le droit d'y venir, puisque du moment du deces de leur pere, cette terre leur appartenait ; mais le peu de delicatesse de ce procede aurait ete senti meme par une femme ordinaire, et madame Dashwood la mere, avec une sensibilite romanesque, un sens parfait des convenances, ne pouvait qu'etre tres-blessee de cette negligence.",34,not aligned
"Mrs. John Dashwood had never been a favourite with any of her husband s family; but she had had no opportunity, till the present, of showing them with how little attention to the comfort of other people she could act when occasion required it.","Madame John Dashwood n'avait jamais cherche a se faire aimer de la famille de son mari (a l'exception cependant du vieux oncle) mais jusqu'alors ne vivant pas avec eux, elle avait eu peu d'occasion de leur prouver combien ils devaient peu compter sur des attentions consolantes de sa part.",35,aligned
"Marianne s abilities were, in many respects, quite equal to Elinor s. She was sensible and clever; but eager in everything: her sorrows, her joys, could have no moderation.","Pour l'intelligence, l'esprit et les talens, Maria ne le cedait en rien a Elinor ; mais sa sensibilite toujours en mouvement, n'etait jamais reprimee par la raison.",39,aligned
,"Elle s'abandonnait sans mesure et sans retenue a toutes ses impressions ; ses chagrins, ses joies etaient toujours extremes ; elle etait d'ailleurs aimable, genereuse, interessante sous tous les rapports, et meme par la chaleur de son coeur.",40,not aligned
"She was generous, amiable, interesting: she was everything but prudent.","Elle avait toutes les vertus, excepte la prudence.",41,aligned
The resemblance between her and her mother was strikingly great.,Sa ressemblance avec sa mere etait frappante ; aussi etait-elle sa favorite decidee.,42,not aligned
"Elinor saw, with concern, the excess of her sister s sensibility; but by Mrs. Dashwood it was valued and cherished.","Elinor voyait avec peine l'exces de la sensibilite de sa soeur, tandis que leur mere en etait enchantee, et l'excitait au lieu de la reprimer.",43,not aligned
"They encouraged each other now in the violence of their affliction. ~~~ The agony of grief which overpowered them at first, was voluntarily renewed, was sought for, was created again and again.","Elles s'encouragerent l'une l'autre dans leur affliction, la renouvelaient volontairement, et sans cesse, par toutes les reflexions qui pouvaient l'augmenter, et n'admettaient aucune espece de consolation, pas meme dans l'avenir.",44,aligned
"They gave themselves up wholly to their sorrow, seeking increase of wretchedness in every reflection that could afford it, and resolved against ever admitting consolation in future.","Elinor etait tout aussi profondement affligee, mais elle s'efforcait de surmonter sa douleur, et d'etre utile a tout ce qui l'entourait.",45,not aligned
"Elinor, too, was deeply afflicted; but still she could struggle, she could exert herself.","Elle prit sur elle de mettre chaque chose en regle avec son frere pour recevoir sa belle-soeur a son arrivee, et lui aider dans son etablissement.",46,not aligned
"She could consult with her brother, could receive her sister-in-law on her arrival, and treat her with proper attention; and could strive to rouse her mother to similar exertion, and encourage her to similar forbearance.","Par cette sage conduite, elle parvint a relever un peu l'esprit abattu de sa mere, et a lui donner au moins le desir de l'imiter.",47,not aligned
"Margaret, the other sister, was a good-humored, well-disposed girl; but as she had already imbibed a good deal of Marianne s romance, without having much of her sense, she did not, at thirteen, bid fair to equal her sisters at a more advanced period of life.","Sa soeur cadette, la jeune Emma, n'etait encore qu'une enfant ; mais a douze ans elle promettait deja d'etre dans quelques annees aussi belle et aussi aimable que ses soeurs.",48,not aligned
CHAPTER II.,* * * CHAPITRE II.,49,aligned
"As such, however, they were treated by her with quiet civility; and by her husband with as much kindness as he could feel towards anybody beyond himself, his wife, and their child.","Elles etaient traitees par madame Dashwood avec une froide civilite, et par leur frere avec autant de tendresse qu'il pouvait en temoigner a d'autres qu'a lui-meme, a sa femme et a son enfant.",51,aligned
,"Il les pressa, et meme avec assez de vivacite, de regarder Norland comme leur demeure.",52,not aligned
