eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
(No direct equivalent in text),Cette piste l'a mene a la vraie solution.,60,not aligned,7356,7397,-1,-1,Cette piste l'a mene a la vraie solution. ,
"""Oh, didn't you know?"" he cried, laughing.",-- Comment ? Vous ne savez pas ? dit-il en souriant.,68,aligned,8286,8338,-1,-1,-- Comment ? Vous ne savez pas ? dit-il en souriant. ,
"""You have an extraordinary genius for minutiæ,"" I remarked.","""Vous avez vraiment la specialite des infiniment petits, remarquai-je.""",75,aligned,9237,9306,-1,-1,"Vous avez vraiment la specialite des infiniment petits, remarquai-je.
",
"""The earth is of this peculiar reddish tint which is found, as far as I know, nowhere else in the neighbourhood.""",(No direct equivalent in text),92,not aligned,-1,-1,9484,9595,,"The earth is of this peculiar reddish tint which is found, as far as I know, nowhere else in the neighbourhood. "
"Don't go, doctor.","Ne vous en allez donc pas, docteur.",180,aligned,19722,19757,-1,-1,"Ne vous en allez donc pas, docteur. ",
"""There was nothing in it to suggest a clue, some clothes, some books, and a considerable number of curiosities from the Andaman Islands.  He had been one of the officers in charge of the convict-guard there.""","""-- Ils etaient restes a l'hotel, mais ils ne contenaient rien qui ait pu fournir quelque indice : des vetements, des livres et surtout beaucoup de bibelots et d'objets curieux provenant de l'archipel Andaman, car il avait fait partie de la garnison chargee de surveiller les condamnes relegues dans ces iles.""",220,aligned,23828,24136,-1,-1,"-- Ils etaient restes a l'hotel, mais ils ne contenaient rien qui ait pu fournir quelque indice : des vetements, des livres et surtout beaucoup de bibelots et d'objets curieux provenant de l'archipel Andaman, car il avait fait partie de la garnison chargee de surveiller les condamnes relegues dans ces iles.
",
"""Your correspondent says two friends. He and I have worked together before.""",(No direct equivalent in text),266,not aligned,-1,-1,22654,22728,,"Your correspondent says two friends. He and I have worked together before."""
"""Holmes shook his head.""",(No direct equivalent in text),304,not aligned,-1,-1,25472,25494,,Holmes shook his head. 
"""It is, however, _very_ suggestive.""",(No direct equivalent in text),319,not aligned,-1,-1,27374,27408,,"It is, however, _very_ suggestive. "
"It was a September evening, and not yet seven o'clock, but the day had been a dreary one, and a dense drizzly fog lay low upon the great city.","C'etait un soir de septembre, vers sept heures environ ; la journee avait ete sombre et un brouillard tres dense s'etendait sur la ville.",359,aligned,37478,37615,-1,-1,"C'etait un soir de septembre, vers sept heures environ ; la journee avait ete sombre et un brouillard tres dense s'etendait sur la ville. ",
"Like all human kind, they flitted from the gloom into the light, and so back into the gloom once more.",(No direct equivalent in text),361,not aligned,-1,-1,32136,32238,,"Like all human kind, they flitted from the gloom into the light, and so back into the gloom once more. "
As it burned it filled the air with a subtle and aromatic odour.,(No direct equivalent in text),420,not aligned,-1,-1,38482,38546,,"As it burned it filled the air with a subtle and aromatic odour.
"
"We read the details in the papers, and, knowing that he had been a friend of our father's, we discussed the case freely in his presence.","Nous en lumes les details dans les journaux avec le plus grand interet, puisqu'il avait ete l'ami de notre pere, et nous discutames librement l'affaire devant lui.",486,aligned,51542,51705,-1,-1,"Nous en lumes les details dans les journaux avec le plus grand interet, puisqu'il avait ete l'ami de notre pere, et nous discutames librement l'affaire devant lui. ",
I shall try and give it to you in his own very words.,(No direct equivalent in text),503,not aligned,-1,-1,45733,45786,,"I shall try and give it to you in his own very words.
"
I alone knew it.,(No direct equivalent in text),511,not aligned,-1,-1,46731,46747,,I alone knew it. 
"We soon, however, had another and a more striking proof that there were secret agencies at work all round us.",Mais bientot nous eumes une preuve plus frappante encore qu'il se tramait quelque chose dans l'ombre autour de nous.,550,aligned,-1,-1,50116,50225,,"We soon, however, had another and a more striking proof that there were secret agencies at work all round us. "
"The window of my father's room was found open in the morning, his cupboards and boxes had been rifled, and upon his chest was fixed a torn piece of paper, with the words The sign of the four scrawled across it.","le lendemain matin on constata que la fenetre de mon pere avait ete ouverte, que tous les meubles avaient ete fouilles, et sur la poitrine du cadavre etait epingle un chiffon de papier qui portait ces mots : << La marque des quatre >>.",551,aligned,58908,59143,-1,-1,"le lendemain matin on constata que la fenetre de mon pere avait ete ouverte, que tous les meubles avaient ete fouilles, et sur la poitrine du cadavre etait epingle un chiffon de papier qui portait ces mots : << La marque des quatre >>. ",
"As far as we can judge, none of my father's property had been actually stolen, though everything had been turned out.","Selon toute apparence rien n'avait ete vole, quoique tout eut ete mis sens dessus dessous.",553,aligned,59250,59340,-1,-1,"Selon toute apparence rien n'avait ete vole, quoique tout eut ete mis sens dessus dessous. ",
"It was all that I could do to persuade him to let me find out Miss Morstan's address and send her a detached pearl at fixed intervals, so that at least she might never feel destitute.","Tout ce que je pus obtenir fut l'autorisation de rechercher l'adresse de Miss Morstan et de lui envoyer une perle separee a intervalles fixes, afin qu'elle sut bien qu'on ne l'oubliait pas.",558,aligned,61624,61813,-1,-1,"Tout ce que je pus obtenir fut l'autorisation de rechercher l'adresse de Miss Morstan et de lui envoyer une perle separee a intervalles fixes, afin qu'elle sut bien qu'on ne l'oubliait pas.
",
