eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,translations,occurrences,occurrences_tuple,fr_text,fr_startByte,fr_endByte
exp,exp_name,sherlock holmes,Sherlock Holmes,36,51,14,2,1,M_0,Chapter I The Science of Deduction Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case.,"Sherlock Holmes alla prendre un flacon sur le coin de la cheminee, puis, tirant de son ecrin une seringue Pravaz, de ses doigts effiles et nerveux il ajusta l'aiguille aceree au bout de l'instrument et releva sa manche gauche.",0,aligned,51,277,0,158,"Sherlock Holmes alla prendre un flacon sur le coin de la cheminee, puis, tirant de son ecrin une seringue Pravaz, de ses doigts effiles et nerveux il ajusta l'aiguille aceree au bout de l'instrument et releva sa manche gauche. ","Chapter I The Science of Deduction

Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case. ",['Sherlock Holmes'],"[('Sherlock Holmes', 51, 66)]","(('Sherlock Holmes', 51, 66),)",Sherlock Holmes,51.0,66.0
booknlp,COREF,105,his,57,60,14,2,1,M_1,Chapter I The Science of Deduction Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case.,"Sherlock Holmes alla prendre un flacon sur le coin de la cheminee, puis, tirant de son ecrin une seringue Pravaz, de ses doigts effiles et nerveux il ajusta l'aiguille aceree au bout de l'instrument et releva sa manche gauche.",0,aligned,51,277,0,158,"Sherlock Holmes alla prendre un flacon sur le coin de la cheminee, puis, tirant de son ecrin une seringue Pravaz, de ses doigts effiles et nerveux il ajusta l'aiguille aceree au bout de l'instrument et releva sa manche gauche. ","Chapter I The Science of Deduction

Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case. ","['son', 'sa', 'ses', 'le sien']","[('son', 134, 137), ('sa', 260, 262), ('ses', 168, 171)]","(('son', 134, 137), ('sa', 260, 262), ('ses', 168, 171))",son,134.0,137.0
booknlp,COREF,105,his,108,111,14,2,1,M_2,Chapter I The Science of Deduction Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case.,"Sherlock Holmes alla prendre un flacon sur le coin de la cheminee, puis, tirant de son ecrin une seringue Pravaz, de ses doigts effiles et nerveux il ajusta l'aiguille aceree au bout de l'instrument et releva sa manche gauche.",0,aligned,51,277,0,158,"Sherlock Holmes alla prendre un flacon sur le coin de la cheminee, puis, tirant de son ecrin une seringue Pravaz, de ses doigts effiles et nerveux il ajusta l'aiguille aceree au bout de l'instrument et releva sa manche gauche. ","Chapter I The Science of Deduction

Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case. ","['son', 'sa', 'ses', 'le sien']","[('son', 134, 137), ('sa', 260, 262), ('ses', 168, 171)]","(('son', 134, 137), ('sa', 260, 262), ('ses', 168, 171))",son,134.0,137.0
booknlp,COREF,105,his,164,167,14,2,1,M_3,"With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. ~~~ For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks.","Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait.",1,aligned,278,500,159,406,"Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait. ","With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks. ","['son', 'sa', 'ses', 'le sien']","[('son', 347, 350), ('son', 373, 376), ('ses', 289, 292)]","(('son', 347, 350), ('son', 373, 376), ('ses', 289, 292))",son,334.0,337.0
booknlp,COREF,105,he,197,199,14,2,1,M_4,"With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. ~~~ For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks.","Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait.",1,aligned,278,500,159,406,"Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait. ","With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks. ",['il'],"[('il', 486, 488)]","(('il', 486, 488),)",il,486.0,488.0
booknlp,COREF,105,his,246,249,14,2,1,M_5,"With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. ~~~ For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks.","Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait.",1,aligned,278,500,159,406,"Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait. ","With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks. ","['son', 'sa', 'ses', 'le sien']","[('son', 347, 350), ('son', 373, 376), ('ses', 289, 292)]","(('son', 347, 350), ('son', 373, 376), ('ses', 289, 292))",son,334.0,337.0
booknlp,COREF,105,his,288,291,14,2,1,M_6,"With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. ~~~ For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks.","Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait.",1,aligned,278,500,159,406,"Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait. ","With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks. ","['son', 'sa', 'ses', 'le sien']","[('son', 347, 350), ('son', 373, 376), ('ses', 289, 292)]","(('son', 347, 350), ('son', 373, 376), ('ses', 289, 292))",son,334.0,337.0
booknlp,COREF,105,he,415,417,14,2,1,M_7,"Finally he thrust the sharp point home, pressed down the tiny piston, and sank back into the velvet-lined arm-chair with a long sigh of satisfaction.","Enfin il se decida a enfoncer l'aiguille sous la peau et, apres avoir presse la tige de son instrument, il se laissa tomber dans un fauteuil de velours, en poussant un long soupir de soulagement.",2,aligned,501,696,407,556,"Enfin il se decida a enfoncer l'aiguille sous la peau et, apres avoir presse la tige de son instrument, il se laissa tomber dans un fauteuil de velours, en poussant un long soupir de soulagement.
","Finally he thrust the sharp point home, pressed down the tiny piston, and sank back into the velvet-lined arm-chair with a long sigh of satisfaction.
",['il'],"[('il', 507, 509), ('il', 605, 607)]","(('il', 507, 509), ('il', 605, 607))",il,507.0,509.0
booknlp,COREF,105,him,1008,1011,14,3,1,M_8,"Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty.","Bien des fois j'avais fait le serment d'apaiser mes remords en accomplissant mon devoir ; mais l'air froid, ennuye, de mon compagnon glacait toujours les paroles sur mes levres.",6,aligned,1024,1201,847,1092,"Bien des fois j'avais fait le serment d'apaiser mes remords en accomplissant mon devoir ; mais l'air froid, ennuye, de mon compagnon glacait toujours les paroles sur mes levres. ","Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty. ",['lui'],"[(None, None, None)]","((None, None, None),)",,,
booknlp,COREF,105,His,1093,1096,14,3,1,M_9,"His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him.","Ses facultes extraordinaires, l'autorite que lui donnaient ses connaissances si etendues, les nombreuses preuves que j'avais eues de toutes ses qualites, tout contribuait a changer mon hesitation en inertie, tant je craignais de le contrarier.",5,aligned,1202,1445,1093,1255,"Ses facultes extraordinaires, l'autorite que lui donnaient ses connaissances si etendues, les nombreuses preuves que j'avais eues de toutes ses qualites, tout contribuait a changer mon hesitation en inertie, tant je craignais de le contrarier.
","His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him.
",['Son'],"[(None, None, None)]","((None, None, None),)",ses,1202.0,1205.0
