eng,fr,id,llm alignment result,group
"On the contrary, from day to day I had become more irritable at the sight, and my conscience swelled nightly within me at the thought that I had lacked the courage to protest.","Au contraire, de jour en jour ce spectacle m'irritait davantage ; chaque nuit je sentais ma conscience se revolter devant la lachete qui m'empechait de protester ouvertement contre une telle manie.","[4, 6]",aligned,1
"Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty.","Bien des fois j'avais fait le serment d'apaiser mes remords en accomplissant mon devoir ; mais l'air froid, ennuye, de mon compagnon glacait toujours les paroles sur mes levres.","[4, 6]",aligned,1
"His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him.","Ses facultes extraordinaires, l'autorite que lui donnaient ses connaissances si etendues, les nombreuses preuves que j'avais eues de toutes ses qualites, tout contribuait a changer mon hesitation en inertie, tant je craignais de le contrarier.","[4, 6]",aligned,1
"""Would you care to try it?""",'Auriez-vous envie d'en tater ?',"[9, 12]",aligned,2
"""No, indeed,"" I answered, brusquely.","'Non, repliquai-je brusquement,'","[9, 12]",aligned,2
"""My constitution has not got over the Afghan campaign yet. I cannot afford to throw any extra strain upon it.""",'je ne voudrais certes pas soumettre a pareille epreuve une sante encore mal remise de la campagne d'Afghanistan.',"[9, 12]",aligned,2
He smiled at my vehemence.,'Ma vivacite le fit sourire.',"[9, 12]",aligned,2
"""Perhaps you are right, Watson,"" he said.","'Peut-etre avez-vous raison, Watson, me dit-il.'","[9, 12]",aligned,2
"""Count the cost!""",'Voyez ce que vous risquez.',"[15, 17, 20]",aligned,3
"'Your brain may, as you say, be roused and excited, but it is a pathological and morbid process, which involves increased tissue-change and may at last leave a permanent weakness.'","'Vous pouvez sans doute, comme vous le dites, produire par ce moyen une surexcitation momentanee dans votre cerveau. Mais ce processus purement pathologique est un processus morbide qui va s'aggravant chaque jour et doit a la longue amener un affaiblissement certain.'","[15, 17, 20]",aligned,3
"'You know, too, what a black reaction comes upon you.'",'Ne sentez-vous pas d'ailleurs vous-meme la terrible reaction qui se manifeste apres chaque operation ?',"[15, 17, 20]",aligned,3
'Surely the game is hardly worth the candle.',"'Voyons, le jeu en vaut-il la chandelle ?'","[15, 17, 20]",aligned,3
"'Why should you, for a mere passing pleasure, risk the loss of those great powers with which you have been endowed?'","'A quoi bon, pour une jouissance passagere, risquer de detruire les magnifiques facultes dont vous etes doue ?'","[15, 17, 20]",aligned,3
"When Gregson or Lestrade or Athelney Jones are out of their depths which, by the way, is their normal state the matter is laid before me.","Lorsque Greyson, ou Lestrade, ou Athelney Jones ne savent plus ou donner de la tete -- ce qui par parenthese leur arrive plus souvent qu'a leur tour, -- ils viennent m'exposer leur cas.","[31, 34, 36, 37, 40, 41, 43]",aligned,4
"I examine the data, as an expert, and pronounce a specialist s opinion.",J'examine les donnees du probleme et je me prononce ensuite avec l'autorite qui resulte des connaissances particulieres que j'ai amassees.,"[31, 34, 36, 37, 40, 41, 43]",aligned,4
I claim no credit in such cases.,Je ne cherche pas a me prevaloir de mes succes.,"[31, 34, 36, 37, 40, 41, 43]",aligned,4
My name figures in no newspaper.,"Jamais vous ne verrez mon nom figurer dans un journal,","[31, 34, 36, 37, 40, 41, 43]",aligned,4
"The work itself, the pleasure of finding a field for my peculiar powers, is my highest reward.","mais le seul plaisir de travailler, la jouissance de decouvrir un champ ou je puisse exercer mes facultes speciales, voila pour moi les recompenses les plus enviables.","[31, 34, 36, 37, 40, 41, 43]",aligned,4
"But you have yourself had some experience of my methods of work in the Jefferson Hope case.""",D'ailleurs vous avez pu juger vous-meme de ma maniere de proceder dans l'affaire Jefferson Hope.,"[31, 34, 36, 37, 40, 41, 43]",aligned,4
"""Yes, indeed,"" said I, cordially.","-- Certainement, dis-je,","[31, 34, 36, 37, 40, 41, 43]",aligned,4
I was never so struck by anything in my life.,"jamais je n'ai ete plus etonne,","[31, 34, 36, 37, 40, 41, 43]",aligned,4
I even embodied it in a small brochure with the somewhat fantastic title of A Study in Scarlet.,et meme j'ai coordonne tout cela dans une petite brochure sous ce titre fantaisiste : Etude de rouge.,"[31, 34, 36, 37, 40, 41, 43]",aligned,4
"""He shook his head sadly.",>> Il secoua la tete avec tristesse.,"[31, 34, 36, 37, 40, 41, 43]",aligned,4
"""I glanced over it,"" said he.","<< Je l'ai parcourue, dit-il,","[31, 34, 36, 37, 40, 41, 43]",aligned,4
"""Honestly, I cannot congratulate you upon it.",vraiment je ne puis vous en feliciter.,"[31, 34, 36, 37, 40, 41, 43]",aligned,4
"Detection is, or ought to be, an exact science, and should be treated in the same cold and unemotional manner.","La science du detective est -- ou devrait etre -- une science exacte. En consequence, l'expose doit etre precis, froid et depourvu de cette teinte romanesque que vous lui avez donnee.","[31, 34, 36, 37, 40, 41, 43]",aligned,4
"You have attempted to tinge it with romanticism, which produces much the same effect as if you worked a love-story or an elopement into the fifth proposition of Euclid.""","Votre procede est donc faux, absolument faux, et vous me faites l'effet d'avoir voulu tirer un roman d'un theoreme de geometrie.","[31, 34, 36, 37, 40, 41, 43]",aligned,4
"""But the romance was there,"" I remonstrated.","-- Mais le roman y etait bien, repondis-je timidement.","[31, 34, 36, 37, 40, 41, 43]",aligned,4
"""I could not tamper with the facts.""",Je ne pouvais pourtant pas denaturer les faits.,"[31, 34, 36, 37, 40, 41, 43]",aligned,4
"I was able to refer him to two parallel cases, the one at Riga in 1857, and the other at St. Louis in 1871, which have suggested to him the true solution.","J'ai pu le renvoyer a l'etude de deux cas identiques, celui de Riga en 1857 et celui de Saint-Louis en 1871.","[54, 57]",aligned,5
Here is the letter which I had this morning acknowledging my assistance.,Voici la lettre que j'ai recue de lui ce matin pour me remercier de mon concours.,"[54, 57]",aligned,5
"He tossed over, as he spoke, a crumpled sheet of foreign notepaper.","Tout en parlant, Sherlock Holmes chiffonnait une feuille de papier dans ses doigts.","[54, 57]",aligned,5
"I glanced my eyes down it, catching a profusion of notes of admiration, with stray ""magnifiques,"" ""coup-de-ma tres,"" and ""tours-de-force,"" all testifying to the ardent admiration of the Frenchman.","En la parcourant, je fus frappe de la profusion d'expressions elogieuses, telles que magnifiques, coups de maitre, tours de force ; c'etait bien la preuve irrecusable de l'admiration du detective francais.","[54, 57]",aligned,5
(No direct equivalent in text),Cette piste l'a mene a la vraie solution.,"[54, 57]",not aligned,5
He is only wanting in knowledge; and that may come in time.,"Ce qui lui manque, c'est uniquement la science, et ceci peut toujours s'acquerir.","[62, 64, 69]",aligned,6
He is now translating my small works into French.,Il traduit en ce moment mes petits ouvrages en francais.,"[62, 64, 69]",aligned,6
"""Your works?""",-- Vos ouvrages ?,"[62, 64, 69]",aligned,6
"""Oh, didn't you know?"" he cried, laughing.",-- Comment ? Vous ne savez pas ? dit-il en souriant.,"[62, 64, 69]",aligned,6
"""Yes, I have been guilty of several monographs. They are all upon technical subjects.","~~~ Eh bien ! oui, j'ai sur la conscience plusieurs brochures traitant toutes de sujets techniques.","[62, 64, 69]",aligned,6
"Here, for example, is one Upon the Distinction between the Ashes of the Various Tobaccoes.",Voici le titre de l'une d'elles par exemple : De la distinction entre les cendres provenant des differents tabacs.,"[62, 64, 69]",aligned,6
"""To the trained eye there is as much difference between the black ash of a Trichinopoly and the white fluff of bird s-eye as there is between a cabbage and a potato.""","""Pour un oeil exerce il y a autant de difference entre les cendres noires d'un trichinopoly et celles blanches et floconneuses du tabac << bird'seye >> qu'entre un chou et une pomme de terre.""","[73, 75]",aligned,7
"""You have an extraordinary genius for minutiæ,"" I remarked.","""Vous avez vraiment la specialite des infiniment petits, remarquai-je.""","[73, 75]",aligned,7
"""I appreciate their importance.""","""J'apprecie en effet leur importance.""","[73, 75]",aligned,7
"""But I weary you with my hobby.""",'Mais je vous fatigue peut-etre avec mes lubies ?',"[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
"""Not at all,"" I answered, earnestly.","'-- Pas le moins du monde, repondis-je tres franchement,'","[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
"""It is of the greatest interest to me, especially since I have had the opportunity of observing your practical application of it.""","'vous m'interessez au plus haut degre, surtout depuis que j'ai eu l'occasion de constater comment vous savez faire l'application de vos principes.'","[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
"""But you spoke just now of observation and deduction. Surely the one to some extent implies the other.""","'Mais dites-moi a ce propos, vous parliez d'observation et de deduction : surement l'une ne va guere sans l'autre.'","[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
"""Why, hardly,"" he answered, leaning back luxuriously in his arm-chair, and sending up thick blue wreaths from his pipe.",'-- Et pourquoi donc ? ~~~ pas toujours.',"[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
"""For example, observation shows me that you have been to the Wigmore Street Post-Office this morning, but deduction lets me know that when there you dispatched a telegram.""","'>> Sur cette reponse il se renversa paresseusement dans son fauteuil en tirant de sa pipe de petits nuages bleus. << Tenez, en voulez-vous un exemple ? ~~~ L'observation me prouve que vous avez ete ce matin au bureau de poste de Wigmore Street, mais la deduction m'amene a vous dire que vous y avez envoye un telegramme.'","[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
"""Right!""","'-- Parfaitement exact, dis-je, sur les deux points.'","[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
"""Right on both points! But I confess that I don t see how you arrived at it.""",'Mais comment le savez-vous ?',"[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
"""It was a sudden impulse upon my part, and I have mentioned it to no one.""",'Car je suis entre la par hasard et je ne l'ai dit a personne.',"[79, 83, 84, 87, 88, 90, 91, 93, 96]",aligned,8
