eng,fr,id,llm alignment result
"On the contrary, from day to day I had become more irritable at the sight, and my conscience swelled nightly within me at the thought that I had lacked the courage to protest.","Au contraire, de jour en jour ce spectacle m'irritait davantage ; chaque nuit je sentais ma conscience se revolter devant la lachete qui m'empechait de protester ouvertement contre une telle manie.",4,aligned
"Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty.","Bien des fois j'avais fait le serment d'apaiser mes remords en accomplissant mon devoir ; mais l'air froid, ennuye, de mon compagnon glacait toujours les paroles sur mes levres.",5,not aligned
"His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him.","Ses facultes extraordinaires, l'autorite que lui donnaient ses connaissances si etendues, les nombreuses preuves que j'avais eues de toutes ses qualites, tout contribuait a changer mon hesitation en inertie, tant je craignais de le contrarier.",6,aligned
"solution. ~~~ Would you care to try it?""",Auriez-vous envie d'en tater ?,9,aligned
"""No, indeed,"" I answered, brusquely. ~~~ ""My constitution has not got over the Afghan campaign yet. ~~~ I cannot afford to throw any extra strain upon it.""","-- Non, repliquai-je brusquement, je ne voudrais certes pas soumettre a pareille epreuve une sante encore mal remise de la campagne d'Afghanistan.",10,not aligned
He smiled at my vehemence.,>> Ma vivacite le fit sourire.,11,not aligned
"""Perhaps you are right, Watson,"" he said.","<< Peut-etre avez-vous raison, Watson, me dit-il.",12,aligned
"""Count the cost!",Voyez ce que vous risquez.,15,aligned
,"Vous pouvez sans doute, comme vous le dites, produire par ce moyen une surexcitation momentanee dans votre cerveau.",16,not aligned
"Your brain may, as you say, be roused and excited, but it is a pathological and morbid process, which involves increased tissue-change and may at last leave a permanent weakness.",Mais ce processus purement pathologique est un processus morbide qui va s'aggravant chaque jour et doit a la longue amener un affaiblissement certain.,17,aligned
"You know, too, what a black reaction comes upon you.",Ne sentez-vous pas d'ailleurs vous-meme la terrible reaction qui se manifeste apres chaque operation ?,18,not aligned
Surely the game is hardly worth the candle.,"Voyons, le jeu en vaut-il la chandelle ?",19,not aligned
"Why should you, for a mere passing pleasure, risk the loss of those great powers with which you have been endowed?","A quoi bon, pour une jouissance passagere, risquer de detruire les magnifiques facultes dont vous etes doue ?",20,aligned
"When Gregson or Lestrade or Athelney Jones are out of their depths which, by the way, is their normal state the matter is laid before me.","Lorsque Greyson, ou Lestrade, ou Athelney Jones ne savent plus ou donner de la tete -- ce qui par parenthese leur arrive plus souvent qu'a leur tour, -- ils viennent m'exposer leur cas.",31,aligned
"I examine the data, as an expert, and pronounce a specialist s opinion. ~~~ I claim no credit in such cases.",J'examine les donnees du probleme et je me prononce ensuite avec l'autorite qui resulte des connaissances particulieres que j'ai amassees.,32,not aligned
My name figures in no newspaper.,Je ne cherche pas a me prevaloir de mes succes.,33,not aligned
"The work itself, the pleasure of finding a field for my peculiar powers, is my highest reward. ~~~ But you have yourself had some experience of my methods of work in the Jefferson Hope case.""","Jamais vous ne verrez mon nom figurer dans un journal, mais le seul plaisir de travailler, la jouissance de decouvrir un champ ou je puisse exercer mes facultes speciales, voila pour moi les recompenses les plus enviables.",34,aligned
"""Yes, indeed,"" said I, cordially. ~~~ ""I was never so struck by anything in my life.",D'ailleurs vous avez pu juger vous-meme de ma maniere de proceder dans l'affaire Jefferson Hope.,35,not aligned
"I even embodied it in a small brochure with the somewhat fantastic title of A Study in Scarlet. ""","-- Certainement, dis-je, jamais je n'ai ete plus etonne, et meme j'ai coordonne tout cela dans une petite brochure sous ce titre fantaisiste : Etude de rouge.",36,aligned
He shook his head sadly.,>> Il secoua la tete avec tristesse.,37,aligned
"""I glanced over it,"" said he.","<< Je l'ai parcourue, dit-il, et vraiment je ne puis vous en feliciter.",38,not aligned
"""Honestly, I cannot congratulate you upon it.",La science du detective est -- ou devrait etre -- une science exacte.,39,not aligned
"Detection is, or ought to be, an exact science, and should be treated in the same cold and unemotional manner.","En consequence, l'expose doit etre precis, froid et depourvu de cette teinte romanesque que vous lui avez donnee.",40,aligned
"You have attempted to tinge it with romanticism, which produces much the same effect as if you worked a love-story or an elopement into the fifth proposition of Euclid.""","Votre procede est donc faux, absolument faux, et vous me faites l'effet d'avoir voulu tirer un roman d'un theoreme de geometrie.",41,aligned
