eng,fr,id,llm alignment result
Chapter I The Science of Deduction Sherlock Holmes took his bottle from the corner of the mantel-piece and his hypodermic syringe from its neat morocco case.,"Sherlock Holmes alla prendre un flacon sur le coin de la cheminee, puis, tirant de son ecrin une seringue Pravaz, de ses doigts effiles et nerveux il ajusta l'aiguille aceree au bout de l'instrument et releva sa manche gauche.",0,aligned
"With his long, white, nervous fingers he adjusted the delicate needle, and rolled back his left shirt-cuff. ~~~ For some little time his eyes rested thoughtfully upon the sinewy forearm and wrist all dotted and scarred with innumerable puncture-marks.","Un instant ses yeux resterent fixes avec une expression songeuse sur son avant-bras si muscle, son poignet si nerveux, l'un et l'autre remplis d'innombrables cicatrices occasionnees par toutes les piqures qu'il se faisait.",1,aligned
"Finally he thrust the sharp point home, pressed down the tiny piston, and sank back into the velvet-lined arm-chair with a long sigh of satisfaction.","Enfin il se decida a enfoncer l'aiguille sous la peau et, apres avoir presse la tige de son instrument, il se laissa tomber dans un fauteuil de velours, en poussant un long soupir de soulagement.",2,aligned
"Three times a day for many months I had witnessed this performance, but custom had not reconciled my mind to it.",Trois fois par jour depuis bien des mois j'avais assiste a pareille operation ; mais je n'avais pu encore en prendre mon parti.,3,aligned
"On the contrary, from day to day I had become more irritable at the sight, and my conscience swelled nightly within me at the thought that I had lacked the courage to protest.","Au contraire, de jour en jour ce spectacle m'irritait davantage ; chaque nuit je sentais ma conscience se revolter devant la lachete qui m'empechait de protester ouvertement contre une telle manie.",4,aligned
"His great powers, his masterly manner, and the experience which I had had of his many extraordinary qualities, all made me diffident and backward in crossing him.","Ses facultes extraordinaires, l'autorite que lui donnaient ses connaissances si etendues, les nombreuses preuves que j'avais eues de toutes ses qualites, tout contribuait a changer mon hesitation en inertie, tant je craignais de le contrarier.",5,aligned
"Again and again I had registered a vow that I should deliver my soul upon the subject, but there was that in the cool, nonchalant air of my companion which made him the last man with whom one would care to take anything approaching to a liberty.","Bien des fois j'avais fait le serment d'apaiser mes remords en accomplissant mon devoir ; mais l'air froid, ennuye, de mon compagnon glacait toujours les paroles sur mes levres.",6,aligned
"Yet upon that afternoon, whether it was the Beaune which I had taken with my lunch, or the additional exasperation produced by the extreme deliberation of his manner, I suddenly felt that I could hold out no longer. ~~~ ""Which is it to-day?""","Cependant ce jour-la, soit que je fusse encore sous l'influence du petit vin de Beaune dont j'avais arrose mon dejeuner, soit que la maniere deliberee dont il procedait m'eut particulierement exaspere, je me sentis incapable de me contenir davantage : << Et qu'est-ce aujourd'hui, demandai-je, morphine ou cocaine ?",7,aligned
"I asked, ""morphine or cocaine?"" ~~~ He raised his eyes languidly from the old black-letter volume which he had opened. ~~~ ""It is cocaine,"" he said, ""a seven-per-cent.",">> Il interrompit la lecture d'un vieux bouquin imprime en caracteres gothiques et leva nonchalamment les yeux sur moi : << Cocaine, repondit-il, solution a 7 pour 100.",8,aligned
"""My constitution has not got over the Afghan campaign yet. I cannot afford to throw any extra strain upon it.""",'je ne voudrais certes pas soumettre a pareille epreuve une sante encore mal remise de la campagne d'Afghanistan.',9,aligned
"""Would you care to try it?""",'Auriez-vous envie d'en tater ?',10,aligned
"""No, indeed,"" I answered, brusquely.","'Non, repliquai-je brusquement,'",11,aligned
"""Perhaps you are right, Watson,"" he said.","'Peut-etre avez-vous raison, Watson, me dit-il.'",12,aligned
He smiled at my vehemence.,'Ma vivacite le fit sourire.',13,aligned
"""I suppose that its influence is physically a bad one. ~~~ I find it, however, so transcendently stimulating and clarifying to the mind that its secondary action is a matter of small moment.""",Je crois bien qu'au point de vue physique l'influence de cette drogue peut etre pernicieuse ; mais je trouve que c'est un stimulant d'une telle puissance pour activer les fonctions du cerveau et lui donner de la lucidite que peu m'importent ses effets secondaires.,14,aligned
"""But consider!"" ~~~ I said, earnestly.","-- Songez donc a ce que vous faites, m'ecriai-je vivement.",15,aligned
"'Why should you, for a mere passing pleasure, risk the loss of those great powers with which you have been endowed?'","'A quoi bon, pour une jouissance passagere, risquer de detruire les magnifiques facultes dont vous etes doue ?'",16,aligned
