eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,check
exp,exp_name,sherlock holmes,Sherlock Holmes,Sherlock Holmes,36,51,51.0,66.0,14,2,1,M_0,correct
booknlp,COREF,105,his,son,57,60,134.0,137.0,14,2,1,M_1,correct
booknlp,COREF,105,his,son,108,111,134.0,137.0,14,2,1,M_2,correct
booknlp,COREF,105,his,son,164,167,334.0,337.0,14,2,1,M_3,correct
booknlp,COREF,105,he,il,197,199,486.0,488.0,14,2,1,M_4,correct
booknlp,COREF,105,his,son,246,249,334.0,337.0,14,2,1,M_5,correct
booknlp,COREF,105,his,son,288,291,334.0,337.0,14,2,1,M_6,correct
booknlp,COREF,105,he,il,415,417,507.0,509.0,14,2,1,M_7,correct
booknlp,COREF,105,him,,1008,1011,,,14,3,1,M_8,wrong
booknlp,COREF,105,His,ses,1093,1096,1202.0,1205.0,14,3,1,M_9,correct
booknlp,COREF,105,his,ses,1111,1114,1202.0,1205.0,14,3,1,M_10,correct
booknlp,COREF,105,his,ses,1170,1173,1342.0,1345.0,14,3,1,M_11,correct
booknlp,COREF,105,him,le,1251,1254,1292.0,1294.0,14,3,1,M_12,wrong
booknlp,COREF,105,his,il,1412,1415,1603.0,1605.0,14,4,1,M_13,wrong
booknlp,COREF,105,He,il,1529,1531,1768.0,1770.0,14,6,1,M_14,correct
booknlp,COREF,105,his,il,1539,1542,1768.0,1770.0,14,6,1,M_15,wrong
booknlp,COREF,105,he,il,1597,1599,1768.0,1770.0,14,6,1,M_16,wrong
booknlp,COREF,105,he,il,1629,1631,1768.0,1770.0,14,6,1,M_17,correct
pdnc,qID,Q1-1,you,vous,1673,1676,1942.0,1946.0,21,6,1,M_18,correct
booknlp,COREF,105,He,le,1844,1846,2130.0,2132.0,14,8,1,M_19,correct
pdnc,qID,Q3-0,you,vous,1880,1883,2165.0,2169.0,21,8,1,M_20,correct
pdnc,qID,Q3-0,Watson,Watson,1895,1901,2178.0,2184.0,21,8,1,M_21,correct
booknlp,COREF,105,he,il,1904,1906,2193.0,2195.0,14,8,1,M_22,correct
booknlp,COREF,105,I,je,1914,1915,2197.0,2199.0,14,8,1,M_23,correct
booknlp,COREF,105,I,je,1968,1969,2296.0,2298.0,14,8,1,M_24,correct
exp,exp_name,small,small,,2086,2091,,,25,8,1,M_25,wrong
pdnc,qID,Q4-1,Your,votre,2154,2158,2650.0,2655.0,14,9,1,M_26,correct
pdnc,qID,Q4-1,you,vous,2173,2176,2549.0,2553.0,14,9,1,M_27,correct
pdnc,qID,Q4-1,You,vous,2333,2336,2826.0,2830.0,14,9,1,M_28,correct
pdnc,qID,Q4-1,you,vous,2381,2384,2826.0,2830.0,14,9,1,M_29,correct
pdnc,qID,Q4-1,you,vous,2441,2444,3053.0,3057.0,14,9,1,M_30,correct
pdnc,qID,Q4-1,you,vous,2522,2525,3053.0,3057.0,14,9,1,M_31,correct
booknlp,COREF,105,he,je,2654,2656,3089.0,3091.0,14,9,1,M_32,wrong
booknlp,COREF,105,He,le,2689,2691,3254.0,3256.0,14,10,1,M_33,correct
booknlp,COREF,105,he,le,2732,2734,3254.0,3256.0,14,10,1,M_34,correct
booknlp,COREF,105,his,il,2739,2742,3300.0,3302.0,14,10,1,M_35,wrong
booknlp,COREF,105,his,il,2775,2778,3300.0,3302.0,14,10,1,M_36,wrong
booknlp,COREF,105,his,son,2801,2804,3334.0,3337.0,14,10,1,M_37,correct
booknlp,COREF,105,My,Mon,2858,2860,3401.0,3404.0,14,11,1,M_38,correct
booknlp,COREF,105,he,il,2868,2870,3417.0,3419.0,14,11,1,M_39,correct
booknlp,COREF,105,me,moi,2905,2907,3457.0,3460.0,14,11,1,M_40,correct
booknlp,COREF,105,me,moi,2923,2925,3457.0,3460.0,14,11,1,M_41,correct
booknlp,COREF,105,me,moi,2937,2939,3457.0,3460.0,14,11,1,M_42,correct
booknlp,COREF,105,I,je,3005,3006,3592.0,3594.0,14,11,1,M_43,correct
booknlp,COREF,105,my,me,3013,3015,3476.0,3478.0,14,11,1,M_44,wrong
booknlp,COREF,105,I,me,3039,3040,3694.0,3696.0,14,11,1,M_45,wrong
booknlp,COREF,105,I,j',3091,3092,3723.0,3725.0,14,11,1,M_46,correct
booknlp,COREF,105,I,je,3130,3131,3912.0,3914.0,14,11,1,M_47,correct
booknlp,COREF,105,I,j',3173,3174,3838.0,3840.0,14,11,1,M_48,correct
booknlp,COREF,105,my,mon,3187,3189,3931.0,3934.0,14,11,1,M_49,correct
booknlp,COREF,105,I,je,3243,3244,3912.0,3914.0,14,11,1,M_50,correct
booknlp,COREF,105,he,,3384,3386,,,14,13,1,M_51,wrong
booknlp,COREF,105,I,Je,3398,3399,4075.0,4077.0,14,13,1,M_52,correct
pdnc,qID,Q7-1,Athelney Jones,Athelney Jones,3482,3496,4197.0,4211.0,3,13,1,M_53,correct
booknlp,COREF,105,me,m',3588,3590,4330.0,4332.0,14,13,1,M_54,correct
booknlp,COREF,105,I,je,3592,3593,4387.0,4389.0,14,13,1,M_55,correct
booknlp,COREF,105,I,Je,3664,3665,4489.0,4491.0,14,13,1,M_56,correct
booknlp,COREF,105,My,mon,3697,3699,4559.0,4562.0,14,13,1,M_57,correct
booknlp,COREF,105,my,mes,3783,3785,4685.0,4688.0,14,13,1,M_58,correct
booknlp,COREF,105,my,,3806,3808,,,14,13,1,M_59,wrong
pdnc,qID,Q7-1,you,vous,3829,3832,4771.0,4775.0,21,13,1,M_60,correct
booknlp,COREF,105,my,ma,3870,3872,4803.0,4805.0,14,13,1,M_61,correct
exp,exp_name,small,small,petite,4024,4029,4957.0,4963.0,25,14,1,M_62,correct
pdnc,qID,Q9-1,you,vous,4188,4191,5109.0,5113.0,21,15,1,M_63,correct
pdnc,qID,Q9-1,You,vous,4312,4315,5361.0,5365.0,21,15,1,M_64,correct
pdnc,qID,Q9-1,you,vous,4403,4406,5361.0,5365.0,21,15,1,M_65,correct
exp,exp_name,small,small,,5165,5170,,,25,18,1,M_66,wrong
booknlp,COREF,105,My,Ma,5438,5440,6714.0,6716.0,14,19,1,M_67,correct
exp,exp_name,holmes,Holmes,Sherlock Holmes,5496,5502,6672.0,6687.0,14,19,1,M_68,wrong
booknlp,COREF,105,his,sa,5530,5533,6791.0,6793.0,14,19,1,M_69,correct
booknlp,COREF,105,I,J',5556,5557,6800.0,6802.0,14,19,1,M_70,correct
pdnc,qID,Q12-1,you,vous,5614,5617,6930.0,6934.0,21,19,1,M_71,correct
booknlp,COREF,105,I,J',5942,5943,7247.0,7249.0,14,19,1,M_72,correct
booknlp,COREF,105,him,le,5962,5965,7255.0,7257.0,14,19,1,M_73,correct
booknlp,COREF,105,him,,6074,6077,,,14,19,1,M_74,wrong
booknlp,COREF,105,I,j',6122,6123,7418.0,7420.0,14,19,1,M_75,correct
booknlp,COREF,105,my,mon,6155,6157,7466.0,7469.0,14,19,1,M_76,correct
booknlp,COREF,105,He,,6171,6173,,,14,19,1,M_77,wrong
booknlp,COREF,105,he,,6190,6192,,,14,19,1,M_78,wrong
booknlp,COREF,105,He,,6438,6440,,,14,20,1,M_79,wrong
booknlp,COREF,105,his,son,6462,6465,7811.0,7814.0,14,20,1,M_80,correct
booknlp,COREF,105,he,il,6489,6491,7855.0,7857.0,14,21,1,M_81,correct
booknlp,COREF,105,my,je,6498,6500,7889.0,7891.0,14,21,1,M_82,wrong
exp,exp_name,sherlock holmes,Sherlock Holmes,Sherlock Holmes,6530,6545,7916.0,7931.0,14,21,1,M_83,correct
booknlp,COREF,105,He,Il,6557,6559,7962.0,7964.0,14,21,1,M_84,correct
booknlp,COREF,105,himself,lui-meme,6583,6590,7969.0,7977.0,14,21,1,M_85,correct
booknlp,COREF,105,He,Il,6592,6594,7962.0,7964.0,14,21,1,M_86,correct
booknlp,COREF,105,He,Il,6671,6673,8078.0,8080.0,14,21,1,M_87,correct
booknlp,COREF,105,He,,6726,6728,,,14,21,1,M_88,wrong
booknlp,COREF,105,He,Il,6786,6788,8209.0,8211.0,14,21,1,M_89,correct
booknlp,COREF,105,my,mes,6808,6810,8233.0,8236.0,14,21,1,M_90,correct
exp,exp_name,small,small,petits,6811,6816,8237.0,8243.0,25,21,1,M_91,correct
pdnc,qID,Q15-0,Your,Vos,6839,6843,8270.0,8273.0,14,22,1,M_92,correct
pdnc,qID,Q16-0,you,,6865,6868,,,21,23,1,M_93,wrong
booknlp,COREF,105,he,,6876,6878,,,14,23,1,M_94,wrong
booknlp,COREF,105,I,j',6902,6903,8354.0,8356.0,14,23,1,M_95,correct
booknlp,COREF,105,I,J',7081,7082,8550.0,8552.0,14,23,1,M_96,correct
pdnc,qID,Q17-0,You,,7668,7671,,,14,24,1,M_97,wrong
booknlp,COREF,105,I,,7729,7730,,,14,25,1,M_98,wrong
booknlp,COREF,105,my,,7768,7770,,,14,25,1,M_99,wrong
booknlp,COREF,105,I,je,8261,8262,10017.0,10019.0,14,25,1,M_100,correct
pdnc,qID,Q18-0,you,vous,8269,8272,10020.0,10024.0,21,25,1,M_101,correct
booknlp,COREF,105,my,mes,8278,8280,10048.0,10051.0,14,25,1,M_102,correct
pdnc,qID,Q19-1,your,vos,8423,8427,10249.0,10252.0,14,26,1,M_103,correct
pdnc,qID,Q19-1,you,vous,8461,8464,10292.0,10296.0,14,26,1,M_104,correct
pdnc,qID,Q20-1,you,vous,8721,8724,10551.0,10555.0,21,27,1,M_105,correct
booknlp,COREF,105,you,vous,8826,8829,10551.0,10555.0,14,27,1,M_106,correct
pdnc,qID,Q21-1,you,vous,8930,8933,10809.0,10813.0,14,28,1,M_107,correct
pdnc,qID,Q22-1,you,vos,9247,9250,11155.0,11158.0,21,29,1,M_108,correct
booknlp,COREF,105,your,vos,9291,9295,11155.0,11158.0,14,29,1,M_109,correct
pdnc,qID,Q23-0,you,vous,9661,9664,11569.0,11573.0,14,30,1,M_110,correct
pdnc,qID,Q24-0,you,vous,9716,9719,11670.0,11674.0,21,31,1,M_111,correct
pdnc,qID,Q24-0,you,vous,9770,9773,11670.0,11674.0,21,31,1,M_112,correct
booknlp,COREF,105,your,votre,9801,9805,11778.0,11783.0,14,31,1,M_113,correct
pdnc,qID,Q24-0,you,,9827,9830,,,21,31,1,M_114,wrong
pdnc,qID,Q24-0,you,vous,9899,9902,11875.0,11879.0,21,31,1,M_115,correct
pdnc,qID,Q25-1,you,,10132,10135,,,14,32,1,M_116,wrong
pdnc,qID,Q25-1,you,,10164,10167,,,14,32,1,M_117,wrong
booknlp,COREF,105,your,vos,10206,10210,12184.0,12187.0,14,32,1,M_118,correct
pdnc,qID,Q26-1,you,vous,10389,10392,12365.0,12369.0,21,33,1,M_119,correct
pdnc,qID,Q27-0,you,vous,10429,10432,12403.0,12407.0,14,34,1,M_120,correct
pdnc,qID,Q27-0,you,vous,10685,10688,12672.0,12676.0,14,34,1,M_121,correct
pdnc,qID,Q29-0,You,Vous,11413,11416,13390.0,13394.0,14,37,1,M_122,correct
pdnc,qID,Q30-1,your,votre,11792,11796,13872.0,13877.0,21,38,1,M_123,correct
pdnc,qID,Q30-1,your,votre,11851,11855,13872.0,13877.0,21,38,1,M_124,correct
pdnc,qID,Q30-1,your,votre,11893,11897,13872.0,13877.0,21,38,1,M_125,correct
pdnc,qID,Q31-0,you,vous,11914,11917,14068.0,14072.0,14,39,1,M_126,correct
pdnc,qID,Q32-0,your,votre,11995,11999,14128.0,14133.0,21,40,1,M_127,correct
pdnc,qID,Q32-0,Your,votre,12245,12249,14353.0,14358.0,21,40,1,M_128,correct
pdnc,qID,Q32-0,your,votre,12345,12349,14612.0,14617.0,21,40,1,M_129,correct
pdnc,qID,Q35-0,you,vous,12803,12806,15186.0,15190.0,14,44,1,M_130,correct
pdnc,qID,Q35-0,Holmes,Holmes,12808,12814,15192.0,15198.0,14,44,1,M_131,correct
pdnc,qID,Q35-1,you,vous,12857,12860,15186.0,15190.0,14,44,1,M_132,correct
pdnc,qID,Q35-1,You,Vous,12891,12894,15279.0,15283.0,14,44,1,M_133,correct
pdnc,qID,Q35-1,you,vous,12958,12961,15279.0,15283.0,14,44,1,M_134,correct
pdnc,qID,Q35-1,You,vous,13021,13024,15458.0,15462.0,14,44,1,M_135,correct
pdnc,qID,Q35-1,you,vous,13058,13061,15458.0,15462.0,14,44,1,M_136,correct
pdnc,qID,Q36-0,My dear doctor,Mon cher docteur,13176,13190,15659.0,15675.0,21,45,1,M_137,correct
pdnc,qID,Q36-1,you,vous,13344,13347,15835.0,15839.0,21,45,1,M_138,correct
pdnc,qID,Q36-1,you,vous,13358,13361,15890.0,15894.0,21,45,1,M_139,correct
pdnc,qID,Q36-1,you,vous,13400,13403,15890.0,15894.0,21,45,1,M_140,correct
pdnc,qID,Q36-1,you,vous,13424,13427,15890.0,15894.0,21,45,1,M_141,correct
pdnc,qID,Q37-0,you,vous,13502,13505,16064.0,16068.0,14,46,1,M_142,correct
pdnc,qID,Q40-0,you,vous,13838,13841,16424.0,16428.0,21,49,1,M_143,correct
pdnc,qID,Q40-0,you,vous,13861,13864,16424.0,16428.0,21,49,1,M_144,correct
exp,exp_name,small,small,insignifiants,13914,13919,16533.0,16546.0,25,49,1,M_145,correct
pdnc,qID,Q40-0,your,votre,14003,14007,16696.0,16701.0,21,49,1,M_146,correct
pdnc,qID,Q40-0,you,vous,14035,14038,16761.0,16765.0,21,49,1,M_147,correct
pdnc,qID,Q40-0,you,vous,14081,14084,16761.0,16765.0,21,49,1,M_148,correct
pdnc,qID,Q41-0,you,veuillez,15078,15081,17889.0,17897.0,21,51,1,M_149,correct
pdnc,qID,Q41-0,you,,15285,15288,,,21,51,1,M_150,wrong
pdnc,qID,Q42-1,you,vous,15522,15525,18480.0,18484.0,14,52,1,M_151,correct
pdnc,qID,Q42-1,your,vos,15559,15563,18527.0,18530.0,14,52,1,M_152,correct
pdnc,qID,Q42-1,you,vous,15602,15605,18583.0,18587.0,14,52,1,M_153,correct
pdnc,qID,Q44-0,A young lady,une jeune fille,16322,16334,19490.0,19505.0,12,55,1,M_154,correct
pdnc,qID,Q44-0,you,Monsieur,16339,16342,19518.0,19526.0,14,55,1,M_155,correct
pdnc,qID,Q44-0,sir,Monsieur,16344,16347,19518.0,19526.0,14,55,1,M_156,correct
pdnc,qID,Q45-0,Miss Mary Morstan,Miss Mary Morstan,16387,16404,19577.0,19594.0,12,56,1,M_157,wrong
