eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng
"Weak if we were and foolish, not thus we failed, not thus; When that black Baal blocked the heavens he had no hymns from us (No direct equivalent in text)",(No direct equivalent in text),1,not aligned,-1,-1,-1,-1,,
They twisted even decent sin to shapes not to be named: Men were ashamed of honour; but we were not ashamed. (No direct equivalent in text),(No direct equivalent in text),2,not aligned,-1,-1,-1,-1,,
"Life was a fly that faded, and death a drone that stung; The world was very old indeed when you and I were young. (No direct equivalent in text)",(No direct equivalent in text),3,not aligned,-1,-1,-1,-1,,
"Like the white lock of Whistler, that lit our aimless gloom, Men showed their own white feather as proudly as a plume. (No direct equivalent in text)",(No direct equivalent in text),4,not aligned,-1,-1,-1,-1,,
"Round us in antic order their crippled vices came Lust that had lost its laughter, fear that had lost its shame. (No direct equivalent in text)",(No direct equivalent in text),5,not aligned,-1,-1,-1,-1,,
Science announced nonentity and art admired decay; The world was old and ended: but you and I were gay; (No direct equivalent in text),(No direct equivalent in text),6,not aligned,-1,-1,-1,-1,,
"Children we were our forts of sand were even as weak as we, High as they went we piled them up to break that bitter sea. (No direct equivalent in text)",(No direct equivalent in text),7,not aligned,-1,-1,-1,-1,,
"A cloud was on the mind of men, and wailing went the weather, Yea, a sick cloud upon the soul when we were boys together. (No direct equivalent in text)",(No direct equivalent in text),8,not aligned,-1,-1,-1,-1,,
"Fools as we were in motley, all jangling and absurd, When all church bells were silent our cap and bells were heard. (No direct equivalent in text)",(No direct equivalent in text),17,not aligned,-1,-1,-1,-1,,
"I find again the book we found, I feel the hour that flings Far out of fish-shaped Paumanok some cry of cleaner things; (No direct equivalent in text)",(No direct equivalent in text),18,not aligned,-1,-1,-1,-1,,
To Edmund Clerihew Bentley (No direct equivalent in text),(No direct equivalent in text),19,not aligned,-1,-1,-1,-1,,
G. K. C. CHAPTER I. (No direct equivalent in text),(No direct equivalent in text),20,not aligned,-1,-1,-1,-1,,
"We have found common things at last and marriage and a creed, And I may safely write it now, and you may safely read. (No direct equivalent in text)",(No direct equivalent in text),21,not aligned,-1,-1,-1,-1,,
"Between us, by the peace of God, such truth can now be told; Yea, there is strength in striking root and good in growing old. (No direct equivalent in text)",(No direct equivalent in text),22,not aligned,-1,-1,-1,-1,,
"The doubts that drove us through the night as we two talked amain, And day had broken on the streets e'er it broke upon the brain. (No direct equivalent in text)",(No direct equivalent in text),23,not aligned,-1,-1,-1,-1,,
"The doubts that were so plain to chase, so dreadful to withstand Oh, who shall understand but you; yea, who shall understand? (No direct equivalent in text)",(No direct equivalent in text),24,not aligned,-1,-1,-1,-1,,
"Not all unhelped we held the fort, our tiny flags unfurled; Some giants laboured in that cloud to lift it from the world. (No direct equivalent in text)",(No direct equivalent in text),25,not aligned,-1,-1,-1,-1,,
"Of what colossal gods of shame could cow men and yet crash, Of what huge devils hid the stars, yet fell at a pistol flash. (No direct equivalent in text)",(No direct equivalent in text),26,not aligned,-1,-1,-1,-1,,
