eng_source,eng_idColName,eng_iden,eng_text,eng_startByte,eng_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID,eng,fr,id,llm alignment result,phrase_startByte_fr,phrase_endByte_fr,phrase_startByte_eng,phrase_endByte_eng,extracted_text_fr,extracted_text_eng,translations,occurrences
exp,exp_name,the stranger,The stranger,3442,3454,29,8,1,M_0,The stranger who looked for the first time at the quaint red houses could only think how very oddly shaped the people must be who could fit in to them.,"L'etranger, qui jetait pour la premiere fois un regard sur ces curieuses maisons rouges, devait faire sans doute quelque effort d'imagination pour se representer la structure singuliere de leurs habitants.",46,aligned,894,1099,3442,3593,"L'etranger, qui jetait pour la premiere fois un regard sur ces curieuses maisons rouges, devait faire sans doute quelque effort d'imagination pour se representer la structure singuliere de leurs habitants. ","The
stranger who looked for the first time at the quaint red houses could
only think how very oddly shaped the people must be who could fit in to
them. ","[""L'etranger""]","[(""L'etranger"", 894, 904)]"
exp,exp_name,mr. lucian gregory,Mr. Lucian Gregory,5818,5836,13,9,1,M_1,"And Mr. Lucian Gregory, the red-haired poet, was really (in some sense) a man worth listening to, even if one only laughed at the end of it.","A vrai dire, M. Lucien Gregory meritait qu'on l'ecoutat, ne fut-ce que pour rire, ensuite, de ses discours.",65,aligned,3684,3791,5814,5954,"A vrai dire, M. Lucien Gregory meritait qu'on l'ecoutat, ne fut-ce que pour rire, ensuite, de ses discours. ","And Mr. Lucian Gregory, the red-haired poet, was
really (in some sense) a man worth listening to, even if one only
laughed at the end of it. ",['M. Lucian Gregory'],"[(None, None, None)]"
booknlp,COREF,92,He,5955,5957,13,9,1,M_2,He put the old cant of the lawlessness of art and the art of lawlessness with a certain impudent freshness which gave at least a momentary pleasure.,"Il debitait la vieille fable de l'anarchie de l'art et de l'art de l'anarchie avec une certaine fraicheur, un ragout d'insolence ou l'on pouvait trouver quelque bref agrement.",64,aligned,3792,3967,5955,6103,"Il debitait la vieille fable de l'anarchie de l'art et de l'art de l'anarchie avec une certaine fraicheur, un ragout d'insolence ou l'on pouvait trouver quelque bref agrement.
","He put the old cant of the lawlessness of art
and the art of lawlessness with a certain impudent freshness which gave
at least a momentary pleasure. ",['Il'],"[('Il', 3792, 3794)]"
exp,exp_name,gabriel syme,Gabriel Syme,7963,7975,9,11,1,M_3,"The new poet, who introduced himself by the name of Gabriel Syme was a very mild-looking mortal, with a fair, pointed beard and faint, yellow hair.","Le nouveau poete, qui se presentait sous le nom de Gabriel Syme, avait les apparences d'un mortel de moeurs fort douces. Les cheveux d'or pale ; la barbe blonde, taillee en pointe.",12,aligned,5842,6022,7911,8058,"Le nouveau poete, qui se presentait sous le nom de Gabriel Syme, avait les apparences d'un mortel de moeurs fort douces. Les cheveux d'or pale ; la barbe blonde, taillee en pointe. ","The new poet, who introduced himself by the
name of Gabriel Syme was a very mild-looking mortal, with a fair,
pointed beard and faint, yellow hair. ",['Gabriel Syme'],"[('Gabriel Syme', 5893, 5905)]"
exp,exp_name,gregory,Gregory,8187,8194,13,11,1,M_4,"He signalised his entrance by differing with the established poet, Gregory, upon the whole nature of poetry.","Son entree fut signalee par un differend entre lui et le poete etabli, Gregory, sur la nature meme de la poesie.",10,aligned,6107,6219,8120,8228,"Son entree fut signalee par un differend entre lui et le poete etabli, Gregory, sur la nature meme de la poesie. ","He signalised his entrance by differing
with the established poet, Gregory, upon the whole nature of poetry. ",['Gregoire'],"[(None, None, None)]"
exp,exp_name,syme,Syme,8246,8250,9,11,1,M_5,"He said that he (Syme) was poet of law, a poet of order; nay, he said he was a poet of respectability.","Syme se donna pour le poete de la Loi, le poete de l'Ordre, -- bien plus : le poete des Convenances.",9,aligned,6220,6320,8229,8331,"Syme se donna pour le poete de la Loi, le poete de l'Ordre, -- bien plus : le poete des Convenances. ","He
said that he (Syme) was poet of law, a poet of order; nay, he said he
was a poet of respectability. ",['Symer'],"[(None, None, None)]"
exp,exp_name,mr. lucian gregory,Mr. Lucian Gregory,8443,8461,13,12,1,M_6,"In fact, Mr. Lucian Gregory, the anarchic poet, connected the two events. ~~~ ""It may well be,"" he said, in his sudden lyrical manner, ""it may well be on such a night of clouds and cruel colours that there is brought forth upon the earth such a portent as a respectable poet.","M. Lucien Gregory, le poete anarchiste, remarqua expressement qu'il y avait entre les deux phenomenes un rapport : -- Sans doute, dit-il a sa facon brusque et lyrique, sans doute il fallait une soiree comme celle-ci, il fallait ces nuages aux couleurs cruelles pour que se montrat a la terre un monstre tel qu'un poete convenable.",72,aligned,6440,6771,8434,8706,"M. Lucien Gregory, le poete anarchiste, remarqua expressement qu'il y avait entre les deux phenomenes un rapport :

-- Sans doute, dit-il a sa facon brusque et lyrique, sans doute il fallait une soiree comme celle-ci, il fallait ces nuages aux couleurs cruelles pour que se montrat a la terre un monstre tel qu'un poete convenable. ","In fact, Mr. Lucian Gregory, the anarchic poet, connected the two
events.

""It may well be,"" he said, in his sudden lyrical manner, ""it may well
be on such a night of clouds and cruel colours that there is brought
forth upon the earth such a portent as a respectable poet. ",['M. Lucian Gregory'],"[(None, None, None)]"
booknlp,COREF,92,he,8527,8529,13,13,1,M_7,"In fact, Mr. Lucian Gregory, the anarchic poet, connected the two events. ~~~ ""It may well be,"" he said, in his sudden lyrical manner, ""it may well be on such a night of clouds and cruel colours that there is brought forth upon the earth such a portent as a respectable poet.","M. Lucien Gregory, le poete anarchiste, remarqua expressement qu'il y avait entre les deux phenomenes un rapport : -- Sans doute, dit-il a sa facon brusque et lyrique, sans doute il fallait une soiree comme celle-ci, il fallait ces nuages aux couleurs cruelles pour que se montrat a la terre un monstre tel qu'un poete convenable.",72,aligned,6440,6771,8434,8706,"M. Lucien Gregory, le poete anarchiste, remarqua expressement qu'il y avait entre les deux phenomenes un rapport :

-- Sans doute, dit-il a sa facon brusque et lyrique, sans doute il fallait une soiree comme celle-ci, il fallait ces nuages aux couleurs cruelles pour que se montrat a la terre un monstre tel qu'un poete convenable. ","In fact, Mr. Lucian Gregory, the anarchic poet, connected the two
events.

""It may well be,"" he said, in his sudden lyrical manner, ""it may well
be on such a night of clouds and cruel colours that there is brought
forth upon the earth such a portent as a respectable poet. ",['il'],"[('il', 6505, 6507), ('il', 6575, 6577), ('il', 6620, 6622), ('il', 6658, 6660)]"
booknlp,COREF,92,his,8539,8542,13,13,1,M_8,"In fact, Mr. Lucian Gregory, the anarchic poet, connected the two events. ~~~ ""It may well be,"" he said, in his sudden lyrical manner, ""it may well be on such a night of clouds and cruel colours that there is brought forth upon the earth such a portent as a respectable poet.","M. Lucien Gregory, le poete anarchiste, remarqua expressement qu'il y avait entre les deux phenomenes un rapport : -- Sans doute, dit-il a sa facon brusque et lyrique, sans doute il fallait une soiree comme celle-ci, il fallait ces nuages aux couleurs cruelles pour que se montrat a la terre un monstre tel qu'un poete convenable.",72,aligned,6440,6771,8434,8706,"M. Lucien Gregory, le poete anarchiste, remarqua expressement qu'il y avait entre les deux phenomenes un rapport :

-- Sans doute, dit-il a sa facon brusque et lyrique, sans doute il fallait une soiree comme celle-ci, il fallait ces nuages aux couleurs cruelles pour que se montrat a la terre un monstre tel qu'un poete convenable. ","In fact, Mr. Lucian Gregory, the anarchic poet, connected the two
events.

""It may well be,"" he said, in his sudden lyrical manner, ""it may well
be on such a night of clouds and cruel colours that there is brought
forth upon the earth such a portent as a respectable poet. ","['son', 'sa', 'ses', 'le sien']","[('sa', 6580, 6582)]"
pdnc,qID,Q0-1,You,8707,8710,9,13,1,M_9,You say you are a poet of law; I say you are a contradiction in terms.,Vous dites que vous etes le poete de la loi : je dis que vous etes une contradiction dans les termes.,73,aligned,6772,6873,8707,8777,Vous dites que vous etes le poete de la loi : je dis que vous etes une contradiction dans les termes. ,"You say you
are a poet of law; I say you are a contradiction in terms. ",['Toi'],"[(None, None, None)]"
