eng,fr,id,llm alignment result
"THE MAN WHO WAS THURSDAY A NIGHTMARE To Edmund Clerihew Bentley A cloud was on the mind of men, and wailing went the weather, Yea, a sick cloud upon the soul when we were boys together.","CHAPITRE PREMIER LES DEUX POETES DE SAFFRON PARK Le faubourg de Saffron Park s'etendait a l'est de Londres, rouge et dechire comme un nuage au couchant, dessinant sur le ciel une silhouette fantastique de maisons bizarres, toutes construites en briques claires.",0,not aligned
"Science announced nonentity and art admired decay; The world was old and ended: but you and I were gay; Round us in antic order their crippled vices came Lust that had lost its laughter, fear that had lost its shame.",Le sol meme en etait etrangement tourmente.,1,not aligned
"Like the white lock of Whistler, that lit our aimless gloom, Men showed their own white feather as proudly as a plume.","On devait cette creation a la fantaisie d'un speculateur audacieux, qui possedait quelque vague teinture d'art.",2,not aligned
"Life was a fly that faded, and death a drone that stung; The world was very old indeed when you and I were young.","Il qualifiait l'architecture de son faubourg tantot de << style Elizabeth >>, tantot de << style reine Anne >> ; sans doute, dans sa pensee, les deux souveraines n'en faisaient qu'une.",3,not aligned
They twisted even decent sin to shapes not to be named: Men were ashamed of honour; but we were not ashamed.,"Dans le public, on traitait ce faubourg de colonie d'artistes.",4,not aligned
"Weak if we were and foolish, not thus we failed, not thus; When that black Baal blocked the heavens he had no hymns from us Children we were our forts of sand were even as weak as we, High as they went we piled them up to break that bitter sea.",,5,not aligned
"Fools as we were in motley, all jangling and absurd, When all church bells were silent our cap and bells were heard.","Non qu'aucun art y fut particulierement cultive, mais l'aspect, l'atmosphere en etait << artiste >>.",6,not aligned
"Not all unhelped we held the fort, our tiny flags unfurled; Some giants laboured in that cloud to lift it from the world.","Endroit fort agreable, d'ailleurs, si ses pretentions au titre de centre intellectuel pouvaient passer pour exagerees.",7,not aligned
"I find again the book we found, I feel the hour that flings Far out of fish-shaped Paumanok some cry of cleaner things; And the Green Carnation withered, as in forest fires that pass, Roared in the wind of all the world ten million leaves of grass; Or sane and sweet and sudden as a bird sings in the rain Truth out of Tusitala spoke and pleasure out of pain.","L'etranger, qui jetait pour la premiere fois un regard sur ces curieuses maisons rouges, devait faire sans doute quelque effort d'imagination pour se representer la structure singuliere de leurs habitants.",8,not aligned
"Yea, cool and clear and sudden as a bird sings in the grey, Dunedin to Samoa spoke, and darkness unto day.",,9,not aligned
But we were young; we lived to see God break their bitter charms.,"Et, s'il rencontrait l'un d'eux, son impression n'en etait pas modifiee.",10,not aligned
"God and the good Republic come riding back in arms: We have seen the City of Mansoul, even as it rocked, relieved Blessed are they who did not see, but being blind, believed.","Cet endroit etait non seulement agreable, il etait parfait pour peu qu'on le considerat non comme truque mais plutot comme un reve.",11,not aligned
"This is a tale of those old fears, even of those emptied hells, And none but you shall understand the true thing that it tells Of what colossal gods of shame could cow men and yet crash, Of what huge devils hid the stars, yet fell at a pistol flash.","Si ce n'etaient pas des artistes qui habitaient la, l'ensemble n'en avait pas moins un caractere artiste.",12,not aligned
"The doubts that were so plain to chase, so dreadful to withstand Oh, who shall understand but you; yea, who shall understand?","Ce jeune homme, par exemple, avec ses longs cheveux chatains et sa mine impertinente, ne voyez pas en lui un poete : c'est un poeme.",13,not aligned
"The doubts that drove us through the night as we two talked amain, And day had broken on the streets e'er it broke upon the brain.","Ce vieux monsieur, avec sa vaste barbe sauvage et son vaste et sauvage chapeau, ce venerable charlatan, ce n'est pas un philosophe : c'est un theme de philosophie.",14,not aligned
"Between us, by the peace of God, such truth can now be told; Yea, there is strength in striking root and good in growing old. ~~~ We have found common things at last and marriage and a creed, And I may safely write it now, and you may safely read.","Ce personnage aux apparences doctorales, au crane chauve et brillant comme un oeuf, au long cou decharne comme celui d'un oiseau, n'a aucun droit aux dehors de savant qu'il se donne ; il n'a fait aucune decouverte en biologie : mais n'est-il pas lui-meme la plus extraordinaire creature que puissent etudier les biologistes ?",15,not aligned
"G. K. C. CHAPTER I. ~~~ THE TWO POETS OF SAFFRON PARK The suburb of Saffron Park lay on the sunset side of London, as red and ragged as a cloud of sunset.","Voila, disons-nous, le bon point de vue d'ou il convenait d'observer le faubourg de Saffron Park : non pas un atelier d'artistes, mais une oeuvre d'art, delicate et parfaite.",16,not aligned
"It was built of a bright brick throughout; its sky-line was fantastic, and even its ground plan was wild.","On avait, en y entrant, l'impression qu'on allait prendre part a quelque comedie.",17,not aligned
"It had been the outburst of a speculative builder, faintly tinged with art, who called its architecture sometimes Elizabethan and sometimes Queen Anne, apparently under the impression that the two sovereigns were identical.","Ce charme de l'irreel etait surtout sensible le soir, quand les toits bizarres se decoupaient en valeurs sombres sur le couchant et que tout le chimerique endroit se detachait, en quelque sorte, visiblement du monde ordinaire, comme une nuee flotte dans le ciel.",18,not aligned
"It was described with some justice as an artistic colony, though it never in any definable way produced any art. ~~~ But although its pretensions to be an intellectual centre were a little vague, its pretensions to be a pleasant place were quite indisputable.","Ce charme etait, veritablement, irresistible les soirs de fete locale, quand de grosses lanternes venitiennes, fruits monstrueux des arbres nains, illuminaient les jardinets.",19,not aligned
The stranger who looked for the first time at the quaint red houses could only think how very oddly shaped the people must be who could fit in to them.,"Et ce charme fut plus sensible, plus irresistible que jamais, un certain soir dont on se souvient encore dans le voisinage et dont le poete aux cheveux chatains fut le heros.",20,not aligned
Nor when he met the people was he disappointed in this respect.,"Il avait ete, du reste, le heros de bien d'autres soirs avant celui-la.",21,not aligned
"The place was not only pleasant, but perfect, if once he could regard it not as a deception but rather as a dream.","Il ne se passait guere de jour qu'on ne put entendre, des le crepuscule tombe, la voix haute et professorale de ce jeune homme dicter, du fond de son petit jardin, des lois a l'humanite entiere, et plus particulierement aux femmes.",22,not aligned
"Even if the people were not ""artists,"" the whole was nevertheless artistic.","L'attitude des femmes, dans ces occasions, etait meme fort remarquable.",23,not aligned
"That young man with the long, auburn hair and the impudent face that young man was not really a poet; but surely he was a poem.","Elles appartenaient presque toutes -- je parle de celles qui habitaient le faubourg -- a la categorie des emancipees, et faisaient en consequence profession de protester contre la suprematie du male.",24,not aligned
"That old gentleman with the wild, white beard and the wild, white hat that venerable humbug was not really a philosopher; but at least he was the cause of philosophy in others.","Or, ces personnes << nouvelles >> etaient toujours disposees a vous accorder cet honneur que jamais aucune femme ordinaire n'accorde a aucun homme : elles vous ecoutaient tandis que vous parliez.",25,not aligned
"That scientific gentleman with the bald, egg-like head and the bare, bird-like neck had no real right to the airs of science that he assumed.",,26,not aligned
He had not discovered anything new in biology; but what biological creature could he have discovered more singular than himself?,"A vrai dire, M. Lucien Gregory meritait qu'on l'ecoutat, ne fut-ce que pour rire, ensuite, de ses discours.",27,not aligned
"Thus, and thus only, the whole place had properly to be regarded; it had to be considered not so much as a workshop for artists, but as a frail but finished work of art.","Il debitait la vieille fable de l'anarchie de l'art et de l'art de l'anarchie avec une certaine fraicheur, un ragout d'insolence ou l'on pouvait trouver quelque bref agrement.",28,not aligned
A man who stepped into its social atmosphere felt as if he had stepped into a written comedy.,"L'originalite de son aspect physique le servait a souhait, et il savait en jouer, en connaissant la valeur.",29,not aligned
"More especially this attractive unreality fell upon it about nightfall, when the extravagant roofs were dark against the afterglow and the whole insane village seemed as separate as a drifting cloud.","Ses cheveux d'un rouge sombre, separes au milieu, etaient longs comme des cheveux de femme ; ils bouclaient en decrivant les molles courbes dont les peintres preraphaelites ne manquent pas d'agrementer les chevelures de leurs Vierges.",30,not aligned
"This again was more strongly true of the many nights of local festivity, when the little gardens were often illuminated, and the big Chinese lanterns glowed in the dwarfish trees like some fierce and monstrous fruit.",Mais de ce cadre mystique jaillissait une face large et brutale ; le menton avancait avec une expression meprisante qui sentait le cockney.,31,not aligned
"And this was strongest of all on one particular evening, still vaguely remembered in the locality, of which the auburn-haired poet was the hero.","Ce contraste surexcitait jusqu'a la peur une galerie de femmes neurastheniques : elles goutaient ce blaspheme vivant, cette combinaison d'ange et de singe.",32,not aligned
It was not by any means the only evening of which he was the hero.,La soiree dont il s'agit restera memorable tout au moins par son etonnant coucher de soleil.,33,not aligned
"On many nights those passing by his little back garden might hear his high, didactic voice laying down the law to men and particularly to women.",,34,not aligned
