eng,fr,id,llm alignment result
"The suburb of Saffron Park lay on the sunset side of London, as red and ragged as a cloud of sunset.","Le faubourg de Saffron Park s'etendait a l'est de Londres, rouge et dechire comme un nuage au couchant,",0,aligned
"Weak if we were and foolish, not thus we failed, not thus; When that black Baal blocked the heavens he had no hymns from us (No direct equivalent in text)",(No direct equivalent in text),1,not aligned
They twisted even decent sin to shapes not to be named: Men were ashamed of honour; but we were not ashamed. (No direct equivalent in text),(No direct equivalent in text),2,not aligned
"Life was a fly that faded, and death a drone that stung; The world was very old indeed when you and I were young. (No direct equivalent in text)",(No direct equivalent in text),3,not aligned
"Like the white lock of Whistler, that lit our aimless gloom, Men showed their own white feather as proudly as a plume. (No direct equivalent in text)",(No direct equivalent in text),4,not aligned
"Round us in antic order their crippled vices came Lust that had lost its laughter, fear that had lost its shame. (No direct equivalent in text)",(No direct equivalent in text),5,not aligned
Science announced nonentity and art admired decay; The world was old and ended: but you and I were gay; (No direct equivalent in text),(No direct equivalent in text),6,not aligned
"Children we were our forts of sand were even as weak as we, High as they went we piled them up to break that bitter sea. (No direct equivalent in text)",(No direct equivalent in text),7,not aligned
"A cloud was on the mind of men, and wailing went the weather, Yea, a sick cloud upon the soul when we were boys together. (No direct equivalent in text)",(No direct equivalent in text),8,not aligned
"He said that he (Syme) was poet of law, a poet of order; nay, he said he was a poet of respectability.","Syme se donna pour le poete de la Loi, le poete de l'Ordre, -- bien plus : le poete des Convenances.",9,aligned
"He signalised his entrance by differing with the established poet, Gregory, upon the whole nature of poetry.","Son entree fut signalee par un differend entre lui et le poete etabli, Gregory, sur la nature meme de la poesie.",10,aligned
But an impression grew that he was less meek than he looked.,"On le soupconnait, toutefois, assez vite d'etre moins doux qu'il n'en avait l'air.",11,aligned
"The new poet, who introduced himself by the name of Gabriel Syme was a very mild-looking mortal, with a fair, pointed beard and faint, yellow hair.","Le nouveau poete, qui se presentait sous le nom de Gabriel Syme, avait les apparences d'un mortel de moeurs fort douces. Les cheveux d'or pale ; la barbe blonde, taillee en pointe.",12,aligned
For a long time the red-haired revolutionary had reigned without a rival; it was upon the night of the sunset that his solitude suddenly ended.,"Longtemps le revolutionnaire aux cheveux rouges avait regne sans rival. Le soir du fameux coucher de soleil, sa solitude prit subitement fin.",13,aligned
There are others who may remember it because it marked the first appearance in the place of the second poet of Saffron Park.,"les autres, parce qu'elle marqua l'apparition d'un second poete a Saffron Park.",14,aligned
So all the Saffron Parkers looked at him as if he had that moment fallen out of that impossible sky.,"Les gens de Saffron Park le regarderent avec stupeur, comme s'il venait de tomber de l'impossible ciel de ce soir-la.",15,aligned
I say that there are some inhabitants who may remember the evening if only by that oppressive sky.,"Les uns, donc, se rappelleront cette soiree a cause de l'oppression que faisait peser le ciel ;",16,aligned
"Fools as we were in motley, all jangling and absurd, When all church bells were silent our cap and bells were heard. (No direct equivalent in text)",(No direct equivalent in text),17,not aligned
"I find again the book we found, I feel the hour that flings Far out of fish-shaped Paumanok some cry of cleaner things; (No direct equivalent in text)",(No direct equivalent in text),18,not aligned
To Edmund Clerihew Bentley (No direct equivalent in text),(No direct equivalent in text),19,not aligned
G. K. C. CHAPTER I. (No direct equivalent in text),(No direct equivalent in text),20,not aligned
"We have found common things at last and marriage and a creed, And I may safely write it now, and you may safely read. (No direct equivalent in text)",(No direct equivalent in text),21,not aligned
"Between us, by the peace of God, such truth can now be told; Yea, there is strength in striking root and good in growing old. (No direct equivalent in text)",(No direct equivalent in text),22,not aligned
"The doubts that drove us through the night as we two talked amain, And day had broken on the streets e'er it broke upon the brain. (No direct equivalent in text)",(No direct equivalent in text),23,not aligned
"The doubts that were so plain to chase, so dreadful to withstand Oh, who shall understand but you; yea, who shall understand? (No direct equivalent in text)",(No direct equivalent in text),24,not aligned
