eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
exp,exp_name,catherine morland,Catherine Morland,Catherine Morland,71,88,77.0,94.0,0,4,1,M_0
exp,exp_name,catherine,Catherine,,700,709,,,0,4,1,M_1
exp,exp_name,catherine,Catherine,Catherine,1149,1158,1343.0,1352.0,0,4,1,M_2
booknlp,COREF,80,Sally,Sally,2133,2138,2459.0,2464.0,17,4,1,M_3
exp,exp_name,catherine,Catherine,Catherine,2183,2192,2511.0,2520.0,0,4,1,M_4
exp,exp_name,catherine,Catherine,elle,2353,2362,2655.0,2659.0,0,4,1,M_5
exp,exp_name,mrs. morland,Mrs. Morland,Mistriss Morland,2543,2555,2941.0,2957.0,15,4,1,M_6
booknlp,COREF,82,her,ses,2579,2582,2987.0,2990.0,15,4,1,M_7
exp,exp_name,catherine,Catherine,,2742,2751,,,0,4,1,M_8
exp,exp_name,catherine morland,Catherine Morland,Catherine Morland,3647,3664,4086.0,4103.0,0,5,1,M_9
exp,exp_name,catherine,Catherine,Catherine,4099,4108,4706.0,4715.0,0,5,1,M_10
exp,exp_name,mrs. morland,Mrs. Morland,Mistriss Morland,4432,4444,4915.0,4931.0,15,6,1,M_11
booknlp,COREF,82,her,ses,4486,4489,4972.0,4975.0,15,6,1,M_12
booknlp,COREF,82,her,son,4532,4535,5010.0,5013.0,15,6,1,M_13
booknlp,COREF,82,her,son,4609,4612,5010.0,5013.0,15,6,1,M_14
exp,exp_name,catherine,Catherine,Catherine,4710,4719,5219.0,5228.0,0,6,1,M_15
exp,exp_name,mr. allen,Mr. Allen,M. Allen,7501,7510,8868.0,8876.0,10,21,1,M_16
booknlp,COREF,89,his,son,7680,7683,9000.0,9003.0,10,21,1,M_17
exp,exp_name,miss morland,Miss Morland,Mistriss Allen,7721,7733,8969.0,8983.0,0,21,1,M_18
exp,exp_name,mrs. morland,Mrs. Morland,Mist. Morland,7886,7898,9133.0,9146.0,15,21,1,M_19
exp,exp_name,catherine,Catherine,elle,7924,7933,9075.0,9079.0,0,21,1,M_20
exp,exp_name,catherine morland,Catherine Morland,Notre heroine,8010,8027,9288.0,9301.0,0,23,2,M_21
exp,exp_name,mrs. morland,Mrs. Morland,Mistriss Morland,8712,8724,9802.0,9818.0,15,24,2,M_22
booknlp,COREF,82,her,la,8816,8819,9855.0,9857.0,15,24,2,M_23
exp,exp_name,catherine,Catherine,la,8828,8837,9855.0,9857.0,0,24,2,M_24
booknlp,COREF,82,her,son,8881,8884,9909.0,9912.0,15,24,2,M_25
booknlp,COREF,82,her,la,8915,8918,9855.0,9857.0,15,24,2,M_26
booknlp,COREF,82,her,,9057,9060,,,15,24,2,M_27
booknlp,COREF,82,her,elle,9102,9105,10012.0,10016.0,15,24,2,M_28
booknlp,COREF,82,her,,9288,9291,,,15,24,2,M_29
exp,exp_name,mrs. morland,Mrs. Morland,Mistriss Morland,9327,9339,10601.0,10617.0,15,24,2,M_30
booknlp,COREF,82,she,elle,9383,9386,10647.0,10651.0,15,24,2,M_31
booknlp,COREF,82,her,,9484,9487,,,15,24,2,M_32
booknlp,COREF,82,Her,sa,9522,9525,10866.0,10868.0,15,24,2,M_33
booknlp,COREF,82,I,,9575,9576,,,15,24,2,M_34
pdnc,qID,Q0-0,Catherine,,9582,9591,,,0,24,2,M_35
pdnc,qID,Q0-0,you,,9593,9596,,,0,24,2,M_36
pdnc,qID,Q0-0,you,,9659,9662,,,0,24,2,M_37
booknlp,COREF,82,I,,9697,9698,,,15,24,2,M_38
pdnc,qID,Q0-0,you,,9704,9707,,,0,24,2,M_39
pdnc,qID,Q0-0,you,elle,9752,9755,10952.0,10956.0,0,24,2,M_40
booknlp,COREF,82,I,elle,9763,9764,10952.0,10956.0,15,24,2,M_41
pdnc,qID,Q0-0,you,lui,9775,9778,10881.0,10884.0,0,24,2,M_42
booknlp,COREF,80,Sally,Sally,9810,9815,11173.0,11178.0,17,25,2,M_43
exp,exp_name,sarah,Sarah,Sarah,9827,9832,11190.0,11195.0,17,25,2,M_44
booknlp,COREF,80,her,sa,10025,10028,11173.0,11175.0,17,25,2,M_45
booknlp,COREF,82,she,elle,10069,10072,11586.0,11590.0,15,25,2,M_46
exp,exp_name,catherine,Catherine,,10093,10102,,,0,25,2,M_47
booknlp,COREF,82,her,,10140,10143,,,15,25,2,M_48
booknlp,COREF,80,her,,10593,10596,,,17,25,2,M_49
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss Allen,11118,11128,12640.0,12654.0,13,26,2,M_50
booknlp,COREF,91,her,,11157,11160,,,13,26,2,M_51
booknlp,COREF,91,her,,11174,11177,,,13,26,2,M_52
exp,exp_name,catherine,Catherine,Catherine,11258,11267,12833.0,12842.0,0,27,2,M_53
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss Allen,11629,11639,13256.0,13270.0,13,29,2,M_54
booknlp,COREF,91,her,elle,11693,11696,13348.0,13352.0,13,29,2,M_55
booknlp,COREF,91,she,elle,11778,11781,13348.0,13352.0,13,29,2,M_56
exp,exp_name,catherine,Catherine,,11824,11833,,,0,29,2,M_57
booknlp,COREF,91,her,elle,11913,11916,13348.0,13352.0,13,29,2,M_58
booknlp,COREF,91,her,elle,11976,11979,13348.0,13352.0,13,29,2,M_59
booknlp,COREF,91,her,celle,11997,12000,13629.0,13634.0,13,29,2,M_60
booknlp,COREF,91,her,elle,12023,12026,13348.0,13352.0,13,29,2,M_61
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss Allen,12042,12052,13732.0,13746.0,13,30,2,M_62
booknlp,COREF,91,She,Elle,12234,12237,13932.0,13936.0,13,30,2,M_63
booknlp,COREF,91,her,elle,12425,12428,14032.0,14036.0,13,30,2,M_64
exp,exp_name,mr. allen,Mr. Allen,M. Allen,12482,12491,14162.0,14170.0,10,30,2,M_65
booknlp,COREF,91,she,elle,12508,12511,14250.0,14254.0,13,30,2,M_66
booknlp,COREF,91,herself,elle,12628,12635,14250.0,14254.0,13,30,2,M_67
booknlp,COREF,91,her,sa,12674,12677,14389.0,14391.0,13,30,2,M_68
booknlp,COREF,91,She,elle,12687,12690,14455.0,14459.0,13,30,2,M_69
booknlp,COREF,91,her,elle,12873,12876,14455.0,14459.0,13,30,2,M_70
exp,exp_name,catherine,Catherine,,12936,12945,,,0,30,2,M_71
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss Allen,13179,13189,14872.0,14886.0,13,30,2,M_72
booknlp,COREF,91,her,la,13194,13197,14922.0,14924.0,13,30,2,M_73
exp,exp_name,catherine,Catherine,Catherine,13272,13281,14983.0,14992.0,0,30,2,M_74
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss Allen,13426,13436,15196.0,15210.0,13,31,2,M_75
exp,exp_name,mr. allen,Mr. Allen,M. Allen,13609,13618,15509.0,15517.0,10,31,2,M_76
booknlp,COREF,89,he,il,13620,13622,15519.0,15521.0,10,31,2,M_77
booknlp,COREF,91,her,sa,13736,13739,15679.0,15681.0,13,31,2,M_78
booknlp,COREF,91,her,sa,13773,13776,15679.0,15681.0,13,31,2,M_79
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss,13787,13797,15655.0,15663.0,13,31,2,M_80
booknlp,COREF,91,her,sa,13803,13806,15679.0,15681.0,13,31,2,M_81
exp,exp_name,catherine,Catherine,Catherine,13899,13908,15877.0,15886.0,0,31,2,M_82
exp,exp_name,miss morland,Miss Morland,,14851,14863,,,0,31,2,M_83
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss Allen,15144,15154,16925.0,16939.0,13,31,2,M_84
booknlp,COREF,91,she,vous,15168,15171,17009.0,17013.0,13,31,2,M_85
booknlp,COREF,91,I,je,15242,15243,16997.0,16999.0,13,31,2,M_86
pdnc,qID,Q1-0,you,vous,15249,15252,17009.0,17013.0,0,31,2,M_87
pdnc,qID,Q1-0,my dear,ma chere,15266,15273,16983.0,16991.0,0,31,2,M_88
booknlp,COREF,91,I,je,15274,15275,16997.0,16999.0,13,31,2,M_89
pdnc,qID,Q1-0,you,vous,15281,15284,17009.0,17013.0,0,31,2,M_90
booknlp,COREF,91,her,,15321,15324,,,13,31,2,M_91
booknlp,COREF,91,her,,15354,15357,,,13,31,2,M_92
exp,exp_name,catherine,Catherine,Catherine,15449,15458,17159.0,17168.0,0,31,2,M_93
booknlp,COREF,91,her,,15495,15498,,,13,31,2,M_94
exp,exp_name,catherine,Catherine,,15693,15702,,,0,32,2,M_95
exp,exp_name,mr. allen,Mr. Allen,,16221,16230,,,10,32,2,M_96
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss Allen,16473,16483,18344.0,18358.0,13,33,2,M_97
booknlp,COREF,91,herself,elle,16498,16505,18457.0,18461.0,13,33,2,M_98
booknlp,COREF,91,her,sa,16556,16559,18423.0,18425.0,13,33,2,M_99
booknlp,COREF,91,she,elle,16635,16638,18530.0,18534.0,13,33,2,M_100
booknlp,COREF,91,my,Je,16689,16691,18613.0,18615.0,13,33,2,M_101
booknlp,COREF,91,I,Je,16697,16698,18613.0,18615.0,13,33,2,M_102
booknlp,COREF,91,I,Je,16722,16723,18613.0,18615.0,13,33,2,M_103
booknlp,COREF,91,I,Je,16756,16757,18613.0,18615.0,13,33,2,M_104
pdnc,qID,Q2-1,you,vous,16765,16768,18621.0,18625.0,0,33,2,M_105
exp,exp_name,catherine,Catherine,Catherine,16809,16818,18743.0,18752.0,0,34,2,M_106
pdnc,qID,Q4-0,my dear,ma chere,16869,16876,18802.0,18810.0,0,35,2,M_107
exp,exp_name,mrs. allen,Mrs. Allen,Mistriss Allen,16887,16897,18822.0,18836.0,13,35,2,M_108
