eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
exp,exp_name,dorian gray,Dorian Gray,,15,26,,,4,1,-1,M_0
exp,exp_name,the artist,The artist,,58,68,,,39,4,-1,M_1
exp,exp_name,the artist,the artist,l'artiste,131,141,96,105,39,4,-1,M_2
exp,exp_name,man,man,homme,934,937,1008,1013,30,9,-1,M_3
exp,exp_name,the artist,the artist,l'artiste,974,984,1041,1050,39,9,-1,M_4
exp,exp_name,the artist,The artist,Il,1272,1282,1391,1393,39,9,-1,M_5
exp,exp_name,the artist,the artist,l'artiste,1335,1345,1427,1436,39,9,-1,M_6
exp,exp_name,the artist,the artist,,1392,1402,,,39,9,-1,M_7
exp,exp_name,the artist,the artist,l'artiste,1890,1900,2045,2054,39,9,-1,M_8
booknlp,COREF,357,himself,lui-meme,1919,1926,2074,2082,39,9,-1,M_9
exp,exp_name,man,man,homme,1945,1948,2113,2118,30,9,-1,M_10
booknlp,COREF,357,he,il,2449,2451,2645,2647,39,14,1,M_11
booknlp,COREF,357,his,sa,2479,2482,2676,2678,39,14,1,M_12
exp,exp_name,lord henry wotton,Lord Henry Wotton,Lord Henry Wotton,2515,2532,2715,2732,19,14,1,M_13
booknlp,COREF,357,him,le,2932,2935,3124,3126,39,14,1,M_14
exp,exp_name,a young man,a young man,un jeune homme,3485,3496,3698,3712,28,15,1,M_15
exp,exp_name,the artist,the artist,le peintre,3590,3600,3785,3795,39,15,1,M_16
booknlp,COREF,357,himself,lui-meme,3601,3608,3796,3804,39,15,1,M_17
exp,exp_name,basil hallward,Basil Hallward,Basil Hallward,3610,3624,3806,3820,2,15,1,M_18
exp,exp_name,the painter,the painter,le peintre,3762,3773,3961,3971,42,16,1,M_19
booknlp,COREF,389,he,son,3813,3815,4019,4022,42,16,1,M_20
booknlp,COREF,389,his,son,3845,3848,4019,4022,42,16,1,M_21
booknlp,COREF,389,his,sa,3888,3891,4092,4094,42,16,1,M_22
booknlp,COREF,389,he,il,3936,3938,4128,4130,42,16,1,M_23
booknlp,COREF,389,his,ses,3972,3975,4192,4195,42,16,1,M_24
booknlp,COREF,389,his,ses,3989,3992,4192,4195,42,16,1,M_25
booknlp,COREF,389,he,il,4026,4028,4128,4130,42,16,1,M_26
booknlp,COREF,389,his,son,4055,4058,4244,4247,42,16,1,M_27
booknlp,COREF,389,he,il,4095,4097,4282,4284,42,16,1,M_28
booknlp,COREF,389,he,il,4105,4107,4128,4130,42,16,1,M_29
pdnc,qID,Q0-0,your,votre,4129,4133,4326,4331,2,17,1,M_30
pdnc,qID,Q0-0,Basil,Basil,4145,4150,4350,4355,2,17,1,M_31
pdnc,qID,Q0-0,you,vous,4167,4170,4380,4384,2,17,1,M_32
