eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
exp,exp_name,emma,EMMA,Emma,0,4,0.0,4.0,0,1,-1,M_0
exp,exp_name,jane,Jane,Emma,9,13,0.0,4.0,4,2,-1,M_1
exp,exp_name,emma woodhouse,Emma Woodhouse,elle,49,63,769.0,773.0,0,5,1,M_2
booknlp,COREF,94,her,elle,284,287,769.0,773.0,0,5,1,M_3
booknlp,COREF,94,She,elle,290,293,1064.0,1068.0,0,6,1,M_4
booknlp,COREF,94,her,elle,401,404,1064.0,1068.0,0,6,1,M_5
booknlp,COREF,94,Her,elle,477,480,1201.0,1205.0,0,6,1,M_6
booknlp,COREF,94,her,elle,514,517,1201.0,1205.0,0,6,1,M_7
booknlp,COREF,94,her,elle,583,586,1201.0,1205.0,0,6,1,M_8
exp,exp_name,miss taylor,Miss Taylor,Mlle Taylor,720,731,1421.0,1432.0,15,7,1,M_9
exp,exp_name,mr. woodhouse,Mr. Woodhouse,M. Woodhouse,740,753,1474.0,1486.0,10,7,1,M_10
exp,exp_name,emma,Emma,Emma,848,852,1604.0,1608.0,0,7,1,M_11
exp,exp_name,miss taylor,Miss Taylor,Mlle Taylor,918,929,1625.0,1636.0,15,7,1,M_12
exp,exp_name,emma,Emma,Emma,1192,1196,1969.0,1973.0,0,7,1,M_13
booknlp,COREF,94,she,son,1213,1216,1709.0,1712.0,0,7,1,M_14
exp,exp_name,miss taylor,Miss Taylor,Mlle Taylor,1241,1252,1625.0,1636.0,15,7,1,M_15
booknlp,COREF,94,her,le sien,1289,1292,2004.0,2011.0,0,7,1,M_16
exp,exp_name,emma,Emma,,1326,1330,,,0,8,1,M_17
booknlp,COREF,94,her,la,1384,1387,2035.0,2037.0,0,8,1,M_18
booknlp,COREF,94,herself,soi-meme,1445,1452,2190.0,2198.0,0,8,1,M_19
booknlp,COREF,94,her,la,1509,1512,2051.0,2053.0,0,8,1,M_20
booknlp,COREF,94,her,elle,1638,1641,2227.0,2231.0,0,8,1,M_21
exp,exp_name,miss taylor,Miss Taylor,Mlle Taylor,1738,1749,2376.0,2387.0,15,9,1,M_22
exp,exp_name,miss taylor,Miss Taylor,,1766,1777,,,15,9,1,M_23
exp,exp_name,emma,Emma,Emma,1866,1870,2464.0,2468.0,0,9,1,M_24
booknlp,COREF,94,her,elle,1966,1969,2577.0,2581.0,0,9,1,M_25
booknlp,COREF,94,herself,elle,1981,1988,2577.0,2581.0,0,9,1,M_26
booknlp,COREF,94,Her,son,2070,2073,2753.0,2756.0,0,9,1,M_27
booknlp,COREF,94,she,,2135,2138,,,0,9,1,M_28
booknlp,COREF,94,she,,2178,2181,,,0,9,1,M_29
booknlp,COREF,94,her,,2238,2241,,,0,10,1,M_30
exp,exp_name,mr. weston,Mr. Weston,,2250,2260,,,9,10,1,M_31
booknlp,COREF,94,she,,2442,2445,,,0,10,1,M_32
booknlp,COREF,94,her,,2526,2529,,,0,10,1,M_33
exp,exp_name,miss taylor,Miss Taylor,,2543,2554,,,15,10,1,M_34
booknlp,COREF,94,She,elle,2594,2597,2768.0,2772.0,0,10,1,M_35
booknlp,COREF,94,her,celle,2607,2610,2855.0,2860.0,0,10,1,M_36
booknlp,COREF,94,she,elle,2676,2679,2768.0,2772.0,0,10,1,M_37
booknlp,COREF,94,she,,2699,2702,,,0,10,1,M_38
booknlp,COREF,94,her,celle,2719,2722,2855.0,2860.0,0,10,1,M_39
booknlp,COREF,94,she,elle,2748,2751,2768.0,2772.0,0,10,1,M_40
booknlp,COREF,94,her,elle,2768,2771,2768.0,2772.0,0,10,1,M_41
booknlp,COREF,94,her,celle,2799,2802,2855.0,2860.0,0,10,1,M_42
booknlp,COREF,94,her,celle,2829,2832,2855.0,2860.0,0,10,1,M_43
exp,exp_name,isabella,Isabella,,3028,3036,,,3,10,1,M_44
booknlp,COREF,94,She,,3125,3128,,,0,10,1,M_45
booknlp,COREF,94,herself,,3325,3332,,,0,10,1,M_46
