eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
exp,exp_name,the general,The General,me,268,279,215.0,217.0,16,5,1,M_0
booknlp,COREF,150,his,sa,373,376,291.0,293.0,16,5,1,M_1
exp,exp_name,the general,the General,,503,514,,,16,5,1,M_2
exp,exp_name,polina alexandrovna,Polina Alexandrovna,Paulina Alexandrovna,897,916,798.0,818.0,12,5,1,M_3
booknlp,COREF,47,she,,1007,1010,,,12,5,1,M_4
exp,exp_name,the general,the General,,1245,1256,,,16,6,1,M_5
exp,exp_name,the general,the General,Le general,1376,1387,1139.0,1149.0,16,6,1,M_6
booknlp,COREF,150,he,il,1456,1458,1201.0,1203.0,16,6,1,M_7
booknlp,COREF,150,him,il,1535,1538,1201.0,1203.0,16,6,1,M_8
exp,exp_name,the general,the General,le general,1760,1771,1521.0,1531.0,16,6,1,M_9
booknlp,COREF,150,He,Il,1773,1775,1622.0,1624.0,16,6,1,M_10
booknlp,COREF,150,he,Il,1858,1860,1622.0,1624.0,16,6,1,M_11
booknlp,COREF,150,he,Il,1886,1888,1622.0,1624.0,16,6,1,M_12
booknlp,COREF,150,He,,1920,1922,,,16,6,1,M_13
booknlp,COREF,150,he,,2014,2016,,,16,6,1,M_14
booknlp,COREF,150,he,il,2144,2146,1800.0,1802.0,16,6,1,M_15
booknlp,COREF,150,his,,2265,2268,,,16,6,1,M_16
booknlp,COREF,150,he,,2289,2291,,,16,6,1,M_17
booknlp,COREF,150,I,,2309,2310,,,16,7,1,M_18
pdnc,qID,Q0-0,you,,2319,2322,,,4,7,1,M_19
booknlp,COREF,150,my,,2392,2394,,,16,7,1,M_20
booknlp,COREF,150,I,,2420,2421,,,16,7,1,M_21
pdnc,qID,Q0-0,you,,2440,2443,,,4,7,1,M_22
booknlp,COREF,150,I,,2468,2469,,,16,7,1,M_23
pdnc,qID,Q0-0,your,,2477,2481,,,4,7,1,M_24
booknlp,COREF,150,I,,2515,2516,,,16,7,1,M_25
