eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
exp,exp_name,the invisible man,The Invisible Man,,7,24,,,24,1,-1,M_0
exp,exp_name,the stranger,The stranger,L'etranger,87,99,181.0,191.0,24,4,1,M_1
booknlp,COREF,152,his,,314,317,,,24,4,1,M_2
booknlp,COREF,152,He,il,339,341,423.0,425.0,24,4,1,M_3
booknlp,COREF,152,his,son,392,395,565.0,568.0,24,4,1,M_4
booknlp,COREF,152,his,son,428,431,565.0,568.0,24,4,1,M_5
booknlp,COREF,152,his,son,458,461,565.0,568.0,24,4,1,M_6
booknlp,COREF,152,his,ses,502,505,605.0,608.0,24,4,1,M_7
booknlp,COREF,152,he,il,565,567,423.0,425.0,24,4,1,M_8
booknlp,COREF,152,He,Il,577,579,704.0,706.0,24,4,1,M_9
booknlp,COREF,152,his,son,650,653,778.0,781.0,24,4,1,M_10
booknlp,COREF,152,he,il,682,684,704.0,706.0,24,4,1,M_11
booknlp,COREF,152,He,Il,743,745,864.0,866.0,24,4,1,M_12
booknlp,COREF,152,himself,le,782,789,921.0,923.0,24,4,1,M_13
exp,exp_name,mrs. hall,Mrs. Hall,madame Hall,815,824,946.0,957.0,15,4,1,M_14
booknlp,COREF,152,his,le,858,861,885.0,887.0,24,4,1,M_15
booknlp,COREF,152,he,il,958,960,1067.0,1069.0,24,4,1,M_16
booknlp,COREF,152,his,il,969,972,1067.0,1069.0,24,4,1,M_17
exp,exp_name,mrs. hall,Mrs. Hall,Madame Hall,995,1004,1098.0,1109.0,15,5,1,M_18
booknlp,COREF,152,him,,1027,1030,,,24,5,1,M_19
booknlp,COREF,152,him,,1063,1066,,,24,5,1,M_20
booknlp,COREF,152,his,son,1624,1627,1745.0,1748.0,24,5,1,M_21
booknlp,COREF,152,his,son,1656,1659,1810.0,1813.0,24,5,1,M_22
booknlp,COREF,152,His,ses,1735,1738,1822.0,1825.0,24,5,1,M_23
booknlp,COREF,152,him,son,1772,1775,1875.0,1878.0,24,5,1,M_24
booknlp,COREF,152,he,Il,1781,1783,1884.0,1886.0,24,5,1,M_25
booknlp,COREF,152,his,ses,1869,1872,1983.0,1986.0,24,5,1,M_26
pdnc,qID,Q1-0,your,vos,1920,1924,2095.0,2098.0,24,5,1,M_27
pdnc,qID,Q1-0,sir,monsieur,1939,1942,2064.0,2072.0,24,5,1,M_28
booknlp,COREF,152,he,l'autre,2005,2007,2167.0,2174.0,24,6,1,M_29
booknlp,COREF,152,him,il,2062,2065,2273.0,2275.0,24,7,1,M_30
booknlp,COREF,152,He,,2106,2108,,,24,8,1,M_31
booknlp,COREF,152,his,,2116,2119,,,24,8,1,M_32
booknlp,COREF,152,his,,2148,2151,,,24,8,1,M_33
booknlp,COREF,152,I,Je,2163,2164,2316.0,2318.0,24,8,1,M_34
booknlp,COREF,152,he,il,2190,2192,2348.0,2350.0,24,8,1,M_35
booknlp,COREF,152,he,il,2234,2236,2348.0,2350.0,24,8,1,M_36
booknlp,COREF,152,his,son,2312,2315,2503.0,2506.0,24,8,1,M_37
booknlp,COREF,152,his,son,2348,2351,2503.0,2506.0,24,8,1,M_38
pdnc,qID,Q3-0,sir,monsieur,2382,2385,2588.0,2596.0,24,9,1,M_39
pdnc,qID,Q3-1,you,vous,2404,2407,2607.0,2611.0,24,9,1,M_40
booknlp,COREF,152,He,Il,2450,2452,2665.0,2667.0,24,10,1,M_41
booknlp,COREF,152,his,ses,2484,2487,2732.0,2735.0,24,10,1,M_42
exp,exp_name,mrs. hall,Mrs. Hall,Madame Hall,2518,2527,2711.0,2722.0,15,10,1,M_43
booknlp,COREF,152,he,,2687,2689,,,24,10,1,M_44
exp,exp_name,a man,a man,,2721,2726,,,1,10,1,M_45
booknlp,COREF,152,his,son,2737,2740,2855.0,2858.0,24,10,1,M_46
booknlp,COREF,152,his,son,2755,2758,2855.0,2858.0,24,10,1,M_47
booknlp,COREF,152,his,son,2777,2780,2855.0,2858.0,24,10,1,M_48
booknlp,COREF,152,his,,2819,2822,,,24,10,1,M_49
booknlp,COREF,152,him,,2940,2943,,,24,10,1,M_50
pdnc,qID,Q4-0,Your,Votre,2946,2950,3145.0,3150.0,24,10,1,M_51
pdnc,qID,Q4-0,sir,monsieur,2968,2971,3170.0,3178.0,24,10,1,M_52
pdnc,qID,Q5-0,you,il,2982,2985,3196.0,3198.0,15,11,1,M_53
booknlp,COREF,152,he,il,2988,2990,3196.0,3198.0,24,11,1,M_54
booknlp,COREF,152,he,il,3068,3070,3299.0,3301.0,24,11,1,M_55
booknlp,COREF,152,him,,3655,3658,,,24,12,1,M_56
booknlp,COREF,152,he,,3997,3999,,,24,13,1,M_57
booknlp,COREF,152,he,il,4446,4448,4994.0,4996.0,24,14,1,M_58
booknlp,COREF,152,his,il,4460,4463,4994.0,4996.0,24,14,1,M_59
booknlp,COREF,152,him,le,4539,4542,5061.0,5063.0,24,15,1,M_60
booknlp,COREF,152,He,Il,4569,4571,5120.0,5122.0,24,16,1,M_61
booknlp,COREF,152,he,lui,4610,4612,5173.0,5176.0,24,16,1,M_62
booknlp,COREF,152,him,lui,4630,4633,5173.0,5176.0,24,16,1,M_63
booknlp,COREF,152,his,sa,4657,4660,5206.0,5208.0,24,16,1,M_64
booknlp,COREF,152,his,sa,4675,4678,5206.0,5208.0,24,16,1,M_65
booknlp,COREF,152,his,sa,4745,4748,5206.0,5208.0,24,16,1,M_66
exp,exp_name,mrs. hall,Mrs. Hall,madame Hall,4799,4808,5381.0,5392.0,15,16,1,M_67
booknlp,COREF,152,his,,4835,4838,,,24,16,1,M_68
booknlp,COREF,152,his,,4854,4857,,,24,16,1,M_69
booknlp,COREF,152,his,,4928,4931,,,24,16,1,M_70
booknlp,COREF,152,his,,4961,4964,,,24,16,1,M_71
booknlp,COREF,152,his,,4993,4996,,,24,16,1,M_72
booknlp,COREF,152,He,L'homme,5077,5079,5697.0,5704.0,24,16,1,M_73
booknlp,COREF,152,his,,5167,5170,,,24,16,1,M_74
booknlp,COREF,152,him,,5303,5306,,,24,16,1,M_75
booknlp,COREF,152,He,il,5450,5452,6231.0,6233.0,24,17,1,M_76
booknlp,COREF,152,his,son,5573,5576,6261.0,6264.0,24,17,1,M_77
booknlp,COREF,152,he,,5620,5622,,,24,17,1,M_78
