eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
exp,exp_name,sir walter elliot,Sir Walter Elliot,Sir Walter Elliot,53,70,23.0,40.0,26,6,1,M_0
exp,exp_name,kellynch hall,Kellynch Hall,Kellynch-Hall,75,88,45.0,58.0,10,6,1,M_1
exp,exp_name,kellynch hall,KELLYNCH HALL,Kellynch-Hall,765,778,736.0,749.0,10,7,1,M_2
exp,exp_name,walter elliot,Walter Elliot,,783,796,,,26,8,1,M_3
exp,exp_name,elizabeth,Elizabeth,Elisabeth,842,851,825.0,834.0,8,8,1,M_4
exp,exp_name,elizabeth,Elizabeth,Elisabeth,974,983,825.0,834.0,8,8,1,M_5
exp,exp_name,anne,Anne,Anna,1004,1008,981.0,985.0,1,8,1,M_6
exp,exp_name,mary,Mary,Marie,1067,1071,1049.0,1054.0,16,8,1,M_7
exp,exp_name,sir walter,Sir Walter,Sir Walter,1179,1189,1146.0,1156.0,26,9,1,M_8
exp,exp_name,mary,Mary,Marie,1295,1299,1267.0,1272.0,16,9,1,M_9
exp,exp_name,charles,Charles,Charles,1339,1346,1308.0,1315.0,13,9,1,M_10
exp,exp_name,charles musgrove,Charles Musgrove,Charles Musgrove,1364,1380,1308.0,1324.0,6,9,1,M_11
exp,exp_name,charles,Charles,Charles II,1838,1845,1634.0,1644.0,13,10,1,M_12
exp,exp_name,kellynch hall,Kellynch Hall,Kellynch-Hall,2009,2022,1813.0,1826.0,10,10,1,M_13
exp,exp_name,sir walter,Sir Walter,Sir Walter,2056,2066,1871.0,1881.0,26,10,1,M_14
exp,exp_name,william walter elliot,William Walter Elliot,William Walter Elliot,2125,2146,1910.0,1931.0,30,11,1,M_15
exp,exp_name,sir walter,Sir Walter,Sir Walter,2183,2193,1871.0,1881.0,26,11,1,M_16
exp,exp_name,sir walter elliot,Sir Walter Elliot,Sir Elliot,2237,2254,2045.0,2055.0,26,12,1,M_17
exp,exp_name,sir walter elliot,Sir Walter Elliot,Sir Walter Elliot,2656,2673,2425.0,2442.0,26,12,1,M_18
booknlp,COREF,6,Kellynch,Kellynch,3850,3858,3302.0,3310.0,10,13,1,M_19
exp,exp_name,sir walter,Sir Walter,Sir Walter,4060,4070,3446.0,3456.0,26,14,1,M_20
exp,exp_name,lady russell,Lady Russell,lady Russel,4330,4342,3671.0,3682.0,12,15,1,M_21
exp,exp_name,sir walter,Sir Walter,Sir Walter,4594,4604,3825.0,3835.0,26,15,1,M_22
exp,exp_name,sir walter,Sir Walter,il,4678,4688,3972.0,3974.0,26,15,1,M_23
exp,exp_name,elizabeth,Elizabeth,Elisabeth,4983,4992,4141.0,4150.0,8,15,1,M_24
booknlp,COREF,91,her,sa,5049,5052,4144.0,4146.0,8,15,1,M_25
booknlp,COREF,91,her,elle,5134,5137,4232.0,4236.0,8,15,1,M_26
exp,exp_name,mary,Mary,Marie,5269,5273,4448.0,4453.0,16,15,1,M_27
exp,exp_name,charles musgrove,Charles Musgrove,,5335,5351,,,6,15,1,M_28
exp,exp_name,anne,Anne,Anna,5357,5361,4521.0,4525.0,1,15,1,M_29
exp,exp_name,anne,Anne,Anna,5605,5609,4521.0,4525.0,1,15,1,M_30
exp,exp_name,lady russell,Lady Russell,elle,5615,5627,4849.0,4853.0,12,16,1,M_31
booknlp,COREF,101,she,elle,5637,5640,4849.0,4853.0,12,16,1,M_32
exp,exp_name,lady russell,Lady Russell,,5713,5725,,,12,16,1,M_33
exp,exp_name,anne,Anne,,5761,5765,,,1,16,1,M_34
booknlp,COREF,101,she,,5771,5774,,,12,16,1,M_35
exp,exp_name,anne elliot,Anne Elliot,Anna,5836,5847,4908.0,4912.0,1,17,1,M_36
exp,exp_name,elizabeth,Elizabeth,Elisabeth,6311,6320,5351.0,5360.0,8,17,1,M_37
exp,exp_name,mary,Mary,Marie,6326,6330,5366.0,5371.0,16,17,1,M_38
booknlp,COREF,94,herself,se,6352,6359,5512.0,5514.0,16,17,1,M_39
exp,exp_name,elizabeth,Elizabeth,Elisabeth,6482,6491,5351.0,5360.0,8,17,1,M_40
exp,exp_name,elizabeth,Elizabeth,Elisabeth,6776,6785,5756.0,5765.0,8,18,1,M_41
exp,exp_name,miss elliot,Miss Elliot,miss Elliot,6811,6822,5813.0,5824.0,17,18,1,M_42
exp,exp_name,sir walter,Sir Walter,Sir Elliot,6872,6882,5829.0,5839.0,26,18,1,M_43
exp,exp_name,elizabeth,Elizabeth,Elisabeth,7002,7011,5756.0,5765.0,8,18,1,M_44
