eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
pdnc,qID,Q0-0,My dear Mr. Bennet,Mon cher Monsieur Bennet,395,413,442.0,466.0,16,4,1,M_0
pdnc,qID,Q0-1,you,avez-vous,452,455,508.0,517.0,16,4,1,M_1
exp,exp_name,mr. bennet,Mr. Bennet,Monsieur Bennet,502,512,567.0,582.0,16,5,1,M_2
booknlp,COREF,86,he,il,526,528,595.0,597.0,16,5,1,M_3
pdnc,qID,Q1-1,Mrs. Long,Mistriss Long,571,580,675.0,688.0,31,6,1,M_4
pdnc,qID,Q1-1,she,qui,605,608,690.0,693.0,31,6,1,M_5
exp,exp_name,mr. bennet,Mr. Bennet,M. Bennet,633,643,707.0,716.0,16,7,1,M_6
pdnc,qID,Q2-0,you,vous,669,672,751.0,755.0,16,8,1,M_7
pdnc,qID,Q3-0,You,Vous,736,739,819.0,823.0,25,9,1,M_8
pdnc,qID,Q4-0,my dear,mon cher,834,841,979.0,987.0,16,11,1,M_9
pdnc,qID,Q4-0,you,vous,843,846,961.0,965.0,16,11,1,M_10
pdnc,qID,Q4-0,Mrs. Long,,858,867,,,31,11,1,M_11
pdnc,qID,Q4-0,a young man,un jeune seigneur,902,913,1033.0,1050.0,17,11,1,M_12
pdnc,qID,Q4-0,he,il,963,965,1064.0,1066.0,17,11,1,M_13
pdnc,qID,Q4-0,he,il,1064,1066,1064.0,1066.0,17,11,1,M_14
pdnc,qID,Q4-0,Mr. Morris,M. Morris,1079,1089,1225.0,1234.0,71,11,1,M_15
pdnc,qID,Q4-0,he,il,1108,1110,1064.0,1066.0,17,11,1,M_16
pdnc,qID,Q4-0,his,ses,1164,1167,1314.0,1317.0,17,11,1,M_17
pdnc,qID,Q5-0,his,son,1236,1239,1416.0,1419.0,17,12,1,M_18
pdnc,qID,Q6-0,Bingley,Bingley,1249,1256,1430.0,1437.0,17,13,1,M_19
pdnc,qID,Q7-0,he,il,1264,1266,1447.0,1449.0,17,14,1,M_20
pdnc,qID,Q8-0,my dear,mon cher,1301,1308,1481.0,1489.0,16,15,1,M_21
pdnc,qID,Q10-0,Mr. Bennet,Monsieur Bennet,1462,1472,1680.0,1695.0,16,17,1,M_22
pdnc,qID,Q10-1,you,vous,1502,1505,1701.0,1705.0,16,17,1,M_23
booknlp,COREF,86,You,vous,1522,1525,1701.0,1705.0,16,17,1,M_24
pdnc,qID,Q10-1,his,lui,1558,1561,1758.0,1761.0,17,17,1,M_25
pdnc,qID,Q11-0,his,son,1595,1598,1796.0,1799.0,17,18,1,M_26
pdnc,qID,Q12-0,you,vous,1653,1656,1889.0,1893.0,16,19,1,M_27
pdnc,qID,Q12-0,he,il,1693,1695,1962.0,1964.0,17,19,1,M_28
pdnc,qID,Q12-0,you,vous,1747,1750,1889.0,1893.0,16,19,1,M_29
pdnc,qID,Q12-0,him,lui,1762,1765,2025.0,2028.0,17,19,1,M_30
pdnc,qID,Q12-0,he,il,1777,1779,2058.0,2060.0,17,19,1,M_31
pdnc,qID,Q13-0,You,vous,1818,1821,2117.0,2121.0,25,20,1,M_32
pdnc,qID,Q13-0,you,vous,1847,1850,2117.0,2121.0,25,20,1,M_33
pdnc,qID,Q13-0,you,vous,1923,1926,2117.0,2121.0,25,20,1,M_34
exp,exp_name,mr. bingley,Mr. Bingley,M. Bingley,1959,1970,2283.0,2293.0,17,20,1,M_35
pdnc,qID,Q13-0,you,vous,1982,1985,2117.0,2121.0,25,20,1,M_36
pdnc,qID,Q14-0,My dear,Ma chere,2012,2019,203610.0,203618.0,16,21,1,M_37
pdnc,qID,Q14-0,you,,2021,2024,,,16,21,1,M_38
pdnc,qID,Q16-0,my dear,,2302,2309,,,16,23,1,M_39
pdnc,qID,Q16-0,you,,2311,2314,,,16,23,1,M_40
pdnc,qID,Q16-0,Mr. Bingley,,2338,2349,,,17,23,1,M_41
pdnc,qID,Q16-0,he,,2355,2357,,,17,23,1,M_42
pdnc,qID,Q17-0,you,,2430,2433,,,25,24,1,M_43
booknlp,COREF,86,your,vos,2451,2455,2836.0,2839.0,16,25,1,M_44
pdnc,qID,Q18-0,Sir William,Sir Williams,2529,2540,2912.0,2924.0,35,25,1,M_45
pdnc,qID,Q18-0,Lady Lucas,Lady Laws,2545,2555,2928.0,2937.0,1,25,1,M_46
pdnc,qID,Q18-0,you,vous,2617,2620,3012.0,3016.0,16,25,1,M_47
pdnc,qID,Q18-0,you,vous,2659,2662,3012.0,3016.0,16,25,1,M_48
booknlp,COREF,90,him,lui,2716,2719,2953.0,2956.0,17,25,1,M_49
pdnc,qID,Q18-0,you,vous,2724,2727,3012.0,3016.0,16,25,1,M_50
pdnc,qID,Q19-0,You,vous,2739,2742,3012.0,3016.0,25,26,1,M_51
pdnc,qID,Q19-0,Mr. Bingley,M. Bingley,2782,2793,3242.0,3252.0,17,26,1,M_52
booknlp,COREF,86,you,vous,2819,2822,3270.0,3274.0,16,26,1,M_53
booknlp,COREF,86,you,vous,2855,2858,3201.0,3205.0,16,26,1,M_54
pdnc,qID,Q19-0,him,,2869,2872,,,17,26,1,M_55
pdnc,qID,Q19-0,his,son,2897,2900,3370.0,3373.0,17,26,1,M_56
pdnc,qID,Q19-0,he,il,2921,2923,3410.0,3412.0,17,26,1,M_57
pdnc,qID,Q19-0,my little Lizzy,ma chere petite Lizzy,2984,2999,3476.0,3497.0,5,26,1,M_58
pdnc,qID,Q20-0,you,vous,3013,3016,3506.0,3510.0,16,27,1,M_59
