eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
exp,exp_name,sherlock holmes,Sherlock Holmes,Sherlock Holmes,36,51,51.0,66.0,14,2,1,M_0
booknlp,COREF,105,his,son,57,60,134.0,137.0,14,2,1,M_1
booknlp,COREF,105,his,son,108,111,134.0,137.0,14,2,1,M_2
booknlp,COREF,105,his,son,164,167,334.0,337.0,14,2,1,M_3
booknlp,COREF,105,he,il,197,199,486.0,488.0,14,2,1,M_4
booknlp,COREF,105,his,son,246,249,334.0,337.0,14,2,1,M_5
booknlp,COREF,105,his,son,288,291,334.0,337.0,14,2,1,M_6
booknlp,COREF,105,he,il,415,417,507.0,509.0,14,2,1,M_7
booknlp,COREF,105,him,,1008,1011,,,14,3,1,M_8
booknlp,COREF,105,His,ses,1093,1096,1202.0,1205.0,14,3,1,M_9
booknlp,COREF,105,his,ses,1111,1114,1202.0,1205.0,14,3,1,M_10
booknlp,COREF,105,his,ses,1170,1173,1342.0,1345.0,14,3,1,M_11
booknlp,COREF,105,him,le,1251,1254,1292.0,1294.0,14,3,1,M_12
booknlp,COREF,105,his,il,1412,1415,1603.0,1605.0,14,4,1,M_13
booknlp,COREF,105,He,il,1529,1531,1768.0,1770.0,14,6,1,M_14
booknlp,COREF,105,his,il,1539,1542,1768.0,1770.0,14,6,1,M_15
booknlp,COREF,105,he,il,1597,1599,1768.0,1770.0,14,6,1,M_16
booknlp,COREF,105,he,il,1629,1631,1768.0,1770.0,14,6,1,M_17
pdnc,qID,Q1-1,you,vous,1673,1676,1942.0,1946.0,21,6,1,M_18
booknlp,COREF,105,He,le,1844,1846,2130.0,2132.0,14,8,1,M_19
pdnc,qID,Q3-0,you,vous,1880,1883,2165.0,2169.0,21,8,1,M_20
pdnc,qID,Q3-0,Watson,Watson,1895,1901,2178.0,2184.0,21,8,1,M_21
booknlp,COREF,105,he,il,1904,1906,2193.0,2195.0,14,8,1,M_22
booknlp,COREF,105,I,je,1914,1915,2197.0,2199.0,14,8,1,M_23
booknlp,COREF,105,I,je,1968,1969,2296.0,2298.0,14,8,1,M_24
exp,exp_name,small,small,,2086,2091,,,25,8,1,M_25
pdnc,qID,Q4-1,Your,votre,2154,2158,2650.0,2655.0,14,9,1,M_26
pdnc,qID,Q4-1,you,vous,2173,2176,2549.0,2553.0,14,9,1,M_27
pdnc,qID,Q4-1,You,vous,2333,2336,2826.0,2830.0,14,9,1,M_28
pdnc,qID,Q4-1,you,vous,2381,2384,2826.0,2830.0,14,9,1,M_29
pdnc,qID,Q4-1,you,vous,2441,2444,3053.0,3057.0,14,9,1,M_30
pdnc,qID,Q4-1,you,vous,2522,2525,3053.0,3057.0,14,9,1,M_31
booknlp,COREF,105,he,je,2654,2656,3089.0,3091.0,14,9,1,M_32
booknlp,COREF,105,He,le,2689,2691,3254.0,3256.0,14,10,1,M_33
booknlp,COREF,105,he,le,2732,2734,3254.0,3256.0,14,10,1,M_34
booknlp,COREF,105,his,il,2739,2742,3300.0,3302.0,14,10,1,M_35
booknlp,COREF,105,his,il,2775,2778,3300.0,3302.0,14,10,1,M_36
booknlp,COREF,105,his,son,2801,2804,3334.0,3337.0,14,10,1,M_37
booknlp,COREF,105,My,Mon,2858,2860,3401.0,3404.0,14,11,1,M_38
booknlp,COREF,105,he,il,2868,2870,3417.0,3419.0,14,11,1,M_39
booknlp,COREF,105,me,moi,2905,2907,3457.0,3460.0,14,11,1,M_40
booknlp,COREF,105,me,moi,2923,2925,3457.0,3460.0,14,11,1,M_41
booknlp,COREF,105,me,moi,2937,2939,3457.0,3460.0,14,11,1,M_42
