eng_source,eng_idColName,eng_iden,eng_text,fr_text,eng_startByte,eng_endByte,fr_startByte,fr_endByte,eng_pdncID,eng_paraID,eng_chapID,eng_mID
exp,exp_name,the stranger,The stranger,L'etranger,3442,3454,894.0,904.0,29,8,1,M_0
exp,exp_name,mr. lucian gregory,Mr. Lucian Gregory,M. Lucien Gregory,5818,5836,3697.0,3714.0,13,9,1,M_1
booknlp,COREF,92,He,Il,5955,5957,3792.0,3794.0,13,9,1,M_2
exp,exp_name,gabriel syme,Gabriel Syme,Gabriel Syme,7963,7975,5893.0,5905.0,9,11,1,M_3
exp,exp_name,gregory,Gregory,Gregory,8187,8194,6178.0,6185.0,13,11,1,M_4
exp,exp_name,syme,Syme,Syme,8246,8250,6220.0,6224.0,9,11,1,M_5
exp,exp_name,mr. lucian gregory,Mr. Lucian Gregory,M. Lucien Gregory,8443,8461,6440.0,6457.0,13,12,1,M_6
booknlp,COREF,92,he,il,8527,8529,6505.0,6507.0,13,13,1,M_7
booknlp,COREF,92,his,il,8539,8542,6505.0,6507.0,13,13,1,M_8
pdnc,qID,Q0-1,You,vous,8707,8710,6772.0,6776.0,9,13,1,M_9
pdnc,qID,Q0-1,you,vous,8715,8718,6772.0,6776.0,9,13,1,M_10
booknlp,COREF,92,I,je,8738,8739,6818.0,6820.0,13,13,1,M_11
pdnc,qID,Q0-1,you,vous,8744,8747,6772.0,6776.0,9,13,1,M_12
booknlp,COREF,92,I,,8778,8779,,,13,13,1,M_13
pdnc,qID,Q0-1,you,votre,8843,8846,6956.0,6961.0,9,13,1,M_14
exp,exp_name,gregory,Gregory,Gregory,9024,9031,7152.0,7159.0,13,14,1,M_15
exp,exp_name,rosamond,Rosamond,Rosamonde,9041,9049,7129.0,7138.0,17,14,1,M_16
exp,exp_name,gregory,Gregory,Gregory,9230,9237,7392.0,7399.0,13,15,1,M_17
pdnc,qID,Q1-1,You,,9334,9337,,,9,16,1,M_18
exp,exp_name,mr. syme,Mr. Syme,Syme,9849,9857,8079.0,8083.0,9,17,1,M_19
exp,exp_name,gregory,Gregory,Gregory,9877,9884,8119.0,8126.0,13,18,1,M_20
pdnc,qID,Q3-1,you,vous,10059,10062,8407.0,8411.0,9,18,1,M_21
pdnc,qID,Q4-0,you,vous,10490,10493,8912.0,8916.0,13,19,1,M_22
exp,exp_name,syme,Syme,Syme,10532,10536,8949.0,8953.0,9,19,1,M_23
pdnc,qID,Q4-1,you,vous,10547,10550,8965.0,8969.0,13,19,1,M_24
pdnc,qID,Q4-1,your,votre,10605,10609,9038.0,9043.0,13,19,1,M_25
pdnc,qID,Q4-1,your,vos,11068,11072,9644.0,9647.0,13,19,1,M_26
booknlp,COREF,93,me,moi,11109,11111,9677.0,9680.0,9,19,1,M_27
pdnc,qID,Q4-1,your,votre,11157,11161,9744.0,9749.0,13,19,1,M_28
booknlp,COREF,93,me,moi,11211,11213,9805.0,9808.0,9,19,1,M_29
booknlp,COREF,93,me,moi,11261,11263,9867.0,9870.0,9,19,1,M_30
booknlp,COREF,93,I,moi,11274,11275,9867.0,9870.0,9,19,1,M_31
pdnc,qID,Q5-0,you,vous,11289,11292,9908.0,9912.0,9,20,1,M_32
exp,exp_name,gregory,Gregory,Gregory,11307,11314,9928.0,9935.0,13,20,1,M_33
booknlp,COREF,93,I,j',11332,11333,10038.0,10040.0,9,21,1,M_34
pdnc,qID,Q6-0,you,vous,11339,11342,9956.0,9960.0,13,21,1,M_35
exp,exp_name,syme,Syme,Syme,11353,11357,9980.0,9984.0,9,21,1,M_36
booknlp,COREF,93,I,j',11406,11407,10038.0,10040.0,9,21,1,M_37
pdnc,qID,Q6-1,You,vous,11506,11509,10165.0,10169.0,13,21,1,M_38
booknlp,COREF,93,I,je,11593,11594,10270.0,10272.0,9,21,1,M_39
booknlp,COREF,93,I,je,11662,11663,10270.0,10272.0,9,21,1,M_40
booknlp,COREF,93,I,je,11682,11683,10270.0,10272.0,9,21,1,M_41
